,"Реестр лицензий на розничную продажу алкогольной продукции организаций, осуществляющих деятельность на территории Сургутского района в 2012 году",,,,,,,,
42,4443,"Общество с ограниченной ответственностью ""АСИМАН""  ИНН 8617026130","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Лесная, д. 10 Б (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                   пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Лесная, д. 10 Б, магазин ""Родничок"". ","000922,  Р №  16.11.2007 до 16.11.2012",,,,
43,"4468
","Общество с ограниченной ответственностью ""Родничок""  ИНН8617023740","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Боровая, д. 2 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Боровая, д. 2, магазин ""Родничок плюс"".","000948,  Р № 28.11.2007 до 19.06.2011
продлено
до 19.06.2016",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  3046  19.06.2006  
44,4570,"Общество с ограниченной ответственностью ""МЕЧТА-1""  ИНН 8617023669","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 2 микрорайон, строение 68 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                    г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, 2 микрорайон, строение 68, магазин ""Продукты"".  ","001049,  Р №  24.01.2008 до 04.06.2012                   продлено до 04.06.2015",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4196  04.06.2007  
45,4576,"Общество с ограниченной ответственностью ""Минутка""  ИНН 8617024260","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Ленина, д. 31 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                            пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, д. 31, кафе ""Минутка"".  ","001055,  Р №  31.01.2008 до 31.01.2013",,,,
46,"32       
","Общество с ограниченной ответственностью ""ЭлитТорг""  ИНН 8617023500","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Московская, д. 7 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                                1. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Московская, 7, магазин ""Легенда"";                                                                                         2. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ломоносова, 6/2, магазин ""Легенда-1"";                                                                                      ","002891,  Р №  28.12.2011
продлено до 03.07.2016",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4680  от 18.04.2008 
47,"31
","Общество с ограниченной ответственностью ""Горячий хлеб""  ИНН 8617023838","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 4 микрорайон, строение 24 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                                     1. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 4 микрорайон, строение 24, отдел по реализации алкогольной продукции в магазине-пекарне ""Горячий хлеб"";                                                                                                         2. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,ул. 60 лет СССР, строение 5, магазин ""Канзас"".    ","002890,  Р №  15.12.2011 до 07.07.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4737  от 27.05.2008  
48,4789,"Общество с ограниченной ответственностью ""Золотой ключик""  ИНН 8617019782","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Островского, д. 1 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                           1. г. Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, проспект Ленина, д. 66/2, магазин ""Золотой ключик"";                                                                   2. г. Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, п. Юность, ул. Шушенская, 18, минимаркет ""Юность"".          ","001282,  Р№  20.06.2008 до 26.12.2012",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4542  26.12.2007  
49,50,"Общество с ограниченной ответственностью ""МЭРИ""  ИНН 8617026420","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Салавата Юлаева, строение 8 (адреса мест нахождения объектов см. на обороте)  ","Розничная продажа алкогольной продукции Обратная сторона лицензии - адреса мест нахождения объектов:                                                                                       1. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Салавата Юлаева, строение 8, магазин ""Смешанные товары"";                                                                                                         2. городское поселение Барсово, пгт. Барсово Сургутского района Ханты-Мансийского автономного округа – Югры, ДНТ «Светлое», уч. № 1, Вино - водочный отдел в магазине ""У дачи"".  ","006609,  Р №  18.07.2012 до 25.06.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии  №  44796  от 25.06.2008 
50,4861,"Общество с ограниченной ответственностью ""Звезда""  ИНН 8617026229","Место нахождения юридического лица:  п. Ульт-Ягун Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Школьная, д. 1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                         п. Ульт-Ягун  Сургутского  района  Ханты - Мансийского  автономного  округа  - Югры Тюменской области, ул. Школьная, д. 1, магазин ""Звезда"".  ","001353,  Р №  30.07.2008 до 30.07.2013",,,,
51,4862,"Общество с ограниченной ответственностью ""Шеппи""  ИНН 8617026797","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Горького, д. 9 А (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                            пгт. Белый Яр  Сургутского  района  Ханты - Мансийского  автономного  округа  - Югры Тюменской области, ул. Фадеева, д. 17 А, магазин ""Продукты"".  ","001354,  Р №  30.07.2008 до 30.07.2013",,,,
52,4865,"Общество с ограниченной ответственностью ""Родничок""  ИНН 8617026540  ","Место нахождения юридического лица:  с. Угут Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Угутская, д. 19 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                  с. Угут Сургутского района Ханты-Мансийского автономного округа - Югры  Тюменской  области, ул. Угутская, д. 19, магазин ""Продукты"".  ","001357,  Р № 01.08.2008 до 01.08.2013",,,,
53,"33 
","Общество с ограниченной ответственностью ""КОЛОС плюс""  ИНН 8617020629","Место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, д. 25 А (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                         1. п.  Солнечный Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,  ул. Строителей, д. 25 А, 1 этаж, магазин № 54;                                                                                     ","002892,  Р № 28.12.2011 до 07.08.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4873 от 07.08.2008
54,4890,"Общество с ограниченной ответственностью ""Туран 2003""  ИНН 8617026878","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Кушникова, д. 60 А (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                         пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Кушникова, д. 60 А, магазин ""Фиалка"".  ","001382,  Р №  22.08.2008 до 22.08.2013",,,,
55,4892,"Общество с ограниченной ответственностью ""Торговый дом ""Станис плюс""  ИНН 8617025698  ","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Фадеева, д. 2 Д (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                 пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Фадеева, д. 2 Д, магазин ""Станис"".  ","001384,  Р №  26.08.2008 до 10.01.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4555  10.01.2008  
56,4908,"Общество с ограниченной ответственностью ""Марина""  ИНН 8617027046","Место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Сибирская, д. 11 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                          п.  Солнечный Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области, ул. Сибирская, д. 11, магазин  ""Троянда""","001398,  Р №   05.09.2008 до 05.09.2013",,,,
57,"28
","Общество с ограниченной ответственностью ""НЕРЭМ""  ИНН 8617026638","Место нахождения юридического лица:  с. Угут Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Молодежная, д. 12 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                 с. Угут Сургутского района Ханты-Мансийского автономного округа - Югры  Тюменской  области:
1. ул. Молодежная, д.12, проммагазин, торговый центр ""Нерэм"", отдел вино-водка;
2. ул. Молодежная, д.12, торговый центр ""Нерэм, бар.  ","003068,  Р №  07.12.2011 до 12.09.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4917  12.09.2008
58,4959,"Общество с ограниченной ответственностью ""Лянторский""  ИНН 8617021502","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 2 микрорайон, строение 59/1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензииа- адрес места нахождения объекта:                                                                                               г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 2 микрорайон, ул. Адыгейская, 59, магазин ""Лабаз"".  ","001451,  Р №  14.10.2008 до 28.10.2008 Продлена до 28.10.2013 ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  434  28.10.2005  
59,5075,"Общество с ограниченной ответственностью ""СИБРАДУГА""  ИНН 8617014590","Место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Юности, д. 3 А (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                       п. Солнечный Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Юности, д. 3 А, магазин ""Сибрадуга"".  ","001578,  Р № 19.12.2008 до 30.12.2008 Продлена до 30.12.2013 ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  463  30.12.2005  
60,5087,"Общество с ограниченной ответственностью ""Спортивная федерация стрельбы ХМАО-Югра""  ИНН 8617021358","Место нахождения юридического лица::  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Зои Космодемьянской, д. 19 Б (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                           пгт. Барсово Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Восточная промышленная, 10 территория 1, кафе ""Югра"".  ","001592,  Р № 23.12.2008 до 23.12.2013",,,,
61,"5119
","Общество с ограниченной ответственностью ""Березка""  ИНН 8617023281","Место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, д. 2 А (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                                         1. п. Солнечный Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,  ул. Строителей, д. 2 А, отдел ""Вино-водка"" в Торговом центре. Бар;                                                                                        2. п. Солнечный Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,  ул. Строителей, д. 11 А, магазин ""Березка""; 
 3. пгт. Белый Яр Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,  ул. Горького, д. 35, сооружение 1, магазин ""Техснаб"".  ","001627,  Р №  30.12.2008 до 24.07.2011
продлено до 24.07.2016",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4437  14.11.2007  
62,"21
","Общество с ограниченной ответственностью ""Огни Сибири""  ИНН 8617023250","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, пер. Центральный, д. 8/1 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                                         1. пгт. Федоровский Сургутского района Ханты - Мансийского автономного округа - Югры Тюменской  области, пер. Центральный, д. 8/1, магазин  ""Огни Сибири"";                                                                                                   2. пгт. Федоровский Сургутского района Ханты - Мансийского автономного округа - Югры Тюменской  области, ул. Савуйская, д. 15/2, магазин  ""Радуга"";                                                                                  ","003061,  Р № 04.08.2011 до 09.08.2016",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5133 от 13.01.2009  
63,"5195
","Общество с ограниченной ответственностью ""Барс""  ИНН 8617023362","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 2 микрорайон, строение 9/1; (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                        г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области,  2 микрорайон, строение 9/1, магазин ""Барс"".  ","001708,  Р №  03.03.2009 до 31.07.2011     продлено до 31.07.2017",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  3325  31.07.2006  
64,48,"Общество с ограниченной ответственностью ""Тер-Тер""  ИНН 8617015629","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Ленина, д. 31 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адреса мест нахождения объектов:                                                                                         1.  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Строителей, 5, магазин смешанных товаров ""Дунай-1"";                                                                                2. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Пионерная, 3/2, магазин ""Дунай-2"";                                                                                                    3.  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, 31, магазин в Торговом комплексе.                                                                                                                                              ","006607,  Р №  20.06.2012 до 14.11.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии № 24 от 24.10.2011  
65,39,"Общество с ограниченной ответственностью ""Абдувахоб""   ИНН 8617026910  ","место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Спортивная, д. 9/1 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                           1. г. Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Базовая, 15/1, отдел ""Вино-водка"" в магазине ""Продукты"".  ","002898,  Р № 08.02.2012 до 21.07.2014",,,,настоящая лицензия выдана в порядке переоформления лицензии № 5953 от 02.12.2010  
66,5375,"Общество с ограниченной ответственностью ""ЯНТАРЬ""  ИНН 8602091345    ","Место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, д. 27 А (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                             п. Солнечный Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Строителей, д. 27 А, магазин ""Продукты"".  ","001889,  Р №  23.07.2009 до 23.07.2014",,,,
67,5376,"Общество с ограниченной ответственностью  Молодежному спортивному клубу ""Паб-Экстрим""  ИНН 8617018980    ","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,   (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                       г. Сургут Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Сибирская, 12/1, кафе МСК ""Паб-Экстрим"".            ","001890,  Р №  23.07.2009 до 23.07.2014",,,,
68," 09 
","Общество с ограниченной ответственностью ""Владлен""  ИНН 8617023651  ","место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Ленина, д. 13 Б (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов: 
1. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Ленина, д. 13 Б, магазин ""Каспий"";                                                                                                                                                                                                           2. д. Русскинская Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Северная, д. 9 Б, магазин ""Колобок"";                                                                                3. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  пер. Парковый, 11/2, магазин смешанных товаров.  ","003049,  Р №  18.05.2011 до 19.06.2011
продлено до 19.06.2016",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  6003 от 23.12.2010  
69,5445,"Общество с ограниченной ответственностью ""Нижнесортымский""  ИНН 8617024493","Место нахождения юридического лица:  п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Северная, 26 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                           п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Северная, 26, магазин ""Лабаз"".  ","001962,  Р №  22.09.2009 до 22.09.2014",,,,
70,5474,"Общество с ограниченной ответственностью ""Фёдоровский""  ИНН 8617028152","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Ленина, д. 12/1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                   пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, д. 12/2, магазин ""Лабаз"".  ","001990,  Р №  23.10.2009 до 23.10.2014",,,,
71,5475,"Потребительское общество ""Русскинское""  ИНН 8617013847","место нахождения юридического лица:  д. Русскинская Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Просвещения, д. 4 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                                                  1. д. Русскинская Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,      ул. Просвещения, д. 4, магазин ""Кедр"";                                                                                          2. д. Русскинская Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области,      ул. Новоселов, д. 9 А, магазин ""Смешанные товары"".  ","001989,  Р №  23.10.2009 до 29.12.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5383  30.07.2009  
72,"26

","Общество с ограниченной ответственностью ""СургутПродСбыт""  ИНН8617018355  ","Место нахождения юридического лица:  Сургутский район, Ханты-Мансийского автономного округа - Югры, Тюменской области, Западно-Сургутское месторождение, автодорога Сургут-Федоровский 2 км, строение 1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                                         Сургутский район Ханты-Мансийского автономного округа - Югры Тюменской области, Западно-Сургутское месторождение, 2 км от Федоровского поворота, магазин ""Снежинка"".                                                                                                      ","003066,  Р №  01.12.2011 до 28.12.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5559 от 28.12.2009 
73,5607,"Общество с ограниченной ответственностью ""ЛОКОСОВСКИЙ""  ИНН 8617025338","место нахождения юридического лица:  с. Локосово Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Советская, д. 14 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                                        с. Локосово Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Советская, д. 14, магазин ""Круиз"".  ","002123,  Р № 05.02.2010 до 05.02.2015",,,,
74,"41
","Общество с ограниченной ответственностью ""СибПродСнаб""  ИНН 8617025095","место нахождения юридического лица:  п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Северная, 2 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                       п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон Пионерный 12, отдел ""Продукты"" в магазине ""Смешанные товары"".                                                                                               ","002900,  Р № 06.03.2012 до 11.01.2015",,,,настоящая лицензия выдана в порядке переоформления лицензии   № 5638 от 01.03.2010
75,5732,"Общество с ограниченной ответственностью ""Руслан""  ИНН 8617027416","место нахождения юридического лица :  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 5 микрорайон, д. 3, офис 4 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адрес места нахождения объекта:                                                                                            г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 5 микрорайон, д. 3, магазин ""Руслан"".  ","002234,  Р № 04.05.2010 до 04.05.2012 продлено до 04.05.2017",,,,
76,"23
","Общество с ограниченной ответственностью ""Березка""  ИНН 8617021823  ","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 6 микрорайон, строение 13 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                               г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 6 микрорайон, строение 15, отдел ""Продукты"" в магазине ""Находка"";                                                                                                                                                                           2. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,ул. Дружбы народов, строение 16, магазин продукты в торговом комплексе ""Березка-2"";                                                                                                  3. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 6 микрорайон, строение 13, магазин;                                                                                                    
"," 006616, Р №  17.08.2011 до 01.03.2016 
",,,,настоящая лицензия выдана в порядке переоформления лицензии   № 23 от 12.10.2011
77,40,"Общество с ограниченной ответственностью ""Святослава""  ИНН 8617013124","место нахождения юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, д. 13 А (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                               1. п.  Солнечный Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области, ул. Строителей, д. 13 А, магазин ""Продукты"";                                         2. г. Сургут Ханты - Мансийского  автономного  округа - Югры  Тюменской  области, ул. Семена Билецкого, д. 12, пом. 5, минимаркет ""Семейный"".","002899,  Р № 20.02.2012 до 09.09.2012 продлено до 09.09.2015",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5865  от 09.09.2010  
78,5876,"Обществу с ограниченной ответственностью ""ПОБЕДА""  ИНН 8617028890","место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Назаргалеева, строение 2/1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                        г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Назаргалеева, строение 2/1, магазин ""Памир"". ","002372,  Р №  04.10.2010 до 04.10.2013",,,,
79,5891,"Общество с ограниченной ответственностью ""Фотон""  ИНН 8602029812","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Назаргалеева, д. 6/1 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                    1. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Назаргалеева, д. 6/1, магазин ""Улыбка"" в Торговом центре ""Улыбка"";                                                                                            2. г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  микрорайон 4, строение 28, магазин ""Космос"".  ","002390,  Р № 11.10.2010 до 01.10.2015",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4379  01.10.2007  
80," 02
","Общество с ограниченной ответственностью ""ОВЕСТИнА""  ИНН 8617028667","место нахождения юридического лица:  д. Русскинская Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Взлетная, д. 11 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-адрес места нахождения объекта: 
1. д. Русскинская Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Новоселов, д. 8, кафе ""Встреча"";
2. д. Русскинская Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Новоселов, д. 8, магазин ""У сестер"".","Р№ 003042,
24.03.2011 до
16.11.2011
продлено до 16.11.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5933  16.11.2010  
81,51,"Общество с ограниченной ответственностью ""Екатерина""  ИНН 8617023965","место нахождения юридического лица:  село Тундрино Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, улица Кедровая, дом 6 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:  
пос. Высокий Мыс Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. 60 лет Октября, д. 6, магазин ""Сельхозпродукты"".  ","006610,  Р № 26.07.2012 до 26.07.2017",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5936 от 19.11.2010
82,"29
","Общество с ограниченной ответственностью ""Агабалаев""  ИНН 8617024006","место нахождения юридического лица:  д. Сайгатина Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, магазин ""Сайгон"" (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии -адрес места нахождения объекта:                                                                                   1. д. Сайгатина Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, магазин ""Сайгон"".                                                                                                         ","003069,  Р № 07.12.2011 до 11.07.2012 продлено до 11.07.2015",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  5939  23.11.2010  
