,"Реестр лицензий на розничную продажу алкогольной продукции организаций, осуществляющих деятельность на территории Сургутского района в 2012 году",,,,,,,,
9,"22
","Общество  с ограниченной ответственностью ""СтройВест""  ИНН 8617023482","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Федорова, д. 3/1 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии-  адреса мест нахождения объектов:
1. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Федорова, д. 3/1, магазин ""Алла""; 
2. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Федорова, д. 5 А, магазин ""Звезда""; 
3. пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Савуйская, д. 17/2, магазин ""Милена"";
","003062, Р№
30.08.2011 до 
19.05.2014",,,,настоящая лицензия выдана в порядке переоформления лицензии №20 от 28.07.2011
10,"3023      
","Общество  с ограниченной ответственностью ""Фемели""  ИНН 8617023475","Место нахождения юридического лица:  п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон ""Пионерный"", строение № 17 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов:                                                                                            1. п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон Пионерный, строение № 17,  магазин ""От Евгения"";                                                                                2. п. Нижнесортымский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,  Промзона, фермерское хозяйство ""Нарцисс"",  магазин продуктовых товаров.  ","924392,  Г

09.06.2006 до 09.06.2011
продлено до 09.06.2012                    продлено до 09.06.2017",,,,
11,"06 
","Общество  с ограниченной ответственностью ""Памир""  ИНН 8617021541","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Назаргалеева, строение 2/1 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии- адрес места нахождения объекта:                                                                                                            1 г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Назаргалеева, строение 2/1, кафе ""Белый рояль"". ","003046, Р№
25.04.2011 до 13.06.2011
продлено до 13.06.2013",,,,настоящая лицензия выдана в порядке переоформления лицензии № 3028 от 13.06.2006
12,"38
","Общество  с ограниченной ответственностью ""Роси""  ИНН 8617023309","Место нахождения юридического лица:  пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Есенина, д. 44 ""а"" (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии- адреса мест нахождения объектов: 
1. пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Есенина, д. 44 ""а"", магазин смешанных товаров ""Сибирь"";                                                                                          2. пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Горького, д. 15, отдел под ""Продукты"" в Торговом центре;                                                                                       3. пгт. Белый Яр Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Кушникова, д. 76 А, магазин продтоваров ""Березка"". ","002897,  Р№

26.01.2012 до 13.06.2016",,,,настоящая лицензия выдана в порядке переоформления лицензии № 3029 от 13.06.2006
13,"3040
","Общество  с ограниченной ответственностью ""Арагон""  ИНН 8617023235","Место нахожденя юридического лица:  п. Солнечный Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Таежная, д. 6 Б (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии-  адрес места нахождения объекта:  п.  Солнечный Сургутского района Ханты - Мансийского  автономного  округа - Югры  Тюменской  области, ул. Таежная, д. 6 Б, магазин смешанных товаров ""Ветеран"".  ","924413,  Г
13.06.2006 до 13.06.2011
продлено до 13.06.2012                    продлено до 13.06.2017                   ",,,,
14,"04
                                                                                                         ","Общество  с ограниченной ответственностью ""Фортуна""  ИНН 8617023355","Место нахождения юридического лица:  с. Локосово Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Центральная, д. 46 (адреса мест нахождения объектов см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии- адреса мест нахождения объектов:                                                                                                                                                                      1. с. Локосово Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Центральная, 46, магазин № 2.","003044 ,Р№  
30.03.2011 до 15.05.2011
продлено
до 15.05.2012                                                          продлено
до 15.05.2014",,,,настоящая лицензия выдана в порядке переоформления лицензии № 3133 от 30.06.2006
15,"3141
","Общество  с ограниченной ответственностью ""ЗОДИАК""  ИНН 8617023323","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, 23,2 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии- адрес места нахождения объекта:                                                                                 пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Строителей, 23/2, магазин ""ЗОДИАК"".","136684,  Д 
30.06.2006 до 30.06.2011 продлено до 30.06.2013

",,,,
16,"3142
","Общество  с ограниченной ответственностью  ""ЗОВ""  ИНН 8617023228","Место нахождения юридического лица:  пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей, 24 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                        пгт. Федоровский Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области,  ул. Строителей, 24, магазин ""ЗОВ"".","136685,  Д            30.06.2006 до 30.06.2011
продлено до 30.06.2016",,,,
17,"3168
","Общество  с ограниченной ответственностью ""Югра""  ИНН 8617021679","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 10 микрорайон, ул. Таежная, строение 3 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции Обратная сторона лицензии - адрес места нахождения объекта:                                                                               г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 10 микрорайон, ул. Таежная, строение 3, отдел в магазине ""Югра"".","136716,  Д  06.07.2006 до 06.07.2011
продлено до 06.07.2013",,,,
18,"3183
","Общество  с ограниченной ответственностью ""У Алексея""  ИНН 8617023806","Место нахождения юридического лица:  г. Лянтор Сургутского района Ханты-Мансийского автономного округа-Югры Тюменской области, 4 микрорайон, строение 21 (адрес места нахождения объекта см. на обороте)","Розничная продажа алкогольной продукции. Обратная сторона лицензии - адрес места нахождения объекта:                                                                          г. Лянтор Сургутского района Ханты-Мансийского автономного округа - Югры Тюменской области, 4 микрорайон, строение 21, отдел по  реализации алкогольной продукции в торговом центре ""У Алексея""","136729,  Д       07.07.2006 до 07.07.2011
продлено до 07.07.2013",,,,
