41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Экстра-М""",7017058971,58915460,г. Томск,"ул.Герцена, 68, стр.2",Кривошеинский район,"с.Володино, ул.Коммунистическая, д.35",ТОМ,005468АЛ13,70МЕ,2048,9/14/2012,9/30/2014,
Общество с ограниченной ответственностью,"ООО ""Фирма генерального управления продажами ЗПП  ""Томский""",7017098484,73730516,г. Томск,"Иркутский проезд, 1, стр.3",Кривошеинский район,"с.Кривошеино, ул.Октябрьская, д.16",ТОМ,005726АЛ09,70МЕ,2366,9/11/2012,7/23/2017,
Общество с ограниченной ответственностью,"ООО ""Кедр""",7009003457,,Кривошеинский район,"с. Красный Яр, пер. Школьный, д. 11",Кривошеинский район,,ТОМ,005662АЛ00,70МЕ,2287,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО ""ФРЕГАТ""",7009003577,,Кривошеинский район,"с. Пудовка, ул. Зеленая, 13 - 1",Кривошеинский район,"с. Белосток, ул. Центральная, д.1 (магазин).",ТОМ,005568АЛ03,70МЕ,2173,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО ""Кривошеинский Древесный Уголь""",7009003584,,Кривошеинский район,"с. Кривошеино, ул. Мелиоративная, д.7\4",Кривошеинский район,,ТОМ,005512АЛ00,70МЕ,2109,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНаС""",7017188219,,г. Томск,"ул. Шпальная, 1",Кривошеинский район,"с. Володино, ул. Коммунистическая, 68 (магазин)",ТОМ,005820АЛ16,70МЕ,2487,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНа""",7017146829,,г.Северск,"ул. Солнечная, 23, кв. 137",Кривошеинский район,"с. Кривошеино, ул. Ленина, 37, пом 1,111, 1,4,5,6 (магазин)",ТОМ,005799АЛ35,70МЕ,2450,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО ""Атланта""",7017200201,,г. Томск,"ул. Советская, д.92, кв.3",Кривошеинский район,,ТОМ,004974АЛ00,70МЕ,471,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Кривошеинский район,"с. Малиновка, ул. Рабочая,д.21",ТОМ,004996АЛ04,70МЕ,1027,7/1/2012,7/1/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Кривошеинский район,"с. Жуково, ул. Центральная, 16А",ТОМ,005106АЛ31,70МЕ,1215,4/24/2012,2/24/2013,
Общество с ограниченной ответственностью,"ООО ""Газпром торг Томск""",5610057871,,Томский район,"с. Богашево, пер. Школьный, 2а",Кривошеинский район,"с. Володино, ул. Лесная, 2а (кафе)",ТОМ,005113АЛ08,70МЕ,1227,2/24/2012,2/24/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс3""",7017242064,,г. Томск,"ул. Мокрушина, 24 кв. 116",Кривошеинский район,"с.Красный Яр, ул.Советская, д. 50",ТОМ,005230АЛ01,70МЕ,1416,2/24/2012,2/24/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс4""",7017248370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Кривошеинский район,"с. Кривошеино, ул. Коммунистическая 5",ТОМ,005255АЛ27,70МЕ,1455,2/24/2012,2/24/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 5""",7017253676,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Кривошеинский район,"с.Володино, ул. Коммунистическая, д. 30",ТОМ,005286АЛ26,70МЕ,1502,12/22/2011,12/22/2012,
Государственное предприятие,"ГУП ТО ""Областное дорожное ремонтно-строительное управление""",7017253147,,г. Томск,"пр. Ленина, 117",Кривошеинский район,"с. Кривошеино, 167-168 км. автодороги Томск-Колпашево (кафе)",ТОМ,005774АЛ01,70МЕ,2421,12/22/2011,12/22/2012,
Общество с ограниченной ответственностью,"ООО ""МСК""",7017274940,,г. Томск,"пер. Карский, 70, кв. 74",Кривошеинский район,"с. Кривошеино, ул. Артельная, 37",ТОМ,005375АЛ12,70МЕ,1624,9/26/2012,9/26/2017,
