Зубово-Полянский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ций,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,29,13 МЕ,"ООО ""Ника"" п. З.Поляна, ул. Электронная, 3",1308082424,"магазин, п. З.Поляна, ул. Советская, 32а",3,29/02/12,2-32-98,,Колесникова Надежда Николаевна,
,,001953,,1061308000336,"м-н п. З.Поляна, ул. Рабочая, 1а",,29.02.13,,,,
,,,,,"м-н п. З. Поляна, ул. Советская, 61а",,,,,,
1,346,13 МЕ,"ООО ""Гульшат"" п. Сосновка, ул. Садовая, 10а",1308082488,"м-н ""Улыбка"" п. Сосновка, ул. Садовая, 10а, З.Пол. р-н",1,31/10/11,3-24-60,,Валиев Ильдус Ахмадуллович,
,,001820,З.Полянский район,1061308002546,,,29/05/14,,,,
1,173,13 РМ,"ООО ""Фортуна"" п. Ширингуши, ул. Дачная, 27",1308082505,"м-н с. Ширингущи, ул. Набережная, 1, З.Полянский р-н",3,20/06/12,3-32-08,п.20.10.08,Кузьмина Елена Николаевна,
,,000061,З.Полянский район ,1061308002568,"м-н п. Свеженькая, ул. Школьная, 6, З.Полянский район",,20/06/13,,в.17.11.08,,
,,,,,"м-н с. Известь, ул. Ленина, З.Полянский район",,,,,,
1,11,13 МЕ,"ООО ""Калина"" п. Потьма, ул. Школьная, 34а,",1308082495,"м-н ""Виктория"" п. Потьма, ул. Школьная, 4а, З.Полянский",2,28/01/10,3-76-38,,Задоянчук Татьяна Ивановна,
,,001116,З.Полянский р-н,,"м-н ""Дельфин"" п. Потьмаа, ул. Школьная, 34а, З.Полянский",,28/01/15,3-72-33,,,
1,34,13 МЕ,"ООО ""Келу"", З. Полянский р-н, ул. Советская. 4",1308045461,"м-н п.З.Поляна, ул.Советская, 4",3,28/01/10,2-27-75,,Каткова Надежда Ивановна,
,,001141,,,"м-нс. Анаево, ул.Советская, 20. З.Полянский район",,28/01/15,,,,
,,,,,"м-н п. Леплей, ул.Октябрьская, 2, З.Полянский район",,"""-""",,,,
1,25,13 МЕ,"ООО ""Трэмп"" п. Умет, ул. Советская, 28а,",1308082537,"м-н п. Умет, ул. Советская, 28а, З.Полянский район",2,28/01/10,3-69-98,,Шитова Галина Михайловна,
,,001132,З.Полянский район,,"м-н п. Умет, ул. Новая, 27, З.Полянский район",,28/01/15,,,,
1,01,13 МЕ,"ООО ""Руслан"" п. Явас, ул. Советская, 6, З.Полян",1308082470,"м-н п. Явас, ул. Комсом-кая, 6, З.Полянский район",3,17/01/11,2-30-08,,Степушкина Нина Ивановна,
,,001435,,1061308001853,"м-н п. Явас, ул. Комсомольская, 9, З.Полянский р-н",,28/01/15,,,,
,,,,,"м-н п. Явас, ул. Советская, 7а, З.Полянский район",,,,,,
1,12,13 МЕ,"ООО ""Радуга"" п. Явас, ул. Чернореченская, 13,",1308082512,"м-н п. Явас, ул. Комсомольская, 46, З.Полянский район",2,28/01/10,2-43-90,,Шватова Валентина Андреевна,
,,001118,З.Полянский район ,,"м-н п. Явас, ул. Чернореченская, 13, З.Полянский район",,28/01/15,,,,
1,142,13 МЕ,"ООО ""Петрович"" с. Каргашино, ул. Центр-ая, 111,",1308082544,"м-н с. Каргашино, ул. Центральная, 111, З.Полянский",1,30/06/09,3-64-49,,Тапилин Андрей Петрович,
,,000897,З.Полянский район ,,,,30/06/14,,,,
1,116,13 МЕ,"ООО ""Вятка"" с. Каргашино, ул. Центральная, 109,",1308082551,"м-н с. Каргашино, ул. Центральная, 109, З.Полянский",3,15/06/09,3-64-37,,Сорокина Валентина Григорьевна,
,,000865,З.Полянский район,,"м-н с. Вад-Селищи, ул. Центральная, 54а, З.Полянский",,15/06/14,,,,
,,,,,"м-н с. Анаево, ул. Советская, З.Полянский р-н",,,,,,
1,175,13 РМ,"ООО ""Зодиак"" п. З.Поляна, ул. Тургенева, 52",1308082569,"м-н п. З.Поляна, ул. Тургенева, 52",1,29/06/12,2-34-10,,Коротов Сергей иванович,
,,000065,,1061308002690,,,29/06/13,,,,
1,09,13 МЕ,"ООО ""Весна"" п. Явас, ул. Тактаева, 26а, З.Полян-",1308082576,"м-н ""Валентина"", З.Пол. р-н, п. Явас, ул. 40 лет Победы, 12",3,28/01/10,2-30-63,,Шватова Валентина Андреевна,
,,001114,ский район,,"м-н ""Татьяна"", З.Пол.р-н, п. Явас, ул. Чернореченская, 13а;",,28/01/15,2-32-04,,Исаева Татьяна Павловна,
,,,,,"м-н ""У дороги"", З.Полян. Р-н, п. Явас, ул. Тактаева, 26 а.",,,,,,
1,376,13 МЕ,"ООО ""Гранат"" п. Умет, ул. Советская, 52, З.",1308082946,"магазин ""Визит"", п. Умет, ул. Советская, 52, З.Полянский р-н",1,30/11/11,3-60-31,,,
,,001852,Полянский р-н,1061308003294,,,30/11/12,,,,
1,10,13 МЕ,"ООО ""Анастасия"" п. Явас, ул. Косарева, 6а,",1308082953,"м-н п. Явас, ул. Косарева, 6а, З.Полянский р-н",2,28/01/10,2-46-67,,Шватова Валентина Андреевна,
,,001115,З.Полянский р-н ,,"м-н п. Явас, ул. Чернореченская, 13 г, З.Полянский район",,28/01/15,89271714230,,Сайкина Валентина Васильевна,
1,35,13 МЕ,"ООО ""Меркурий"" п. Умет, ул. Большев-кая, 3, 2",1308082921,"м-н п. Умет, ул. Первомайская, 7а, З.Полянский р-н",2,28/01/10,3-67-39,,Хлопьева Людмила Николаевна,
,,001142,З.Полянский р-н,,"м-н ""24 часа"" п. Умет, ул. Советская, 30а, З.Полянский",,28/01/15,,,,
1,120,13 МЕ,"ООО ""Венера"" с. Воша, ул. Советская, 33, З. Полян",1308083178,"кафе с. Выша, ул. Советская, 33, З.Полянский район",2,16/05/11,3-81-74,,Бружуков Николай Петрович,
,,001570,,1071308000246,"магазин, с. Выша, ул. Советская, 33, З.Полянский район",,30/06/14,,,Галын Александр Владимирович,
1,10,13 МЕ,"ООО ""АЗС Маркет"" г. Саранск, п. Николаевка,",1328908116,"м-н с. Зарубкино, З. Полянский район",1,30/01/12,,,,
,,001931,ул. Ленина. 90,,,,21/07/16,,,,
1,23,13 МЕ,"ФБУ ""Исправительная колония №1""",1308079710,"м-н ""Копейка"" п. Сосновка, ул. Почтовая, З.Полянский",1,20/02/09,3-22-10,,Вакаев Алексей Александрович,
,,000760,"п. Сосновка, ул. Почтовая, З.Полянский р-н",,,,20/02/14,,,Лидия Семеновна,
1,81,13 МЕ,"ООО ""Эконом"" п. Явас, ул. Первомайская, 8,",1308083315,"м-н п. Явас, ул. Первомайская, 8, З.Полянский район",1,15/05/08,,,Кузнецова Татьяна Ивановна,
,,000516,З.Полянский район ,,,,15/05/13,,,,
1,61,13 МЕ,"ФБУ ""Исправительная колония № 2"" п. Явас,",1308079679,"кафе ""Дубрава"" п. Явас, ул. Косарева, 22",2,30/03/11,2-41-02,,Ковшар Елена Александровна,
,,001505,"ул. Чернореченская, 1",1021300659962,"магазин ""Двоечка 2"", п. Явас, ул. Чернореченская, 18",,15/05/13,,,,
1,36,13 МЕ,"ООО ""Успех"", З. Полянский район,",1308026123,"м -н п. Ширингуши, ул. Рабочая, 153, З. Полянский р-н",6,28/01/10,3-33-18,,Катков Александр Егорович,
,,001160,"п. Ширингуши, ул. Дачная, 26",,"м-н, п. Выша, ул. Вокзальная, 8 а, З.Полянский р-н",,28/01/15,,,Яськина Нина Егоровна,
,,,,,"м-н, с. Булдыгино, ул. Центральная, 53а, З.Полянский",,"""-""-""-""",,,,
,,,,,"м-н, с. Старо-Бадиково, ул.Центральная, 118 в, З.Полян",,"""-""-""-""",,,,
,,,,,"кафе ""Успех"", п. Ширингуши, ул. Рабочая, 153а, З.Полянский",,"""-""-""-""",,,,
,,,,,"м-н с. Морд. Поляна, ул. Международная, 113а, З.Пол.",,,,,,
1,229,13 МЕ,"ООО ""Дом Быта"" п. З.Поляна, ул. Советская, 2",1308082216,"кафе ""Вечный зов"" п. З.Поляна, ул. Советская, 2",2,15/12/08,,,Барсукова Светлана Владимировна,
,,000688,,,"м-н ""24 часа"" п. Умет, ул. Советская, З.Полянский",,15/12/13,,,,
1,5,13 МЕ,"ООО ""Торговый дом"" п. З.Поляна, ул. Советская,",1308008342,"магазина с. Ачадово, ул. Молодежная, 2, З.Полянский район;",31,30/01/09,2-14-08,,Баранова Галина Ибрагимовна,
,,000739,28,,"магазин с. Анаево, З.Полянский район;",,30/01/14,2-37-17,,Мустаев Виктор Дмитриевич,
,,,Всего - 31,,"магазин с. Дубитель, ул. Центральная, 13, З.Полянский район;",,,,,,
,,,,,"магазин ""Гулливер"" п. Умет, ул. Советская, 42, З.Полянский район;",,,,,,
,,,,,"магазин  п. Умет, ул. Почтовая, 8, З.Полянский район;",,,,,,
,,,,," магазин  п. Умет, ул. Озерная, З.Полянский район;",,,,,,
,,,,," магазин  с. Вад-Селищи, З.Полянский район;",,,,,,
,,,,,"магазин  с. Жуковка, ул. Школьная, 32,  З.Полянский район;",,,,,,
