Наименование,Номер лицензии,Срок действия,Вид деятельности
"ООО ""Очаг""",32 МЕ 002132,8/1/2013,Розничная продажа алкогольной продукции
"ООО ""ВИНТОРГ""",32 МЕ 002081,8/4/2013,Розничная продажа алкогольной продукции
"ОАО ""Автовокзал""",З2 МЕ 003131,1/24/2016,Розничная продажа алкогольной продукции
"ООО ""Бум - Маркет""",32 МЕ 003001,2/4/2016,Розничная продажа алкогольной продукции
"ООО ""Магик""",32 МЕ 002088,8/7/2013,Розничная продажа алкогольной продукции
"ООО ""Мглинская горка""",32 МЕ 002089,8/7/2013,Розничная продажа алкогольной продукции
"ООО ""Водолей""",32 МЕ 003841,8/8/2013,Розничная продажа алкогольной продукции
"ООО ""Бристоль""",32 МЕ 002096,8/14/2013,Розничная продажа алкогольной продукции
"ООО ""ДАНА""",32 МЕ 002097,8/14/2013,Розничная продажа алкогольной продукции
"ООО ""Погарское АТП""",32 МЕ 004008,8/25/2013,Розничная продажа алкогольной продукции
"ООО ""К.В.К.""",32 МЕ 003385,6/28/2014,Розничная продажа алкогольной продукции
"ООО ""Домино""",32 МЕ 002109,8/28/2013,Розничная продажа алкогольной продукции
"ООО ""Троя""",32 МЕ 003497,9/2/2013,Розничная продажа алкогольной продукции
"ООО ""Р-Ритейл""",32 МЕ 003740,9/5/2013,Розничная продажа алкогольной продукции
"ООО ""Адмирал Групп""",32 МЕ 002120,9/9/2013,Розничная продажа алкогольной продукции
"ООО ""Омега-М""",32 МЕ 002122,9/10/2013,Розничная продажа алкогольной продукции
"ООО ""Люкс""",32 МЕ 002883,9/10/2013,Розничная продажа алкогольной продукции
"ООО ""Кафе ""Минутка""",32 МЕ 003244,6/3/2014,Розничная продажа алкогольной продукции
"ООО ""Татьяна""",32 МЕ 002156,9/11/2013,Розничная продажа алкогольной продукции
"ООО ""Алла""",32 МЕ 004151,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Мария""",32 МЕ 002137,9/15/2013,Розничная продажа алкогольной продукции
"ООО ""МИБИС""",32 МЕ 002571,9/15/2013,Розничная продажа алкогольной продукции
"ООО ""Селецкое""",32 МЕ 004041,9/15/2013,Розничная продажа алкогольной продукции
"ООО ""Перекресток""",32 МЕ 002141,9/15/2013,Розничная продажа алкогольной продукции
"ООО ""МАКСИМУМ""",32 МЕ 002143,9/16/2013,Розничная продажа алкогольной продукции
"ООО ""АртСервис""",32 МЕ 003702,9/24/2013,Розничная продажа алкогольной продукции
"ООО ""Сельстрой Вита""",32 МЕ 002692,9/24/2013,Розничная продажа алкогольной продукции
"ООО ""Лимон""",32 МЕ 002150,9/25/2013,Розничная продажа алкогольной продукции
"ООО ""СИМС""",32 МЕ 002155,9/30/2013,Розничная продажа алкогольной продукции
"ЗАО ""Брянский ЦУМ""",32 МЕ 003658,10/27/2013,Розничная продажа алкогольной продукции
"ООО ""Торговый Дом ""Васильевский""",32 МЕ 004145,6/22/2013,Розничная продажа алкогольной продукции
"ООО ""Идиллия""",32 МЕ 004032,10/6/2013,Розничная продажа алкогольной продукции
"ООО ""Наримэкс""",32 МЕ 003667,10/7/2013,Розничная продажа алкогольной продукции
"ОАО ""Новозыбковдорстрой""",32 МЕ 002166,10/7/2013,Розничная продажа алкогольной продукции
"ООО ""Лайм""",32 МЕ 002167,10/8/2013,Розничная продажа алкогольной продукции
Стародубское райпо,32 МЕ 004285,10/13/2013,Розничная продажа алкогольной продукции
"ООО ""ЧиЗ""",32 МЕ 004027,5/10/2013,Розничная продажа алкогольной продукции
"ООО ""Корвит-Плюс""",32 МЕ 003475,7/14/2014,Розничная продажа алкогольной продукции
"ООО ""ПРОДСНАБТОРГ""",32 МЕ 004002,4/28/2013,Розничная продажа алкогольной продукции
"ООО ""Лидер""",32 МЕ 004363,11/10/2013,Розничная продажа алкогольной продукции
"ООО ""Ресторатор""",32 МЕ 002187,10/30/2013,Розничная продажа алкогольной продукции
"ООО ""Удача""",32 МЕ 002189,11/1/2013,Розничная продажа алкогольной продукции
"ООО ""Нептун +""",32 МЕ 003900,11/13/2013,Розничная продажа алкогольной продукции
"ООО ""Евгения""",32 МЕ 002193,11/7/2013,Розничная продажа алкогольной продукции
"ООО ""Славяне""",32 МЕ 004342,12/2/2013,Розничная продажа алкогольной продукции
"ООО ""Аленка""",32 МЕ 004254,7/18/2013,Розничная продажа алкогольной продукции
Клинцовское райпо,32 МЕ 003973,12/26/2013,Розничная продажа алкогольной продукции
"ООО ""Карат-Ю""",32 МЕ 003668,12/4/2013,Розничная продажа алкогольной продукции
"ООО ""Кафе ""Радужное""",32 МЕ 004047,5/23/2013,Розничная продажа алкогольной продукции
"ООО ""Престиж""",32 МЕ 002209,11/18/2013,Розничная продажа алкогольной продукции
"ПО ""Комаричское""",32 МЕ 004217,12/16/2013,Розничная продажа алкогольной продукции
"ООО ""Светлана +""",32 МЕ 002211,11/18/2013,Розничная продажа алкогольной продукции
"ООО ""Сириус-Плюс""",32 МЕ 004361,7/6/2016,Розничная продажа алкогольной продукции
"ООО ""Брянскрегионопт""",32 МЕ 002215,11/19/2013,Розничная продажа алкогольной продукции
"ООО ""Орбита""",32 МЕ 003368,11/21/2013,Розничная продажа алкогольной продукции
"ООО ""Ярмарка""",32 МЕ 002222,11/25/2013,Розничная продажа алкогольной продукции
"ООО ""Брянскрегионпродукт""",32 МЕ 002570,11/25/2013,Розничная продажа алкогольной продукции
"ООО ""Мансарда""",32 МЕ 002999,11/26/2013,Розничная продажа алкогольной продукции
"ООО ""Санторини 32""",32 МЕ 002225,11/26/2013,Розничная продажа алкогольной продукции
"ООО ""Фортуна-2""",32 МЕ 002227,11/26/2013,Розничная продажа алкогольной продукции
"ООО ОРП ""Меркурий""",32 МЕ 002247,12/4/2013,Розничная продажа алкогольной продукции
"ЗАО ""Брянсктранссервис""",32 МЕ 002519,11/27/2013,Розничная продажа алкогольной продукции
"ООО ""Любава""",32 МЕ 002924,11/27/2013,Розничная продажа алкогольной продукции
"ООО ""Торговый центр""",32 МЕ 002977,12/17/2013,Розничная продажа алкогольной продукции
"ООО ""Семья""",32 МЕ 002239,12/1/2013,Розничная продажа алкогольной продукции
"ООО ""Радогост""",32 МЕ 003200,12/1/2013,Розничная продажа алкогольной продукции
"ООО ПКФ ""Юверс""",32 МЕ 003711,12/2/2013,Розничная продажа алкогольной продукции
"ООО ""Лаванда""",32 МЕ 004054,5/24/2015,Розничная продажа алкогольной продукции
"ООО ""Елена""",32 МЕ 002256,12/8/2013,Розничная продажа алкогольной продукции
Юдиновское сельпо,32 МЕ 004189,12/9/2013,Розничная продажа алкогольной продукции
"ООО ""Мир питания""",32 МЕ 002627,12/10/2013,Розничная продажа алкогольной продукции
"ООО ""Вираж""",32 МЕ 002265,12/10/2013,Розничная продажа алкогольной продукции
"ООО ""Кристалл""",32 МЕ 003220,12/10/2013,Розничная продажа алкогольной продукции
"ООО ""Кристалл""",32 МЕ 003235,5/31/2015,Розничная продажа алкогольной продукции
"ООО ""Три Кита плюс""",32 МЕ 002546,12/12/2013,Розничная продажа алкогольной продукции
"ООО ""Шип""",32 МЕ 002272,12/12/2013,Розничная продажа алкогольной продукции
"ООО ""Снежнянка""",32 МЕ 002273,12/12/2013,Розничная продажа алкогольной продукции
"ПК ""Центр питания""",32 МЕ 002278,12/15/2013,Розничная продажа алкогольной продукции
"ООО ""Для Вас""",32 МЕ 002280,12/16/2013,Розничная продажа алкогольной продукции
"ООО ""Пингвин""",32 МЕ 003920,3/21/2013,Розничная продажа алкогольной продукции
"ООО ""Жемчужина""",32 МЕ 002288,12/17/2013,Розничная продажа алкогольной продукции
"ООО ""Марината""",32 МЕ 002295,12/18/2013,Розничная продажа алкогольной продукции
"ООО ""Акварель""",32 МЕ 002297,12/18/2013,Розничная продажа алкогольной продукции
"ООО ""Светоч""",32 МЕ 002299,12/18/2013,Розничная продажа алкогольной продукции
"ООО ""Прогресс""",32 МЕ 002300,12/18/2013,Розничная продажа алкогольной продукции
"ООО ""ТЕРЕМОК""",32 МЕ 002302,12/18/2013,Розничная продажа алкогольной продукции
"ООО ""БАР""",32 МЕ 002516,12/18/2013,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 002306,12/19/2013,Розничная продажа алкогольной продукции
"ООО ""Торговый дом ""Меркурий""",32 МЕ 002310,12/22/2013,Розничная продажа алкогольной продукции
"ООО ""Тройка""",32 МЕ 002311,12/22/2013,Розничная продажа алкогольной продукции
"МУП ""Смена""",32 МЕ 003296,12/22/2013,Розничная продажа алкогольной продукции
"ООО ""Лайт""",32 МЕ 002472,12/22/2013,Розничная продажа алкогольной продукции
"ООО ""Восток""",32 МЕ 002316,12/22/2013,Розничная продажа алкогольной продукции
"ООО ""СЕВЕР ПЛЮС""",32 МЕ 002322,12/23/2013,Розничная продажа алкогольной продукции
"ООО ""Империя""",32 МЕ 002323,12/23/2013,Розничная продажа алкогольной продукции
"ООО ""Светлячок""",32 МЕ 002324,12/23/2013,Розничная продажа алкогольной продукции
"ООО ""Антал""",32 МЕ 003468,7/12/2013,Розничная продажа алкогольной продукции
"ООО ""Магазин ""Алексей""",32 МЕ 002332,12/25/2013,Розничная продажа алкогольной продукции
"ООО ""Спектр""",32 МЕ 002350,12/25/2013,Розничная продажа алкогольной продукции
"ООО ""Плюс""",32 МЕ 002740,12/25/2013,Розничная продажа алкогольной продукции
"ООО ""КВАТТ""",32 МЕ 004053,5/24/2013,Розничная продажа алкогольной продукции
"ООО ""Ната-Ли""",32 МЕ 003934,12/26/2013,Розничная продажа алкогольной продукции
"ООО ""Герта""",32 МЕ 003642,10/10/2012,Розничная продажа алкогольной продукции
"ООО ""Лацио""",32 МЕ 002421,12/26/2013,Розничная продажа алкогольной продукции
"ООО ""Магазин ""Кокино""",32 МЕ 002351,12/29/2013,Розничная продажа алкогольной продукции
Брасовское райпо,32 МЕ 004327,6/15/2013,Розничная продажа алкогольной продукции
"ООО ""Лада""",32 МЕ 002355,12/30/2013,Розничная продажа алкогольной продукции
"ООО ""Восток""",32 МЕ 002360,1/26/2014,Розничная продажа алкогольной продукции
"ООО ""Арбат""",32 МЕ 003172,1/26/2014,Розничная продажа алкогольной продукции
"ООО ""Лагуна""",32 МЕ 002363,1/27/2014,Розничная продажа алкогольной продукции
"ООО ""Ланч""",32 МЕ 003812,1/28/2014,Розничная продажа алкогольной продукции
"ООО ""Лагуна""",32 МЕ 004063,5/25/2013,Розничная продажа алкогольной продукции
"ООО ""Инвест-Град""",32 МЕ 003770,2/6/2014,Розничная продажа алкогольной продукции
"ООО ""Летучая мышь""",32 МЕ 002847,2/11/2014,Розничная продажа алкогольной продукции
"ООО ""ТоргЛит""",32 МЕ 003871,2/22/2013,Розничная продажа алкогольной продукции
"ООО ""Заря""",32 МЕ 004165,6/27/2017,Розничная продажа алкогольной продукции
"ООО ""Орфей""",32 МЕ 002405,2/26/2014,Розничная продажа алкогольной продукции
"ПО ""Торговая база""",32 МЕ 004362,2/26/2014,Розничная продажа алкогольной продукции
"ООО ""УЮТ""",32 МЕ 003870,2/22/2013,Розничная продажа алкогольной продукции
"ООО ""Гетуновка""",32 МЕ 002420,3/11/2014,Розничная продажа алкогольной продукции
"ООО ""ОЛИМП""",32 МЕ 002424,3/11/2014,Розничная продажа алкогольной продукции
"ООО ""ТЦ ""Ярмарка""",32 МЕ 002426,3/13/2014,Розничная продажа алкогольной продукции
"ООО ""Брянсксбыт""",32 МЕ 002430,3/20/2014,Розничная продажа алкогольной продукции
"ООО ""Траст-Бизнес""",32 МЕ 004257,3/24/2014,Розничная продажа алкогольной продукции
"ООО ""Валерия""",32 МЕ 003921,3/22/2013,Розничная продажа алкогольной продукции
"ООО ""Универсал""",32 МЕ 002441,3/25/2014,Розничная продажа алкогольной продукции
ФБУ ИК-6 УФСИН России по Брянской области,32 МЕ 002443,3/27/2014,Розничная продажа алкогольной продукции
"ООО ""Светлана""",32 МЕ 002444,3/27/2014,Розничная продажа алкогольной продукции
"ООО ""ТЦ Мечта""",32 МЕ 002446,3/27/2014,Розничная продажа алкогольной продукции
"ООО ""Алан""",32 МЕ 002790,4/1/2014,Розничная продажа алкогольной продукции
"ООО ""Три Дороги""",32 МЕ 002462,4/7/2014,Розничная продажа алкогольной продукции
"ООО ""Очаг""",32 МЕ 002463,4/14/2014,Розничная продажа алкогольной продукции
"ООО ""Лавр""",32 МЕ 003332,6/24/2016,Розничная продажа алкогольной продукции
"ООО ""Торг-Центр""",32 МЕ 002467,4/17/2014,Розничная продажа алкогольной продукции
"ООО ПК ""ЭкоЛес""",32 МЕ 002468,4/17/2014,Розничная продажа алкогольной продукции
"ООО ""Автоцентр Западный""",32 МЕ 002469,4/17/2014,Розничная продажа алкогольной продукции
"ООО ""БСП""",32 МЕ 002471,4/17/2014,Розничная продажа алкогольной продукции
"ООО ""Партнёр+""",32 МЕ 002481,4/22/2014,Розничная продажа алкогольной продукции
"ООО ""Магнолия""",32 МЕ 003923,3/23/2013,Розничная продажа алкогольной продукции
ФБУ КП-3 УФСИН России по Брянской области,32 МЕ 002483,4/22/2014,Розничная продажа алкогольной продукции
"ООО ""Исток""",32 МЕ 002609,4/22/2014,Розничная продажа алкогольной продукции
"ООО ""Торговый дом""",32 МЕ 002911,4/23/2014,Розничная продажа алкогольной продукции
"ООО ""Олимпия""",32 МЕ 002660,5/4/2014,Розничная продажа алкогольной продукции
"ООО ""Славяне""",32 МЕ 002488,5/4/2014,Розничная продажа алкогольной продукции
"ООО ""СТАНДАРТ""",32 МЕ 002493,5/5/2014,Розничная продажа алкогольной продукции
"ООО ""Венеция""",32 МЕ 002802,5/5/2014,Розничная продажа алкогольной продукции
"ООО ""Кофе-Айриш""",32 Ме 004289,5/8/2014,Розничная продажа алкогольной продукции
"ООО ""Семь-я""",32 МЕ 003851,5/13/2014,Розничная продажа алкогольной продукции
"ООО ""БРИГ""",32 МЕ 002500,5/14/2014,Розничная продажа алкогольной продукции
"ООО ""ХРПУ ""Экономика""",32 МЕ 002501,5/14/2014,Розничная продажа алкогольной продукции
"ЗАО ""Рацион""",32 МЕ 002741,5/22/2014,Розничная продажа алкогольной продукции
"ООО ""Универсал""",32 МЕ 002610,5/26/2014,Розничная продажа алкогольной продукции
"ООО ""Реал""",32 МЕ 004283,5/18/2013,Розничная продажа алкогольной продукции
"ООО ""ТД ""Содружество""",32 МЕ 004318,5/28/2014,Розничная продажа алкогольной продукции
"ООО ""Кафе ""Москвичка""",32 МЕ 002842,5/28/2014,Розничная продажа алкогольной продукции
"ООО ""Ирина""",32 МЕ 002518,5/28/2014,Розничная продажа алкогольной продукции
"ООО ""НАЗИ""",32 МЕ 003254,6/6/2013,Розничная продажа алкогольной продукции
"ООО ""Каштан""",32 МЕ 004090,6/5/2013,Розничная продажа алкогольной продукции
"ООО ""АЗАРТ""",32 МЕ 002525,6/9/2014,Розничная продажа алкогольной продукции
"ООО ""Светлана Плюс""",32 МЕ 003571,8/26/2014,Розничная продажа алкогольной продукции
"ООО ""ЭПАК""",32 МЕ 002533,6/15/2014,Розничная продажа алкогольной продукции
"ООО""БПТ""",32 МЕ 002535,6/15/2014,Розничная продажа алкогольной продукции
"ООО ""Вкусняша""",32 МЕ 003983,4/19/2014,Розничная продажа алкогольной продукции
"ООО ""Транс-Лайн""",32 МЕ 002539,6/15/2014,Розничная продажа алкогольной продукции
"ООО ""ВИР""",32 МЕ 002541,6/17/2014,Розничная продажа алкогольной продукции
"ООО ""Мираж""",32 МЕ 002556,6/22/2014,Розничная продажа алкогольной продукции
"ООО ""Пирамида""",32 МЕ 002551,6/22/2014,Розничная продажа алкогольной продукции
"ООО ""ЛАУЭР""",32 МЕ 002560,6/24/2014,Розничная продажа алкогольной продукции
"ООО ""Домино""",32 МЕ 002564,6/29/2014,Розничная продажа алкогольной продукции
"ООО ""Людмила""",32 МЕ 003485,6/29/2014,Розничная продажа алкогольной продукции
"ООО ""МЕТРО Кэш энд Керри""",32 МЕ 002568,7/1/2014,Розничная продажа алкогольной продукции
"ООО ""СХПТП ""Золотая Нива""",32 МЕ 002569,7/1/2014,Розничная продажа алкогольной продукции
"ФГУП ""Почта России""",32 МЕ 002573,7/3/2014,Розничная продажа алкогольной продукции
"ООО ""Челси""",32 МЕ 002588,8/10/2014,Розничная продажа алкогольной продукции
"ООО ""Бест""",32 МЕ 003826,8/10/2014,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 002591,8/12/2014,Розничная продажа алкогольной продукции
"ООО ""Новый путь""",32 МЕ 003767,8/12/2014,Розничная продажа алкогольной продукции
"ООО""ИнвестСервис Групп""",32 МЕ 002593,8/12/2014,Розничная продажа алкогольной продукции
"ФКП ""Росгосцирк""",32 МЕ 002596,8/19/2014,Розничная продажа алкогольной продукции
"ООО ""Продактив-Р""",32 МЕ 003146,8/28/2014,Розничная продажа алкогольной продукции
"ООО ""Арарат""",32 МЕ 002608,8/31/2014,Розничная продажа алкогольной продукции
"ООО ""ТРАНСАВТО""",32 МЕ 002612,9/3/2014,Розничная продажа алкогольной продукции
"ООО ""ТП ""Нефтегазстрой""",32 МЕ 002616,9/11/2014,Розничная продажа алкогольной продукции
"ООО ""Содружество""",32 МЕ 002624,9/16/2014,Розничная продажа алкогольной продукции
"ООО ""Авгур""",32 МЕ 002631,9/28/2014,Розничная продажа алкогольной продукции
"ООО ""Бригантина""",32 МЕ 003425,7/5/2016,Розничная продажа алкогольной продукции
"ООО ""МАЯК""",32 МЕ 003747,9/30/2014,Розничная продажа алкогольной продукции
"ООО ""ЛЮКС""",32 МЕ 002637,9/30/2014,Розничная продажа алкогольной продукции
"ООО ""Скорпион""",32 МЕ 003336,6/24/2016,Розничная продажа алкогольной продукции
"ООО ""Брусень""",32 МЕ 002645,10/14/2014,Розничная продажа алкогольной продукции
"ГАУ ""Сосновый бор""",32 МЕ 002647,10/14/2014,Розничная продажа алкогольной продукции
"ООО ""ПромСнаб""",32 МЕ 002927,10/14/2014,Розничная продажа алкогольной продукции
"ООО ""Аквариус""",32 МЕ 002653,10/19/2014,Розничная продажа алкогольной продукции
"ООО ""Пятерочка""",32 МЕ 002654,9/20/2014,Розничная продажа алкогольной продукции
"ООО ""Августин""",32 МЕ 003651,10/20/2012,Розничная продажа алкогольной продукции
"ООО ""Инна""",32 МЕ 002656,10/22/2014,Розничная продажа алкогольной продукции
"ООО ""Фортуна""",32 МЕ 002665,10/27/2014,Розничная продажа алкогольной продукции
"ООО ""Торговый Союз""",32 МЕ 002666,10/27/2014,Розничная продажа алкогольной продукции
"ООО ""КиМ""",32 МЕ 003952,10/27/2014,Розничная продажа алкогольной продукции
"ООО ""Олимпия""",32 МЕ 002669,10/28/2014,Розничная продажа алкогольной продукции
"ООО ""Гермес""",32 МЕ 003414,7/5/2014,Розничная продажа алкогольной продукции
"ООО ""Хирон""",32 МЕ 002673,11/2/2014,Розничная продажа алкогольной продукции
"ООО ""Любой каприз""",32 МЕ 002674,11/2/2014,Розничная продажа алкогольной продукции
"ООО ""ЛеМа""",32 МЕ 003008,11/2/2014,Розничная продажа алкогольной продукции
"ООО ""М-Клуб""",32 МЕ 002676,11/2/2014,Розничная продажа алкогольной продукции
"ООО ""Людмила""",32 МЕ 004168,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Славяне""",32 МЕ 002681,11/5/2014,Розничная продажа алкогольной продукции
"ООО ""Забота""",32 МЕ 004076,11/9/2014,Розничная продажа алкогольной продукции
"ООО ""Даниловский""",32 МЕ 000363,10/4/2013,Розничная продажа алкогольной продукции
"ООО ""Гера""",32 МЕ 003451,11/24/2014,Розничная продажа алкогольной продукции
"ПО ""Общепит""",32 МЕ 004158,11/26/2014,Розничная продажа алкогольной продукции
"ООО ""Вега""",32 МЕ 002705,12/1/2014,Розничная продажа алкогольной продукции
"ООО ""ГАЛА""",32 МЕ 002707,12/1/2014,Розничная продажа алкогольной продукции
"ООО ""Лира""",32 МЕ 002709,12/2/2014,Розничная продажа алкогольной продукции
"ООО ""Пересвет""",32 МЕ 003947,9/29/2012,Розничная продажа алкогольной продукции
"ООО ""ПКП Сельстрой""",32 МЕ 003350,6/27/2014,Розничная продажа алкогольной продукции
"ООО ""Светлана""",32 МЕ 003501,12/7/2014,Розничная продажа алкогольной продукции
"ООО ""Валентина""",32 МЕ 002936,12/7/2014,Розничная продажа алкогольной продукции
"ООО ""Альфа - Бизнес""",32 МЕ 002728,12/17/2014,Розничная продажа алкогольной продукции
"ООО ""Родник""",32 МЕ 002732,12/21/2014,Розничная продажа алкогольной продукции
"ООО ""Ателье""",32 МЕ 002733,12/21/2014,Розничная продажа алкогольной продукции
"ООО ""Бухта""",32 МЕ 003690,12/21/2014,Розничная продажа алкогольной продукции
"ООО ""Нирвана""",32 МЕ 002737,12/22/2014,Розничная продажа алкогольной продукции
"ООО ""Меридиан""",32 МЕ 002738,12/23/2014,Розничная продажа алкогольной продукции
"ООО ""Содействие""",32 МЕ 002742,12/24/2014,Розничная продажа алкогольной продукции
"ООО ""Торговый дом Кистень""",32 МЕ 004164,6/27/2013,Розничная продажа алкогольной продукции
"ООО ""Проминвест""",32 МЕ 002744,12/25/2014,Розничная продажа алкогольной продукции
"ООО ""Золотой дракон""",32 МЕ 002746,12/28/2014,Розничная продажа алкогольной продукции
"ООО ""Ромашка""",32 МЕ 002749,12/30/2014,Розничная продажа алкогольной продукции
"ООО ""Джин""",32 МЕ 002753,1/25/2015,Розничная продажа алкогольной продукции
"ООО ""РУБИН""",32 МЕ 002909,1/27/2015,Розничная продажа алкогольной продукции
"ООО ""Партнерство""",32 МЕ 004295,1/28/2015,Розничная продажа алкогольной продукции
"ООО ""Люкс""",32 МЕ 004186,6/28/2015,Розничная продажа алкогольной продукции
"ООО ""Березка""",32 МЕ 003863,2/16/2013,Розничная продажа алкогольной продукции
"ООО ""Равенна""",32 МЕ 004268,7/20/2013,Розничная продажа алкогольной продукции
"ООО ""Александра""",32 МЕ 004303,8/3/2013,Розничная продажа алкогольной продукции
"ООО ""Денежка""",32 МЕ 003905,3/14/2013,Розничная продажа алкогольной продукции
"ООО ""Натали""",32 МЕ 003919,3/21/2013,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 004125,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Лада""",32 МЕ 004117,6/20/2015,Розничная продажа алкогольной продукции
"ООО ""Промприборкомплект""",32 МЕ 004059,5/24/2013,Розничная продажа алкогольной продукции
"ООО ""Меркурий""",32 МЕ 004116,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Круиз""",32 МЕ 004180,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Крокус""",32 МЕ 004231,7/6/2015,Розничная продажа алкогольной продукции
"ООО ""Подкова""",32 МЕ 004239,7/12/2014,Розничная продажа алкогольной продукции
"ООО ""Престиж""",32 МЕ 004316,8/10/2015,Розничная продажа алкогольной продукции
"ООО ""АВ-Сервис""",32 МЕ 004351,6/8/2015,Розничная продажа алкогольной продукции
"ООО ""Сияние""",32 МЕ 003519,7/29/2016,Розничная продажа алкогольной продукции
"ООО ""Вега""",32 МЕ 003515,7/27/2013,Розничная продажа алкогольной продукции
"ООО ""Жарптица плюс""",32 МЕ 004255,7/18/2013,Розничная продажа алкогольной продукции
"ООО ""Кормилец""",32 МЕ 004350,8/31/2013,Розничная продажа алкогольной продукции
"ООО ""Универмаг Деснянка""",32 МЕ 003591,9/6/2013,Розничная продажа алкогольной продукции
"ООО""Сокол""",32 МЕ 004291,9/9/2013,Розничная продажа алкогольной продукции
"ООО ""Айсберг""",32 МЕ 004358,9/6/2014,Розничная продажа алкогольной продукции
"ООО ""АЙСБЕРГ""",32 МЕ 004337,8/22/2014,Розничная продажа алкогольной продукции
"ООО ""Продукты""",32 МЕ 004388,9/21/2013,Розничная продажа алкогольной продукции
"ООО ""Пульс""",32 МЕ 002914,10/20/2015,Розничная продажа алкогольной продукции
"ООО ""Миродез""",32 МЕ 004284,10/17/2012,Розничная продажа алкогольной продукции
"ООО ""ПРЕСТИЖ""",32 МЕ 003665,11/1/2012,Розничная продажа алкогольной продукции
"ООО ""Возрождение""",32 МЕ 003666,11/1/2012,Розничная продажа алкогольной продукции
"ООО ""Океан""",32 МЕ 004175,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Фортуна +""",32 МЕ 003950,11/22/2013,Розничная продажа алкогольной продукции
"ООО""Торговый дом "" Пересвет""",32 МЕ 003720,11/29/2012,Розничная продажа алкогольной продукции
"ООО ""Общепит""",32 МЕ 003717,11/29/2014,Розничная продажа алкогольной продукции
"ООО ""ЮГ-В""",32 МЕ 003969,12/2/2012,Розничная продажа алкогольной продукции
"ООО ""Алкооптторг""",32 МЕ 004385,12/5/2015,Розничная продажа алкогольной продукции
"ООО ""Татьяна""",32 МЕ 003704,11/25/2012,Розничная продажа алкогольной продукции
"ООО ""Заря плюс""",32 МЕ 003738,12/8/2012,Розничная продажа алкогольной продукции
"ООО ""Грация""",32 МЕ 004224,7/6/2013,Розничная продажа алкогольной продукции
"ООО ""Восток""",32 МЕ 003837,12/14/2012,Розничная продажа алкогольной продукции
"ООО ""Ластория""",32 МЕ 003730,12/6/2012,Розничная продажа алкогольной продукции
"ООО ""Продуктовый край""",32 МЕ 003760,12/15/2012,Розничная продажа алкогольной продукции
"ООО ""ДИКСИ""",32 МЕ 003743,12/9/2012,Розничная продажа алкогольной продукции
"ООО ""Меркурий""",32 МЕ 003761,12/16/2012,Розничная продажа алкогольной продукции
"ООО ПРФ ""Золотой мост""",32 МЕ 003763,12/16/2012,Розничная продажа алкогольной продукции
"ООО ""Гостиный Дом""",32 МЕ 003776,12/20/2012,Розничная продажа алкогольной продукции
"ООО ""Транзит""",32 МЕ 003787,12/22/2015,Розничная продажа алкогольной продукции
"ООО ""Дубрава""",32 МЕ 003791,12/23/2012,Розничная продажа алкогольной продукции
"ООО ""ТТЦ ""АВТОМАРКЕТ ПЛЮС""",32 МЕ 003788,12/23/2012,Розничная продажа алкогольной продукции
"ООО ""Выбор""",32 МЕ 003792,12/23/2012,Розничная продажа алкогольной продукции
"ООО ""Элит""",32 МЕ 003783,12/22/2012,Розничная продажа алкогольной продукции
"ООО ""ВИКТОРИЯ""",32 МЕ 003797,12/23/2012,Розничная продажа алкогольной продукции
"ООО ""Славия""",32 МЕ 003821,12/29/2012,Розничная продажа алкогольной продукции
"ООО""МИР ГРЁЗ""",32 МЕ 003930,1/26/2017,Розничная продажа алкогольной продукции
"ООО ""ДОРНА""",32 МЕ 003840,1/27/2013,Розничная продажа алкогольной продукции
"ООО ""Затея""",32 МЕ 003828,1/18/2013,Розничная продажа алкогольной продукции
"ООО ""Промбетон""",32 МЕ 003849,2/3/2013,Розничная продажа алкогольной продукции
"ООО ""ТрейдИнвест""",32 МЕ 003836,1/25/2013,Розничная продажа алкогольной продукции
"ОАО ""Брянскмебель""",32 МЕ 003835,1/25/2013,Розничная продажа алкогольной продукции
"ООО ""Империя""",32 МЕ 003855,2/9/2013,Розничная продажа алкогольной продукции
"ХП Новозыбковского райпо ""Общепит""",32 МЕ 003045,3/4/2014,Розничная продажа алкогольной продукции
"ООО ""Орлик""",32 МЕ 003857,2/9/2013,Розничная продажа алкогольной продукции
"ООО ""Силуэт""",32 МЕ 004146,6/22/2015,Розничная продажа алкогольной продукции
"ООО ""Улыбка""",32 МЕ 003862,2/16/2014,Розничная продажа алкогольной продукции
"ООО ""Нимва""",32 МЕ 003867,2/20/2013,Розничная продажа алкогольной продукции
"ООО ""Даль ВО""",32 МЕ 003872,2/22/2013,Розничная продажа алкогольной продукции
"ООО ""КИР""",32 МЕ 004110,6/15/2014,Розничная продажа алкогольной продукции
"ООО ""Магнит""",32 МЕ 003873,2/28/2013,Розничная продажа алкогольной продукции
