Наименование,Номер лицензии,Срок действия,Вид деятельности
Злынковское райпо,32 МЕ 003082,11/15/2012,Розничная продажа алкогольной продукции
"ООО ""Память Ленина""",32 МЕ 003861,2/10/2013,Розничная продажа алкогольной продукции
"ООО ""Веста""",32 МЕ 002276,12/12/2013,Розничная продажа алкогольной продукции
"ООО ""Калинка""",32 МЕ 003107,4/7/2013,Розничная продажа алкогольной продукции
"ООО ""Двина""",32 МЕ 004271,7/24/2017,Розничная продажа алкогольной продукции
"ООО ""Валерия""",32 МЕ 003374,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Ксенья""",32 МЕ 003827,1/17/2014,Розничная продажа алкогольной продукции
Жуковское РАЙПО,32 МЕ 004259,12/17/2012,Розничная продажа алкогольной продукции
"ОАО ""Брянскспиртпром""",32 МЕ 002670,4/29/2013,Розничная продажа алкогольной продукции
"ООО ""Кондитерская компания Золушка""",32 МЕ 003875,2/24/2013,Розничная продажа алкогольной продукции
"ООО ""Надежда""",32 МЕ 004044,5/23/2013,Розничная продажа алкогольной продукции
"ООО ""Альянс-с""",32 МЕ 001896,2/27/2013,Розничная продажа алкогольной продукции
"ООО ""Гармид""",32 МЕ 003874,2/24/2015,Розничная продажа алкогольной продукции
"ООО ""ТД ""Добрунь""",32 МЕ 002396,2/24/2014,Розничная продажа алкогольной продукции
"МУП ""Воскресенская ярмарка""",32 МЕ 004188,3/14/2013,Розничная продажа алкогольной продукции
"ЗАО ""Тандер""",32 МЕ 004367,2/26/2013,Розничная продажа алкогольной продукции
"ООО ""Салют""",32 МЕ 003948,3/19/2013,Розничная продажа алкогольной продукции
"ООО ""Олимп""",32 МЕ 004064,5/25/2013,Розничная продажа алкогольной продукции
"ООО ПКФ ""ЛЮДМИЛА""",32 МЕ 002787,8/1/2013,Розничная продажа алкогольной продукции
"ООО ""Агросервис""",32 МЕ 002370,3/6/2013,Розничная продажа алкогольной продукции
"ООО ""Колос""",32 МЕ 003865,7/26/2013,Розничная продажа алкогольной продукции
"ООО ""Система""",32 МЕ 003243,6/2/2013,Розничная продажа алкогольной продукции
"ООО ""Брянский хлеб""",32 МЕ 003771,2/11/2014,Розничная продажа алкогольной продукции
"ООО ""Тафа""",32 МЕ 002449,3/30/2014,Розничная продажа алкогольной продукции
"ООО ""Валентина""",32 МЕ 004121,6/20/2013,Розничная продажа алкогольной продукции
"ООО ""Вкуснотеево""",32 МЕ 003481,7/15/2014,Розничная продажа алкогольной продукции
"ООО ""Багратион""",32 МЕ 003104,4/4/2013,Розничная продажа алкогольной продукции
"ООО кафе ""Нерусса""",32 МЕ 003679,4/1/2013,Розничная продажа алкогольной продукции
Унечское РАЙПО,32 МЕ 003742,7/21/2013,Розничная продажа алкогольной продукции
"ООО ""Садко""",32 МЕ 003958,4/9/2014,Розничная продажа алкогольной продукции
"ООО ""Торгсервис""",32 МЕ 002982,12/25/2013,Розничная продажа алкогольной продукции
"ООО ""Росинка""",32 МЕ 002719,12/7/2014,Розничная продажа алкогольной продукции
"ООО ""Монарх""",32 МЕ 003189,5/18/2013,Розничная продажа алкогольной продукции
"ООО ""Почепнефть""",32 МЕ 001950,4/9/2013,Розничная продажа алкогольной продукции
Выгоничское сельпо,32 МЕ 004301,9/22/2013,Розничная продажа алкогольной продукции
Севское ГОРПО,32 МЕ 004265,12/11/2012,Розничная продажа алкогольной продукции
Климовское райпо,32 МЕ 003987,4/20/2015,Розничная продажа алкогольной продукции
"ООО ""Роза ветров""",32 МЕ 004192,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""АФАЛИНА""",32 МЕ 004251,4/25/2013,Розничная продажа алкогольной продукции
"ООО ""Фуршет""",32 МЕ 003991,4/25/2013,Розничная продажа алкогольной продукции
"ООО ""ЛУЧИК""",32 МЕ 004332,4/10/2013,Розничная продажа алкогольной продукции
"ООО ""Реванш""",32 МЕ003898,12/10/2013,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 003989,4/25/2013,Розничная продажа алкогольной продукции
"ООО ""ШАГ""",32 МЕ 003518,7/29/2013,Розничная продажа алкогольной продукции
"ООО ""Лидер""",32 МЕ 004006,5/3/2013,Розничная продажа алкогольной продукции
"ООО ""Анюта""",32 МЕ 003906,3/14/2013,Розничная продажа алкогольной продукции
"ООО ""ЮВИ""",32 МЕ 001966,4/17/2013,Розничная продажа алкогольной продукции
"ООО ""Айсберг""",32 МЕ 004039,5/18/2013,Розничная продажа алкогольной продукции
"ООО ""Башня""",32 МЕ 004068,5/29/2013,Розничная продажа алкогольной продукции
"ПО ""Кооператор"" Унечского района",32 МЕ 004083,6/4/2013,Розничная продажа алкогольной продукции
"ООО ""Томич""",32 МЕ 004092,6/5/2013,Розничная продажа алкогольной продукции
"ООО ""Колос""",32 МЕ 004056,11/24/2012,Розничная продажа алкогольной продукции
Глинищевское ПО,32 МЕ 003942,12/18/2012,Розничная продажа алкогольной продукции
"ООО ""Рядом""",32 МЕ 004256,4/19/2013,Розничная продажа алкогольной продукции
"ООО ""Сто пудов""",32 МЕ 004108,6/15/2015,Розничная продажа алкогольной продукции
"ООО ""АЛЕНА""",32 МЕ 004142,6/21/2014,Розничная продажа алкогольной продукции
"ООО ""Агротес""",32 МЕ 003546,11/26/2012,Розничная продажа алкогольной продукции
"ООО ""Каскад""",32 МЕ 004365,12/25/2013,Розничная продажа алкогольной продукции
"ООО ""МАРГЕЙ""",32 МЕ 004178,6/28/2013,Розничная продажа алкогольной продукции
"ООО ""Пище Прод""",32 МЕ 002054,6/30/2013,Розничная продажа алкогольной продукции
"ООО ""Меркурий""",32 МЕ 004228,7/6/2013,Розничная продажа алкогольной продукции
Севское потребительское обществу по торговле,32 МЕ 004331,3/27/2013,Розничная продажа алкогольной продукции
"ООО ""Кристина""",32 МЕ 002061,7/14/2013,Розничная продажа алкогольной продукции
"ООО ""Варяг""",32 МЕ 004373,12/22/2013,Розничная продажа алкогольной продукции
"ООО ""Здравница""",32 МЕ 004262,7/19/2014,Розничная продажа алкогольной продукции
"ООО ""ОльДэн""",32 МЕ 004137,6/21/2013,Розничная продажа алкогольной продукции
"ООО ""Оникс""",32 МЕ 002575,7/24/2014,Розничная продажа алкогольной продукции
"ООО ""Каравелла-Плюс""",32 МЕ 003267,8/1/2013,Розничная продажа алкогольной продукции
"ООО ""АРИДО""",32 МЕ 004379,6/9/2013,Розничная продажа алкогольной продукции
Новозыбковское райпо,32 МЕ 004347,8/30/2017,Розничная продажа алкогольной продукции
"ООО ""Эдельвейс""",32 МЕ 004304,8/3/2013,Розничная продажа алкогольной продукции
"ООО ""Ритм""",32 МЕ 004206,6/29/2013,Розничная продажа алкогольной продукции
"ООО ТФ ""Полесье""",32 МЕ 004328,8/14/2013,Розничная продажа алкогольной продукции
"ООО ""Одель""",32 МЕ 004335,8/21/2014,Розничная продажа алкогольной продукции
"ПО ""Кооператор"" Мглинского района",32 МЕ 003070,4/24/2013,Розничная продажа алкогольной продукции
"ООО ""Альфа""",32 МЕ 002701,11/26/2014,Розничная продажа алкогольной продукции
"ООО ""Дружина""",32 МЕ 002497,6/16/2013,Розничная продажа алкогольной продукции
"ООО ""Ромашка""",32 МЕ 004338,8/22/2013,Розничная продажа алкогольной продукции
"ООО ""Кафе ""Откровение""",32 МЕ 004345,8/29/2013,Розничная продажа алкогольной продукции
"ООО ""Общепит""",32 МЕ 004346,8/30/2015,Розничная продажа алкогольной продукции
"ООО ""Монарх""",32 МЕ 004354,9/5/2013,Розничная продажа алкогольной продукции
Стрелецкое сельпо,32 МЕ 004210,12/12/2012,Розничная продажа алкогольной продукции
"ООО ""НиПал""",32 МЕ 004353,9/5/2015,Розничная продажа алкогольной продукции
"ООО ""Универсальная фирма ""КОНИН""",32 МЕ 003852,2/6/2013,Розничная продажа алкогольной продукции
"ООО ""Семерка""",32 МЕ 004360,9/7/2013,Розничная продажа алкогольной продукции
"ООО ""Флагман""",32 МЕ 004364,9/7/2013,Розничная продажа алкогольной продукции
"ОАО""Трубчевскхлеб""",32 МЕ 004375,9/12/2013,Розничная продажа алкогольной продукции
"ООО ""Анонс""",32 МЕ 004374,9/12/2013,Розничная продажа алкогольной продукции
