№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
3207,"Общество с ограниченной ответственностью ""БирШтольц""",7728654403/ 1087746445159,"117393, г.Москва, ул. Профсоюзная, д.56","г.Москва, ул. Профсоюзная, д.56",Ресторан,ДПРУ 7905,27.08.2008,28.08.2008,27.08.2013,Действует
3208,"Общество с ограниченной ответственностью ""Бистро Пронто""",5047041026/ 1025006180737,"141400, Московская область, г.Химки, ул.Молодежная, д.2","г.Москва, ул. Кустанайская, д.6",Кафе,ДПРУ 7904,27.08.2008,27.08.2008,27.08.2013,Действует
3209,"Общество с ограниченной ответственностью ""ГОЛАС""",7735072276/ 1037700095982,"103460, г. Москва, Зеленоград, корп.1131, н.п.7, комн.1","г. Москва, Зеленоград, корп. 1649, н. п. 3",Магазин,ДПРУ 7896,27.08.2008,29.08.2008,27.08.2014,Действует
3210,"Общество с ограниченной ответственностью ""Кофе Хаус. Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"125599, г.Москва, ул. Ижорская, д.8, стр.1","г.Москва, ул. Полянка Б., д.30",Кафе,ДПРУ 7898,27.08.2008,28.08.2008,27.08.2013,Действует
321,,,,,,,,,,
3211,"Общество с ограниченной ответственностью ""Санторг""",7715158207/ 1027739690659,"105318, г. Москва, Семеновская пл., д. 1, помещение 1, комната 73","105318, г. Москва, Семеновская площадь, д. 1",Магазин,ДПРУ 7901,27.08.2008,28.08.2008,27.08.2013,Действует
3212,"Общество с ограниченной ответственностью ""ТОРГОВАЯ КОМПАНИЯ ""ЭКОКЛАСС""",7736160599/ 1037739067805,"117334, г. Москва, ул. Косыгина, д. 15","127490, г. Москва, ул. Декабристов, д. 17",Кафе,ДПРУ 7877,27.08.2008,01.09.2008,27.08.2014,Действует
3213,"Закрытое акционерное общество ""ВОРСИНО""",7709039177/ 1027739596466,"115563, г.Москва, пр-д Борисовский, д.8, корп.2, кв.101","г.Москва, ул. Маросейка, д.6-8, стр.1","Магазин ""Продукты""",ДПРУ 7912,28.08.2008,03.09.2008,28.08.2013,Действует
3214,"Закрытое акционерное общество ""СЕВЕРЯНИН""",7716080747/ 1027700342889,"129343, г. Москва, ул. Амундсена, д.11","129327, г. Москва, ул. Менжинского, д.15, кор.1","Столовая ""Пельменная""",ДПРУ 7897,28.08.2008,28.08.2008,28.08.2016,Действует
3215,"Закрытое акционерное общество ""Т и К ПРОДУКТЫ""",7731162754/ 1027739277720,"121357, г. Москва, Можайское шоссе, д. 3/1, стр. 1","г.Москва, бульв. Ореховый, д.71, корп.2",Магазин,ДПРУ 7907,28.08.2008,29.08.2008,28.08.2013,Действует
3216,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г.Москва, ул. Новогиреевская, д.11/36, стр.1",Магазин,ДПРУ 7911,28.08.2008,28.08.2008,28.08.2013,Действует
3217,"Общество с ограниченной ответственностью ""ВЕРИНА-ЛЮКСОР""",7725149473/ 102779854944,"117334, г. Москва, Ленинский пр-т, д.37А","г. Москва, ул. 1-я Машиностроения, д. 18/36, стр.1",Магазин,ДПРУ 105,28.08.2008,28.08.2008,27.01.2014,Действует
3218,"Общество с ограниченной ответственностью ""ВЕРИНА-ЛЮКСОР""",7725149473/ 102779854944,"117334, г. Москва, Ленинский пр-т, д.37А","127018, г. Москва, ул. Сущевский вал, д. 23",Магазин,ПРВСВ 1250,28.08.2008,28.08.2008,01.11.2013,Действует
3219,"Закрытое акционерное общество ""НАМАНГАН""",7723032230/ 1027700106301,"109386, г. Москва, Ставропольская ул., д. 38/2","г.Москва, ул. Белореченская, д.13, корп.3",Ресторан,ДПРУ 7921,29.08.2008,02.09.2008,29.08.2013,Действует
3220,"Закрытое акционерное общество ""НАМАНГАН""",7723032230/ 1027700106301,"109386, г. Москва, Ставропольская ул., д. 38/2","г.Москва, ул. Белореченская, д.13, корп.3",Магазин,ДПРУ 7922,29.08.2008,02.09.2008,29.08.2013,Действует
322,,,,,,,,,,
3221,"Закрытое акционерное общество ""Стенд""",7717511080/ 1047796400618,"129226, г.Москва, просп. Мира, д.129","129226, г. Москва, пр-т Мира, д.129",Магазин,ПРИУ 44704,29.08.2008,26.01.2010,15.12.2012,Действует
3222,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г.Москва, ул. Совхозная, д.3, стр.2",Магазин,ДПРУ 7928,29.08.2008,01.09.2008,29.08.2013,Действует
3223,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г.Москва, шоссе Ярославское, д.142, корп.1",Магазин,ДПРУ 7927,29.08.2008,18.09.2008,29.08.2013,Действует
3224,"Общество с ограниченной ответственностью ""Биртайм Нижегородская""",7722633171/ 1077763771051,"109052, г.Москва, ул. Нижегородская, д.47","г.Москва, ул. Нижегородская, д.47",Ресторан,ДПРУ 7920,29.08.2008,01.09.2008,29.08.2013,Действует
3225,"Общество с ограниченной ответственностью ""ВАЛЕРИ""",7706009590/ 1027700164777,"117049, г. Москва, Калужская пл., д.1","119049, г. Москва, Калужская пл., д.1, корп.3",Кафе,ДПРУ 7926,29.08.2008,01.09.2008,29.08.2013,Действует
3226,"Общество с ограниченной ответственностью ""Интер плюс 2000""",7704233212/ 1037700068119,"119034, г. Москва, ул. Остоженка, д. 12, стр. 1","119034, г. Москва, ул. Остоженка, д. 14/2",Ресторан,ПРИУ 44366,29.08.2008,12.09.2008,18.11.2014,Действует
3227,"Общество с ограниченной ответственностью компания ""ВАТЕЛЬ""",7706662305/ 5077746987412,"119017, г.Москва, пер. Старомонетный, д.9, стр.1","г.Москва, Теплоход ""ОКА-42""",Ресторан,ДПРУ 7944,29.08.2008,11.09.2008,29.08.2016,Действует
3228,"Общество с ограниченной ответственностью ""ЛЕКСОР""",7723551764/ 1057748597433,"109559, г.Москва, ул. Перерва, д.74","г.Москва, бульв. Новочеркасский, д.57, корп.2",Кафе,ДПРУ 7935,29.08.2008,02.09.2008,29.08.2013,Действует
3229,"Общество с ограниченной ответственностью ""Леос""",7729577871/ 5077746975642,"119602, г.Москва, ул. Анохина Академика, д.26, корп.4, кв.769","г.Москва, ул. Чертановская, д.1Г",Ресторан,ДПРУ 7919,29.08.2008,29.08.2008,29.08.2013,Действует
3230,"Общество с ограниченной ответственностью ""МАШТОЦ""",5032070835/ 1025004068484,"143005, Московская обл., Одинцовский район, дер.Мамоново, ул. Колхозная, д.79","г. Москва, Цветной б-р, д.7, стр.1",Ресторан,ДПРУ 8032,29.08.2008,12.09.2008,29.08.2013,Действует
323,,,,,,,,,,
3231,"Общество с ограниченной ответственностью ""МУЗА""",7719043077/ 1027739524339,"105264, г. Москва, Сиреневый бульвар, д. 32, стр. 1","105264, г. Москва, Сиреневый бульвар, д. 32, стр. 1",Кафе,ДПРУ 7925,29.08.2008,01.09.2008,29.08.2013,Действует
3232,"Общество с ограниченной ответственностью ""Профиль-4""",7718179540/ 1027700207633,"107150, г. Москва, ул. Ивантеевская, д.4, корп.1","г.Москва, ул. Главная, д.21А, стр.1",Магазин,ДПРУ 7931,29.08.2008,29.08.2008,29.08.2013,Действует
3233,"Общество с ограниченной ответственностью ""РУСЛАН-А-007""",7714042560/ 1037739573838,"127486, г. Москва, ул. Ивана Сусанина, д.6 А","г. Москва, Петровско-Разумовский пр-д, д.16, стр.1",Кафе,ДПРУ 7916,29.08.2008,01.09.2008,29.08.2013,Действует
3234,"Общество с ограниченной ответственностью ""Сити""",7715652310/ 5077746879986,"101000, г.Москва, пр-д Огородный, д.14","г.Москва, пр-д Огородный, д.14",Кафе,ДПРУ 7937,29.08.2008,01.09.2008,29.08.2013,Действует
3235,"Общество с ограниченной ответственностью ""ЮКА""",7705033086/ 1027700351381,"121099, г. Москва, Смоленская пл., д.6А","г. Москва, ул.Сергия Радонежского, д.29-31, стр.1","Ресторан ""ШЕШ-БЕШ""",ПРИУ 44252,29.08.2008,01.09.2008,20.09.2013,Действует
3236,"Общество с ограниченной ответственностью ""Япошка-Сити""",7716537624/ 1057749158059,"129343, г. Москва, ул. Амундсена, д.12","г.Москва, ул. Машкова, д.28/20, стр.1",Кафе,ДПРУ 7933,29.08.2008,29.08.2008,29.08.2013,Действует
3237,"Открытое акционерное общество Гостиничный комплекс ""Орехово""",7737513511/ 1067746975515,"115551, г.Москва, пр-д Шипиловский, д.39, корп.2","г.Москва, пр-д Шипиловский, д.39, корп.2",Бар,ДПРУ 7913,29.08.2008,02.09.2008,29.08.2013,Действует
3238,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г. Москва, ул.Уральская, д.4",Магазин,ДПРУ 7908,30.08.2008,29.08.2008,30.08.2013,Действует
3239,"Общество с ограниченной ответственностью ""Саманта-Люкс""",7722155729/ 1037739625428,"109052, г. Москва, ул. Нижегородская, д.52, стр.2","г.Москва, ул. Грайвороновская, д.16, корп.1",Магазин,ДПРУ 7950,01.09.2008,02.09.2008,01.09.2013,Действует
3240,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г.Москва, бульв. Карбышева Генерала, д.14",Магазин,ДПРУ 7955,02.09.2008,02.09.2008,02.09.2013,Действует
324,,,,,,,,,,
3241,"Общество с ограниченной ответственностью ""ИМПЕРИАЛЪ""",7709573822/ 1047796798554,"109028, г. Москва, ул.Солянка, д.1/2, стр.1","г.Москва, просп. Нахимовский, д.24, стр.1",Кафе,ДПРУ 7959,02.09.2008,02.10.2008,02.09.2013,Действует
3243,"Общество с ограниченной ответственностью ""Фирма ""АЛЕКСАНДРИЯ""",7723022665/ 1037739349120,"109429, г. Москва, Капотня, 1-й квартал, д. 3","109429, г. Москва, Капотня, 1-й квартал, д. 3","Магазин ""Продукты""",ДПРУ 7951,02.09.2008,02.09.2008,02.09.2013,Действует
3244,"Общество с ограниченной ответственностью Фирма ""ОРА""",7731019401/ 1027739142001,"119590, г. Москва, ул. Довженко, д.6","г.Москва, пл. Тверская застава, д.7",Магазин №1,ДПРУ 7966,02.09.2008,04.09.2008,02.09.2013,Действует
3245,"Общество с ограниченной ответственностью Фирма ""ОРА""",7731019401/ 1027739142001,"119590, г. Москва, ул. Довженко, д.6","г.Москва, пл. Тверская застава, д.7",Магазин №2,ДПРУ 7967,02.09.2008,04.09.2008,02.09.2013,Действует
3246,"Общество с ограниченной ответственностью ""Эконом-Маркет""",7733519368/ 1047796261820,"123363, г. Москва, ул. Сходненская, д. 44/17","г.Москва, шоссе Коровинское, д.33А",Магазин,ДПРУ 7954,02.09.2008,02.09.2008,02.09.2013,Действует
3248,"Закрытое акционерное общество ""КИМБЕРЛИ ЛЭНД""",7727188742/ 1027700201880,"117303, г.Москва, ул. Каховка, д.11, корп.2","г.Москва, ул. Азовская, д.24",Бар,ДПРУ 7965,03.09.2008,05.09.2008,03.09.2013,Действует
3249,"Закрытое акционерное общество ""Торкас""",7725141594/ 1047725047941,"115419, г. Москва, ул.Серпуховский Вал, д.24, корп.1","г. Москва, ул.Вешняковская, д.29А",Магазин,ДПРУ 7963,03.09.2008,03.09.2008,03.09.2013,Действует
3250,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г.Москва, пр-д Ореховый, д.33, стр.2",Магазин,ДПРУ 7962,03.09.2008,03.09.2008,03.09.2013,Действует
325,,,,,,,,,,
3251,"Общество с ограниченной ответственностью ""АНК Альянс""",7724043185/ 1027739154630,"111396, г.Москва, просп. Свободный, д.26","г.Москва, ул. Авиамоторная, вл.20/17",Магазин,ДПРУ 7056,03.09.2008,05.09.2008,11.04.2013,Действует
3252,"Общество с ограниченной ответственностью ""АШАН""",7703270067/ 1027739329408,"141031, Московская область, г.Мытищи, ш.Осташковское, д. 1","г.Москва, просп. Вернадского, д.6",Магазин типа гипермаркет,ДПРУ 7971,03.09.2008,03.09.2008,03.09.2013,Действует
3253,"Общество с ограниченной ответственностью ""Белобог""",7704214643/ 1027739777010,"119121, г. Москва, ул.Плющиха, д.53/25, стр.1","119270, г. Москва, Комсомольский проспект, д. 45",Магазин,ДПРУ 7972,03.09.2008,08.09.2008,03.09.2013,Действует
3254,"Общество с ограниченной ответственностью ""ДЭЙНАР""",7723569930/ 1067746548033,"109382, г.Москва, ул. Песчаный карьер, д.3","г.Москва, ул. Селезневская, д.13, стр.1",Магазин,ДПРУ 7953,03.09.2008,03.09.2008,03.09.2013,Действует
3255,"Общество с ограниченной ответственностью ""Премиум-АРТ""",7703344897/ 1027700034559,"123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","Бар №3, 2 этаж",ДПРУ 7970,03.09.2008,15.07.2010,03.09.2013,Действует
3256,"Общество с ограниченной ответственностью ""Премиум-АРТ""",7703344897/ 1027700034559,"123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","Бар №1, 1 этаж",ДПРУ 7970,03.09.2008,15.07.2010,03.09.2013,Действует
3257,"Общество с ограниченной ответственностью ""Премиум-АРТ""",7703344897/ 1027700034559,"123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","Бар №2, 1 этаж",ДПРУ 7970,03.09.2008,15.07.2010,03.09.2013,Действует
3258,"Общество с ограниченной ответственностью ""Премиум-АРТ""",7703344897/ 1027700034559,"123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","Ресторан №1, 1 этаж",ДПРУ 7970,03.09.2008,15.07.2010,03.09.2013,Действует
3259,"Общество с ограниченной ответственностью ""Премиум-АРТ""",7703344897/ 1027700034559,"123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","123557, г. Москва, ул.Пресненский Вал, д.14, стр.1","Ресторан №2, 2 этаж",ДПРУ 7970,03.09.2008,15.07.2010,03.09.2013,Действует
3260,"Общество с ограниченной ответственностью ""ТРИ СТИХИИ""",7709292490/ 1027739106230,"109544, г. Москва, ул. Школьная, д.11/3","г. Москва, Ленинградский пр-т, д.65","Ресторан ""Три Стихии""",ДПРУ 7915,03.09.2008,29.08.2008,03.09.2013,Действует
326,,,,,,,,,,
3261,"Общество с ограниченной ответственностью ""Барбарис""",7729589468/ 1077763329764,"119330, г.Москва, просп. Университетский, д.25","г.Москва, просп. Университетский, д.25","Ресторан ""Навои""",ДПРУ 7964,04.09.2008,23.09.2008,04.09.2013,Действует
3262,"Общество с ограниченной ответственностью ""КВИНДА""",7730089558/ 1027739849873,"121151, г. Москва, Кутузовский проспект, д. 24, комн. правл","129128, г. Москва, Будайский проезд, д. 1","Магазин ""Продукты""",ДПРУ 7980,04.09.2008,05.09.2008,04.09.2013,Действует
3263,"Общество с ограниченной ответственностью ""ЛЮНА-СЕРВИС""",7716215056/ 1027700148882,"129327, г. Москва, ул. Чичерина, д. 8, корп. 1, кв. 240","129327, г. Москва, ул. Енисейская, д. 19",Кафе,ДПРУ 7975,04.09.2008,05.09.2008,04.09.2013,Действует
3264,"Общество с ограниченной ответственностью ""НАДЮША-2""",7714041020/ 1037700113945,"125040, г.Москва, Ленинградский просп., д.4/2, стр.1","г.Москва, Ленинградский просп., д.4/2",Магазин,ДПРУ 7956,04.09.2008,05.09.2008,04.09.2013,Действует
3265,"Общество с ограниченной ответственностью ""Пицца Хит""",7707645398/ 1077762855829,"127051, г.Москва, бульв. Цветной, д.17","г.Москва, ул. Миклухо-Маклая, д.11Б","Ресторан ""Пицца Хат""",ДПРУ 7976,04.09.2008,08.09.2008,04.09.2014,Действует
3266,"Общество с ограниченной ответственностью ""ЧАЙХАНА ""КИШМИШ""",7704206265/ 1027700304532,"119019, г.Москва, ул. Новый Арбат, д.28","г. Москва, ул. Новый Арбат, д. 28",Кафе,ДПРУ 7869,04.09.2008,04.09.2008,04.09.2013,Действует
3267,"Открытое акционерное общество ""Гостиница ""Алтай""",7715686461/ 1087746180444,"127106, г.Москва, ул. Ботаническая, д.41","г.Москва, ул. Ботаническая, д.41, корп.7, 1 этаж",Ресторан,ДПРУ 7982,04.09.2008,05.09.2008,04.09.2013,Действует
3268,"Закрытое акционерное общество ""МОСТОРГ-36""",7737039789/ 1027700338203,"115372, г. Москва, ул. Лебедянская, д. 17, корп. 1","115372, г. Москва, ул. Лебедянская, д. 17, корп. 1",Магазин,ДПРУ 8001,05.09.2008,08.09.2008,05.09.2013,Действует
3269,"Закрытое акционерное общество ""Т и К ПРОДУКТЫ""",7731162754/ 1027739277720,"121357, г. Москва, Можайское шоссе, д. 3/1, стр. 1","г. Москва, Нахимовский проспект, д.9А",Магазин,ДПРУ 7973,05.09.2008,05.08.2008,05.09.2013,Действует
3270,"Закрытое акционерное общество ""ШЕЛЛ НЕФТЬ""",7704117103/ 1027739737211,"125445, г.Москва, ул. Смольная, д.24, стр.Д","г.Москва, ул. Оленья Б., вл.18",Магазин,ДПРУ 7986,05.09.2008,17.09.2008,05.09.2013,Действует
327,,,,,,,,,,
3271,"Закрытое акционерное общество ""ШЕЛЛ НЕФТЬ""",7704117103/ 1027739737211,"125445, г.Москва, ул. Смольная, д.24, стр.Д","г.Москва, ул. Привольная, вл.70",Магазин,ДПРУ 7985,05.09.2008,17.09.2008,05.09.2013,Действует
3272,"Общество с ограниченной ответственностью ""АлМар""",7721260872/ 1037721025968,"109145, г. Москва, ул. Пронская, д.3","г. Москва, Дмитровский пр-зд, д.4, стр.1",Магазин,ДПРУ 8000,05.09.2008,08.09.2008,05.09.2013,Действует
3273,"Общество с ограниченной ответственностью ""АНС и К""",7712004600/ 1027739883071,"125502, г. Москва, ул. Лавочкина, д.54, корп.1, кв.103","г. Москва, б-р Матроса Железняка, д.7/20",Магазин,ДПРУ 8006,05.09.2008,09.09.2008,05.09.2013,Действует
3275,"Общество с ограниченной ответственностью ""Аттея""",7710372920/ 1037739532126,"109559, г. Москва, Тихорецкий бульвар, д. 1, стр. 5","г.Москва, бульв. Тихорецкий, д.1, стр.6",Кафе № 2-2,ДПРУ 7987,05.09.2008,12.09.2008,05.09.2013,Действует
3277,"Общество с ограниченной ответственностью ""Гвоздика""",7731503411/,"121471, г.Москва, ул.Багрицкого, д.32/12.","г.Москва, ул. Верейская, д.9",Кафе,ДПРУ 7934,05.09.2008,09.09.2008,05.09.2013,Действует
3279,"Общество с ограниченной ответственностью ""КДУ ""Клуб ""Театр игр ""Праздник""",7726294970/ 1027739465203,"117556, г. Москва, Варшавское шоссе, д. 72, корп. 2","г.Москва, шоссе Варшавское, д.72, корп.2",Бар,ДПРУ 7957,05.09.2008,05.09.2008,05.09.2013,Действует
3280,"Общество с ограниченной ответственностью ""Кофе Хаус. Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"125599, г.Москва, ул. Ижорская, д.8, стр.1","г.Москва, ул. Стромынка, д.21, корп.1",Кафе,ДПРУ 7983,05.09.2008,05.09.2008,05.09.2013,Действует
328,,,,,,,,,,
3281,"Общество с ограниченной ответственностью ""Людмила - 8""",7726329447/ 1037726017009,"117556, г. Москва, Варшавское ш., д.85, корп. 2","г. Москва, ул. Академика Янгеля, д. 4, корп. 2",Магазин,ДПРУ 8004,05.09.2008,10.09.2008,05.09.2013,Действует
3282,"Общество с ограниченной ответственностью ""Олби""",7702321600/ 102773216031,"103031, г. Москва, Рождественский бульвар, д. 10/7, стр. 1","111558, г. Москва, ул. Молостовых, д. 17, корп. 1",Магазин,ДПРУ 8002,05.09.2008,09.09.2008,05.09.2013,Действует
3283,"Общество с ограниченной ответственностью ""Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС""",7737115648/ 1027739718280,"111024, г. Москва, ул.Душинская, д.7, стр.1","г.Москва, ул. Покровка, д.45, стр.2",Ресторан,ДПРУ 7989,05.09.2008,08.09.2008,05.09.2013,Действует
3284,"Общество с ограниченной ответственностью ""Спектр""",7707660773/ 1087746485045,"127055, г.Москва, ул. Сущевская, д.22","г.Москва, ул. Селезневская, д.30, корп. Б-В",Магазин,ДПРУ 8003,05.09.2008,09.09.2008,05.09.2013,Действует
3285,"Общество с ограниченной ответственностью ""ТАО-ТОРГ""",7729428326/ 1037729015565,"119620, г.Москва, просп. Солнцевский, д.2, стр.2","г. Москва, 1-й Сетуньский проезд, д. 12",Магазин,ДПРУ 1366,05.09.2008,16.09.2008,13.07.2017,Действует
3286,"Общество с ограниченной ответственностью ""Фирма ""Арусяк-Т""",7715255602/ 1037700160321,"127543, г. Москва, ул. Корнейчука, д. 54","127543, г. Москва, ул. Корнейчука, д. 54",Кафе,ДПРУ 7998,05.09.2008,09.09.2008,05.09.2013,Действует
3287,"Общество с ограниченной ответственностью ""ВЕЛА гранд""",7716182001/ 1037739272537,"129344, г. Москва, ул. Искры, д. 9, корп. 2, стр. 1","г. Москва, ул. Бирюлевская, д. 47 А",Магазин,ДПРУ 8017,09.09.2008,10.09.2008,09.09.2013,Действует
3288,"Общество с ограниченной ответственностью ""Галерея-АЛЕКС""",7704520601/ 1047796357179,"119002, г. Москва, ул. Арбат, д.44, стр.1","г.Москва, ул. Дмитровка М., д.4",Кафе,ДПРУ 8011,09.09.2008,09.09.2008,09.09.2013,Действует
3289,"Общество с ограниченной ответственностью ""Максимум""",7707615805/ 1077746187771,"111625, г.Москва, ул. Рудневка, д.16","г.Москва, ул. Рудневка, д.16","Магазин ""Продукты""",ДПРУ 8013,09.09.2008,10.09.2008,09.09.2013,Действует
3290,"Общество с ограниченной ответственностью ""ТЕКСАН""",7723132259/ 1027739154728,"111024, г. Москва, ул. Авиамоторная, д. 47, стр. 1","111024, г. Москва, ул. Авиамоторная, д. 47, стр. 1",Магазин,ДПРУ 8005,09.09.2008,09.09.2008,09.09.2013,Действует
329,,,,,,,,,,
3291,"Общество с ограниченной ответственностью ""Фирма ""ГЮНАЙ""",7713035993/ 1027739629851,"125206, г. Москва, ул. Вучетича, вл.4","г.Москва, шоссе Дмитровское, д.46, корп.1",Магазин,ДПРУ 7891,09.09.2008,09.09.2008,09.09.2013,Действует
3292,"Закрытое акционерное общество ""ШЕЛЛ НЕФТЬ""",7704117103/ 1027739737211,"125445, г.Москва, ул. Смольная, д.24, стр.Д","г.Москва, просп. Лермонтовский, вл.151-157",Магазин,ДПРУ 8014,10.09.2008,16.09.2008,10.09.2013,Действует
3293,"Общество с ограниченной ответственностью ""Агроаспект""",7715277300/ 1027700302530,"127562, г.Москва, Алтуфьевское шоссе , д.60","г.Москва, ул. Неделина Маршала, д.4",Магазин,ДПРУ 8030,10.09.2008,18.09.2008,10.09.2013,Действует
3294,"Общество с ограниченной ответственностью ""АСТ на Шмитовском""",7714126160/ 1027700350336,"125315, г. Москва, ул.Часовая, д.17, комн.правл","123100, г. Москва, Шмитовский проезд, д.12, стр.2",Магазин,ДПРУ 8026,10.09.2008,10.09.2008,10.09.2013,Действует
3295,"Общество с ограниченной ответственностью ""БИГ ТРЭЙД""",7727642116/ 1087746247445,"117216, г.Москва, ул. Старокачаловская, д.3, корп.3","г.Москва, пр-д Каширский, д.23",Магазин,ДПРУ 8016,10.09.2008,11.09.2008,10.09.2013,Действует
3296,"Общество с ограниченной ответственностью ""ГОЛАС""",7735072276/ 1037700095982,"103460, г. Москва, Зеленоград, корп.1131, н.п.7, комн.1","г. Москва, Зеленоград, Савелкинский проезд, д. 12",Магазин,ДПРУ 8018,10.09.2008,10.09.2008,10.09.2013,Действует
3297,"Общество с ограниченной ответственностью ""ОЛОН""",7706241346/ 1027700182157,"109017, г. Москва, Старомонетный пер., д.9, стр.1","119034, г. Москва, Кропоткинский пер., д.7, стр.2-4","Ресторан ""ACCENTI""",ПРИУ 44453,10.09.2008,17.09.2008,27.10.2013,Действует
3298,"Общество с ограниченной ответственностью ""РОНОРА""",7710360219/ 1027700316698,"125047, г. Москва, ул.1-я Тверская-Ямская, д.16/23, стр.1","г. Москва, Рублевское шоссе, д.48/1",Кафе,ДПРУ 7041,10.09.2008,12.09.2008,10.04.2013,Действует
3299,"Общество с ограниченной ответственностью ""РЭДЮНГ""",7725042441/ 1027739107880,"115470, г. Москва, ул. Судостроительная, вл.3А","г. Москва, ул. Судостроительная, вл.3А",Магазин,ДПРУ 8022,10.09.2008,11.09.2008,10.09.2013,Действует
3300,"Общество с ограниченной ответственностью ""Столица""",7713532547/ 1047796542936,"127247, г.Москва, шоссе Дмитровское, д.107, стр.1, 3-й этаж, помещение I, комната №27","г. Москва, ул. Балчуг, д. 5",Ресторан,ДПРУ 3068,10.09.2008,17.09.2008,24.11.2014,Действует
330,,,,,,,,,,
3301,"Общество с ограниченной ответственностью ФИРМА ""ЭСТПОЛЬ""",7729210707/,"119607, г.Москва, ул.Удальцова, д.89, кв.158","Москва, ул.Братеевская, д.10, корп.1.",Магазин,ДПРУ 8020,10.09.2008,11.09.2008,10.09.2013,Действует
3302,"Общество с ограниченной ответственностью ""Арома Маркет""",7710161911/ 1027739146412,"121087, г.Москва, пр-д Береговой, д.5, стр.1","г.Москва, пер. Астраханский, д.1/15",Магазин,ДПРУ 8053,11.09.2008,12.09.2008,11.09.2013,Действует
3303,"Общество с ограниченной ответственностью ""Вероника""",7710709323/ 1087746293910,"103070, г.Москва, ул. Ильинка, д.13","г.Москва, ул. Ильинка, д.13",Ресторан,ДПРУ 8041,11.09.2008,11.09.2008,11.09.2013,Действует
3304,"Общество с ограниченной ответственностью ""Кофейня""",7710586544/ 1057747146896,"103012, г. Москва, Хрустальный пер., д.1","г.Москва, пер. Хрустальный, д.1",Кафе,ДПРУ 8021,11.09.2008,11.09.2008,11.09.2013,Действует
3305,"Общество с ограниченной ответственностью ""Фирма Грация М""",7701328610/ 1037701017661,"107078, г. Москва, Хоромный тупик, д. 2/6, стр. 1","г.Москва, пр-д Дежнева, д.13",Кафе,ДПРУ 8036,11.09.2008,11.09.2008,11.09.2013,Действует
3306,"Закрытое акционерное общество ""Лотоклуб""",7717141784/ 1037717010044,"129278, г. Москва, ул. Константинова, д.32, корп.1","г. Москва, ул.Ярцевская, д.22, стр.1",Кафе,ДПРУ 8054,12.09.2008,16.09.2008,12.09.2013,Действует
3307,"Общество с ограниченной ответственностью ""АШАН""",7703270067/ 1027739329408,"141031, Московская область, г.Мытищи, ш.Осташковское, д. 1","г.Москва, ул. Миклухо-Маклая, д.32А",Магазин типа гипермаркет,ДПРУ 8047,12.09.2008,16.09.2008,12.09.2013,Действует
3308,"Общество с ограниченной ответственностью ""ВОГРИ""",7730093699/ 1037739251483,"121601, г. Москва, Филевский бульвар, д. 21, помещение правления","г.Москва, ул. Энергетическая, д.14, корп.1",Кафе,ДПРУ 8046,12.09.2008,12.09.2008,12.09.2013,Действует
3309,"Общество с ограниченной ответственностью ""Кофе Хаус. Эспрессо и Капучино Бар""",7704207300/ 1027739135236,"125599, г.Москва, ул. Ижорская, д.8, стр.1","г.Москва, Ленинградский просп., д.62",Кафе,ДПРУ 8024,12.09.2008,12.09.2008,12.09.2013,Действует
3310,"Общество с ограниченной ответственностью ""Ля Рома""",7733503840/ 1037739834307,"125464, г. Москва, Пятницкое ш., д.42","г. Москва, ул.Большая Академическая, д.15, корп.1",Кафе,ДПРУ 8033,12.09.2008,12.09.2008,12.09.2014,Действует
331,,,,,,,,,,
