№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
23,"Закрытое акционерное общество ""ХЭЛП""",7701539153/ 1047796364934,"105064, г. Москва, ул.Садовая-Черногрязская,д.22, стр.1","г. Москва, ул.1-я Тверская-Ямская, д.27, стр.1-2",Бар,ПРИУ 42683,11.10.2004,11.10.2004,11.10.2017,Действует
24,"Общество с ограниченной ответственностью ""Ресторан ""Я и Ты""",7726319640/ 1027724007200,"113519, г. Москва, ул. Красного Маяка, д. 1, корп. 1","117519, г. Москва, ул. Красного Маяка, д. 1, корп. 1",Ресторан,ПРЮВЮ 309,17.10.2004,17.10.2004,17.10.2015,Действует
25,"Общество с ограниченной ответственностью ""АНЧАР-92""",7726043952/ 1037739542554,"113535, г. Москва, Газопровод ул., д. 1, корп. 6","113535, г. Москва, Газопровод ул., д. 1, корп. 6",Магазин,ПРЮВЮ 364,29.10.2004,29.10.2004,29.10.2015,Действует
26,"Общество с ограниченной ответственностью ""Кафе ""Булошная""""",7709419683/ 1037709037937,"105062, г. Москва, Лялин пер., д.7/2, стр.1","105062, г. Москва, Лялин пер.. д.7/2, стр.1",Кафе,ПРИУ 42678,31.10.2004,12.10.2004,31.10.2012,Действует
27,"Общество с ограниченной ответственностью ""ТДС""",7730502408/ 1047796016950,"121309, г. Москва, Новозаводская ул., д. 25/11, корп.5","127018, г. Москва, 2-й Стрелецкий проезд, д. 10",Магазин,ПРВСВ 330,11.11.2004,17.11.2004,11.11.2013,Действует
28,"Общество с ограниченной ответственностью ""ТК Альянс""",7720221366/ 1037739746550,"111538, г. Москва, ул. Вешняковская, д. 29""А""","111399, г. Москва, ул. Новогиреевская, д. 20/34, корп. 3",Магазин,ПРВСВ 353,18.11.2004,19.11.2004,18.11.2015,Действует
29,"Общество с ограниченной ответственностью Магазин ""КОЗЕРОГ""",7702059449/ 1027739822846,"103031, г. Москва, Рождественский бульв., д.22/23","103031, г. Москва, Рождественский бульвар, д.22/23, стр.1","Магазин ""Козерог""",ПРИУ 42863,19.11.2004,19.11.2004,19.11.2012,Действует
30,"Общество с ограниченной ответственностью ""Мактео Гранд""",7713009263/ 1027700375746,"127247, г. Москва, ул. Селигерская, д.24/1","г. Москва, ул. Селигерская, д.24/1, стр.2",Магазин,ПРСЗС 332,23.11.2004,17.11.2004,23.11.2012,Действует
3,,,,,,,,,,
31,"Общество с ограниченной ответственностью ""Надюша""",7728159141/ 1027739517981,"117333, г. Москва, Университетский проспект, д.4","117279, г. Москва, ул.Миклухо-Маклая, д.55",Магазин,ПРЗЮЗ 440,25.11.2004,25.11.2004,25.11.2015,Действует
32,"Общество с ограниченной ответственностью ""Столичная финансово-инвестиционная компания""",7717136713/ 1027717007185,"129226, г. Москва, ул.Сельскохозяйственная, д.20, корп.3","г. Москва, Саввинская наб., д.19, стр.1Б",Магазин,ПРИУ 42911,01.12.2004,01.12.2004,01.12.2013,Действует
33,"Общество с ограниченной ответственностью ""ОлимпГарант""",7719249078/ 1027700128279,"105318, г. Москва, ул. Борисовская, д.1/29, стр.1","г. Москва, Бескудниковский б-р, д.40, корп.3",Бар,ПРСЗС 368,03.12.2004,03.12.2004,03.12.2012,Действует
34,"Общество с ограниченной ответственностью ""Арома Маркет""",7710161911/ 1027739146412,"121087, г. Москва, Береговой проезд, д.5, стр.1","г. Москва, проезд Дежнева, д.27, корп.1",Магазин,ПРИУ 42892,05.12.2004,01.12.2004,05.12.2013,Действует
35,"Общество с ограниченной ответственностью ""Авоська-два""",7724232030/ 1027739670870,"115211, г. Москва, ул. Борисовские пруды, д. 14, корп. 4","г.Москва, ул. Башиловская, д.21",Магазин,ПРСЗС 399,06.12.2004,06.12.2004,06.12.2015,Действует
36,"Общество с ограниченной ответственностью ""Городской супермаркет""",7705466989/ 1027705012312,"113054, г. Москва, ул.Валовая, д. 8/18","г.Москва, пр. Мира, д.58, стр.1",Супермаркет,ПРИУ 42945,06.12.2004,06.12.2004,06.12.2012,Действует
37,"Общество с ограниченной ответственностью ""РИГЕЛЬ""",7731035361/ 1027739856319,"121609, г. Москва, Рублевское шоссе, д.40, корп.2","121609, г. Москва, Рублевское шоссе, д.40, корп.2",Магазин,ПРЗЮЗ 451,06.12.2004,07.12.2004,06.12.2012,Действует
38,"Общество с ограниченной ответственностью ""ТЕЛЕТЕХ""",7730130894/ 1027739392317,"121151, г. Москва, Кутузовский пр-т, д.23, корп.1","119311, г. Москва, пр-т Вернадского, владение 6, стр.3","Ресторан ""Пивная 01""",ПРЗЮЗ 452,06.12.2004,06.12.2004,06.12.2012,Действует
39,"Закрытое акционерное общество ""Альфа-Забава""",7724215719/ 1027700570908,"115563, г. Москва, Белова Генерала ул., д. 29, стр. 1","121355, г. Москва, Молодогвардейская ул., д. 28, корп. 1",Кафе,ПРЗЮЗ 453,07.12.2004,07.12.2004,07.12.2016,Действует
40,"Общество с ограниченной ответственностью ""Лангано""",7722150801/ 1027739920361,"109518, г. Москва, ул. Люблинская , д. 5, корп. 2, помещение правления","г. Москва, Ферганский проезд, д. 3, корп. 1",Магазин,ПРЮВЮ 487,07.12.2004,07.12.2004,07.12.2012,Действует
4,,,,,,,,,,
41,"Закрытое акционерное общество Фирма ""САНЬ ХУАНЬ-М""",7727058091/ 1037739296462,"103009, г. Москва, ул.Б.Дмитровка, д.5/6, стр.4","103009, г. Москва, ул.Б.Дмитровка, д.5/6, стр.4",Ресторан,ПРИУ 42974,09.12.2004,10.12.2004,09.12.2012,Действует
42,"Общество с ограниченной ответственностью ""КОПЕЙКА-МОСКВА""",7715196234/ 1027739014930,"127560, г. Москва, ул. Коненкова, д. 5","г. Москва, Новочеркасский бульвар, д. 36 А",Магазин,ПРИУ 42960,10.12.2004,10.12.2004,10.12.2012,Действует
43,"Общество с ограниченной ответственностью ""Тримтэкс""",7713212716/ 1037739171084,"127540, г. Москва, ул.Дубнинская, д.2, корп.5","г. Москва, ул.Б.Садовая, д.3. стр.1",Ресторан,ПРИУ 42978,10.12.2004,10.12.2004,10.12.2012,Действует
44,"Общество с ограниченной ответственностью ""РОЯЛ-ЗЕНИТ-СЕРВИС""",7734117069/ 1037739094249,"113054, г. Москва, ул. Б. Пионерская, д.13/6 А, стр.1","г. Москва, ул. Таманская, д.49 Б",Кафе,ПРСЗС 403,16.12.2004,09.12.2004,16.12.2012,Действует
45,"Общество с ограниченной ответственностью ""РОЯЛ-ЗЕНИТ-СЕРВИС""",7734117069/ 1037739094249,"113054, г. Москва, ул. Б. Пионерская, д.13/6 А, стр.1","г. Москва, 1-я линия Серебряного бора, д.10, стр.1",Кафе,ПРСЗС 402,16.12.2004,09.12.2004,16.12.2012,Действует
46,"Общество с ограниченной ответственностью ""АЭРОН-С""",7729391210/ 1027739895061,"117915, г. Москва, Удальцова ул., д. 16","г. Москва, Профсоюзная ул., д. 103А",Магазин,ПРЗЮЗ 491,17.12.2004,17.12.2004,17.12.2013,Действует
47,"Общество с ограниченной ответственностью ""ГАСТРОНОМ ""НОВЫЙ""",7733101108/ 1027739322247,"123182, г. Москва, ул. Авиационная, д.66","105082, г. Москва, ул.Бакунинская, д. 26-30, стр.1",Универсам,ПРИУ 42991,17.12.2004,17.12.2004,17.12.2012,Действует
48,"Общество с ограниченной ответственностью ""ЧИКИН ФУД""",7734188060/ 1037717009901,"129594, г. Москва, Шереметьевская ул., д. 60 А","г. Москва, Можайское ш., д. 39","Ресторан ""IL Патио""",ПРЗЮЗ 492,17.12.2004,17.12.2004,17.12.2012,Действует
49,"Общество с ограниченной ответственностью ""Юникс""",7701524076/ 1047796092080,"103064, г. Москва, Фурманный пер., д.24","г. Москва, ул.Б. Пироговская , д. 37-43, стр.1А",Кафе,ПРИУ 42988,17.12.2004,17.12.2004,17.12.2012,Действует
50,"Закрытое акционерное общество ""ТРЕТИЙ РИМ""",7704027562/ 1027700141468,"121099, г. Москва, Смоленская пл., д.6/13/14, стр.2","119049, г. Москва, ул. Крымский вал, д.10",Суши-бар,ПРИУ 43047,21.12.2004,21.12.2004,21.12.2012,Действует
5,,,,,,,,,,
51,"Закрытое акционерное общество ""ТРЕТИЙ РИМ""",7704027562/ 1027700141468,"121099, г. Москва, Смоленская пл., д.6/13/14, стр.2","119049, г. Москва, ул.Крымский вал, д.10",Ресторан,ПРИУ 43045,21.12.2004,21.12.2004,21.12.2012,Действует
52,"Закрытое акционерное общество ""ТРЕТИЙ РИМ""",7704027562/ 1027700141468,"121099, г. Москва, Смоленская пл., д.6/13/14, стр.2","119049, ул.Крымский вал, д.10",Бар,ПРИУ 43048,21.12.2004,21.12.2004,21.12.2012,Действует
53,"Общество с ограниченной ответственностью ""Компания ""РУССКОЕ ДЕЛО""",7702200042/ 1037700033183,"113054, г. Москва, ул.Зацепский Вал, д. 5","115054, г. Москва, ул.Зацепский Вал, д.5",Кафе,ПРИУ 42940,21.12.2004,10.12.2004,21.12.2013,Действует
54,"Общество с ограниченной ответственностью ""Фарматраст""",7710303884/ 1027700469565,"125047, г. Москва, ул.1-я Тверская-Ямская, д.4","125047, г. Москва, ул.1-я Тверская-Ямская, д.4",Кафе,ПРИУ 43046,21.12.2004,21.12.2004,21.12.2012,Действует
55,"Общество с ограниченной ответственностью ""На Горе""",7726072262/ 1027739232773,"117546, г. Москва, Востряковский пр., д. 7. корп. 2А","117546, г. Москва, Востряковский проезд, д. 7, корп. 2А",Магазин,ПРЮВЮ 524,22.12.2004,15.12.2004,22.12.2014,Действует
56,"Общество с ограниченной ответственностью ""АЛИС+""",7720039780/ 1027739259151,"111401, г. Москва, ул. Металлургов, д. 7/18","111401, г. Москва, ул. Металлургов, д. 7/18",Магазин,ПРВСВ 439,25.12.2004,24.12.2004,25.12.2012,Действует
57,"Общество с ограниченной ответственностью ""Компания ""РУС.ЭМ.""",7724014522/ 1027700335959,"115211, г. Москва, Каширское шоссе, д. 51, корп. 3","115211, г. Москва, Каширское шоссе, д. 51, корп. 3",Ресторан,ПРЮВЮ 558,28.12.2004,28.12.2004,28.12.2012,Действует
58,"Общество с ограниченной ответственностью ""АЛЖЕНА""",7720123915/ 1027700091935,"111672, г. Москва, ул. Новокосинская, д. 45","111672, г. Москва, ул. Новокосинская, д. 45",Магазин,ПРВСВ 469,29.12.2004,29.12.2004,29.12.2012,Действует
59,"Общество с ограниченной ответственностью ""АЛЛЕМАНДА""",7705238090/ 1037700026396,"113035, г. Москва, ул. Пятницкая, д. 2/38, стр. 3","107370, г. Москва, ул.4-я Гражданская, д. 43, корп. 2",Магазин,ПРВСВ 494,29.12.2004,29.12.2004,29.12.2012,Действует
60,"Общество с ограниченной ответственностью ""Торгово-производственная фирма ""Пятьдесят""",7721005181/ 1027739563125,"109444, г. Москва, Ферганская ул., д. 14","109444, г. Москва, Ферганская ул., д. 14/13",Магазин,ПРЮВЮ 545,29.12.2004,23.12.2004,29.12.2012,Действует
6,,,,,,,,,,
61,"Общество с ограниченной ответственностью """"ЛИЗМАР""""",7729410167/ 1037739056662,"117602, г. Москва, Мичуринский проспект, д. 21, корп. 3","117602, г. Москва, Мичуринский проспект, д. 21, корп. 3",Магазин,ПРЗЮЗ 553,30.12.2004,30.12.2004,30.12.2013,Действует
62,"Общество с ограниченной ответственностью ""Конь и пес""",7709217856/ 1037700056888,"127424, г. Москва, Бескудниковский б-р, д.23, корп.1","109004, г. Москва, ул.Б.Коммунистическая, д.27",Ресторан,ПРИУ 43075,31.12.2004,30.12.2004,31.12.2012,Действует
63,"Общество с ограниченной ответственностью ""КУТУЗОВСКОЕ""",7730007570/ 1027739209090,"121165, г. Москва, Кутузовский просп., д.26","121165, г. Москва, просп.Кутузовский, д.26, стр.1",Кафе,ПРЗЮЗ 482,01.01.2005,21.12.2004,01.01.2013,Действует
64,"Общество с ограниченной ответственностью фирма ""Кристи""",7723303144/ 1027739586148,"109429, г. Москва, Капотня, 3-й квартал, д. 13, стр. 1","г. Москва, Капотня, 3-й квартал, д. 13",Магазин,ПРЮВЮ 483,01.01.2005,09.12.2004,01.01.2013,Действует
65,"Общество с ограниченной ответственностью ""Для гурманов""",7713071053/ 1037739106866,"127411, г. Москва, ул. Лобненская, д.5","г. Москва, ул. Лобненская, д.5",Магазин,ПРСЗС 454,03.01.2005,31.12.2004,03.01.2016,Действует
66,"Общество с ограниченной ответственностью ""Фарандоль""",7729511341/ 1047796591150,"119330, г. Москва, ул.Мосфильмовская, д.17Б","г. Москва, ул.1-я Тверская-Ямская, д.5","Ресторан ""Фарандоль""",ПРИУ 43119,07.01.2005,11.01.2005,07.01.2014,Действует
67,"Общество с ограниченной ответственностью ""Нуэва""",7715177739/ 1027739459637,"127349, г. Москва, Шенкурский проезд, д.2","127349, г. Москва, Шенкурский проезд, д. 2",Магазин,ПРВСВ 399,09.01.2005,09.12.2004,09.01.2014,Действует
