41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО""Мираж""",7005015853,,Тегульдетский район,"п. Берегаево, ул. Ленинская,д.30,кв.2",Тегульдетский район,,ТОМ,004984АЛ00,70МЕ,497,2/7/2008,2/7/2013,
Общество с ограниченной ответственностью,"ООО""Северянка""",7005015860,,Тегульдетский район,"с. Тегульдет, ул. Парковая,18",Тегульдетский район,,ТОМ,005014АЛ00,70МЕ,1054,2/7/2008,2/7/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Тегульдетский район,"с. Тегульдет, ул. Лесная, д. 1а",ТОМ,005106АЛ14,70МЕ,1215,2/7/2008,2/7/2013,
Общество с ограниченной ответственностью,"ООО ""АлЕко""",7017231305,,г. Томск,"Иркутский тракт, д. 17, кв. 256",Тегульдетский район,"с. Тегульдет, ул. Октябрьская, 20",ТОМ,005169АЛ11,70МЕ,1334,4/8/2008,4/8/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс4""",7017248370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Тегульдетский район,"п. Белый Яр, ул. Центральная 20",ТОМ,005255АЛ05,70МЕ,1455,4/8/2008,4/8/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 5""",7017253676,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Тегульдетский район,"с. Тегульдет, ул. Ленина, 83б",ТОМ,005286АЛ75,70МЕ,1502,7/27/2012,11/10/2013,
Общество с ограниченной ответственностью,"ООО ""МСК""",7017274940,,г. Томск,"пер. Карский, 70, кв. 74",Тегульдетский район,"с. Тегульдет, ул. Парковая, 4",ТОМ,005375АЛ21,70МЕ,1624,3/5/2012,2/2/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс 6""",7017277370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Тегульдетский район,"с. Тегульдет, пер. Садовый, 5  (магазин)",ТОМ,005583АЛ03,70МЕ,2196,12/8/2009,12/8/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс 7""",7017285854,,г. Томск,"ул. Мокрушина, 24-116",Тегульдетский район,"с. Тегульдет, ул. Советская, 4",ТОМ,005742АЛ57,70МЕ,2384,12/28/2009,12/8/2014,
Общество с ограниченной ответственностью,"ООО ""ШИНа 1""",7024032558,,г. Томск,"ул. Шпальная, 1",Тегульдетский район,"с. Тегульдет, ул. Железнодорожная, 34",ТОМ,005336АЛ10,70МЕ,2304,1/13/2010,12/8/2014,
,,,,,,,,,,,,1/29/2010,12/8/2014,
,,,,,,,,,,,,2/19/2010,12/8/2014,
,,,,,,,,,,,,10/18/2010,1/25/2015,
,,,,,,,,,,,,9/24/2010,1/25/2015,
,,,,,,,,,,,,10/1/2010,1/25/2015,
,,,,,,,,,,,,10/1/2010,1/25/2015,
,,,,,,,,,,,,12/16/2010,1/25/2015,
,,,,,,,,,,,,3/18/2011,12/29/2015,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,6/13/2012,4/30/2015,
,,,,,,,,,,,,6/13/2012,4/30/2015,
,,,,,,,,,,,,6/13/2012,4/30/2015,
