РЕЕСТР,,,,,,,,
"О ДЕЙСТВУЮЩИХ ЛИЦЕНЗИЯХ НА РОЗНИЧНУЮ ПРОДАЖУ АЛКОГОЛЬНОЙ ПРОДУКЦИИ В ХАНТЫ-МАНСИЙСКОМ АВТОНОМНОМ ОКРУГЕ-ЮГРЕ, на территории город Урай""  по состоянию на 01.07.2011",,,,,,,,
,,,,,,,,
№,Номер,Наименование Предприятия,Адрес .юридического лица,"Вид деятельности, адрес места нахождения объекта",Номер Серия,Дата,Доп Информация,Состояние
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон 2, д. 101,     магазин № 2;  2.  г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон Западный, д. 11,   магазин № 3;  3. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, микрорайон № 3, д. 12, магазин № 4.  ",,,,
8,4901,"Обществу с ограниченной ответственностью ""Ночной меридиан""  ИНН 8606012016","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Ленина, д. 98 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001391,  Р №",01.09.2008 до 19.07.2012,,
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Ленина, д. 98,  бар боулинга     в торгово-развлекательном комплексе ""Меридиан"";  2. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Ленина, д. 98, бар танцевального зала в торгово-развлекательном комплексе ""Меридиан"";  3.  г. Урай  Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Ленина, д. 98,  ресторан     в торгово-развлекательном",,,,
,,,,"комплексе ""Меридиан"".  ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4497  07.12.2007  
9,4963,"Обществу с ограниченной ответственностью ""УФ Нимфа""  ИНН 8606012584","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Электросети, 1 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001455,  Р №",16.10.2008 до 16.10.2013,,настоящая лицензия выдана в порядке переоформления лицензии   №  3932  07.02.2007  
,,,,"Адрес места нахождения объекта:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Электросети, 1, магазин ""Фруктовый сад"".  ",,,,
10,5098,"Обществу с ограниченной ответственностью ""Сергей и К""  ИНН 8606011076","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, мкр. Западный, д. 19 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001602,  Р №",24.12.2008 до 30.12.2008 Продлена до 30.12.2013 ,,настоящая лицензия выдана в порядке переоформления лицензии   №  4272  12.07.2007  
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа - Югры Тюменской области, мкр. Западный, д. 19, магазин ""Вика"";  2. п. Мулымья Кондинского района Ханты-Мансийского автономного округа - Югры Тюменской области,     ул. Лесная, д. 4 А, магазин ""Александра"".  ",,,,
11,5158,"Обществу с ограниченной ответственностью  Торговому дому ""Прима""  ИНН8606005925  ","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, микрорайон 1 А, д. 68 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001670,  Р№",05.02.2009 до 06.12.2013,,настоящая лицензия выдана в порядке переоформления лицензии   №  259  26.12.2005  
,,,,"Адреса мест нахождения объектов:  1. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 3, д. 32, кафе ""Портос"";  2. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 1 А, д. 68, магазин ""Маяк"";  3. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, ул. 50 лет ВЛКСМ, д. 60, магазин ""Метелица"";  4. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 2, д. 89 А, магазин ""Минимаркет"";  5. г.",,,,
,,,,"Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон 3, д. 31, магазин № 21 (отдел продукты);  6. г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области, микрорайон А, д. 73 А, бар КДЦ ""Нефтяник"".  ",,,,настоящая лицензия выдана в порядке переоформления лицензии   №  4512  14.12.2007  
12,5321,"Обществу с ограниченной ответственностью ""Новинка""  ИНН 8606000660  ","Место нахождения юридического лица:  г. Урай Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Нефтяников, д. 3 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001832,  Р №",17.06.2009 до 26.02.2012,,
