,,,,"отдел «Вино-водка» в магазине «Эмин»  (Пуровский р-он, п.Пурпе, 
ул. Железнодорожная, д. 29);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"бар  «Супер-МАКС» (мкр.3, д.42) ;","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» магазина «Супер-МАКС»    ( мкр. 3, д. 42);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» в павильон ""СМАК"" (Пуровский р-он, 
п. Пуровск, ул. Новая;","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"Отдел ""Вино-водка"" в магазине ""Тайга.Овощи.Фрукты"" (г.Губкинский, мкр.4, д.5)","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"бар ""Italiano"" в пиццерии ""Pizza & pasta"" (мкр.12, д.33)","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел алкогольной продукции в магазине ""КлассиК"" (мкр. 1, д. 5)","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел алкогольной продукции в павильоне ""Берекет"" (Пуровский район, поселок Пурпе, ул. Федеральная, панель №12)","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,отдел «Алкогольная продукция» павильона «Славянский» (мкр.9); ,до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел ""Винный"" в магазине ""Игорёк"" (г. Губкинский, мкр. 14)",до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» 
в минимаркете «Чаровница»(мкр.7)",до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» 
в минимаркете «Метелица» (мкр.6); 
(временно закрыт); ",до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» в павильоне ""АНАР"" (Пуровский р-он, г. Тарко-Сале"", ул. Энтузиастов)",до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» 
в павильоне «Альтаир»
 (г. Губкинский, мкр. 6);",до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Алкогольная продукция» павильона «КВАДРАТ» (мкр.6)
(временно закрыт); ",до 15 %;,,,,,,,,,,,,,,,,,,,,
6,Общество с ограниченной ответственностью «Сигма»,Назаров Валех Сахиб оглы,"г. Губкинский, мкр.5, д. 17, кв.21
тел. 5-47-68","минимаркет  «Элен»
 (мкр.2);",до 15 %;,Г 128555,21.07.2011 рег.  № 263,21.07.2011 20.07.2016,,,,,,,,,,,,,,,,,
,,,,"минимаркет «Селена» 
(мкр.9);",,,,,,,,,,,,,,,,,,,,,
7,Общество с ограниченной ответственностью «Эдельвейс»,"Мутаалиев Исабег 
Рабазанович
","г. Губкинский, мкр.2, д. 61
тел. 5-21-57
","кафе «Эдельвейс»
 (мкр.2, д. 61);","свыше 1,5%",Г 128557,26.07.2011 рег. №265,"26.07.2011 
25.07.2012
",,,,,,,,,,,,,,,,,
8,Общество с ограниченной ответственностью «ГРЕТА» ,Гамзаев Руслан Абдурахманович,"г. Губкинский, мкр.11, д. 74, кв.3
тел. 5-15-45
","ТК «Северный привоз»  
отделы №№ 19, 20 (мкр. 2, д. 60)
","свыше 1,5%",Г 128558 ,03.08.2011  рег. №266,03.08.2011 02.08.2014,,,,,,,,,,,,,,,,,
,,,,"отдел № 51, зал № 28 ТЦ «Меркурий» (мкр.12, д.25)",,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Вино-водка» магазина «Гурман» (мкр.2, д.59);",,,,,,,,,,,,,,,,,,,,,
9,"Общество с ограниченной ответственностью ""РОСТ и К""","Кошкарова Лариса 
Николаевна
","г. Губкинский, мкр.12, д. 25
тел. 5-42-13
","отдел кулинарии «Жемчужина дракона» магазина «Пекин» 
(мкр.14, д.44);","свыше 1,5%",Г 128559,05.08.2011 рег. № 267,05.08.2011 04.08.2013,,,,,,,,,,,,,,,,,
,,,,"минимаркет «Брагино»
 (промзона, панель №8);",до 15 %;,,,,,,,,,,,,,,,,,,,,
10,"Общество с ограниченной ответственностью ""Орион""","Поляков 
Владимир Геннадьевич
","г. Губкинский, мкр.9, д. 6
тел. 3-40-58
","отдел «Кристалл-М»
 ТЦ «Магнат» (мкр.9);","свыше 1,5%",Г 128560,19.08.2011 рег. № 268,19.08.2011 18.08.2016,,,,,,,,,,,,,,,,,
,,,,отдел «Айсберг» павильона «Сатурн» (мкр.7);,до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,отдел «Орбита плюс» павильона «Орбита» (мкр.3);,до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,отдел «Орион плюс» павильона «Орион» (мкр.4); ,до 15 %;,,,,,,,,,,,,,,,,,,,,
,,,,"отдел «Квартал плюс» магазина  
«9 квартал» (мкр.9, д. 25);","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
,,,,"отдел «12 Квартал плюс» магазина 
«12 Квартал» (мкр.12, д. 39)","свыше 1,5%",,,,,,,,,,,,,,,,,,,,
