№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""ИРИНА""",6725012075,1066725004851,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 23","216501, Смоленская область, г. Рославль, ул. Пролетарская, д. 47 (кафе), без ограничений",№ 1991                   Г 301906,22 ноября 2011,до 07 апреля 2016,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 86(кафе ""Экспресс"")",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 15 микрорайон, д. 22 (кафе)",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, Центральная часть города (кафе)",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 47 (кафе-кондитерская ""Марципан"")",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 13-а (кафе)",№ 677                 Г 679291,06 апреля 2006,по 06 апреля 2011,,исключение объекта,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск. 1-й микрорайон, (кафе ""Экспресс"")",,,,,исключение объекта,,,,,,,,,,,,,
2,"ООО ""Титан""",6725010825,1046700002535,"216500,  Смоленская область, г. Рославль, 15 микрорайон, д. 17","216500, Смоленская область, г. Рославль, 15 микрорайон, д. 17 (супермаркет), без ограничений",№ 1573                Б 004906,14 июня 2011,по 26 октября 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 15 микрорайон, д. 2 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Белинского, д. 19 (минммаркет), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. К. Маркса, д. 35 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Октябрьская, д. 30 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Б. Смоленская, д. 91-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216580, Смоленская область, с. Ершичи, ул. Понятовская, д. 5 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
3,"ООО ""Фирма ""Титова""",6725012269,1066725012155,"216500, Смоленская область, г. Рославль, ул. Садовая, д15","216500, Смоленская область, г. Рославль, ул. Б. Смоленская, остановка ""Кольцо"" (павильон), до 15% ",№ 2033                 Б 004993                  (Г 301999),14 июля 2011,до 14 июля 2012,,18 января 2012 исключение объекта,,,,,,,,,,,,,
,,,,,"216500,  Смоленская область, Рославльский район, пересечение окружной дороги и дороги на с. Ершичи (кафе), без ограничений",,,,,,,,,,,,,,,,,,
4,"ООО ""МАЯК""",6725012117,1066725011792,"216520, Смоленская область, Рославльский район, д. Малые Кириллы, ул. Ельнинская, д. 72, кв. 2","216500, Смоленская область, Рославльский район, д. Малые Кириллы, ул. Ельнинская (магазин), без ограничений",№ 781                 Б 005531,05 июня 2006,по 05 июня 2011,до 06 июня 2012,,,,,,,,,,,,,,
5,"ООО ""Виктория""",6725012170,1066725011968,"216500, Смоленская область, г. Рославль, ул. Пионерская, д. 160","216500, Смоленская область, г. Рославль, ул. Наташи Зайцевой, д. 52 (магазин), без ограничений",№ 779                  Б 005416,29 марта 2011,по 05 июня 2011,до 06 июня 2012,,,,,,,,,,,,,,
6,"ООО ""Надежда""",6725012276,1066725012166,"216500, Смоленская область, г. Рославль, ул. Комсомольская, д. 52-а","216500, Смоленская область, г. Рославль, ул. Комсомольская, д. 52-а (магазин), без ограничений",№ 881                 Б 005992,23 июня 2006,по 23 июня 2011,до 24 июня 2012,,,,,,,,,,,,,,
7,"ООО ""Водолей""",6725013777,1076725001220,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 78-А","216500, Смоленская область, г. Рославль, ул. Ленина, д. 78-А (магазин), без ограничений",№ 1583                Б 005468,10 мая 2011,по 07 ноября 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 1-й переулок Пушкина, д. 8 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
8,"ООО ""КАССИОПЕЯ""",6725003360,1026700922577,"216500, Смоленская область, г. Рославль, ул. Паитерова, д. 47","216500, Смоленская область, г. Рославль, ул. Пайтерова, д. 47 (магазин), без ограничений",№ 899                   Б 005678,27 июня 2006,по 27 июня 2011,до 28 июня 2012,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пайтерова, д. 34 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
9,"ООО ""Центр Продукт""",6725012212,1066725012089,"216501, Смоленская область, г. Рославль, ул. Орджокиндзе, 2","216501, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 2 (магазин), без ограничений",№ 1135                Б 005918,17 июля 2006,по 17 июля 2011,до 18 июля 2013,,,,,,,,,,,,,,
,,,,,"216501, Смоленская область, г. Рославль, 15 микрорайон, д. 14 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
10,"ООО ""Горожанка""",6725017098,1116725000567,"216500, Смоленская область, г. Рославль, переулок Темирязева, д. 2","216500, Смоленская область, г. Рославль, ул. Октярьская, д. 29 (магазин), без ограничений",№ 2041                   Б 004762,20 июля 2011,до 20 июля 2012,,,,,,,,,,,,,,,
11,"ООО ""Трио""",6725012406,1066725012485,"216500, Смоленская область, г. Рославль, ул. Ленина, 77","216500, Смоленская область, г. Рославль, 15 микрорайон, в торце дома № 14 (торговый павильон) до 15%",№ 1113               Б 005882,10 июля 2006,по 10 июля 2011, до 11 июля 2012,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 3 (магазин)",,,,,,,,,,,,,,,,,,
12,"ООО ""Теремок""",6725012124,1066725011814,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 20, кв. 6","216500, Смоленская область, г. Рославль, 12-й микрорайон, пересечение ул. Красноармейская и 4-го Красноармейского переулка (павильон), до 15%",№ 1032                 Б 005805,30 июня 2006,по 30 июня 2011,до 01 июля 2016,,,,,,,,,,,,,,
13,"ООО ""Фрегат""",6725008150,1036700000204,"216500, Смоленская область, г. Рославль, ул. Урицкого, д. 14-а","216500, Смоленская область, г. Рославль, 16 микрорайон, д. 11 (магазин), без ограничений",№ 1109               Б 004958                      ( Г 301977),27 июня 2011,по 10 июля 2011, до 11 июля 2013,,,,,,,,,,,,,,
14,"ООО ""Ирина""",6725012075,1066725004851,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 23","216501, Смоленская область, г. Рославль, ул. Пролетарская, д. 47 (кафе), без ограничений",№ 1991                 Б 004791,18 июля 2011, до 07 апреля 2016,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, центр города (кафе), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216507, Смоленская область, г. Рославль, мкр-н 15-й, д. 22 (кафе), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216501, Смоленская область, г. Рославль, ул. Пролетарская (магазин ""Гурман""), без ограничений",,,,,,,,,,,,,,,,,,
15,"ООО ""Мария""",6725013713,1076725001165,"216500, Смоленская область, Рославльский район, г. Рославль, ул. Свердлова, д. 13 ""А""","216500, Смоленская область, Рославльский район, г. Рославль, ул. Свердлова, д. 13-а (магазин), без ограничений",№ 1588                 Б 005366,16 февраля 2011,по 19 ноября 2012,,,,,,,,,,,,,,,
,,,,,"216520, Смоленская область, Рославльский район, д. М. Кириллы, напротив Сельской фдминистрации, (павильон), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, Рославльский район, г. Рославль, ул. К. Маркса, д. 166 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
16,"ООО ""ПАВЛЕНТИЙ""",6725011498,1056700022280,"216500, Смоленская область, г. Рославль, ул. Каляева, д. 5 ","216500, Смоленская область, г. Рославль, ул. Каляева, д. 5 (магазин), без ограничений",№ 634                   Б 005350,07 февраля 2011,до 14 марта 2011,до 15 марта 2014,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, Рославльский район, дер. Перенка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
17,"ООО ""МАРТ""",6725007244,1026700926614,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 8-б","216500, Смоленская область, г. Рославль, ул. Пушкина, д. 47 (магазин)",№ 667                 Г 679273,04 апреля 2006,по 04 апреля 2011,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 8-б (торговый павильон)",,,,,,,,,,,,,,,,,,
,,,,,"216500,  Смоленская область, г. Рославль, 34 микрорайон, около д. 17 (торговая палатка)",,,,,,,,,,,,,,,,,,
18,"ООО ""ПАЛЬМИРА""",6725007445,1066725004708,"216500, Смоленская область, г. Рославль, 34 микрорайон, д. 12, кв. 29","216500, Смоленская область, г. Рославль, 3-й переулок Каляева, д. 2 (магазин ""Продукты"")",№ 694                  Г 245966,14 апреля 2006,по 14 апреля 2011,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, Рославльский район, д. Лесники (торговый павильон)",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Карла Маркса, остановка ""Братская"" (торговый павильон)",,,,,,,,,,,,,,,,,,
19,"ООО ""Качество""",6725011890,1056700026074,"216500, Смоленская область, г. Рославль, ул. Мичурина, д. 179","216500, Смоленская область, г. Рославль, ул. Мичурина, д. 179 (магазин)",№ 663                      Г 679270,27 марта 2006,по 27 марта 2011,,,,,,,,,,,,,,,
20,"ООО ""Свита""",672501222,1066725012100,"216500,Смоленская область, г. Рославль, ул. Красноармейская, д. 63","216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 63 (магазин), без ограничений",№ 898                Б 005687,29 июня 2006,по 29 июня 2011,до 30 июня 2016,,,,,,,,,,,,,,
21,"ООО ""Орфей""",6725012413,1066725012529,"216507, Смоленская область, г. Рославль, 16-й микрорайон, 22-а","216507, Смоленская область, г. Рославль, 16-й микрорайон, д. 22-а (павильон)",№ 1213                  Б 005996,27 июля 2006,по 27 июля 2011,до 28 июля 2012,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пушкина, д. 57 (магазин)",,,,,,,,,,,,,,,,,,
22,"ООО ""Теремок""",6725012452,1066725012562,"216530, Смоленская область, Рославльский район, дер. Коски","216530, Смоленская область, Рославльский район, дер. Коски (магазин), без ограничений",№ 1112                 Б 005880,10 июля 2006,по 10 июля 2011,до 11 июля 2012,,,,,,,,,,,,,,
23,"ООО ""Фрегат""",6725008150,1036700000204,"216500, Смоленская область, г. Рославль, ул. Урицкого, д. 14-а","216500, Смоленская область, г. Рославль, 16 микрорайон, д. 11 (магазин), без ограничений",№ 1109                 Б 004958,27 июня 2011,по 10 июля 2011,,,,,,,,,,,,,,,
