№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Турицкого, д. 14-а (магазин)",№ 1109                Б 005883,10 июля 2006,по 10 июля 2011,,исключение объекта,,,,,,,,,,,,,
24,"ООО ""Смирнов""",6725012131,1066725011836,"216500, Смоленская область, г. Рославль, 17-й микрорайон, 3, 17","216500, Смоленская область, г. Рославль, парк Культуры и отдыха им. 1-го Мая (кафе), без ограничений",№ 1253                  Б 004747,17 августа 2011,до 12 августа 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Товарная, д. 3 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
25,"ООО ""ФРЕГАТ""",6725012188,1066725011979,"216500, Смоленская область, г. Рославль, ул. Комсомольская, д. 2-а","216500, Смоленская область, г. Рославль, ул. Комсомольская, д. 2-а (магазин),без ограничений",№ 770                 Б 004902,03 июня 2011,до 06 июня 2012,,18 января 2012           снятие ограничений,,,,,,,,,,,,,
26,"ОАО ""Рославльлен""",6725003271,1026700925393,"216520, Смоленская область, Рославльский район, поселок Льнозавода, д. 30","216500, Смоленская область, Рославльский район, пос. Льнозавода, д. 19 (магазин), без ограничений",№ 2044                    Б 004769,02 августа 2011,до 02 августа 2013,,,,,,,,,,,,,,,
27,"ООО ""Фея""",6725015661,1106725000590,"216500, Смоленская область, г. Рославль, 3-й переулок Каляева, д. 2","216500, Смоленская область, г. Рославль, 3-й переулок Каляева, д. 2 (магазин), без ограничений",№ 1933                Б 005270,23 ноября 2010,по 23 ноября 2013,,,,,,,,,,,,,,,
28,"ООО ""Юр-Гора""",6725012332,1066725012408,"216500, Смоленская область, г. Рославль, ул. Мичурина, д. 187","216500, Смоленская область, г. Рославль, ул. Мичурина, д. 187 (магазин), без ограничений",№ 963                Б 004976,28 июня 2011,по 29 июня 2011, до 30 июня 2012,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Энгельса, д. 9 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пушкина, д. 43 (универсам)",,,,,,,,,,,,,,,,,,
29,"ООО ""Левушка""",6725014756,1096725000195,"216501, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 12","216501, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 12 (магазин), без ограничений",№ 1840                     Б 005378,22 февраля 2011,по 27 апреля 2014,,,,,,,,,,,,,,,
,,,,,"216410, Смоленская область, п. Шумячи, ул. Советская, д. 97 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216410, Смоленская область, п. Шумячи, ул. Заводская д. 93 (магазин) без ограничений",,,,,,,,,,,,,,,,,,
30,"ООО ""Валентина""",6725014210,1086725000548,"216500, Смоленская область, г. Рославль, ул. Товарная, д. 30","216500, Смоленская область, г. Рославль, ул. Митчурина, д. 179 (магазин), без ограничений",№ 1682                Б 005355,10 февраля 2011,по 24 июня 2013,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Товарная, д. 30 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
31,"ООО ""Черемушки""",6725012244,1066725012111,"216500, Смоленская область, г. Рославль, ул. Пушкина, д. 2","216500, Смоленская область, г. Рославль, ул. 2-ая Дачная, д. 10-а (магазин), без ограничений",№ 848                  Б 005489,20 мая 2011,по 19 июня 2011,до 20 июня 2015,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пушкина, д. 4-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пушкина, д. 2 (магазин), без ограничений",№ 848                Б 005294,16 декабря 2010,по 19 июня 2011,,исключение объекта,,,,,,,,,,,,,
32,"ООО ""Аксиус""",6725015069,1096725000712,"216500, Смоленская область, г. Рославль, 16 микрорайон, д. 5, кв. 43","216500, Смоленская область, г. Рославль, 16 микрорайон, напротив дома № 4 (торговый павильон), до 15%",№ 1938                    Б 005274,29 ноября 2010,по 29 ноября 2011,,,,,,,,,,,,,,,
33,"ООО ""ВОСТОК""",6725015647,1106725000579,"216540, Смоленская область, Рославльский район, д. Старое Сырокоренье","216533, Смоленская область, Рославльский район, с. Екимовичи, ул. Большая Советская, д. 65 (кафе), без ограничений",№ 1943                    Б 005285,10 декабря 2010,по 10 декабря 2013,,,,,,,,,,,,,,,
34,"ООО ""Людмила""",6725015333,1106725000062,"216533, Смоленская область, Рославльский район, с. Екимовичи, ул. Б. Советская","216533, Смоленская область, Рославльский район, с. Екимовочо, ул. Б. Советская (торговый павильон), без ограничений",№ 2038                Б 004777,22 июля 2011, до 22 июля 2016,,,,,,,,,,,,,,,
35,"ООО ""ЮНИС""",6725012325,1066725012342,"216500, Смоленская область, г. Рославль, ул. Святого князя Ростислава, 46","216500, Смоленская область, г. Рославль, 8-й Пролетарский переулок, д. 36-а (магазин)",№ 1145                   Б 005921,17 июля 2006,по 17 июля 2011,,,,,,,,,,,,,,,
36,"ООО ""Встреча""",6725009192,1026700925932,"216500, Смоленская область, г. Рославль, 16-й микрорайон, д. 3","216520, Смоленская область, Починовский район, дер. Мурыгино (магазин)",№ 891                 Б 005689,29 июня 2006,по 29 июня 2011,,,,,,,,,,,,,,,
,,,,,"216466, Смоленская область, г. Рославль, 16-й микрорайон, д. 3 (магазин)",,,,,,,,,,,,,,,,,,
37,"ООО ""Караван""",6725012149,1066725011924,"216500, Смоленская область, г. Рославль, ул.Красноармейский переулок, д. 8","216500, Смоленская область, г. Рославль, 17 микрорайон, остановка около д. 6 (магазин), без ограничений",№ 744                  Б 005296,16 декабря 2010,по 01 июля 2011,до 02 июля 2014,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Красноармейская, д. 102-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 35 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 4 Красноармейский переулок, д. 8 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,"216500, Смоленская область, г. Рославль, ул. Красина, д. 4","216500, Смоленская область, г. Рославль, 4 Красноармейский переулок, 8 (кафе), без ограничений",,16 декабря 2010,по 01 июля 2011,,смена юр адреса и исключение объекта,,,,,,,,,,,,,
38,"ООО ""БРИГ""",6725011970,1066725001298,"216500, Смоленская область, г. Рославль, ул. Святого князя Ростислава, д. 48","216500, Смоленская область, г. Рославль, ул. Святого князя Ростислава, д. 48 (магазин), без ограничений",№ 628                    Б 005354,28 февраля 2011,по 28 февраля 2012,,,,,,,,,,,,,,,
39,"ООО ""АЛТЕН""",6725011931,1056700026349,"216537, Смоленская область, Рославльский район, село Остер, ул. Советская, д. 13, кв. 7","216537, Смоленская область, Рославльский район, с. Остер, ул. Советская (магазин), без ограничений",№ 619                 Г 679221,14 февраля 2006,по 14 февраля 2011,до 15 февраля 2013,,,,,,,,,,,,,,
,,,,,"216440, Смоленская область, Рославльский район, с. Остер, ул. Пушкина, д. 7 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
40,"ООО ""Восток""",6725012340,1066725012375,"216500, Смоленская область, г. Рословль, ул. Пролетарская, 91-а","216500, Смоленская область, г. Рославль, ул. Б. Смоленская, д. 164 (магазин), без ограничений",№ 2070                 Г 301845,15 ноября 2011,до 15 ноября 2013,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 8 (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 91-а (кафе)",№ 1144                     Б 005913,17 июля 2006,по 17 июля 2011,,исключение объектя,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 91-а (магазин)",,,,,исключение объектя,,,,,,,,,,,,,
41,"ООО ""СМАК""",6725012357,1066725012419,"216500,Смоленская область, Рославльский район, д. Бовальское","216501, Смоленская область, Рославльский район, д. Бовальское (бар)",№ 1102                 Б 005879,10 июля 2006,по 10 июля 2011,,,,,,,,,,,,,,,
42,"ООО ""Калина""",6725012396,1066725012507,"216500, Смоленская область, г. Рославль, 1-й переулок Пушкина, 8 ","216500, Смоленская область, г. Рославль, 1-й переулок Пушкина, д. 8 (магазин), без ограничений",№ 1065               Г 679415,22 января 2007,по 05 июля 2011,,,,,,,,,,,,,,,
,,,,"216500, Смоленская область, г. Рославль, 15 микрорайон, д. 2","216500, Смоленская область, г. Рославль, 15 микрорайон, д. 2 (магазин), без ограничений",№ 1065               Б 005833,05 июля 2006,по 05 июля 2011,,смена юр лица и торгового объекта,,,,,,,,,,,,,
43,"ООО ""Аспасг""",6725012251,1066725012444,"216537, Смоленская область, Рославльский район, пгт. Остер, ул. Дорожная, 11","216537, Смоленская область, Рославльский район, пгт. Остер, ул. Дорожная, 11 (закусочная)",№ 1060                 Б 005839,05 июля 2006,по 05 июля 2011,,,,,,,,,,,,,,,
44,"ООО ""Станция технического обслуживания РААЗ""",6725010350,1036700002228,"216500, Смоленская область, г. Рославль, ул. Луговая, д. 20","216500, Смоленская область, г. Рославль, ул. Луговая, д. 20 (закусочная ""Транзит"")",№ 1522                Г 679522,11 июля 2007,по 11 июля 2012,,,,,,,,,,,,,,,
45,ФГУ ДЭП № 44,6725002310,1026700927912,"216500, Смоленская область, г. Рославль","216500, Смоленская область, г. Рославль, ул. Б. Смоленская, д. 28 (магазин ""Продукты"")",№ 1497               Г 679493,04 июня 2007,по 04 июня 2012,,,,,,,,,,,,,,,
46,"ООО ""Торгово-коммерческий центр""",6725009611,1026700925426,"216500, Смоленская область, г. Рославль, 15-й микрорайон, магазин ""Сапсан""","216500, Смоленская область, г. Рославль, 15-й микрорайон (магазин ""Сапсан"")",№ 1496               Г 679489,18 июня 2007,по 18 июня 2012,,,,,прекращена по заявлению лицензиата,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 15-й микрорайон (кафе-бар ""Сапсан"")",,,,,,,,,,,,,,,,,,
47,"ЗАО ""РААЗ АМО ЗИЛ""",6725005494,1026700922698,"216500, Смоленская область, г. Рославль, ул. Мичурина, 196","216500, Смоленская область, г. Рославль, 4-ый Смоленский пер. д. 49-а (столовая)",№ 1491                 Г 679483,24 мая 2007,по 24 мая 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Проектируемая, д. 4 (столовая)",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 15 микрорайон, ДК ""Россия"" (кафе)",,,,,,,,,,,,,,,,,,
48,"ООО ""Сельхозтехника""",6725011025,1056700000191,"216500, Смоленская область, г. Рославль, ул. Пушкина, д. 57","216500, Смоленская область, г. Рославль, ул. Советская, д. 57-а (кафе-бар ""Пирамида"")",№ 1487                      Г 679480,04 мая 2007,по 04 мая 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Советская, д. 82, 2-й этаж (кафе ""Встреча"")",,,,,,,,,,,,,,,,,,
49,"ООО ""Нико""",6725012773,1066725014080,"216500, Смоленская область, г. Рославль, ул. Гастелло, 3","216400, Смоленская область, г. Десногорск, 4 микрорайон, около д. 15 (магазин)",№ 1421                      Г 679402,27 декабря 2006,по 27 декабря 2011,,,,,,,,,,,,,,,
50,"ООО ""Топаз""",6725012815,1066725014135,"216520, Смоленская область, Рославльский район, д. М. Кириллы, напротив сельской администрации","216520, Смоленская область, Рославльский район, д. М. Кириллы, напротив сельской администрации (торговый павильон)",№ 1409                Г 679390,25 декабря 2006,по 25 декабря 2011,,,,,,,,,,,,,,,
51,"ООО ""Спутник""",6725012460,1066725012573,"216500, Смоленская область, г. Рославль, ул. Пушкина, 24","216500, Смоленская область, г. Рославль, ул. Пушкина, 24 (магазин)",№ 1389               Г 679373                     (Г 301936),12 декабря 2006,по 12 декабря 2011,до 12 декабря 2014,,,,,,,,,,,,,,
52,"ООО ""Люкс""",6725012082,1066725004862,"216500, Смоленская область, г. Рославль, 15 микрорайон, 2/2, 50","216500, Смоленская область, г. Рославль, ул. Б, Смоленская , остановка авт. № 8 и № 117 (торговый павильон)",№ 1361                  В 445779                           ( Г 301881),15 ноября 2006,по 15 ноября 2011,до 16 ноября 2016,,,,,,,,,,,,,,
53,"ООО ""Труженица""",6725012438,1066725012530,"216500, Смоленская область, г. Рославль, ул. Пролетарская, 137","216500, Смоленская область, г. Рославль, ул. Баумана (торговый павильон)", № 1346                     Б 005221,29 июня 2010,по 27 октября 2011,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул Пролетарская, ост. ""Жирокомбинат"" (торговый павильон)",,,,,,,,,,,,,,,,,,
54,"ООО ""Милена""",6725012477,1066725012595,"216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 91-Б","216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 91 ""Б"" (магазин), без ограничений",№ 1321                Б 005372,17 февраля 2011,по 04 октября 2011,,,,,,,,,,,,,,,
,,,,"216500, Смоленская область, г. Рославль, ул. Пролетарская, рынок (павильон ""Милена"")","216500, Смоленская область, г. Рославль, ул. Пролетарская, рынок (павильон ""Милена""), без ограничений",№ 1321                Б 005339,27 января 2011,по 04 октября 2011,,смена юр адреса и исключение объекта,,,,,,,,,,,,,
55,"ООО ""Визит""",6725002197,1026700925096,"216500, Смоленская область, г. Рославль, ул. Орджоникидзе, 12","216500, Смоленская область, г. Рославль, ул. Орджоникидзе, д. 12 (магазин)",№ 1243               Г 254880,08 августа 2006,по 08 августа 2011,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Б, Смоленская, д. 91-а (магазин)",,,,,,,,,,,,,,,,,,
56,"ООО ""Хуторок""",6725012389,1066725012474,"216500, Смоленская область,г. Рославль, ул. Зои Космодемьянской, напротив, д. 18А-19","216500, Смоленская область, г. Рославль, ул. Зои Космодемьянской, напротив д. 18А-19 (торговый павильон)",№ 1200                Б 005995,27 июля 2006,по 27 июля 2011,,,,,,,,,,,,,,,
57,"ООО ""Фудлайн""",6725012420,1066725012540,"216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 49-а","216500, Смоленская область, г. Рославль, ул. Пролетарская, д. 49-а (кафе)",№ 1172                Б 005948,19 июля 2006,по 19 июля 2011,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 16 микрорайон, остановка автобуса №7 (торговый павильон)",,,,,,,,,,,,,,,,,,
58,"ООО ""Любава""",6725013618,1076725000956,"216500, Смоленская область, Рославльский район, дер. Любовские Дворцы","216500, Смоленская область, Рославльский район, дер. Любовские Дворцы (закусочная)",№ 1538                  Г 679539,08 августа 2007,по 08 августа 2012,,,,,,,,,,,,,,,
59,"ООО ""ШАР-ПЕЙ""",6725013583,1076725000923,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 15-а","216500, Смоленская область, г. Рославль, ул. Ленина, д. 15-а (павильон ""Шар-пей"")",№ 1537                 Г 679538,08 августа 2007,по 08 августа 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пайтерова, д. 34 (магазин ""Фишка"")",,,,,,,,,,,,,,,,,,
60,"ООО ""Контакт""",6725013537,1076725000835,"216500, Смоленская область, г. Рославль, ул. Ленина, д. 55","216500, Смоленская область, г. Рославль, ул. Ленина, д. 55 (магазин ""Норд"")",№ 1527                 Г 679524,20 мюля 2007,по 20 июля 2012,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Пролетарская, 47 (павильон ""Меркурий"")",,,,,,,,,,,,,,,,,,
