№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ЗАО ""Диоген""",6726006275,1026700947063,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 47, строение 7","215500, Смоленская область, г. Сафоново, ул. Советская, д. 47, строение 3 (магазин), без ограничений",№ 818                 Б 005386,05 марта 2011,по 09 июня 2011,до 10 июня 2016,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Революционная, д. 8 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215750, Смоленская область, Дорогобужский район, п. Верхнеднепровский, ул. Ленина, д. 9-а(магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 47, строение 7 (магазин), без ограничений",,,,,,,,,,,
2,"ООО ""Трактир М-1""",6726010970,1066726001979,"215500, Смоленская область, г. Сафоново, 296 км. а/м Москва-Минск (правая сторона)","215500, Смоленская область, Сафоновский район, левая сторона 279 км. А,м Москва-Минск (кафе), без ограничений",№ 627                 Б 005383,28 февраля 2011,по 28 февраля 2014,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, правая сторона 296 км, ф/м Москва-Минск (кафе) без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, левая сторона 279 км. а/м Москва-Минск (магазин), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, правая сторона 296 км. ф/м Москва-Минск (магазин), до 15%",,,,,,,,,,,
3,"ООО ""Рубиных""",6726011363,1066726014717,"215500,Смоленская область, г. Сафоново, ул. Калинина, д. 49","215500, Смоленская область, г. Сафоново, ул. Калинина, д. 49 (магазин), без ограничений",№ 2049                 Б 004748,17 августа 2011,до 17 августа 2012,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Калинина, д. 49 (кафе), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 1(магазин), без ограничений",,,,,30 января 2012                          включение объекта,,,,,,
4,"ООО ""Глобус""",6726011620,1066726015322,"215500, Смоленская область, г. Сафоново, ул. Кирова, 4-а","215500, Смоленская область, г. Сафоново,ул. Кирова, д. 4-а (магазин), без ограничений",№ 1249                    Г 254893,11 августа 2006,по 11 августа 2011,до 12 августа 2016,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Кирова, д. 1 (магазин), без ограничений",,,,,,,,,,,
5,"ООО ""СВЕТЛАНА""",6726011317,1066726014630,"215500, Смоленская область, г. Сафоново, 2 микрорайон, д. 39, кв. 36","215500, Смоленская область, г. Сафоново, 1 микрорайон, около д. 27 (магазин), без ограничений",№ 793                 Б 005552,09 июня 2006,по 09 июня 2011,до 10 июня 2016,,,,,,,
6,"ООО ""Авангард""",6726504312,1086726001614,"215500, Смоленская область, г. Сафоново, ул. Октябрьская, д. 78","215500, Смоленская область, г. Сафоново, микрорайон № 1, д. 12-б (магазин), без ограничений",№ 1261                      Б 005025,26 ноября 2008,по 11 августа 2011,до 12 августа 2011,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, микрорайон №1, д. 13-в (магазин), без ограничений",,,,,,,,,,,
7,"ООО ""Эконом""",6726011116,1066726012704,"215500, Смоленская область, г. Сафоново, ул. Революционная, д. 8","215500, Смоленская область, г. Сафоново, ул. Революционная, д. 8 (магазин), без ограничений",№ 912                Б 005661,26 июня 2006,по 26 июня 2011,до 27 июня 2012,,,,,,,
8,"ООО ""КОРБИТ""",6726011490,1066726014904,"215500, Смоленская область, г. Сафоново, ул. Первомайская, д. 20, кв. 116","215550, Смоленская область, г. Сафоново, ул. Советская, д. 2(магазин), без ограничений",№ 939                Б 005446,22 апреля 2011,по 29 июня 2011,до 30 июня 2012,,,,,,,
9,"ООО ""БИС""",6726011437,1066726014827,"215500, Смоленская область, г. Сафоново, 1 микрорайон, д. 2","215500, Смоленская область, г. Сафоново, 1 микрорайон, д. 2 (магазин), без ограничений",№ 859                 Б 005630,22 июня 2006,по 22 июня 2011,до 23 июня 2012,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 39 (магазин), без ограничений",,,,,,,,,,,
10,"ООО ""РОМАШКА""",6726011395,1066726014740,"215500, Смоленская область, г. Сафоново, ул. Свободы, д. 4-б","215500, Смоленская область, г. Сафоново, ул. Свободы, д. 4-б (кафе), без ограничений",№ 840                 Б 005621,19 июня 2006,по 19 июня 2011,20 июня 2012,,,,,,,
11,"ООО ""КОЖЕНОВ""",6726011155,1066726012858,"215506, Смоленская область, г. Сафоново, 2 микрорайон, д. 12","215506, Смоленская область, г. Сафоново, мкр. 2, д. 12 (магазин), без ограничений",№ 873                 Б 005626,22 июня 2006,по 22 июня 2011,до 23 июня 2012,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Ленина, д. 13 (магазин), без ограничений",,,,,,,,,,,
,,,,,"215503, Смоленская область, г. Сафоново, 40 лет Октября, д. 1 (магазин), без ограничений",,,,,,,,,,,
12,"ООО ""СЛАВЯНКА""",6726011099,1066726012055,"215500, Смоленская область, г. Сафоново, ул. Комсомольская, д. 15 кв. 5","215500, смоленская область, г. Сафоново, ул. Советская, д. 6/8 (магазин), без ограничений",№ 2001               Б 005482,12 мая 2011,до 12 мая 2012,,,,,,,,
,,,,,"215500,Смоленская область, г. Сафоново, ул. Комсомольская, д. 15, кв. 5 (магазин), без ограничений",,,,,,,,,,,
13,"ООО ""КОРБИТ""",6726011490,1066726014904,"215500, Смоленская область, г. Сафоново, ул. Первомайская, д. 20, кв. 116","21550, Смоленская область, г. Сафоново, ул. Советская, д. 2 (магазин), без ограничений",№ 939                 Б 005446,22 апреля 2011,по 29 июня 2011,,,,,,,,
,,,,,"215500,Смоленская область, г. Сафоново, ул. Радищева, д. 11 (магазин)",,,,исключение объекта,,,,,,,
14,САФОНОВСКОМУ РАЙПО,6726001799,1026700945886,"215700, Смоленская область, г. Сафоново, ул. Гагарина, д. 24","215500, Смоленская область, г. Сафоново, микрорайон 2, д. 6 (магазин №2), без ограничений",№ 601                 Б 005385,000005,05 марта 2011,по 02 февраля 2016,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 21 (магазин №3), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Кутузова, д. 19 (магазин №4), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Городская, д. 28(магазин №5), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Северная, д. 9 (магазин №16), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. 1-ая Западная, д. 1(магазин №38), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 13 (магазин №51), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, микрорафон, ГМП, Д. 38 (магазин №55), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Красногвардейская, д. 33 (магазин ""Продукты""), без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Гагарина, д. 24 (магазин ""Торговый дом"") без ограничений",,,,,,,,,,,
,,,,,"215500, Смоленская область, Сафоновский район, д. Лесное,ул. Центральная, д. 2 (магазин ТПС), без ограничений",,,,,,,,,,,
