тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о продлении,ООО,ТЕЛЕЦ,"Забайкальский край, г. Чита, ул. Ползунова, д. 24",1067536044861,7536071616,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Высокая, 1 в",0282,02-Aug-12,20-Aug-12,20-Aug-14,75МЕ,003183,,,,
о выдаче,ООО,Тополек,"Забайкальский край, Оловяннинский район, п. Оловянная, ул. Станционная, 17",1057515021629,7515006221,751501001,магазин,Оловяннинский район,п.г.т. Оловянная,"ул. Гагарина, д. 15в",0287,03-Aug-12,03-Aug-12,03-Aug-14,75МЕ,003189,,,,
о переоформлении,РПО,Приаргунское районное потребительское общество,"Читинская область, Приаргунский район, п. Приаргунск, ул. Ленина, д. 20",1027500714120,7518001905,751801001,магазин,Приаргунский район,с. Дурой,"ул. Баженова, 34 Б",0288,03-Aug-12,03-Aug-12,03-Aug-17,75 МЕ,003169,,,,
о выдаче,ООО,Досатуйагроснаб,"Читинская область, Приаргунский район, п.Досатуй, ул.Советская, 50",1027500715330,7518000940,751801001,магазин,Приаргунский район,п. Досатуй,"ул. Советская, 50",0290,06-Aug-12,07-Aug-12,07-Aug-13,75МЕ,003193,,,,
о выдаче,ООО,Шанс,"Забайкальский край, Хилокский район, г. Хилок, ул. Кирова, 24",1067538005347,7538000850,753801001,отдел  в магазине,Хилокский район,г. Хилок,"ул. Кирова, 24",0291,06-Aug-12,07-Aug-12,07-Aug-13,75 МЕ,003194,,,,
о выдаче,ООО,Родион,"Забайкальский край, Нерчинский район, с. Заречное, ул. Школьная 9 а",1067513004558,7513005670,751301001,магазин,Нерчинский район,п. Заречный,ул. Школьная 9 а,0289,06-Aug-12,07-Aug-12,07-Aug-13,75МЕ,003192,,,,
о выдаче,ООО,БирСервис,"Забайкальский край, г. Чита, ул. Бабушкина, 149",1097536007843,7536106474,753601001,магазин,г. Чита,г. Чита,"ул. Бутина, 44, пом. 37",0179,06-Aug-12,28-Jun-12,28-Jun-14,75ме,003195,,,,
о выдаче,ООО,Гранит,"Забайкальский край, Читинский район, п.г.т.Атамановка, ул. Гагарина, 8а",1127524000383,7524017389,752401001,отдел в магазине,Читинский район,п.г.т. Атамановка,"ул. Гагарина, 8а",0292,06-Aug-12,06-Aug-12,06-Aug-14,75ме,003198,,,,
о выдаче,ООО,Фортуна,"Забайкальский край, Агинский район, п.г.т. Новоорловск, д. 5, пом.1",1068080021701,8001013159,800101001,магазин,Агинский район,пгт. Новоорловск,"д. 5, пом. 1",0297,07-Aug-12,07-Aug-12,07-Aug-13,75ме,003203,,,,
о выдаче,ООО,Ирина,"Забайкальский край, Могочинский район, г. Могоча, ул. Интернациональная, д.10, кв.48",1067527004027,7512004427,751201001,магазин,Могочинский район,г. Могоча,"ул. Березовая, 113-а",0298,07-Aug-12,07-Aug-12,07-Aug-13,75МЕ,003196,,,,
о продлении,ООО,Людмила,"Забайкальский край, Петровск-Забайкальский район, п. Новопавловка, ул. Совхозная, д. 34",1067538004753,7531004341,753101001,магазин,Петровск-Забайкальский район,п. Новопавловка,"ул. Совхозная, 34",0296,07-Aug-12,13-Aug-12,13-Aug-13,75МЕ,003202,,,,
о выдаче,ООО,Виктория,"Забайкальский край, г. Чита, ул. Белорусская, д. 7",1057536128210,7536065972,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Белорусская, д. 7",0294,07-Aug-12,17-Aug-12,17-Aug-13,75МЕ,003197,,,,
о выдаче,ООО,Инга,"Забайкальский край, Могочинский район, г. Могоча, ул. Связи, д. 6",1067527003950,7512004385,751201001,"магазин ""Инга""",Могочинский район,г. Могоча,"ул. Связи, д . 1-а",0293,07-Aug-12,07-Aug-12,07-Aug-15,75МЕ,003199,,,,
о выдаче,ООО,Рассвет,"Забайкальский край, Могочинский район,  г. Могоча, ул. Комсомольская, 6 а",1067527003939,7512004378,751201001,павильон,Могочинский район,г. Могоча,"ул. Комсомольская, 6 а",0295,07-Aug-12,07-Aug-12,07-Aug-15,75МЕ,003200,,,,
о продлении,ООО,Вираж,"Забайкальский край, Оловяннинский район, п. Оловянная, п/ст. Степь, ул. Рабочая, 6",1057515021585,7515006207,751501001,магазин,Оловяннинский район,ст. Степь,ул. Рабочая,0301,08-Aug-12,08-Aug-12,08-Aug-13,75МЕ,003210,,,,
о выдаче,ООО,Дружба,"Забайкальский край, Нерчинско-Заводский район, с.Нерчинский Завод, ул. 60 лет Октября, 28",1107530000050,7514003122,751401001,"отдел в магазине ""Дружба""",Нерчинско-Заводский район,с. Неерчинский Завод,"ул. 60 лет Октября, д. 28",0305,08-Aug-12,08-Aug-12,08-Aug-13,75 ме,003213,,,,
о выдаче,ООО,Магнит,"Забайкальский край, Нерчинский район, г.Нерчинск, ул.Шилова, д.32",1107513000264,7513006459,751301001,магазин,Нерчинский район,г. Нерчинск,"ул. Шилова, д. 32",0304,08-Aug-12,09-Aug-12,09-Aug-13,75МЕ,003112,,,,
о переоформлении,ООО,Колос,"Забайкальский край, г. Чита, ул. Украинский бульвар, д 13",1067536044256,7536071197,753601001,магазин,г. Чита,г. Чита,"п. Текстильщиков, мкр. 6, д.15",0303,08-Aug-12,17-Aug-12,17-Aug-13,75МЕ,003338,,,,
о продлении,ООО,АСА,"Забайкальский край, г. Чита, ул. Шевченко, д. 19, кв. 3",1067536044652,7536071550,753601001,кафе-закусочная,г. Чита,г. Чита,"ул. Лазо, д. 40, строение 4",0299,08-Aug-12,17-Aug-12,17-Aug-13,75МЕ,003207,,,,
о продлении,ООО,Порт,"Забайкальский край, г. Чита, ул. Звездная, 7",1067536045224,7536071670,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Звездная, 7",0302,08-Aug-12,21-Aug-12,21-Aug-13,75МЕ,003208,,,,
о продлении,ООО,Лиза,"Забайкальский край, Нерчинский район, п. Приисковый, ул. Вокзальная, 16",1067513008540,7513005744,751301001,отдел в магазине,Нерчинский район,п. Приисковый,"ул. Вокзальная, 16",0300,08-Aug-12,31-Aug-12,31-Aug-13,75МЕ,003209,,,,
о переоформлении,ООО,Удача,"Забайкальский край, г. Чита, ул. Металлистов, д.19, кв.1",1077536004490,7536079076,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Кочеткова, д.55, пом.1",0306,08-Aug-12,08-Aug-12,08-Aug-17,75ме,003304,,,,
о выдаче,ООО,Сити Паб,"Забайкальский край, г. Чита, ул. Ленинградская, д.58, пом.4",1127536004089,7536127900,753601001,кафе-закусочная,г. Чита,г. Чита,"ул. Ленинградская, 58",0309,09-Aug-12,09-Aug-12,09-Aug-13,75МЕ,003219,,,,
о выдаче,ООО,Атлантида и К,"Забайкальский край, г. Чита, ул. Ленина, 77а",1037550004304,7536050493,753601001,"организация общественного питания (ресторан ""Атлантида"")",г. Чита,г. Чита,ул. Ленина 77а,0307,09-Aug-12,09-Aug-12,09-Aug-17,75ме,003215,,,,
о продлении,ООО,Комета,"Забайкальский край, Борзинский район, п. Шерловая Гора, ул. Ленина, 6",1027501008226,7529000195,752901001,"магазин ""Семерка""",Борзинский район,п. Шерловая Гора,"ул. Ленина, 6",0311,10-Aug-12,07-Sep-12,07-Sep-13,75МЕ,003223,,,,
о выдаче,ООО,Импульс,"Забайкальский край, г. Чита, Центральный район, ул. Журавлева, 106",1067536018439,7536068483,753601001,отдел в магазине,г. Чита,г. Чита,"Ул. Журавлева, 106",0313,10-Aug-12,10-Aug-12,10-Aug-15,75МЕ,003224,,,,
