тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,ООО,Сказка,"Борзинский р-он, п.Шерловая Гора, ул.Ленина 8",,7529000413,752901001,магазин,Борзинский район,п. Шерловая Гора,ул.Ленина 8,762160,09-Jul-03,09-Jul-03,09-Jul-13,,,,,,
о выдаче,ООО,Уголек,"Борзинский р-он, п.Шерловая-1, ул.50 лет Октября, 22",,7529001054,752201001,магазин,Борзинский район,п. Шерловая-1,ул.Дзержинского 4,Г076244,11-Jun-04,11-Jun-04,11-Jun-14,,76244,,,,
о выдаче,ООО,Чита-Алкоголь,"Забайкальский край, г. Чита, Центральный район, ул. Хабаровская, 5",1037550007472,7536050567,753601001,магазин,г. Чита,г. Чита,"ул.Железобетонная, 6 б, помещение 2",0308,30-Oct-06,09-Aug-12,09-Aug-13,75МЕ,003220,,,,
о выдаче,ООО,Агаевы,"Читинская область, Приаргунский район, п. Молодежный, ул. Целинная, 8",,7518006325,751801001,"отдел в магазине ""Центр""",Приаргунский район,п. Молодежный,"ул. Целинная, 8",851,05-Oct-07,05-Oct-07,04-Oct-12,75МЕ,000983,В,001030,,
о выдаче,ООО,РИМ,"Читинская область, Читинский район, пгт. Атамановка, Ул. Гагарина, 8-а",,7524014229,752401001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. Гагарина, 8-а",850,05-Oct-07,05-Oct-07,04-Oct-12,75МЕ,000892,В,001029,,
о выдаче,ООО,Владимир,"Читинская область, г. Чита, ул. Комсомольская, 10",,7536073885,753601001,"отдел в магазине ""Центр""",г. Чита,г. Чита,"ул. Комсомольская, 10",852,05-Oct-07,05-Oct-07,04-Oct-12,75МЕ,000984,В,001031,,
о выдаче,ООО,"Торговый Дом ""Виолина""","г. Чита, ул. Выстовочная, 2",,7536005797,753601001,"кафе ""Виолина""",г. Чита,г. Чита,"ул. Выставочная, 2",853,08-Oct-07,08-Oct-07,07-Oct-12,75МЕ,000985,В,001032,,
о выдаче,ООО,Парк-Отель,"Читинская область, г. Чита, ул. Магистральная, 78",,7536083812,753601001,организация общественного питания,г. Чита,г. Чита,"Железнодорожный район, ул. Магистральная, 78",856,09-Oct-07,09-Oct-07,08-Oct-12,75МЕ,000989,В,001038,,
о переоформлении,ООО,Карат,"Забайкальский край, г. Чита, ул. Пограничная,17",,7536073902,753601001,организация общественного питания,г. Чита,г. Чита,"Центральный район, ул. Чкалова, 149 (не осуществляют)",855,09-Oct-07,09-Oct-07,08-Oct-12,75МЕ,000988,В,001037,,
о выдаче,ООО,Лаура,"Читиснкая область, г.Чита, ул.Крымская,5",,7536070242,753601001,бар с посадочными местами,г. Чита,г. Чита," ул.Крымская,5",857,25-Oct-07,25-Oct-07,24-Oct-12,75МЕ,000993,В,001044,,
о переоформлении,ООО,Абсолют,"Читинская область, г. Чита, ул. Недорезова, 32",,7536081981,753601001,"отдел в ТЦ ""Парад""",г. Чита,г. Чита,"Центральный район, ул. Ленина, 43, помещение 9",858,29-Oct-07,29-Oct-07,28-Oct-12,75МЕ,000995,ВВ,000231,,
о переоформлении,ООО,Андрей,"Читинская область, Акшинский район, с. Могойтуй, ул. Школьная, д.6",1077515000045,7501002805,750101001,отдел в магазине,Акшинский район,с. Акша,"ул. Карла Маркса, д.25",0278,31-Oct-07,31-Oct-07,30-Oct-12,75МЕ,003167,,,,
о выдаче,ООО,Алькор,"Читинская область, г. Чита, ул. Строителей, 23",,7537000223,753701001,магазин,г. Чита,г. Чита,"Черновский район, ул. Строителей, 23",860,31-Oct-07,31-Oct-07,30-Oct-12,75МЕ,000998,В,001048,,
о переоформлении,ООО,Вест,"Забайкальский край, п.г.т.Агинское, ул. Ленина, 180 а",1078080001482,8001014466,800101001,магазин,Агинский район,пгт. Агинское,ул. Ленина 180-А магазин «Вест»,178,22-Nov-07,22-Nov-07,21-Nov-12,,,,,,
о выдаче,ООО,Нордик,"Читинская область, г. Чита, ул. Чкалова, 93",,7536001320,753401001,"бар в кафе ""Трактир""",г. Чита,г. Чита,"Центральный район, ул. Чкалова, 93",861,23-Nov-07,23-Nov-07,23-Nov-12,75МЕ,001000,В,001058,,
о переоформлении,ООО,Ангара,"Забайкальский край, г. Чита, ул. Шилова, 100, строение 2",1077536011717,7536085785,753601001,"бар в кафе ""Шоколадница""",г. Чита,г. Чита,"ул. Ленинградская, 36, пом. 20",160,27-Nov-07,27-Nov-07,26-Nov-12,,,,,,
о переоформлении,ООО,Старс-Инвест,"Забайкальский край, г. Чита, ул. Новозаводская, 38",1077536004061,7536078844,753601001,"отдел в магазине ""Продукты""",г. Чита,г. Чита,"Ингодинский район, ул. Новозаводская, 38",0586,27-Nov-07,27-Nov-07,26-Nov-12,75МЕ,002538,,,,
о выдаче,ООО,Байкал,"Читинская область, Шилкинский район, п. Первомайский, ул. Пролетарская, 3",,7527007981,752701001,отдел в магазине,Шилкинский район,п. Первомайский,"ул. Пролетарская, 3",864,27-Nov-07,27-Nov-07,26-Nov-12,75МЕ,001003,В,001061,,
о выдаче,ООО,Удача,"Читинская область, г. Чита, ул. Июньская, 4",,7536083266,753601001,магазин,г. Чита,г. Чита,"Ингодинский район, 1 мкр. Д. 4, пом.16",866,28-Nov-07,28-Nov-07,27-Nov-12,75МЕ,001007,В,001065,,
о переоформлении,ООО,Лидия,"Читинская область, г. Шилка, ул. Пузырева, 6",,7527008008,752701001,"отдел в магазине ""Лидия""",Шилкинский район,г. Шилка,"ул. Пузырева, 6",868,28-Nov-07,28-Nov-07,27-Nov-12,75МЕ,001005,В,001137,,
о выдаче,ООО,Абсолют,"Читинская область, Читинский район, с. Засопка, ул. Школьная, 8",,7524014211,752401001,отдел в магазине,Читинский район,с. Засопка,"ул. Школьная, 8",867,28-Nov-07,28-Nov-07,27-Nov-12,75МЕ,001006,В,001063,,
о выдаче,ООО,Бригантина,"Читинская область, г. Чита, ул. Малая, 10 А",,7536069430,753601001,отдел в магазине,г. Чита,г. Чита,"Центральный район, ул. Мостовая, 19, пом.1",869,28-Nov-07,28-Nov-07,27-Nov-12,75МЕ,001008,В,001066,,
о выдаче,ООО,Каркунов,"Читинская область, Шилкинский район, г. Шилка, ул. Дорожная, д.6, кв.2",,7527008054,752701001,отдел в магазине,Шилкинский район,г. Шилка,"ул. Заречная, 10",873,04-Dec-07,04-Dec-07,03-Dec-12,75МЕ,001014,В,001072,,
о переоформлении,ООО,ТЭМП,"Забайкальский край, Ононский  район, с. Новый Дурулгуй, ул. Ветрова, д.30",,7516002759,751601001,магазин,Ононский район,с.Новый Дурулгуй," ул. Ветрова, д.30",2,04-Dec-07,04-Dec-07,03-Dec-12,,,,,,
о переоформлении,ООО,Спутник,"г. Петровск-Забайкальский, ул. 50 лет ВЛКСМ, 41",,7531004920,753101001,"отдел в магазине ""Ива""",г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. 50 лет ВЛКСМ, 38",128,04-Dec-07,04-Dec-07,03-Dec-12,,,,,,
о выдаче,ООО,Меркурий,"Читинская область, Читинский район, с. Верх-Чита, ул. Центральная, д.20 а",,7524014370,752401001,отдел в магазине,Читинский район,с. Верх-Чита,"ул. Центральная, 20 а",871,04-Dec-07,04-Dec-07,03-Dec-12,75МЕ,001012,В,001068,,
о выдаче,ООО,фирма САНЭ,"Читинская область, г. Чита, ул. Ленская, 40-а",,7537009642,753701001,магазин,г. Чита,г. Чита,"Черновский район, ул. Ленская, 40а",874,04-Dec-07,04-Dec-07,03-Dec-12,75МЕ,001011,В,001071,,
о выдаче,ООО,МММ,"Читинская область, Читинский район, с. Засопка, ул. Центральный квартал, 16",,7524014483,752401001,отдел в магазине,Читинский район,с. Засопка,"ул. Центральный квартал, 16",876,05-Dec-07,05-Dec-07,04-Dec-12,75МЕ,001019,В,001076,,
о переоформлении,ПО,Мангутское сельское потребительское общество,"Забайкальский край, Кыринский район, с. Мангут, ул. Ленина, 53",1047500000448,7510002456,751001001,магазин №1,Кыринский район,с. Мангут,"ул. Ленина, 82",0724,06-Dec-07,06-Dec-07,05-Dec-12,75МЕ,002703,,,,
о выдаче,ООО,Артур,"Читинская область, г. Чита, пер. Прямой, д.2, кв.2 а",,7536081942,753601001,отдел в павильоне,г. Чита,г. Чита,"ул. Энтузиастов, 94 б",878,06-Dec-07,06-Dec-07,05-Dec-12,75МЕ,001020,В,001077,,
о выдаче,ООО,Скорпион,"Читинская область, г. Чита, ул. Волжская, 16",,7536077150,753601001,павильон,г. Чита,г. Чита,"Черновский район, ул. Волжская, 16",880,11-Dec-07,11-Dec-07,10-Dec-12,75МЕ,001027,В,001082,,
о переоформлении,ОАО,"Железнодорожная торговая компания (Читинский филиал ОАО ""Железнодорожная торговая компания"")","Читинская область, г. Чита, ул. Газимурская, д. 1 (г. Москва, ул. Новорязанская, 12)",,7708639622,770801001,магазин №24,Забайкальский район,ст. Арабатук,,881,12-Dec-07,12-Dec-07,11-Dec-12,,,,,,
о переоформлении,ООО,Гермес,"Читинская область, г. Чита, ул. Верхоленская, д. 2а",,7536066670,753601001,"отдел в ТЦ ""Царский""",г. Чита,г. Чита,"Центральный район, ул. Красной Звезды, 58",882,13-Dec-07,13-Dec-07,12-Dec-12,75МЕ,001029,ВВ,000103,,
о переоформлении,ООО,Ага Трейд,"Забайкальский край, Агинский район, пгт. Агинское, ул. Цыбикова, 7",1078080002010,8001014554,800101001,отдел в магазине,Агинский район,с. Амитхаша,"ул. 33-х Партизан, 8",0017,17-Dec-07,17-Dec-07,17-Dec-12,75 ме,002831,,,,
о переоформлении,ООО,Виктория,"Забайкальский край, Могочинский район, п.г.т. Ксеньевка, ул. Комсомольская, 11б",1077527000803,7512004890,751201001,магазин,Могочинский район,пгт. Ксеньевка,"ул. Комсомольская, 11-б",188,18-Dec-07,18-Dec-07,17-Dec-12,,,,,,
о переоформлении,ООО,Атлантида,"Забайкальский край, г. Чита, ул. Ленина, 77 а",1077536011266,7536085305,753601001,организация общественного питания (отдел в пиццерии),г. Чита,г. Чита,"ул. Ленина, 77 а",0516,20-Dec-07,20-Dec-07,19-Dec-12,75МЕ,002462,ВВ,001331,,
о переоформлении,ПО,Борзинское потребительское общество,"Забайкальский край,  г. Борзя, ул. Ленина, 27",1027501009062,7529009014,752901001,магазин,Борзинский район,с. Чиндант,"ул. Лазо, 40",96,20-Dec-07,20-Dec-07,19-Dec-12,,,,,,
о выдаче,ООО,Аленка,"Читинская область, Александрово-Заводский район, с. Александровский Завод, ул. Стрелкова, б/н",,7502002445,750201001,отдел в магазине,Александрово-Заводский район,с. Александровский Завод,"ул. Стрелкова, б/н",887,21-Dec-07,21-Dec-07,20-Dec-12,75МЕ,001035,В,001090,,
о выдаче,ООО,Весна,"Читинская область, Александрово-Заводский район, с. Александровский Завод, ул. Стрелкова, 39",,7502002420,750201001,отдел в магазине,Александрово-Заводский район,с. Александровский Завод,"ул. Стрелкова, 39",888,24-Dec-07,24-Dec-07,23-Dec-12,75МЕ,001036,В,001098,,
о выдаче,ООО,Забота,"Читинская область, г. Чита-30, 4 мкр, дом 14",,7537006761,753701001,магазин,г. Чита,г. Чита,"4 мкр, д.14",893,26-Dec-07,26-Dec-07,25-Dec-12,75МЕ,001041,В,001105,,
о выдаче,ООО,Доминант,"Читинская область, Борзинский район, г. Борзя, ул. Ленина, д. 3, кв. 2",,7529011020,752901001,"отдел в торговом павильоне""Пирамида""",Борзинский район,г. Борзя,"ул. Богдана Хмелицкого, д.1-а",889,26-Dec-07,26-Dec-07,25-Dec-12,75МЕ,001037,В,001101,,
о выдаче,ООО,Мираж,"Читинская область, Борзинский район, г. Борзя, ул. Лазо, 94 б/1",,7529007338,752901001,"отдел в магазине ""Новинка""",Борзинский район,г. Борзя,"ул. Лазо, 51 а",890,26-Dec-07,26-Dec-07,25-Dec-12,75МЕ,001038,В,001102,,
о выдаче,ООО,Луч,"Читинская область, Карымский район, пгт. Карымское, ул. Мира, 1а",,7508005643,750801001,отдел в магазине,Карымский район,пгт. Карымское,"ул. Мира, д. 1 а",892,26-Dec-07,26-Dec-07,25-Dec-12,75МЕ,001040,В,001104,,
о выдаче,ООО,Анастасия,"Читинская область, г. Чита, ул. Аграрная, д. 11",,7536068469,753601001,отдел в павильоне,г. Чита,г. Чита,"Железнодорожный район, ул. Аграрная, д. 11",894,27-Dec-07,27-Dec-07,26-Dec-12,75МЕ,001043,В,001112,,
о выдаче,ООО,ДОЛиК,"Читинская область, г. Чита, мкр. Северный, д. 9",,7536077819,753601001,отдел в магазине,г. Чита,г. Чита,"Центральный район, мкр. Северный, д. 9",896,27-Dec-07,27-Dec-07,26-Dec-12,75МЕ,001045,В,001116,,
о выдаче,ООО,Людмила,"Читинская область, г. Чита, ул. Энтузиастов, д. 91, пом.2",,7536086355,753601001,магазин,г. Чита,г. Чита,"Черновский район, ул. Энтузиастов, д. 91, пом.2",895,27-Dec-07,27-Dec-07,26-Dec-12,75МЕ,001044,В,001113,,
о выдаче,ООО,Галина-М,"Забайкальский край, Дульдургинский район,  с. Дульдурга ул. Шилова, 2б",,8002003315,800201001,магазин,Дульдургинский район,с. Дульдурга," ул. Комсомольская, 58, «Сигнал»",17,27-Dec-07,27-Dec-07,28-Dec-12,Г 963604,,,,,
о выдаче,ООО,Эллада,"Читинская область, Читинский район, пгт. Атамановка, ул. 1-ая Ерничная, 26",,7524014388,752401001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. 1-ая Ерничная, 26, строение 2",900,29-Dec-07,29-Dec-07,28-Dec-12,75МЕ,001051,В,001128,,
о выдаче,ООО,Парусник,"Читинская область, Читинский район, пгт. Новокручининский, ул. Геологическая, 2а",,7524014500,752401001,отдел в магазине,Читинский район,пгт. Новокручининский,"ул. Геологическая, 2а",899,29-Dec-07,29-Dec-07,28-Dec-12,75МЕ,001054,В,001121,,
о выдаче,ООО,Прогресс 2001 год,"Читинская область, г. Чита, п. Аэропорт, д. 18",,7537011338,753701001,магазин,г. Чита,г. Чита,"Черновский район, Дворцовский тракт, 58",897,29-Dec-07,29-Dec-07,28-Dec-12,75МЕ,001047,В,001119,,
о выдаче,ООО,Жасмин,"Читинская область, г. Чита, ул. Строителей, 75а",,7536079037,753601001,павильон,г. Чита,г. Чита,"Черновский район, ул. Строителей, д.75 а",898,29-Dec-07,29-Dec-07,28-Dec-12,75МЕ,001053,В,001122,,
о выдаче,МП,МП Хэшэг,"Забайкальский край, Дульдургинский район, с. Алханай, ул. Далаева, 17",,8002003330,800201001,магазин,Дульдургинский район,с. Алханай,"ул. Далаева, 17",Г 963609,29-Dec-07,29-Dec-07,29-Dec-12,,,,,,
о выдаче,ООО,Надежда,"Читинская область, Сретенский район, г. Сретенск, ул. Луначарского, 192",,7519001168,751901001,павильон,Сретенский район,г. Сретенск,"ул. Клубная, д. 45 Е",902,11-Jan-08,11-Jan-08,10-Jan-13,75МЕ,001055,В,001129,,
о выдаче,ООО,Легенда,"Читинская область, г. Краснокаменск, 6 мкр., южная часть дома №616",,7530011868,753001001,павильон,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"6 мкр., южаня часть д. 616",904,14-Jan-08,14-Jan-08,13-Jan-13,75МЕ,001058,В,001132,,
о выдаче,ООО,Интерсервис,"Читинская область, Оловяннинский район, п. Ясногорск, ул. Мира, 14/1",,7529009504,751501001,отдел в павильоне,Оловяннинский район,п. Ясногорск,"мкр. Степной, 7",903,14-Jan-08,14-Jan-08,13-Jan-13,75МЕ,001056,В,001130,,
о выдаче,ООО,Панкратион,"Читинская область, г. Чита, ул. Строителей, 87 А",,7537002566,753701001,павильон,г. Чита,г. Чита,"ул. Строителей, 6 А",905,14-Jan-08,14-Jan-08,13-Jan-13,75МЕ,001057,В,001135,,
о выдаче,ООО,Марал,"Читинская область, Читинский район, с. Маккавеево, ул. Бутина, 106",,7524006154,752401001,отдел в магазине,Читинский район,с. Маккавеево,"ул. Бутина, 106",906,17-Jan-08,17-Jan-08,16-Jan-13,75МЕ,001060,В,001136,,
о выдаче,ООО,Елена,"Читинская область, Ононский район, с. Нижний Цасучей, ул. Комсомольская, 74 Б",,7516002766,751601001,отдел в магазине,Ононский район,с. Нижний Цасучей,"ул. Комсомольская, 74 Б",908,22-Jan-08,22-Jan-08,21-Jan-13,75МЕ,001062,В,001140,,
о переоформлении,ООО,Софи,"Читинская область, г. Чита, 1 мкр., дом 43",,7536086796,753601001,магазин,г. Чита,г. Чита,"1 мкр., дом 43, пом. 42",911,23-Jan-08,23-Jan-08,22-Jan-13,75МЕ,001065,ВВ,000192,,
о выдаче,ПО,Сибирь,"Читинская область, Кыринский район, с. Кыра, ул. Ленина, 14",,7510002463,751001001,"машазин ""Весна""",Кыринский район,с. Кыра,"ул. Аносова, 17",909,23-Jan-08,23-Jan-08,22-Jan-13,75МЕ,001066,ВВ,000006,,
о выдаче,ООО,Золотая рыбка,"Читинская область, г. Чита, ул. Бабушкина, 32-б, помещение 205",,7536086130,753601001,магазин,г. Чита,г. Чита,"Ингодинский район, ул. Бабушкина, 32-б, пом. 205",910,24-Jan-08,24-Jan-08,23-Jan-13,75МЕ,001064,ВВ,000001,,
о выдаче,ООО,Луч,"Читинская область, Хилокский район, с. Линево Озеро, ул. Мира, 43 а, кв. 1",,7538001124,753801001,отдел в магазине,Хилокский район,с. Линево Озеро,"ул. Садовая, 10-а",912,25-Jan-08,25-Jan-08,24-Jan-13,75МЕ,001068,ВВ,000008,,
о переоформлении,ООО,Пионер,"Забайкальский край, г.Краснокаменск,  УМП Центр"" склад №7, блок № 2",1067530007192,7530011434,751401001,"отдел в магазине ""Амур""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск, подвальное помещение жилого дома 108 (действует с 24.09.2009),220,31-Jan-08,31-Jan-08,30-Jan-13,,,,,,
о выдаче,ООО,фирма Нюанс,"Читинская область, г. Чита, ул. Космонавтов, 10",,7537001403,753701001,отдел в магазине,г. Чита,г. Чита,"Черновский район, ул. Космонавтов, 10, пом. 2",913,31-Jan-08,31-Jan-08,30-Jan-13,75МЕ,001069,ВВ,000009,,
о выдаче,ООО,Амта,"Забайкальский край, Дульдургинский район,  с. Дульдурга, ул. Гагарина,46",1078080002747,8002003481,,магазин,Дульдургинский район,с. Дульдурга,"ул. Гагарина, 46",Г 963610,31-Jan-08,31-Jan-08,31-Jan-13,,,,,,
о выдаче,ООО,ОРИОН,"Читинская область, г. Чита, ул. Советская, 15 А",,7536050408,753501001,отдел в павильоне,г. Чита,г. Чита,"Железнодорожный район, ул. Советская, 15 А",916,07-Feb-08,07-Feb-08,06-Feb-13,75МЕ,001074,ВВ,000020,,
о переоформлении,ООО,Магнат,"Читинская область, Приаргунский район, с. Староцурухайтуй, ул. Садовая, 17-б",1077530001152,7518006607,751801001,отдел в магазине,Приаргунский район,с. Староцурухайтуй,"ул. Садовая, 17-б",915,07-Feb-08,07-Feb-08,06-Feb-13,,,,,,
о выдаче,ООО,Адар,"Читинская область, Сретенский район, пгт. Кокуй, ул. 1-я Луговая, 18",,7519003870,751901001,"бар в кафе ""Радуга""",Сретенский район,пгт. Кокуй,"ул. 1-я Луговая, 18",919,11-Feb-08,11-Feb-08,10-Feb-13,75МЕ,001063,ВВ,000029,,
о выдаче,ООО,ЭГО,"Читинская область, г. Чита, ул. Ярославского, 40/69",,7536077914,753601001,отдел в магазине,г. Чита,г. Чита,"Железнодорожный район, ул. Ярославского, 40",918,11-Feb-08,11-Feb-08,10-Feb-13,75МЕ,001077,ВВ,000025,,
о выдаче,ООО,Антон,"Читинская область, Акшинский район, с. Урейск, ул. Центральная, 85",,7501002820,750101001,отдел в магазине,Акшинский район,с. Урейск,"ул. Центральная, д. 85 а",920,13-Feb-08,13-Feb-08,12-Feb-13,75МЕ,001078,ВВ,000031,,
о выдаче,ООО,ЕЛАН,"Читинская область, Читинский район, с. Новая Кука, мкр. Забайкальская птицефабрика, 13-1",,7524013401,752401001,отдел в магазине,Читинский район,с. Новая Кука,"мкр. Забайкальская птицефабрика, д. 1-13",921,13-Feb-08,13-Feb-08,12-Feb-13,75МЕ,001079,ВВ,000032,,
о выдаче,ООО,Первый,"Читинская область, Каларский район, с. Икабья, 1 микрорайон, здание 24",,7506004387,750601001,отдел в магазине,Каларский район,с. Икабья,"1 микрорайон, здание 24",924,15-Feb-08,15-Feb-08,14-Feb-13,75МЕ,001084,ВВ,000036,,
о выдаче,ООО,Степное,"Читинская область, Борзинский район, г. Борзя, ул. Дзержинского, 26 А",,7529011165,752901001,отдел в магазине,Борзинский район,г. Борзя,"ул. Дзержинского, 26 А",922,15-Feb-08,15-Feb-08,14-Feb-13,75МЕ,001086,ВВ,000042,,
о выдаче,ООО,Журавли,"Читинская область, Акшинский район, с. Нарасун, ул. Ленина, 68",,7501002851,750101001,отдел в магазине,Акшинский район,с. Нарасун,"ул. Ленина, 68",923,15-Feb-08,15-Feb-08,14-Feb-13,75МЕ,001087,ВВ,000043,,
о выдаче,ООО,Фортуна,"Читинская область, Читинский район, с. Старая Кука, ул. Трактовая, 87",,7524014395,752401001,отдел в магазине,Читинский район,с. Лесной городок,"ул. Центральная, 16 а",927,22-Feb-08,22-Feb-08,21-Feb-13,75МЕ,001095,ВВ,000046,,
о выдаче,ООО,Подполье,"Читинская область, г. Чита, ул. Онискевича, 4",,7535007833,753501001,магазин,г. Чита,г. Чита,"Железнодорожный район, ул Онискевича, 4",931,22-Feb-08,22-Feb-08,21-Feb-13,75МЕ,001099,ВВ,000054,,
о переоформлении,ООО,Феррит LTD,"Читинская область, г. Чита, ул. Онискевича (рынок)",,7534001211,753601001,киоск,г. Чита,г. Чита,"Железнодорожный район, ул. Онискевича, 17 а",930,22-Feb-08,22-Feb-08,21-Feb-13,75МЕ,001097,ВВ,000097,,
о выдаче,ООО,Золотой шар,"Читинская область, г. Чита, 1 микрорайон, 9 А",,7536086475,753601001,организация общественного питания (бар),г. Чита,г. Чита,"Ингодинский район, 1 мкр., 9 А, пом. 1",929,22-Feb-08,22-Feb-08,21-Feb-13,75МЕ,001094,ВВ,000052,,
о выдаче,ООО,СОМОН,"Читинская область, Борзинский район, г. Борзя-3, ДОС-1, кв.44",,7529010450,752901001,отдел в магазине,Борзинский район,г. Борзя,"микрорайон Борзя-2, 29-а",926,22-Feb-08,22-Feb-08,21-Feb-13,75МЕ,001091,ВВ,000047,,
о выдаче,ООО,Багульник,"Читинская область, Читинский район, с. Беклемишево, ул. Бурлова, 42 а",,7524014243,752401001,магазин,Читинский район,с. Беклемишево,"ул. Бурлова, 42 А",932,28-Feb-08,28-Feb-08,27-Feb-13,75МЕ,001102,ВВ,000058,,
о выдаче,ООО,Пеликан,"Читинская область, г. Чита, ул. Бутина, д. 46-а",,7536086901,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Бутина, 46-а",933,28-Feb-08,28-Feb-08,27-Feb-13,75МЕ,001104,ВВ,000059,,
о переоформлении,ООО,НАТЕЛЬ,"Читинская область, г. Петровск-Забайкальский, ул. Лесная, д. 4 в",,7531004623,753101001,отдел в магазине,г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Лесная, д.4 в",934,28-Feb-08,28-Feb-08,27-Feb-13,,,,,,
о переоформлении,ООО,Резонанс,"Забайкальский край, Борзинский район, г. Борзя, ул. Советская, д.4",1027501005685,7529005228,752901001,"магазин ""Бахус""",Борзинский район,г. Борзя,"Борзинский район, г. Борзя, ул. Лазо, д. 62 (действует с 31.03.2010)",935,08-Mar-08,25-Mar-08,24-Mar-13,,,,,,
о выдаче,ООО,Елена,"Читинская область, Каларский район, с. Чара, ул. Озерная, д.33 А",,7506004429,750601001,"отдел в магазине ""Удокан""",Каларский район,с. Чара,"ул. Озерная, 33 А",936,14-Mar-08,14-Mar-08,13-Mar-13,75МЕ,001108,ВВ,000066,,
о выдаче,ООО,Новинка,"Читинская область, г. Чита, п. Текстильщиков, 5 мкр, дом 55, помещение 1",,7536072641,753601001,магазин,г. Чита,г. Чита,"п. Текстильщиков, 5 мкр., д. 55, пом.1",937,19-Mar-08,19-Mar-08,18-Mar-13,75МЕ,001109,ВВ,000070,,
о выдаче,ООО,ПЕТРОС,"Читинская область, Нерчинско-Заводский район, с. Нерчинский Завод, ул. Красноармейская, дом 61",,7514002986,751401001,"отдел в магазине ""Виктория""",Нерчинско-Заводский район,с. Нерчинский Завод,"ул. Красноармейская, 57-1",938,19-Mar-08,19-Mar-08,18-Mar-13,75МЕ,001110,ВВ,000068,,
о выдаче,ООО,Исток,"Читинская область, Александрово-Заводский район, с. Новый Акатуй, ул. Чернышевского, д.2",,7502002413,750201001,отдел в магазине,Александрово-Заводский район,с. Новый Акатуй,"ул. Чернышевского, 2",939,19-Mar-08,19-Mar-08,18-Mar-13,75МЕ,001111,ВВ,000067,,
о переоформлении,ОАО,Региональный оптовый рынок материально-технического  и продовольственного снабжения Читинской области,"Читинская область, г. Чита, ул. Тобольская, 1",,7537008688,753601001,магазин,г. Чита,г. Чита,"ул. Тобольская, 1",940,26-Mar-08,26-Mar-08,25-Mar-13,75МЕ,001219,ВВ,000227,,
о выдаче,ООО,Лада,"Читинская область, ЗАТО п.Горный-1 (Чита-46), ул. Таежная, магазин ""Лада""",,7533000825,753301001,"магазин ""Лада""",ЗАТО п. Горный,ЗАТО п. Горный-1,ул. Таежная,943,31-Mar-08,31-Mar-08,30-Mar-13,75МЕ,001118,ВВ,000083,,
о выдаче,ООО,Иверия,"Читинская область, Могочинский район, п. Ключевский, ул. Школьная",,7512004875,751201001,отдел в магазине,Могочинский район,п. Ключевский,"ул. Школьная, 46",944,31-Mar-08,31-Mar-08,30-Mar-13,75МЕ,001119,ВВ,000082,,
о выдаче,ООО,У Елизаровича,"Читинская область, г. Чита, ул. Онискевича (Рынок)",,7535008700,753501001,павильон,г. Чита,г. Чита,"Центральный район, ул. Железобетонная, д. 6 в",946,04-Apr-08,04-Apr-08,03-Apr-13,75МЕ,001124,ВВ,000090,,
о выдаче,ООО,Восток,"Забайкальский край, Могойтуйский район, п. Могойтуй",,8003037765,800301001,магазин,Могойтуйский район,п. Могойтуй,"ул. Партизанская, д. 11а",0018,04-Apr-08,04-Apr-08,04-Apr-13,,,,,,
о выдаче,ООО,Золотой Дракон,"Читинская область, г. Чита, ул. Комсомольская, 42",,7536074656,753601001,"организация общественного питания ""Золотой Дракон""",г. Чита,г. Чита,"Железнодорожный район, ул. Комсомольская, д. 42",947,07-Apr-08,07-Apr-08,06-Apr-13,75МЕ,001126,ВВ,000091,,
о выдаче,ООО,Окраина,"Читинская область, г. Чита, ул. Евгения Гаюсана, 40 А",,7536089941,753601001,магазин,г. Чита,г. Чита,"Центральный район, ул. Евгения Гаюсана, 40 А (не работают)",949,14-Apr-08,14-Apr-08,13-Apr-13,75МЕ,001128,ВВ,000096,,
о переоформлении,ООО,Тюльпан,"Забайкальский край, Забайкальский район, с. Даурия, ДОС 815, КВ. 1",1077505000528,7505005116,750501001,"отдел в магазине ""Рома""",Забайкальский район,с. Даурия,"ДОС 750, пом. 21",0594,16-Apr-08,16-Apr-08,15-Apr-13,75МЕ,002548,,,,
о выдаче,ООО,Березовая роща,"Читинская область, Шилкинский район, п. Первомайский, ул. Мира, 18",,7527007484,752701001,бар в столовой №2,Шилкинский район,п. Первомайский,,951,18-Apr-08,18-Apr-08,17-Apr-13,75МЕ,001135,ВВ,000111,,
о выдаче,ООО,Лора,"Читинская область, г.Чита, ул.Московский тракт, дом.73",,7536082382,753601001,отдел в магазине,г. Чита,г. Чита,"Ингодинский район, Московский тракт, 57",953,21-Apr-08,21-Apr-08,20-Apr-13,75МЕ,001140,ВВ,000115,,
