№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Калужские магазины""",4025409459,1064025091844,"249190, Калужская область, г. Обнинск, ул. Гагарина, д. 35","216400, Смоленская область,г. Десногорск, центральная часть города (торгово-бытовой центр), без ограничений",№ 1892              Г 301995,23 декабря 2009,23 декабря 2014,,,,,,,,,,,,,,,
,,,,,"215810, Смоленская область, г. Ярцево, пер. Базарный, д. 7-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214018, Смоленская область, г. Смоленск, ул. Кирова, д. 41 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Рыленкова, д.17 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 82 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Н. неман, д. 26 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. 25 Сентября, д. 60 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214010, Смоленская область, г. Смоленск, Седова, д. 42 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Энгельса, д. 15 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево проспект Металлургов , д. 21 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214013, Смоленская область, г. Смоленск, ул. Кирова, д. 15 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 17 микрорайон, д. 14 (универсам ""Дикси - 573""), без ограничений",,,,,внесение объекта         10 января 2012,,,,,,,,,,,,,
,,,,,"215805, Смоленская область, г. Ярцево проспект Металлургов , д. 6-а, (универсам ""Дикси - 569), без ограничений",,,,,внесение объекта         10 января 2012,,,,,,,,,,,,,
2,"ООО ""М10-Ойл""",6924012440,1046900095802,"170521, Тверская область, Калининский район, 197 км. Автодороги Москва-Санкт-Петербург","Смоленская область, Вяземский район, 192-й км. (правая сторона) автодороги Москва-Минск (минимаркет), без ограничений",№ 1517                  Г 679512,26 июня 2007,26 июня 2012,,,,,,,,,,,,,,,
,,,,,"Смоленская область, Вяземский район, 192-й км. (левая сторона) автодороги Москва-Минск (минимаркет), без ограничений",,,,,,,,,,,,,,,,,,
3,"ООО ""Лукойл-Центрнефтепродукт""",7701285928,1027700000679,"129110, г. Москва, Олимпийский проспект, д. 5, строение 1","214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 79-а, АЗС (магазин)",№ 1715                  Г 679761,05 октября 2008,05 октября 2013,,,,,,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, 338 км. Автомагистрали Москва-Минск, АЗС (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"215800, Смоленская область, г. Ярцево, 338 км. Автомагистрали Москва-Минск, АЗС (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, в районе 227 км. Автомагистрали Москва-Минск, АЗС (магазин)",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, Вяземский район, Новосельское СП, АЗС (магазин)",,,,,,,,,,,,,,,,,,
4,"ООО ""Питон""",6711012420,1076723000848,"215235, Смоленская область, Новодугинский район, с. Днепровское, ул. Большая Советская, д. 18","215235, Смоленская область, Новодугинский район, с. Днепровское (кафе-бар ""Трактир"")",№ 1637                        Г 679658,13 февраля 2008,13 февраля 2013,,,,,,,,,,,,,,,
5,"ООО ""ОМКА""",5009012360,1025001279819,"142060, Московская область, Домодедовский район, дер. Гальчино, бульвар 60 лет СССР, 3","216290, Смоленская область, г. Велиж, ул. Володарского, д. 33 (магазин ""Ника"")",№ 1566                  Г 679572,28 сентября 2007,28 сентября 2012,,,,,,,,,,,,,,,
6,"ООО ""Арис-Центр""",4705020148,1024701243687,"188306, Ленинградская область, г. Гатчина, ул. Чехова, д. 25-а","215010, Смоленская область, Гагаринский район, трасса Москва-Минск 173 км (магазин прт АЗС №41), без ограничений",№ 1987                 Б 005426,04 апреля 2011,по 04 апреля 2012,,,,,,,,,,,,,,,
,,,,,"214523, Смоленская область, Смоленский район, д. Архиповка, трасса Москва-Минск 415 км (магазин при АЗС №39), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216125, Смоленская область, Краснинский район, д. красная Горка, трасса Москва-Минск 453 км (магазин при АЗС №40), без ограничений",,,,,,,,,,,,,,,,,,
7,"ЗАО ""ТАНДЕР""",2310031475,1022301598549,"350002, Краснодарский край, г. Краснодар, ул. Леваненского, д. 185","215010, Смоленская область, г. Гагарин, ул. Ленинградская набережная, д. 4 (магазин), без ограничений",№ 1376                  Б 004744,17 августа 2011,по 29 ноября 2011,до 30 ноября 2016,,,,,,,,,,,,,,
,,,,,"216240, Смоленская область, г. Демидов, ул. Хренова, д. 5-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215010, Смоленская область, г. Гагарин, ул. Строителей, д. 12 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215118, Смоленская область, г. Вязьма, ул. Юбилейная, д. 8-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215110, Смоленская область, г. Вязьма, ул. Заслонова, д. 1 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215111, Смоленская область, г. Вязьма, ул. Красноармейское шоссе, д. 39 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 3 микрорайон, здание дома быта (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 2 микрорайон, пристройка к дому №8 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215700, Смоленская область, г. Сафоново, ул. Ленинградская, д. 9 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, ул. Красина, д. 4 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215713, Смоленская область, г. Дорогобуж, ул. Мира, д. 16 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216330, Смоленская область, г. Ельня, микрорайон Кутузовский, д. 28 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214010, Смоленская область, г. Смоленск, ул. Седова, д. 13 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214011, Смоленская область, г. Смоленск, ул. Автозаводская, д. 25 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214019, Смоленская область, г. Смоленск, ул. 25 Сентября, д. 62/1 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214006, Смоленская область, г. Смоленск, ул. Г. Лукина, д. 2 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214032, Смоленская область, г. Смоленск, ул. Кловская, д. 9 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 52 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214036, Смоленская область, г. Смоленск, ул. М. Еременко, д. 2 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214030, Смоленская область, г. Смоленск, ул. М. Расковой, д. 2 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Рыленкова, д. 72 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214018, Смоленская область, г. Смоленск, ул. Кирова, д. 49 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214031, Смоленская область, г. Смоленск, ул. Твардовского, д. 10 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 76 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214001, Смоленская область, г. Смоленск, ул. Фрунзе, д. 42 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214025, Смоленская область, г. Смоленск, ул. Академика Петрова, д. 9-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Красногвардейская, д. 28 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"214004, Смоленская область, г. Смоленск, ул. Николаева, д. 21 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216500, Смоленская область, г. Рославль, 3-ий Красноармейский переулок, д. 4 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215810, Смоленская область, г. Ярцево, ул. М. Горького, д. 9/16 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
