1,69,13 МЕ,"ПО ""Большеигнатовское"",Б.Игнатово",1305037053,"продмаг № 2, с. Б.Игнатово, ул. Советская, 34",21,16/04/12,2-10-62,,Стрелкова Валентина Анатольевна
,,001996,"ул.Гражданская, 3",1041304002520,"универмаг, с. Б.Игнатово, ул. Гражданская, 3",,30/12/12,2-14-52,,Людмила Михайловна
,,,,,"продмаг № 1, с. Б.Игнатово, ул. Гражданская, 3",,,89093287988,пр.14.04.08,
,,,,,"кафе ""Лесное"", с. Б.Игнатово, ул. Советская, 34",,,,,
,,,,,"буфет, с. Б.Игнатово, ул. Советская, 34",,,,,
,,,,,"м-н ТПС, с.Андреевка, ул. Кооперативная, 36, Б.Игнатовский район",,,89625950706,в.06.05.08,
,,,,,"м-н ТПС с. Ст.Селище, Б.Игнатовский район",,,,,
,,,,,"м-н ТПС с. Ст. Чамзино, ул. Западная, 33 а, Б.Игнатовский район",,,2-13-60,,
,,,,,"магазин ТПС, с. Спасское, ул. Советская, 1, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Атяшево, ул. Центральная, 16, Б.Игнатовский район; ",,,,,
,,,,,"магазин ТПС, с. Аржадеево, ул. Центральная, 6, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Новое Баево, ул. Советская, 39, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Старые Селищи, ул. Садовая, 20, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Протасово, ул. Ленина, 15, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Новое Качаево, ул. Гагарина, 28, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Вермазейка, ул. Советская, 5, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Кучкаево, ул. Советская, 38, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Манаково, ул. Гагарина, 2, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Красная Нива, ул. Кооперативная, 3, Б.Игнатовский район;",,,,,
,,,,,"магазин ТПС, с. Киржеманы, ул. Советская, 31, Б.Игнатовский район;",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
