41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Потребительское общество,Первомайское районное потребительское общество,7012000103,1689894,Первомайский район с. Первомайское,"ул. Ленинская, 23",Первомайский район,"с. Перволмайское, ул.Ленинская,91/1",ТОМ,005467АЛ04,70МЕ,2047,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО ""Веста""",7012004309,55739241,Первомайский район,"с. Первомайское, ул. Коммунальная, 6А",Первомайский район,,ТОМ,003241АЛ00,70МЕ,1075,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО ""Экстра-М""",7017058971,58915460,г. Томск,"ул.Герцена, 68, стр.2",Первомайский район,"с. Первомайское, ул. Ленинская, 29, пом. 3",ТОМ,005468АЛ08,70МЕ,2048,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО ""УЛУ-ЮЛТОРГ""",7012004789,264874,Первомайский район,"п.Улу-Юл, ул.Пролетарская, д.27",Первомайский район,,ТОМ,005458АЛ00,70МЕ,2036,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО ""Торговая Компания ""Куендат""",7012004884,76643433,Первомайский район,"с. Первомайское, ул. Гончарова, д. 4",Первомайский район,"с. Первомайское, ул. Ленинская, 41",ТОМ,003510АЛ01,70МЕ,1176,9/29/2011,9/29/2014,
Открытое акционерное общество,"ООО ""Универсам""",7012005415,,Первомайский район,"с. Первомайское, ул. Ленинская, д. 37",Первомайский район,"636930 с. Первомайская, ул. Ленинская, 37",ТОМ,005631АЛ01,70МЕ,2249,9/29/2011,9/29/2014,
Закрытое акционерное общество,"ЗАО ""РегионМарт-Томск""",7017187818,,г. Томск,"ул. Пролетарская, 38 В",Первомайский район,"с. Первомайское, ул. Ленинская, 25",ТОМ,004890АЛ19,70МЕ,2407,9/29/2011,9/29/2014,
Открытое акционерное общество,"ООО ""Удача""",7012005542,,Первомайский район,"п. Орехово, ул. Ленина, 4",Первомайский район,,ТОМ,004944АЛ00,70МЕ,433,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО""ПКФ"" ГИДРОРОС""",7012004429,,Первомайский район,"с. Первомайское, ул. Больничная,32",Первомайский район,,ТОМ,004956АЛ00,70МЕ,453,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Первомайский район,"п. Улу-Юл, ул. Советская, д. 3",ТОМ,004996АЛ96,70МЕ,1027,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО ""Меридиан""",7012765399,,Первомайский район,"с. Первомайское, ул. Трактовая, 12""а""",Первомайский район,,ТОМ,005041АЛ00,70МЕ,1093,9/29/2011,9/29/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Первомайский район,"с. Сергеево, ул. Коммунальная, 1а",ТОМ,005106АЛ11,70МЕ,1215,5/10/2008,5/10/2013,
Общество с ограниченной ответственностью,"ООО ""Фортуна""",7012005493,,Первомайский район,"с. Крутоложное, ул. 40 лет Победы, д.4, кв.2",Первомайский район,,ТОМ,005133АЛ00,70МЕ,1284,5/10/2008,5/10/2013,
Общество с ограниченной ответственностью,"ООО""Южанка""",7017229112,,Томск,"ул. Энергетическая, 2""а""",Первомайский район,"636930 с. Первомайское, ул. Ленинская, 73",ТОМ,005143АЛ06,70МЕ,2077,5/10/2008,5/10/2013,
Открытое акционерное общество,"ОАО ""Железнодорожная торговая компания""",7708639622,,г. Москва,"ул. Новорязанская, 12",Первомайский район,станция Куендат,ТОМ,005156АЛ03,70МЕ,1319,5/10/2008,5/10/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс3""",7017242064,,г. Томск,"ул. Мокрушина, 24 кв. 116",Первомайский район,"д. Калмаки, ул. Лесная, д. 1",ТОМ,005230АЛ23,70МЕ,1416,12/29/2011,9/30/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс4""",7017248370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Первомайский район,"с. Комсомольск, ул. Октябрьская, д. 17",ТОМ,005255АЛ14,70МЕ,1455,10/1/2011,10/1/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 5""",7017253676,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Первомайский район,"п. Улу-Юл, ул. Садовая, 4 А",ТОМ,005286АЛ04,70МЕ,1502,10/1/2011,10/1/2013,
Общество с ограниченной ответственностью,"ООО ""МСК""",7017274940,,г. Томск,"пер. Карский, 70, кв. 74",Первомайский район,"с. Комсомольск, ул. Гагарина, 57/3",ТОМ,005375АЛ66,70МЕ,1624,10/1/2011,10/1/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 6""",7017277370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Первомайский район,"с. Первомайское, ул. Ленинская, 86 (магазин)",ТОМ,005583АЛ25,70МЕ,2196,10/1/2011,10/1/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 7""",7017285854,,г. Томск,"ул. Мокрушина, 24-116",Первомайский район,"с. Первомайское, ул. Ленинская 90а",ТОМ,005742АЛ90,70МЕ,2384,10/1/2011,10/1/2013,
Общество с ограниченной ответственностью,"ООО""Колорит Т""",7017285830,,г. Томск,"пер.Типографский,д.1А,пом.1024-1026",Первомайский район,"п. Аргат-Юл, ул. Железнодорожная, 6",ТОМ,005436АЛ18,70МЕ,1997,10/1/2011,10/1/2013,
Общество с ограниченной ответственностью,"ООО ""Лоза""",7017287989,,г. Томск,"ул. Белинского, 58 А",Первомайский район,"с.Первомайское, ул.Ленинская, д.101/11",ТОМ,005515АЛ10,70МЕ,2112,10/19/2008,10/19/2013,
Общество с ограниченной ответственностью,"ООО ""Берег""",7012004806,,Первомайский район,"с. Первомайское, ул. К. Маркса. 2",Первомайский район,,ТОМ,005559АЛ00,70МЕ,2164,10/19/2008,10/19/2013,
Общество с ограниченной ответственностью,"ООО ""К-плюс 8""",7017299529,,г. Томск,"ул. Мокрушина, 24-116",Первомайский район,"д. Торбеево, ул. Мелиораторов, 1",ТОМ,005582АЛ07,70МЕ,2195,10/19/2008,10/19/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНа 1""",7024032558,,г. Томск,"ул. Шпальная, 1",Первомайский район,"с. Комсомольск, ул. Железнодорожная, б/н",ТОМ,005336АЛ12,70МЕ,2304,2/27/2009,10/25/2013,
Общество с ограниченной ответственностью,"ООО ""ТРИО""",7012006881,,Первомайский район,"д. Крутоложное, ул. 40 лет Победы, д. 65",Первомайский район,"с.Первомайское, ул.Ленинская, д.27",ТОМ,005755АЛ01,70МЕ,2398,8/26/2011,10/19/2013,
,,,,,,,,,,,,5/2/2012,5/2/2013,
,,,,,,,,,,,,8/14/2012,8/14/2017,
,,,,,,,,,,,,11/30/2007,11/30/2012,
,,,,,,,,,,,,11/30/2007,11/30/2012,
,,,,,,,,,,,,11/30/2007,11/30/2012,
,,,,,,,,,,,,12/12/2007,12/12/2012,
,,,,,,,,,,,,12/12/2007,12/12/2012,
,,,,,,,,,,,,6/21/2011,3/18/2013,
,,,,,,,,,,,,6/21/2011,3/18/2013,
,,,,,,,,,,,,10/12/2011,3/18/2013,
,,,,,,,,,,,,9/5/2012,3/18/2013,
,,,,,,,,,,,,6/2/2008,6/2/2013,
,,,,,,,,,,,,6/2/2008,6/2/2013,
,,,,,,,,,,,,6/2/2008,6/2/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,7/27/2012,11/10/2013,
,,,,,,,,,,,,12/19/2008,12/19/2013,
,,,,,,,,,,,,12/1/2009,12/19/2013,
,,,,,,,,,,,,10/26/2011,12/25/2013,
,,,,,,,,,,,,12/30/2008,12/30/2013,
,,,,,,,,,,,,7/27/2012,8/18/2014,
,,,,,,,,,,,,12/14/2009,12/8/2014,
,,,,,,,,,,,,12/23/2009,12/8/2014,
,,,,,,,,,,,,12/23/2009,12/8/2014,
,,,,,,,,,,,,1/21/2010,12/8/2014,
,,,,,,,,,,,,1/21/2010,12/8/2014,
,,,,,,,,,,,,1/21/2010,12/8/2014,
,,,,,,,,,,,,1/21/2010,12/8/2014,
,,,,,,,,,,,,1/29/2010,12/8/2014,
,,,,,,,,,,,,6/1/2010,1/25/2015,
,,,,,,,,,,,,6/30/2010,1/25/2015,
,,,,,,,,,,,,7/12/2010,1/25/2015,
,,,,,,,,,,,,12/16/2010,1/25/2015,
,,,,,,,,,,,,12/16/2010,1/25/2015,
,,,,,,,,,,,,6/20/2011,12/29/2015,
,,,,,,,,,,,,12/29/2010,12/29/2015,
,,,,,,,,,,,,4/19/2011,12/29/2015,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
,,,,,,,,,,,,3/18/2012,3/18/2017,
