№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1.,ООО «Сказка»,6710004392,1066712012377,"216130, пос. Монастырщина, ул. Мира, 13-а,","1278/1 -216130, пос. Монастырщина, ул. Мира (магазин), без ограничений.
",№ 1278                            Г 254918,23 августа 2006,23 августа 2011,,,,,,,,,,,,,,,
2.,ПО Монастырщина «Общепит»,6710004402,1066712012718,"216130, пгт. Монастырщина, ул. Советская, 18","1311/1 - 216130, пгт. Монастырщина, ул. Советская, д. 18 (закусочная № 1), без ограничений.",№ 1311                       Г 254953,21 сентября 2006,21 сентября 212,до 22 сентября,,,,,,,,,,,,,,
,,,,,"1311/2 - 216130, пгт. Монастырщина, ул. Советская, д. 18 (закусочная № 2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1311/3 - 216130, пгт. Монастырщина, ул. Советская, д. 18 (ресторан), без ограничений.",,,,,,,,,,,,,,,,,,
3.,Монастырщинское РАЙПО,6710000013,1026700630021,"216130, пос. Монастырщина, ул. Советская, д. 47","1464/1 -216130, пос. Монастырщина, ул. 1-я Краснинская, 10-а (магазин «Продукты»), без ограничений",№ 1464                       Г 679450, 21 марта 2007,21 марта 2012,,,,,,,,,,,,,,,
,,,,,"1464/2 -216130, пос. Монастырщина, ул. 1-я Северная, 4-а (магазин «Марысино»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1464/3 -216130, пос. Монастырщина, ул. Ленинская, 10 (магазин № 4), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1464/4 -216130, пос. Монастырщина, пер. Молодежный, 2 (магазин № 6), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"1464/5 -216130, пос. Монастырщина, тер.  СХТ (магазин СХТ), без ограничений",,,,,,,,,,,,,,,,,,
