"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
10,"ЗАО СИБИРЬ, ИНН - 4248002025, ОГРН - 1024201856381","652811, г. Осинники, ул. 50 лет Октября, дом.1","г. Осинники, ул. Дорожная д.15 (магазин); г. Осинники, ул. Кирова д.72 (столовая); г. Осинники, ул. Кирова д.68 (столовая)","лицензия № ОЛ-3413-РПА, Д № 451216, 20.12.2004",c 24.12.2004 по 24.12.2007 продлена с 26.12.2009 по 25.12.2012,
11,"ЗАО Сибирский колос, ИНН - 4201000223, ОГРН - 1024200507506","652476, г. Анжеро-Судженск, ул. Водоканальная, дом.11","Яйский р-н, пгт. Яя, ул. Осоавиахимовская д.2 (магазин); Яйский р-н, пгт. Яя, ул. Комсомольская (магазин); Яйский р-н, рп. Яя, ул. Больничная (магазин); Яйский р-н, ст. Судженка,  (магазин); Ижморский р-н, рп. Ижморский, ул. Лесная д.23 (магазин); Ижморский р-н, рп. Ижморский, ул. Ленинская д.68 (магазин); Мариинский р-н, с. Суслово, ул. Заготзерновская д.28 (магазин); Тяжинский р-н, пгт. Тяжинский, ул. Рабочая д.11 (магазин); г. Анжеро-Судженск, ул. С. Перовской д.19 (магазин); г. Анжеро-Судженск, ул. Победы д.2 (магазин); г. Анжеро-Судженск, ул. Прокопьевская д.106 (магазин); г. Анжеро-Судженск, ул. Челинская д.14 (магазин); г. Анжеро-Судженск, ул. Куйбышева д.17 (магазин); г. Анжеро-Судженск, ул. Кубанская д.46 (магазин); г. Анжеро-Судженск, пер. Профессиональный д.9 (магазин); г. Анжеро-Судженск, ул. К.Маркса д.18 (магазин); г. Анжеро-Судженск, ул. Мира д.29 (магазин); г. Анжеро-Судженск, пер. Электрический д.9 (магазин); г. Анжеро-Судженск, ул. Краснодонцев д.22 (магазин)","лицензия № ОЛ-3769-РПА, Д № 451488, 07.02.2005",c 07.02.2005 по 07.02.2008 продлена с 08.02.2008 по 07.02.2013,
12,"ЗАО Солнечный берег, ИНН - 4205178426, ОГРН - 1094205009260","650000, г. Кемерово, ул. Н. Островского, дом.12 кв.оф. 403","Яшкинский р-н, с. Колмогорово, ул. Лесная д.3 (кафе)","лицензия № ОЛ-12022-РПА, 42 МЕ № 003217, 09.06.2012",c 09.06.2012 по 08.06.2013,
13,"ЗАО Торгово-производственное предприятие ""Облкемеровоуголь"", ИНН - 4202009780, ОГРН - 1024200541001","652600, г. Белово, ул. Фурманова, дом.1","г. Белово, пгт. Грамотеино, ул. Фурманова д.1 (магазин); г. Белово, пгт. Грамотеино, ул. Центральная д.19 (магазин); г. Белово, пгт. Грамотеино, ул. Лесная д.1А (магазин)","лицензия № ОЛ-1569-РПА, Д № 092491, 26.12.2002",c 30.12.2002 по 30.12.2005 продлена с 01.01.2011 по 31.12.2012,
14,"ЗАО Фирма ""Сибирский хлеб"", ИНН - 4220005629, ОГРН - 1024201756765","654029, г. Новокузнецк, проезд. Вокзальный, дом.1","г. Новокузнецк, ул. Тольятти д.25 (магазин); г. Новокузнецк, ул. Кирова д.5 (магазин)","лицензия № ОЛ-1937-РПА, Д № 092243, 17.03.2003",c 17.03.2003 по 26.12.2004 продлена с 29.06.2011 по 28.06.2012,
15,"ЗАО Фрутленд, ИНН - 7807015985, ОГРН - 1027804605840","198264, г. Санкт-Петербург, ул. Комсомольская 2-я, дом.27,кор.2 кв.лит А","г. Новокузнецк, ул. Орджоникидзе д.35, помещение 10 (кафе)","лицензия № ОЛ-10475-РПА, 42МЕ № 002175, 27.04.2011",c 27.04.2011 по 26.04.2016,
16,"ЗАО Шестьдесят, ИНН - 4202003393, ОГРН - 1024200545324","652600, г. Белово, пер. Толстого, дом.6 кв.46","г. Белово, ул. Юбилейная д.18 (кафе-бар); г. Белово, ул. Боевая д.38А (магазин); г. Белово, ул. Урожайная д.1 (магазин); г. Белово, ул. Юности д.9А (магазин); г. Белово, ул. Юбилейная д.18 (магазин); г. Белово, ул. Тельмана д.1 (магазин); г. Белово, ул. Юбилейная д.18А (павильон) розничная продажа алкогольной продукции с содержанием этилового спирта не более 15% объем; г. Белово, ул. Октябрьская остановка ""Рубин"" (павильон) розничная продажа алкогольной продукции с содержанием этилового спирта; г. Белово, ул. Чкалова остановка ""Сибэлком"" (павильон) розничная продажа алкогольной продукции с содержанием этилового спир; г. Белово, ул. Октябрьская остановка ""ЦДК"" (павильон) розничная продажа алкогольной продукции с содержанием этилового спирта не; г. Белово,  пересечение ул. Октябрьская и пер. Цинкзаводской (магазин)","лицензия № ОЛ-7542-РПА, Д № 488307, 17.04.2008",c 17.04.2008 по 17.04.2013,
17,"ЗАО ЭЛЬДОРАДО, ИНН - 4221001144, ОГРН - 1024201821742","654034, г. Новокузнецк, ул. Шункова, дом.7","г. Новокузнецк, ул. Шункова д.7 (ресторан)","лицензия № ОЛ-1146-РПА, В № 934762, 19.11.2002",c 19.11.2002 по 19.11.2005 продлена с 20.11.2011 по 19.11.2013,
18,"ЗАО производственно-коммерческая фирма ""Азимут"", ИНН - 4218000574, ОГРН - 002484076","654210, Новокузнецкий р-н, с. Ильинка, ул. Береговая, дом.77","г. Новокузнецк, ул. Малая д.6А (магазин)","лицензия № ОЛ-3440-РПА, Д № 451234, 20.12.2004",c 29.12.2004 по 29.12.2007 продлена с 30.12.2007 по 29.12.2012,
19,"МП Муниципальное оптово-посредническое предприятие ""Стимул, ИНН - 4228000904, ОГРН - 152","652900, Таштагольский р-н, пгт. Мундыбаш, ул. Октябрьская, дом.13А","Таштагольский р-н, пгт. Мундыбаш, ул. Октябрьская д.13А (магазин); Таштагольский р-н, пгт. Мундыбаш, ул. Ленина д.29 (магазин); Таштагольский р-н, пгт. Мундыбаш, ул. Октябрьская д.66 (магазин); Таштагольский р-н, пгт. Мундыбаш, ул. Ленина д.16А (ресторан)","лицензия № ОЛ-3676-РПА, Д № 451423, 21.01.2005",c 21.01.2005 по 21.01.2008 продлена с 23.01.2012 по 22.01.2013,
