"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
177,"ООО БиС, ИНН - 4220030833, ОГРН - 1064220009149","654000, г. Новокузнецк, ул. Вокзальная, дом.13","г. Новокузнецк, ул. Челюскина д.11 (магазин)","лицензия № ОЛ-5707-РПА, Д № 489197, 21.06.2006",c 21.06.2006 по 21.06.2011 продлена с 22.06.2012 по 21.06.2013,
178,"ООО Бизон, ИНН - 4205093331, ОГРН - 1054205223830","650024, г. Кемерово, ул. Веры Волошиной, дом.15","г. Кемерово, ул. Веры Волошиной д.15 (магазин); г. Кемерово, ул. Белозерная д.15 (магазин)","лицензия № ОЛ-5077-РПА, В № 935755, 26.12.2005",c 26.12.2005 по 26.12.2008 продлена с 27.12.2008 по 26.12.2013,
179,"ООО Бильярдный клуб, ИНН - 4230022158, ОГРН - 1064230009139","652050, г. Юрга, ул. Ленинградская, дом.1","г. Юрга, ул. Ленинградская д.1 (ресторан)","лицензия № ОЛ-11601-РПА, 42 МЕ № 002981, 25.01.2012",c 25.01.2012 по 24.01.2013,
180,"ООО БирХаус, ИНН - 4220029316, ОГРН - 1054220026630","654027, г. Новокузнецк, ул. Черноморская, дом.1","г. Новокузнецк, ул. Тольятти д.27А (кафе); г. Новокузнецк, пр-кт. Шахтеров д.19А (кафе); г. Новокузнецк, ул. Тольятти д.27А (ресторан)","лицензия № ОЛ-11724-РПА, 42МЕ № 003043, 13.03.2012",c 13.03.2012 по 12.03.2015,
181,"ООО Блик, ИНН - 4218100160, ОГРН - 1064218016037","654008, г. Новокузнецк, ул. Староостровская, дом.11А","г. Новокузнецк, ул. 40 лет ВЛКСМ д.114 (магазин); г. Новокузнецк, ул. Лесозаводская д.67 (магазин); г. Новокузнецк, ул. Староостровская д.11А (магазин)","лицензия № ОЛ-6586-РПА, Д № 489840, 27.12.2006",c 27.12.2006 по 27.12.2011 продлена с 28.12.2011 по 27.12.2012,
182,"ООО Блюз, ИНН - 4230021010, ОГРН - 1064230004816","652057, г. Юрга, ул. Максименко, дом.24","г. Юрга, ул. Максименко д.24 (кафе)","лицензия № ОЛ-5830-РПА, Д № 489321, 30.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2013,
183,"ООО Бодрость, ИНН - 4205096364, ОГРН - 1054205256820","650023, г. Кемерово, пр-кт. Октябрьский, дом.65","г. Кемерово, пр-кт. Октябрьский д.65 (бар); г. Кемерово, пр-кт. Октябрьский д.65 (магазин)","лицензия № ОЛ-6341-РПА, Д № 489696, 04.10.2006",c 04.10.2006 по 04.10.2011 продлена с 05.10.2011 по 04.10.2015,
184,"ООО Бонус плюс, ИНН - 4223053821, ОГРН - 1114223004301","653000, г. Прокопьевск, ул. Российская, дом.23","г. Прокопьевск, пл. Соревнования д.18 (магазин); г. Прокопьевск, ул. Гайдара д.16 литер Ап1 (магазин)","лицензия № ОЛ-10945-РПА, 42 МЕ № 002567, 18.07.2011",c 18.07.2011 по 17.07.2012,
185,"ООО Браво-С, ИНН - 4205202502, ОГРН - 1104205010711","650000, г. Кемерово, пр-кт. Ленина, дом.59А","г. Кемерово, пр-кт. Ленина д.59А пом.8 (ресторан)","лицензия № ОЛ-11254-РПА, 42МЕ № 002763, 02.11.2011",c 02.11.2011 по 01.11.2012,
186,"ООО Бригантина, ИНН - 4212021514, ОГРН - 1024201299594","652500, г. Ленинск-Кузнецкий, ул. Зварыгина, дом.18 А кв.офис 217","г. Ленинск-Кузнецкий, ул. Зварыгина д.18 А (ресторан)","лицензия № ОЛ-11890-РПА, 42 МЕ № 003144, 11.05.2012",c 11.05.2012 по 10.05.2013,
187,"ООО Бриз-СГ, ИНН - 4208009994, ОГРН - 1034205013370","650903, г. Кемерово, ж.р. Кедровка, ул. Стахановская, дом.23","г. Кемерово, ж.р. Кедровка, ул. Стахановская д.23 (магазин)","лицензия № ОЛ-6705-РПА, Д № 489895, 27.02.2007",c 27.02.2007 по 27.02.2008 продлена с 28.02.2012 по 27.02.2014,
188,"ООО Буржуа, ИНН - 4217128959, ОГРН - 1104217007707","654041, г. Новокузнецк, проезд. Курбатова, дом.1А","г. Новокузнецк, проезд. Курбатова д.1А (ресторан)","лицензия № ОЛ-11617-РПА, 42 МЕ № 002992, 01.02.2012",c 01.02.2012 по 31.01.2013,
189,"ООО Бурмага, ИНН - 4212028936, ОГРН - 1094212000585","652590, Ленинск-Кузнецкий р-н, Майская , дом.1","Ленинск-Кузнецкий р-н, п. Демьяновка, ул. Майская д.1 (кафе)","лицензия № ОЛ-11342-РПА, 42 МЕ № 002823, 25.11.2011",c 25.11.2011 по 24.11.2012,
190,"ООО Былина, ИНН - 4205104030, ОГРН - 1064205089002","650044, г. Кемерово, ул. Рутгерса, дом.34/1","г. Кемерово, пр-кт. Кузнецкий д.33 (кафе); г. Кемерово, пр-кт. Ленина д.59А (кафе); г. Кемерово, пр-кт. Кузнецкий д.33 (кофейня); г. Кемерово, пр-кт. Ленина д.59А (трактир)","лицензия № ОЛ-9799-РПА, 42 МЕ № 001733, 28.09.2010",c 28.09.2010 по 27.09.2011 продлена с 28.09.2011 по 27.09.2012,
191,"ООО ВАДО, ИНН - 4217007680, ОГРН - 1034217003358","654000, г. Новокузнецк, пр-кт. Металлургов, дом.39","г. Новокузнецк, пр-кт. Металлургов д.39 (кафе)","лицензия № ОЛ-4504-РПА, В № 935283, 15.07.2005",c 15.07.2005 по 15.07.2008 продлена с 16.07.2008 по 15.07.2013,
192,"ООО ВАЛЕНТИНА, ИНН - 4240008410, ОГРН - 1064240000791","652383, Промышленновский р-н, п. Плотниково, ул. Школьная, дом.17","Промышленновский р-н, п. Плотниково, ул. Школьная д.17 (магазин)","лицензия № ОЛ-6278-РПА,  № , 12.09.2011",c  по,
193,"ООО ВАНГА, ИНН - 4212014676, ОГРН - 1024201303301","652502, г. Ленинск-Кузнецкий, ул. Садовая, дом.97","г. Ленинск-Кузнецкий, ул. Садовая д.97 (магазин); г. Ленинск-Кузнецкий, ул. 10 лет Октября д.14 (магазин); г. Ленинск-Кузнецкий, ул. Курская д.15 (магазин)- продажа алкогольной продукции с содержанием этилового спирта не более 15% объ","лицензия № ОЛ-6019-РПА, Д № 489485, 20.07.2006",c 20.07.2006 по 20.07.2011 продлена с 21.07.2011 по 20.07.2012,
194,"ООО ВАНДА, ИНН - 4228001834, ОГРН - 1024201962619","652992, г. Таштагол, ул. Ноградская, дом.14 кв.27","Таштагольский р-н, пгт. Шерегеш, ул. Дзержинского между домами №2 и №3 (магазин)","лицензия № ОЛ-3700-РПА, Д № 489781, 24.11.2006",c 28.01.2005 по 28.01.2008 продлена с 30.01.2012 по 29.01.2015,
195,"ООО ВАРД, ИНН - 4238001801, ОГРН - 1024202127663","654201, Новокузнецкий р-н, с. Сосновка, ул. Кордонная, дом.13/1","Новокузнецкий р-н, с. Сосновка, ул. Кордонная д.13/1 (кафе); Новокузнецкий р-н, с. Сосновка, ул. Кордонная д.13/1 (магазин)","лицензия № ОЛ-3299-РПА, Д № 451081, 04.11.2004",c 04.11.2004 по 04.11.2007 продлена с 06.11.2011 по 05.11.2012,
196,"ООО ВЕКТОР, ИНН - 4205173682, ОГРН - 1094205003276","650060, г. Кемерово, б-р. Строителей, дом.32/2","г. Кемерово, пр-кт. Кузнецкий д.33 (бар)","лицензия № ОЛ-8442-РПА, Д № 488889, 02.03.2009",c 02.03.2009 по 01.03.2011 продлена с 02.03.2011 по 01.03.2013,
197,"ООО ВЕЛЕС, ИНН - 2204004864, ОГРН - 1022200567047","659300, г. Бийск, ул. Советская, дом.4","г. Киселевск, ул. Весенняя д.19А (кафе)","лицензия № ОЛ-8339-РПА, Д № 488833, 15.01.2009",c 15.01.2009 по 14.07.2009 продлена с 15.07.2011 по 14.07.2012,
198,"ООО ВЕНЕРА, ИНН - 4202028180, ОГРН - 1064202012533","652600, г. Белово, ул. Красноармейская, дом.139","г. Белово, ул. Красноармейская д.139 (магазин)","лицензия № ОЛ-5771-РПА, Д № 489306, 30.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2013,
199,"ООО ВЕРБЕНА, ИНН - 4250003019, ОГРН - 1064250009361","650512, Кемеровский р-н, д. Береговая, ул. Строительная, дом.7Б","Кемеровский р-н, д. Смолино, ул. Центральная д.14 (магазин); Кемеровский р-н, д. Береговая, ул. Строительная д.7Б (магазин)","лицензия № ОЛ-5620-РПА, Д № 489131, 07.06.2006",c 07.06.2006 по 07.06.2011 продлена с 08.06.2011 по 07.06.2016,
200,"ООО ВЕСТ ПЛЮС, ИНН - 4214032529, ОГРН - 1104214001979","652845, г. Мыски, пер. Тепличный, дом.8Б","г. Мыски, ул. Ленина д.19 (магазин); г. Мыски, пер. Тепличный д.8Б (магазин)","лицензия № ОЛ-11279-РПА,  № , 15.11.2011",c  по,
201,"ООО ВЕСТ ПЛЮС, ИНН - 4214032529, ОГРН - 1104214001979","652845, г. Мыски, пер. Тепличный, дом.8Б","г. Мыски, ул. Ленина д.19 (магазин); г. Мыски, ул. Мира д.38 (магазин); г. Мыски, пер. Тепличный д.8Б (магазин)","лицензия № ОЛ-11397-РПА, 42 МЕ № 002853, 09.12.2011",c 09.12.2011 по 08.12.2012,
202,"ООО ВЕСТА, ИНН - 4205072444, ОГРН - 1044205050251","650021, г. Кемерово, ул. Тайшетская, дом.2","г. Кемерово, ул. Тайшетская д.2 (магазин)","лицензия № ОЛ-7856-РПА, Д № 488496, 25.09.2008",c 25.09.2008 по 24.09.2009 продлена с 25.09.2011 по 24.09.2012,
203,"ООО ВЕСТФУД, ИНН - 4220028432, ОГРН - 1054220010680","654027, г. Новокузнецк, ул. Черноморская, дом.1","г. Новокузнецк, пр-кт. Ермакова д.9А (кафе); г. Новокузнецк, ул. Павловского д.13 (ресторан)","лицензия № ОЛ-11662-РПА, 42 МЕ № 003013, 13.02.2012",c 13.02.2012 по 12.02.2015,
204,"ООО ВЕТЕРАН, ИНН - 4228009897, ОГРН - 1064228004180","652971, Таштагольский р-н, пгт. Шерегеш, ул. Дзержинского, дом.17","Таштагольский р-н, пгт. Шерегеш, ул. Дзержинского д.17 (магазин)","лицензия № ОЛ-5702-РПА, Д № 489256, 27.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2013,
205,"ООО ВЕка, ИНН - 4214024239, ОГРН - 1064214000608","652870, г. Междуреченск, ул. Пушкина, дом.12","г. Междуреченск, ул. Пушкина д.12 (магазин); г. Междуреченск, ул. Пушкина д.13 (магазин); г. Междуреченск, пр-кт. 50 лет Комсомола д.26 (магазин)","лицензия № ОЛ-5329-РПА, В № 935904, 21.02.2006",c 21.02.2006 по 21.02.2011 продлена с 22.02.2011 по 21.02.2013,
206,"ООО ВИЗАВИ, ИНН - 4202028895, ОГРН - 1064202020299","652632, г. Белово, мкр. 3-й, дом.101А","г. Белово, мкр. 3-й д.101А (павильон)","лицензия № ОЛ-6053-РПА, Д № 489512, 26.07.2006",c 26.07.2006 по 26.07.2011 продлена с 27.07.2011 по 26.07.2012,
207,"ООО ВИЗИТ 97, ИНН - 4221019215, ОГРН - 1064221005991","654086, г. Новокузнецк, ул. Пржевальского, дом.2","г. Новокузнецк, ул. Пржевальского д.2 (кафе); г. Новокузнецк, ул. Пржевальского д.2 (магазин)","лицензия № ОЛ-5554-РПА, Д № 489146, 14.06.2006",c 14.06.2006 по 14.06.2011 продлена с 15.06.2012 по 14.06.2013,
208,"ООО ВИЗИТ, ИНН - 4229007363, ОГРН - 1064229003321","652300, г. Топки, ул. Топкинская, дом.29","г. Топки, ул. Топкинская д.29 (магазин); г. Топки, ул. Революции д.17 (магазин); г. Топки, ул. Петровского д.257 (магазин); г. Топки, ул. Фрунзе д.17А (павильон)","лицензия № ОЛ-5683-РПА, Д № 489174, 19.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
209,"ООО ВИКАС, ИНН - 4207023700, ОГРН - 1024200681625","650036, г. Кемерово, ул. Гагарина, дом.142-2","г. Мариинск, ул. Набережная д.161Д (магазин)","лицензия № ОЛ-6359-РПА, Д № 489939, 19.04.2007",c 12.10.2006 по 12.10.2011 продлена с 13.10.2011 по 12.10.2012,
210,"ООО ВИКТОРИЯ, ИНН - 4212029344, ОГРН - 1094212001091","652500, г. Ленинск-Кузнецкий, пр-кт. Ленина, дом.45А","г. Ленинск-Кузнецкий, пр-кт. Ленина д.45А (кафе-бар); г. Ленинск-Кузнецкий, ул. Топкинская д.6А (клуб-ресторан)","лицензия № ОЛ-8906-РПА, 42МЕ № 001296, 23.09.2009",c 23.09.2009 по 22.09.2010 продлена с 23.09.2011 по 22.09.2012,
211,"ООО ВИЛМА, ИНН - 4212014147, ОГРН - 1024201305116","652519, г. Ленинск-Кузнецкий, ул. Мичурина, дом.16","г. Ленинск-Кузнецкий, ул. Мичурина д.16 (магазин); г. Ленинск-Кузнецкий, ул. Кирпичная д.1А (магазин)","лицензия № ОЛ-7483-РПА, Д № 488275, 21.03.2008",c 21.03.2008 по 21.03.2009 продлена с 22.03.2011 по 21.03.2013,
212,"ООО ВИНГАН, ИНН - 4217027414, ОГРН - 10242001826021","654041, г. Новокузнецк, ул. Сеченова, дом.17","г. Новокузнецк, ул. Толбухина д.46 (магазин)","лицензия № ОЛ-7599-РПА, Д № 488333, 16.05.2008",c 16.05.2008 по 16.05.2010 продлена с 17.05.2012 по 16.05.2013,
213,"ООО ВИНТА, ИНН - 4223031592, ОГРН - 1034223003528","653050, г. Прокопьевск, ул. Гайдара, дом.50А","г. Киселевск, ул. Томская д.20 (магазин); г. Прокопьевск, ул. Гайдара д.50А (кафе); г. Прокопьевск, ул. Институтская д.18, пом.1П (магазин); г. Прокопьевск, ул. Советов д.25 (магазин); г. Прокопьевск, ул. Обручева д.41 (магазин); г. Прокопьевск, пр-кт. Строителей д.53 (магазин); г. Прокопьевск, мкр. 10-й д.5Б (магазин); г. Прокопьевск, ул. Гайдара д.50А (магазин)","лицензия № ОЛ-2440-РПА, Д № 489773, 22.06.2006",c 08.12.2003 по 08.12.2006 продлена с 09.12.2011 по 08.12.2016,
214,"ООО ВИР, ИНН - 4222013600, ОГРН - 1114222000463","652811, г. Осинники, ул. 50 лет Октября, дом.1","г. Осинники, ул. 50 лет Октября д.1 (кафе); г. Осинники, ул. 50 лет Октября д.1/3 (магазин)","лицензия № ОЛ-11043-РПА, 42 МЕ № 002622, 02.08.2011",c 02.08.2011 по 01.08.2012,
215,"ООО ВИТА, ИНН - 4214027381, ОГРН - 1074214001476","652870, г. Междуреченск, ул. Лукиянова, дом.11 кв.1","г. Междуреченск, ул. Лукиянова д.11 (магазин)","лицензия № ОЛ-6950-РПА, Д № 489996, 25.07.2007",c 25.07.2007 по 25.07.2012,
216,"ООО ВИТА, ИНН - 4228008477, ОГРН - 1044228001069","652992, г. Таштагол, ул. Макаренко, дом.10","Таштагольский р-н, пгт. Шерегеш,  гора Зеленая (ресторан); г. Таштагол, ул. Макаренко д.10 (магазин); г. Таштагол, ул. Геологическая д.61 (магазин)","лицензия № ОЛ-5256-РПА, Д № 489225, 26.06.2006",c 23.01.2006 по 23.01.2011 продлена с 23.01.2012 по 22.01.2013,
217,"ООО ВКУС, ИНН - 4205232472, ОГРН - 1114205041774","650070, г. Кемерово, пр-кт. Молодежный, дом.2-19","г. Кемерово, пр-кт. Молодежный д.2 (кафе)","лицензия № ОЛ-11733-РПА, 42 МЕ № 003057, 16.03.2012",c 16.03.2012 по 15.03.2013,
218,"ООО ВОДОЛЕЙ, ИНН - 4238020040, ОГРН - 1064238008757","654210, Новокузнецкий р-н, с. Ильинка, ул. Полевая, дом.31А","Новокузнецкий р-н, с. Ильинка, ул. Полевая д.31А (магазин)","лицензия № ОЛ-7545-РПА, Д № 488310, 21.04.2008",c 21.04.2008 по 21.04.2013,
219,"ООО ВСЕМАГ, ИНН - 4202028623, ОГРН - 1064202020035","652614, г. Белово, пгт. Грамотеино, ул. Магистральная, дом.10","г. Белово, пгт. Грамотеино, ул. Светлая д.21 (магазин); г. Белово, пгт. Грамотеино, ул. Магистральная д.10 (магазин); г. Белово, пгт. Грамотеино, ул. Колмогоровская д.26 (магазин)","лицензия № ОЛ-5787-РПА, Д № 489211, 26.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2016,
220,"ООО ВСТРЕЧА, ИНН - 4205064901, ОГРН - 1044205017746","650000, г. Кемерово, ул. Н.Островского, дом.29 кв.47","г. Березовский,  автотрасса Новосибирск-Иркутск 344 км","лицензия № ОЛ-3949-РПА, Д № 451667, 10.03.2005",c 10.03.2005 по 10.03.2008 продлена с 12.03.2011 по 11.03.2014,
221,"ООО Ваал, ИНН - 4218001708, ОГРН - 1024201675079","654038, г. Новокузнецк, мкр. 13-й, дом.8А","г. Новокузнецк, ул. Тореза д.52 (магазин); г. Новокузнецк, мкр. 13-й д.21А (магазин)","лицензия № ОЛ-1045-РПА, Д № 092883, 01.11.2002",c 01.11.2002 по 01.11.2005 продлена с 03.11.2008 по 02.11.2013,
222,"ООО Вавилон, ИНН - 4205124156, ОГРН - 1074205003872","650026, г. Кемерово, ул. Рукавишникова, дом.14","г. Кемерово, ул. Рукавишникова д.14 (кафе); г. Кемерово, пр-кт. Октябрьский д.49 (магазин); г. Кемерово, ул. Николая Островского д.27 (магазин); г. Кемерово, пр-кт. Шахтеров д.50 (магазин); г. Кемерово, ул. Рукавишникова д.14 (магазин); г. Кемерово, пр-кт. Ленина д.120 (магазин)","лицензия № ОЛ-8877-РПА, 42МЕ № 001269, 28.08.2009",c 28.08.2009 по 27.08.2012,
223,"ООО Вагас, ИНН - 4205093405, ОГРН - 1054205225326","650902, г. Кемерово, ул. Городецкая, дом.25","г. Кемерово, ул. Городецкая д.25 (магазин)","лицензия № ОЛ-9009-РПА, 42 МЕ № 001359, 16.11.2009",c 16.11.2009 по 15.11.2012,
224,"ООО Вагнер, ИНН - 4222010399, ОГРН - 1064222003812","652740, г. Калтан, п. Малиновка, ул. 60 лет Октября, дом.13","г. Калтан, п. Малиновка, ул. 60 лет Октября д.13 (магазин); г. Калтан, п. Малиновка, ул. Кузбасская д.34 (магазин)","лицензия № ОЛ-11063-РПА, 42МЕ № 002629, 08.08.2011",c 08.08.2011 по 07.08.2012,
225,"ООО Валентина, ИНН - 4215007540, ОГРН - 1024201427788","652840, г. Мыски, ул. Герцена, дом.1","г. Мыски, ул. Герцена д.1 (магазин)","лицензия № ОЛ-8220-РПА, Д № 488757, 19.12.2008",c 19.12.2008 по 18.12.2010 продлена с 19.12.2010 по 18.12.2012,
226,"ООО Валентина, ИНН - 4229006803, ОГРН - 1054229005764","652303, г. Топки, ул. Сибирская, дом.6","г. Топки, ул. Магистральная д.1А (магазин); г. Топки, ул. Сибирская д.6 (магазин)","лицензия № ОЛ-5012-РПА, В № 935736, 22.12.2005",c 22.12.2005 по 22.12.2008 продлена с 23.12.2008 по 22.12.2013,
227,"ООО Валентина, ИНН - 4230021637, ОГРН - 1064230008358","652050, г. Юрга, ул. Исайченко, дом.3","г. Юрга, ул. Исайченко д.3 (магазин); г. Юрга, пр-кт. Победы д.49 (магазин); г. Юрга, ул. Исайченко д.3 (пивной бар); г. Юрга, пр-кт. Победы д.49 (пивной бар)","лицензия № ОЛ-5909-РПА, Д № 489378, 07.07.2006",c 07.07.2006 по 07.07.2011 продлена с 08.07.2011 по 07.07.2012,
228,"ООО Вариант, ИНН - 4223041992, ОГРН - 1064223019343","653000, г. Прокопьевск, ул. Волгоградская, дом.14А","г. Прокопьевск, ул. Шишкина д.31 (магазин); г. Прокопьевск, ул. Шишкина д.37 пом. 1П (магазин)","лицензия № ОЛ-5777-РПА, Д № 489273, 28.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2013,
229,"ООО Васильева, ИНН - 4238018308, ОГРН - 1054238050492","654211, Новокузнецкий р-н, п. Металлургов, ул. Молодежная, дом.3 кв.2","Новокузнецкий р-н, п. Металлургов, ул. Молодежная д.3 оф.2 (магазин); Новокузнецкий р-н, п. Металлургов, ул. Школьная д.4А (магазин)","лицензия № ОЛ-6007-РПА, Д № 489472, 19.07.2006",c 19.07.2006 по 19.07.2011 продлена с 20.07.2011 по 19.06.2013,
230,"ООО Вектор, ИНН - 4205098234, ОГРН - 1064205000012","650000, г. Кемерово, пр-кт. Ленинградский, дом.30А кв.24","г. Кемерово, пр-кт. Комсомольский д.71 (павильон)","лицензия № ОЛ-6029-РПА, Д № 489479, 20.07.2006",c 21.07.2006 по 21.07.2011 продлена с 22.07.2011 по 21.07.2012,
231,"ООО Вектор, ИНН - 4205198197, ОГРН - 1104205006432","650000, г. Кемерово, пр-кт. Советский, дом.43","г. Кемерово, пр-кт. Советский д.43 (кафе)","лицензия № ОЛ-10925-РПА, 42 МЕ № 002565, 13.07.2011",c 13.07.2011 по 12.07.2013,
232,"ООО Вектор, ИНН - 4217089266, ОГРН - 1074217000120","654007, г. Новокузнецк, пр-кт. Металлургов, дом.34","г. Новокузнецк, ул. Кирова д.21А (кафе); г. Новокузнецк, ул. Орджоникидзе д.29 (кафе)","лицензия № ОЛ-10765-РПА, 42 МЕ № 002454, 28.06.2011",c 28.06.2011 по 27.06.2012 продлена с 28.06.2012 по 27.06.2013,
233,"ООО Венский лес - Кемерово, ИНН - 4205174171, ОГРН - 1094205003903","650060, г. Кемерово, б-р. Строителей, дом.26","г. Кемерово, б-р. Строителей д.26 (кафе)","лицензия № ОЛ-8807-РПА, 42 МЕ № 001231, 13.07.2009",c 13.07.2009 по 12.07.2010 продлена с 13.07.2012 по 12.07.2013,
234,"ООО Венский лес, ИНН - 4205102473, ОГРН - 1064205072249","650099, г. Кемерово, ул. Весенняя, дом.6","г. Кемерово, ул. Весенняя д.6 (кафе)","лицензия № ОЛ-8990-РПА, 42 МЕ № 001341, 02.11.2009",c 02.11.2009 по 01.11.2010 продлена с 02.11.2011 по 01.11.2012,
235,"ООО Вербена, ИНН - 4202005440, ОГРН - 1024200543520","652632, г. Белово, мкр. 3-й, дом.14 кв.77","г. Белово, ул. Пролетарская д.9 (магазин)","лицензия № ОЛ-4510-РПА, В № 935285, 18.07.2005",c 18.07.2005 по 18.07.2008 продлена с 19.07.2011 по 18.07.2013,
236,"ООО Весна, ИНН - 4202032299, ОГРН - 1074202002808","652632, г. Белово, мкр. 3-й, дом.9","г. Белово, мкр. 3-й д.133 (кафе); г. Белово, мкр. 3-й д.9 (магазин)","лицензия № ОЛ-7651-РПА, Д № 488369, 18.06.2008",c 18.06.2008 по 18.06.2013,
237,"ООО Веста, ИНН - 4221022240, ОГРН - 1074221003064","654084, г. Новокузнецк, пр-кт. Шахтеров, дом.18","г. Новокузнецк, пр-кт. Шахтеров д.18 (магазин)","лицензия № ОЛ-7002-РПА, Д № 488016, 27.08.2007",c 27.08.2007 по 27.08.2009 продлена с 28.08.2011 по 27.08.2012,
238,"ООО Веста, ИНН - 4246007204, ОГРН - 1064246019188","652470, г. Анжеро-Судженск, ул. Станционная, дом.22А","г. Анжеро-Судженск, ул. Станционная д.22А (магазин)","лицензия № ОЛ-6066-РПА, Д № 489519, 27.07.2006",c 27.07.2006 по 27.07.2011 продлена с 28.07.2011 по 27.07.2012,
239,"ООО Ветераны Ленинского района г. Кемерово, ИНН - 4209033260, ОГРН - 1024200694154","650515, Кемеровский р-н, с. Ягуново, ул. Центральная, дом.42","г. Кемерово, пр-кт. Химиков д.12 оф.пом. 1-11 (магазин)","лицензия № ОЛ-11870-РПА, 42 МЕ № 003123, 23.04.2012",c 23.04.2012 по 22.04.2013,
240,"ООО Вечный зов Кемерово, ИНН - 4205053804, ОГРН - 1034205057534","650066, г. Кемерово, пр-кт. Ленина, дом.59","Кемеровский р-н, д. Журавлево,  (ресторан)","лицензия № ОЛ-9159-РПА, 42 МЕ № 001453, 18.12.2009",c 18.12.2009 по 17.12.2012,
241,"ООО ВиО, ИНН - 4228005807, ОГРН - 1024201961673","652971, Таштагольский р-н, пгт. Шерегеш, ул. Гагарина, дом.6","Таштагольский р-н, пгт. Шерегеш, ул. Дзержинского д.16 (магазин); Таштагольский р-н, пгт. Шерегеш, ул. Гагарина д.1А (магазин)","лицензия № ОЛ-5673-РПА, Д № 489155, 14.06.2006",c 14.06.2006 по 14.06.2011 продлена с 15.06.2012 по 14.06.2015,
242,"ООО Визит, ИНН - 4246005398, ОГРН - 1054246019728","652491, г. Анжеро-Судженск, пгт. Рудничный, ул. Советская, дом.5","г. Анжеро-Судженск, пгт. Рудничный, ул. Советская д.5 (бар); г. Анжеро-Судженск, пгт. Рудничный, ул. Металлургов д.1-144 (магазин); г. Анжеро-Судженск, пгт. Рудничный, ул. Кварцитная д.2 А (магазин); г. Анжеро-Судженск, пгт. Рудничный, ул. Советская д.5 (магазин); г. Анжеро-Судженск, пгт. Рудничный, ул. Советская д.5 (столовая)","лицензия № ОЛ-11358-РПА, 42 МЕ № 002844, 06.12.2011",c 06.12.2011 по 05.12.2013,
243,"ООО Виктория и К, ИНН - 4220028961, ОГРН - 1054220023330","654036, г. Новокузнецк, ул. Николая Островского, дом.4","г. Новокузнецк, ул. Николая Островского д.4 (магазин)","лицензия № ОЛ-11587-РПА, 42 МЕ № 002969, 19.01.2012",c 19.01.2012 по 18.01.2013,
244,"ООО Виктория, ИНН - 4209003730, ОГРН - 1034205025910","650031, г. Кемерово, ул. Черноморская, дом.38","г. Кемерово, ул. Черноморская д.38 (магазин)","лицензия № ОЛ-7561-РПА, Д № 488319, 25.04.2008",c 25.04.2008 по 25.04.2011 продлена с 26.04.2012 по 25.04.2014,
245,"ООО Виктория, ИНН - 4214033699, ОГРН - 1114214001879","652870, г. Междуреченск, пр-кт. Строителей, дом.41","г. Междуреченск, пр-кт. Строителей д.41 (магазин)","лицензия № ОЛ-11634-РПА, 42 МЕ № 002997, 06.02.2012",c 06.02.2012 по 05.02.2013,
246,"ООО Виктория, ИНН - 4217098542, ОГРН - 1074217009250","654005, г. Новокузнецк, ул. Производственная, дом.13","г. Новокузнецк, ул. Франкфурта д.5А (магазин)","лицензия № ОЛ-11759-РПА,  № , 22.03.2012",c  по,
247,"ООО Виктория, ИНН - 4217098542, ОГРН - 1074217009250","654005, г. Новокузнецк, ул. Производственная, дом.13","г. Новокузнецк, ул. Франкфурта д.5А (кафе)","лицензия № ОЛ-11826-РПА, 42МЕ № 003103, 06.04.2012",c 06.04.2012 по 05.04.2017,
248,"ООО Виктория, ИНН - 4241002932","652070, г. Топки, ул. Топкинская, дом.26А","г. Топки, ул. Максима Горького д.133А (магазин)","лицензия № ОЛ-3815-РПА, Д № 451571, 17.02.2005",c  по  продлена с 18.02.2010 по 17.01.2013,
249,"ООО Виледис, ИНН - 4220035341, ОГРН - 1074220002680","654045, г. Новокузнецк, ул. Пролетарская, дом.201","г. Новокузнецк, ул. Украинская д.1 (магазин); г. Новокузнецк, ул. Пролетарская д.201 (магазин)","лицензия № ОЛ-11512-РПА, 42МЕ № 002923, 28.12.2011",c 28.12.2011 по 27.12.2012,
