41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Управление рабочего снабжения""",7022010809,55721057,г.Стрежевой,"ул. Строителей, 14""а"", стр. №6",г.Стрежевой,,ТОМ,005621АЛ00,70МЕ,2237,4/23/2012,4/23/2014,
Общество с ограниченной ответственностью,"ООО ""Кафе ""Сказка""",7022012387,70357324,г.Стрежевой,"ул. Ермакова, 13""а""",г.Стрежевой,,ТОМ,005572АЛ00,70МЕ,2181,4/23/2012,4/23/2014,
Общество с ограниченной ответственностью,"ООО ""Братья Коцоевы""",7018011824,20680988,г. Томск,"ул. Белинского, 58 а",г.Стрежевой,"ул. Ермакова, д.8/1 (магазин).",ТОМ,005593АЛ02,70МЕ,2208,3/22/2012,3/22/2013,
Общество с ограниченной ответственностью,"ООО ""Мечта""",7022014183,76652136,г.Стрежевой,"ул. Новая, 114, пом. 1",г.Стрежевой,"ул. Новая, 114, пом. 1",ТОМ,003612АЛ01,70МЕ,1244,3/22/2012,3/22/2013,
Общество с ограниченной ответственностью,"ООО ""Электрон""",7022014546,,г.Стрежевой,"ул. Викулова, 8""б""",г.Стрежевой,,ТОМ,005577АЛ00,70МЕ,2187,4/5/2012,4/5/2017,
Общество с ограниченной ответственностью,"ООО ""РОСС""",7022014722,,г.Стрежевой,"4 мкр, дом 423""а"", кв. 58",г.Стрежевой,,ТОМ,005643АЛ00,70МЕ,2264,12/20/2008,12/20/2013,
Общество с ограниченной ответственностью,"ООО ""Рассвет""",7022015010,,г.Стрежевой,"Сибирская, д. 1",г.Стрежевой,,ТОМ,005642АЛ00,70МЕ,2263,12/20/2008,12/20/2013,
Общество с ограниченной ответственностью,"ООО ""Никадан""",7017118758,,г. Томск,"Рабочая, 66",г.Стрежевой,"4 мкр, д. 423",ТОМ,003906АЛ12,70МЕ,1816,3/7/2012,3/7/2013,
Общество с ограниченной ответственностью,"ООО ""ЕЛИСЕЙ""",7022015067,,г.Стрежевой,"ул. Строителей, 51/1",г.Стрежевой,"ул. Коммунальная, д.75/1 (магазин).",ТОМ,005654АЛ02,70МЕ,2278,3/7/2012,3/7/2013,
Общество с ограниченной ответственностью,"ООО ""Сибирь-1""",7022015170,,г.Стрежевой,"2-ой мкр. , д. 239",г.Стрежевой,,ТОМ,003979АЛ00,70МЕ,1770,3/7/2012,3/7/2013,
Общество с ограниченной ответственностью,"ООО ""СТРЕЖЕНЬ""",7022014867,,г.Стрежевой,"5-й мкр. д. 518, кв. 41",г.Стрежевой,,ТОМ,004017АЛ00,70МЕ,2244,5/15/2012,5/15/2013,
Общество с ограниченной ответственностью,"ООО ""Колос""",7022015116,,г.Стрежевой,"3-й мкр, д. 318",г.Стрежевой,,ТОМ,005301АЛ00,70МЕ,1517,5/15/2012,5/15/2013,
Общество с ограниченной ответственностью,"ООО ""Люкс""",7022014987,,г.Стрежевой,"1-й мкр., д. 185, кв. 19",г.Стрежевой,,ТОМ,005696АЛ00,70МЕ,2327,5/30/2012,5/30/2013,
Общество с ограниченной ответственностью,"ООО ""Моя семья""",7022014916,,г.Стрежевой,"4 мкр.,  д.401, кв. 49",г.Стрежевой,,ТОМ,004037АЛ00,70МЕ,1837,5/30/2012,5/30/2013,
