41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Торговый дом ""Сибирский купец""",7017013770,53090776,г. Томск,"Интернационалистов, 22- 77",Кожевниковский район,"с. Кожевниково, пер.Колхозный,1,стр.2",ТОМ,003025АЛ03,70МЕ,485,1/24/2008,1/22/2013,
Общество с ограниченной ответственностью,"ООО ""Экстра-М""",7017058971,58915460,г. Томск,"ул.Герцена, 68, стр.2",Кожевниковский район,"с. Кожевниково, ул. Ленина, 19",ТОМ,005468АЛ10,70МЕ,2048,3/16/2012,9/30/2014,
Общество с ограниченной ответственностью,"Фермерское хозяйство ""Деметра""",7008005148,46637501,Кожевниковский район,"с. Уртам, ул. Пушкина, 2",Кожевниковский район,,ТОМ,005816АЛ00,70МЕ,2479,9/20/2012,9/20/2013,
Государственное предприятие,"ОГУП ""Кожевниковское ДРСУ""",7008000894,20683461,Кожевниковский район,"с. Кожевниково, ул. Кирова, 40",Кожевниковский район,,ТОМ,005088АЛ00,70МЕ,1175,9/20/2012,9/20/2013,
Общество с ограниченной ответственностью,"ООО ""Телец""",7008006631,79193315,Кожевниковский район,"с. Кожевниково, ул. Мичурина, 89-2",Кожевниковский район,,ТОМ,003634АЛ00,70МЕ,1245,10/2/2008,10/2/2013,
Общество с ограниченной ответственностью,"ООО ""РЕНТА""",7017122320,,г. Томск,"ул. Березовая, 8",Кожевниковский район,"с. Кожевниково, пер. Колхозный, 1, стр. 6 (магазин)",ТОМ,005576АЛ01,70МЕ,2185,10/2/2008,10/2/2013,
Общество с ограниченной ответственностью,"ООО""Дебют""",7008007089,,Кожевниковский район,"с. Кожевников,ул. Гагарина,3/1",Кожевниковский район,,ТОМ,005483АЛ00,70МЕ,2070,12/22/2008,12/22/2013,
Потребительское общество,"СПО ""Колос""",7008003164,,Кожевниковский район,"с. Кожевниково,  пер. Первомайский, 23, пом.26",Кожевниковский район,,ТОМ,005527АЛ00,70МЕ,2124,12/22/2008,12/22/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНаС""",7017188219,,г. Томск,"ул. Шпальная, 1",Кожевниковский район,"д. Аптала, ул. Зеленая, 3 ""а"" (магазин)",ТОМ,005820АЛ01,70МЕ,2487,3/7/2012,3/7/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНа""",7017146829,,г.Северск,"ул. Солнечная, 23, кв. 137",Кожевниковский район,"с. Кожевниково, ул. Ленина, 19 (магазин)",ТОМ,005799АЛ39,70МЕ,2450,10/27/2011,10/27/2012,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Кожевниковский район,"с. Тека, пер. Школьный, д 3, пом. 3",ТОМ,004996АЛ66,70МЕ,1027,10/27/2011,10/27/2012,
Общество с ограниченной ответственностью,"ООО ""СТО ""Автосервис""",7008006416,,Кожевниковский район,"с. Кожевниково, ул. Кирова, д.29, кв.2",Кожевниковский район,,ТОМ,005021АЛ00,70МЕ,1063,10/27/2011,10/27/2012,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Кожевниковский район,"с. Батурино, ул. Советская 31а",ТОМ,005106АЛ124,70МЕ,1215,12/16/2011,12/16/2012,
