№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19
1,"ПО ""КОЛОС"" п. Стодолище",6712006067,1026700630076,"216470, Смоленская область, Починовский район, п. Стодолище, ул. Советская","216479, Смоленская область, Починовский район, д. Шмаково (магазин), без ограничений",№ 987                 Б 005755               (Б 004941),27 июня 2011,по 30 июня 2011,до 01 июля 2016,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п/о Ново-Головачи, д. Ковали (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, д. Ново-Головачи (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, д. Лысовка (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п/о Лысовка, д. Кубарки (магазин), без ограничений",,,,,,,,,,,
,,,,,"216470, Смоленская область, Починовский район, д. Красное Знамя (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п/о Красное Знамя, д. Деребуж (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, д. Торчиловка (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п/о Шанталово, д. Льнозавод (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, д. Шанталово (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п/о Шантолово, д. Боровка (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, д. Васьково (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, д. Белик (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, д. Шанталово (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Советская (магазин ""Стомять""), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 122 (магазин ""Гастроном""), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 124 (кафе), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, г. Починок, ул. Кирова, д. 18 (магазин) без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 121 (столовая), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, г. Починок, пер. Ленина, д. 6 (магазин ""Родничок""), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 68 (магазин №1), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Ленина, д. 23 (магазин), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Орджоникидзе, д. 39-а (магазин ""Пайщик""), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Рабочая, д. 1-а (магазин ""Кооператор""), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, ул. Советская, д. 172 (магазин №4), без ограничений",,,,,,,,,,,
,,,,,"216479, Смоленская область, Починовский район, п. Стодолище, д. Ворошилово (магазин), без ограничений",,,,,,,,,,,
2,"ООО ""РУСИЧ""",6712007977,1066712011937,"216491, Смоленская область, Починовский район, п. Шаталово-1","216491, Смоленская область, Починовский район, п. Шаталово-1 (магазин), без ограничений",№ 2014                  Б 004931,20 июня 2011,до 20 июня 2016,,,,,,,,
