РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
166,27-12алк/Тым,2/22/2012,"ООО ""Новоторг""","Тымовский р-н, п.г.т. Тымовское, ул. Кировская, 52",МЕ006817,2/21/2013,действующая,алк> 15%,"супермаркет ""Тамара"" п.г.т. Тымовское ул. Кировская, 54"
167,20-07алк/ЮС,12/16/2010,"ООО ""Северный""","г. Южно-Сахалинск, пл./р-н Новоалександровск, ул.2-я Хабаровская,60",МЕ005477,2/21/2013,действующая переоформленная,алк>15% алк <15%,"магазин ""Северный"" г. Южно-Сахалинск пл./р-н Новоалександровск, ул. 2-Хабаровская,60; магазин ""Ива"" г. Южно-Сахалинск пл./р-н Новоалександровск.ул.2-я Комсомольская,9а"
168,37-12алк/ЮС,2/28/2012,"ООО ""Элегия""","г. Южно-Сахалинск, пр. Победы, 61/Б",МЕ006828,2/27/2013,действующая,алк> 15%,"магазин ""Темушка"" г. Южно-Сахалинск пр. Победы, 61/Б"
169,38-12алк/Пор,2/28/2012,"ООО ""Экспресс""","Поронайский р-н, с. Восток, ул. Гагарина, 9/А",МЕ006829,2/27/2013,действующая,алк> 15%,"магазин ""Экспресс"" с. Восток ул. Гагарина, 9/А"
170,39-12алк/См,2/29/2012,"ООО ""Надежда""","Смирныховский р-н, п.г.т. Смирных, ул. 8 Марта, 30",МЕ006830,2/28/2013,действующая,алк> 15%,"магазин ""Надежда"" п.г.т. Смирных ул. 8 Марта, 30"
171,27-07алк/ЮС,2/28/2010,"ООО ""Андаин""","г. Южно-Сахалинск, пр.Мира,57/5",МЕ004181,2/28/2013,действующая продленная,алк> 15%,"магазин ""Андаин"" г. Южно-Сахалинск ул. Емельянова,33г"
172,23-07алк/ЮС,2/3/2010,"ООО ""Армрос""","г. Южно-Сахалинск, ул.Ленина,441а",МЕ005294,2/28/2013,действующая продленная,алк> 15%,"бар ""Армрос"" г. Южно-Сахалинск ул. Ленина,441а"
173,43-12алк/ЮС,3/2/2012,"ООО ""КиТ""","г. Южно-Сахалинск, пл. р-он Новоалександровск, ул 2-ая Комсомольская, 27",МЕ006834,3/1/2013,действующая,алк> 15%,"магазин ""Александровка"" г. Южно-Сахалинск пл. р-он Новоалександровка, ул. 2-ая Комсомольская, 27"
174,44-12алк/Мак,3/2/2012,"ООО """"АРЕНА","Макаровский р-н, г. Макаров, ул. Ленинградская, 8",МЕ006835,3/1/2013,действующая,алк> 15%,"кафе ""Арена"" г. Макаров ул. Ленинградская, 8"
175,42-12алк/Дол,3/2/2012,"ООО ""Лагуна""","Долинский р-н, с.Углезаводск, ул. Новая, 15",МЕ006833,3/1/2013,действующая,алк> 15%,"магазин ""Лагуна"" п. Углезаводск ул. Новая, 15"
176,47-12алк/Хол,3/3/2012,"ООО ""САНЭС""","Холмский р-н, г. Холмск, ул. Победы, 16",МЕ006838,3/2/2013,действующая,алк> 15%,"магазин ""Магнит"" г. Холмск ул. Советсткая, 118"
177,49-12алк/Том,3/5/2012,"ООО ""Вера""","Томаринский р-н, с. Красногорск, ул. Ушакова, 22",МЕ006840,3/4/2013,действующая,алк> 15%,"магазин ""Вера"" с. Красногорск ул. Ушакова, 22"
178,53-12алк/ЮС,3/15/2012,"ООО ""Лев""","г. Южно-Сахалинск, ул.Саранская,6а",МЕ006847,3/14/2013,действующая,алк> 15%,"магазин ""Делис"" г. Южно-Сахалинск ул. Саранская, 6/А"
179,54-12алк/Тым,3/15/2012,"ООО ""У Коляна""","Тымовский р-н, с. Адо-Тымово, ул. Дорожная, 5",МЕ006848,3/14/2013,действующая,алк> 15%,"магазин ""У Коляна"" с. Адо-Тымово ул. Дорожная, 5"
180,58-12алк/Пор,3/20/2012,"ООО ""Макарова Е.В.""","Вахрушевский р-н, Вахрушев, ул. Центральная, 107",МЕ006852,3/19/2013,действующая,алк> 15%,"магазин №1 пгт.Вахрушев ул. Центральная, 107; магазин №5 с. Восток ул. Гагарина, 11/А"
181,56-12алк/Нев,3/20/2012,"ООО ""Надежда""","Невельский р-н, г. Невельск, ул.Советская,20",МЕ006850,3/19/2013,действующая,алк> 15%,"магазин ""Байкал"" г. Невельск ул. Советская, 20"
182,59-12алк/ЮК,3/22/2012,"ООО ""ДЕЛЬТА""","Южно-Курильский р-н, п.г.т. Южно-Курильск, ул. Спортивная, 7",МЕ006855,3/21/2013,действующая,алк> 15%,"ресторан ""Океан"" п.г.т. Южно-Курильск ул. Океанская, 4/Б"
183,64-12алк/АС,3/23/2012,"ООО ""СахГрад""","Александровский р-н, г. Александровск-Сахалинский, ул. Рабочая, 14, оф. 2",МЕ006860,3/22/2013,действующая,алк> 15%,"магазин ""Инесса"" г. Александровск-Сахалинский ул. Рабочая, 14, пом. 2"
184,61-12алк/ЮС,3/23/2012,"ООО ""Пилигрим""","Анивский р-н, г. Анива, пер. Речной, 4, оф. 2",МЕ006856,3/22/2013,действующая,алк> 15%,"магазин ""Пилигрим"" г. Анива ул. Комсомольская, 20"
185,62-12алк/Ан,3/23/2012,"ООО ""Фортуна""","Анивский р-н, с. Таранай, ул. Совхозная, 6/А",МЕ006857,3/22/2013,действующая,алк> 15%,"магазин ""Фортуна"" с. Таранай Совхозная, 6/А"
186,35-10алк/ЮС,3/22/2010,"ООО ""Сахалин-Монтаж""","г. Южно-Сахалинск, ул.Ленина, 1/и",МЕ005332,3/22/2013,действующая,алк> 15%,"кафе ""Юбилейное"" г. Долинск пр. Победы, 34"
187,26-08алк/Хол,12/30/2008,"ООО ""Гарантия""","Холмский р-н, с.Чехов, ул.Ленина, 58",МЕ004701,3/25/2013,действующая продленная,алк> 15%,"магазин ""Продукты"" с.Чехов ул.Ленина, 58; магазин ""Михалыч"" с.Чехов ул.Северная,42"
188,67-12алк/Угл,3/27/2012,"ООО ""Фрегат""","Углегорский р-н, с. Бошняково, ул. Угольная, 31",МЕ006863,3/26/2013,действующая,алк> 15%,"магазин ""Рассвет"" с. Бошняково ул. Угольная, 31"
189,68-12алк/ЮС,3/28/2012,"ООО ""Алладин""","г. Южно-Сахалинск, ул. Сахалинская, 1, оф. 77",МЕ006864,3/27/2013,действующая,алк> 15%,"кафе ""Алладин"" г. Южно-Сахалинск ул. Сахалинская, 1, пом. 77"
190,70-12алк/Ох,3/28/2012,"ООО ""Находка""","Охинский р-н, г. Оха, ул. Красных Партизан, 15/1",МЕ006866,3/27/2013,действующая,алк> 15%,"магазин ""Медведь"" г. Оха ул. Красных  Партизан, 15/1"
191,71-12алк/Кор,3/31/2012,"ООО ""Пассаж""","Корсаковский р-н, г. Корсаков, ул. Окружная, 105",МЕ006869,3/30/2013,действующая,алк> 15%,"кафе ""Миллениум"" г.Корсаков ул. Окружная, 105"
192,72-12алк/Пор,3/31/2012,"ООО ""Мастер""","Поронайский р-н, г. Поронайск, ул. Октябрьская, 64",МЕ006870,3/30/2013,действующая,алк> 15%,"магазин ""Провинция"" г. Поронайск ул. Октябрьская, 47, оф. 28; магазин ""Провинция"" с. Гастелло ул. Центральная, 53; кафе ""Кафе"" с. Гастелло ул. Центральная, 53"
193,28-11алк/Угл,3/31/2011,"ООО ""Никольское""","Углегорский р-н, с. Никольское, ул. Черёмушки, 7",МЕ005555,3/31/2013,действующая,алк> 15%,"магазин ""Черёмушки"" с. Никольское ул. Черёмушки, 9-8"
194,39-07алк/ЮС,12/7/2007,"ООО ""САХТЕЛЕБЫТ""","г. Южно-Сахалинск, ул. Сахалинская, 154/Б",МЕ004410,4/2/2013,действующая продленная,алк> 15%,"магазин ""Уралочка"" г. Южно-Сахалинск ул. Сахалинская, 154/б; кафе ""Золотые пески"" г. Южно-Сахалинск ул. Сахалинская, 156"
195,30-08алк/ЮС,4/3/2008,"ООО ""Санта""","г. Южно-Сахалинск, ул.Венская,3",МЕ004500,4/3/2013,действующая,алк> 15%,"ресторан      г. Южно-Сахалинск ул.Венская,3; бар ""Кристалл"" г. Южно-Сахалинск ул.Венская, 3; бар ""Эмеральд"" г. Южно-Сахалинск ул.Венская, 3; магазин     г. Южно-Сахалинск ул.Венская,3"
196,78-12алк/ЮС,4/6/2012,"ООО ""Счастье""","г. Южно-Сахалинск, пл. р-он Луговое , ул. Гайдука, 1/А, 39",МЕ006878,4/5/2013,действующая,алк> 15%,"магазин ""Счастье"" с. Троицкое ул. Центральная, 19"
197,74-12алк/См,4/6/2012,"ООО ""КУПЕЦЪ""","Смирныховский р-н, п.г.т. Смирных, ул. Западная, 11, пом. 42",МЕ006874,4/5/2013,действующая,алк> 15%,"кафе ""Избушка"" п.г.т. Смирных ул. Западная, 11, пом. 42"
198,32-11алк/См,4/7/2011,"ООО ""Кристалл""","Смирныховский р-н, с.Победино, ул. Центральная, 81/А, кв. 2",МЕ005566,4/6/2013,действующая,алк> 15%,"магазин ""Успех"" с.Победино ул. Центральная, 79"
199,39-10алк/ЮС,4/7/2010,"ООО ""БЭСТКОМ""","г. Южно-Сахалинск, ул. Комсомольская, 111",МЕ005340,4/6/2013,действующая,алк> 15%,"магазин ""Быстроном"" г. Южно-Сахалинск ул. Комсомольская, 111"
200,80-12алк/Кор,6/1/2012,"ООО ""Караван""","Корсаковский р-н, г. Корсаков, ул. Советская, 34",МЕ006880,4/9/2013,действующая переоформленная,алк> 15%,"кафе ""Бархан"" г. Корсаков ул. Толстого, 43; магазин ""Дюна"" г. Корсаков ул. Советская, 34"
201,81-12алк/АС,4/11/2012,"ООО ""КРИСТАЛЛ""","Александровский р-н, г. Александровск-Сахалинский, ул.Советская, 36",МЕ006881,4/10/2013,действующая,алк> 15%,"магазин ""Кристалл"" г. Александровск-Сахалинский ул. Советская, 36"
202,84-12алк/СК,4/13/2012,"ООО ""Покупайка""","Северо-Курильский р-н, г. Северо-Курильск, ул. Вилкова, 6",МЕ006884,4/12/2013,действующая,алк> 15%,"магазин ""Покупайка"" г. Северо-Курильск ул. Сахалинская, 37"
203,85-12алк/Дол,4/13/2012,"ООО ""Виктория""","Долинский р-н, г. Долинск, ул. Пионерская, 7",МЕ006885,4/12/2013,действующая,алк> 15%,"магазин ""Березка"" г. Долинск ул. Пионерская, 7"
204,83-12алк/Пор,4/13/2012,"ООО ""СанЛайт""","Поронайский р-н, г. Поронайск, ул. Театральная, 52",МЕ006883,4/12/2013,действующая,алк> 15%,"бар ""Жара"" г. Поронайск ул. Театральная, 52"
205,88-12алк/Ан,4/17/2012,"ООО ""Ангел""","Анивский р-н, с. Троицкое, ул. Центральная, 9/А",МЕ006888,4/16/2013,действующая,алк> 15%,"магазин ""Ангел"" г. Южно-Сахалинск ул. Поповича, 55/А; магазин ""Звезда"" с. Троицкое ул. Центральная, 9/А"
206,89-12алк/Дол,4/17/2012,"ООО ""Меркурий""","Долинский р-н, с. Быков, ул. Горняцкая, 9, оф. 1",МЕ006890,4/16/2013,действующая,алк> 15%,"магазин ""Престиж"" с. Быков ул. Горняцкая, 9, пом. 1"
207,90-12алк/ЮС,4/20/2012,"ООО ""Маяк- Сервис плюс""","г. Южно-Сахалинск, ул. Пуркаева, 65",МЕ006891,4/19/2013,действующая,алк> 15%,"бар ""Маяк"" г. Южно-Сахалинск ул. Украинская, 32"
208,46-07алк/Хол,12/28/2011,"ООО ""САНЭС-ОБЩЕПИТ""","Холмский р-н, г. Холмск, ул. Победы, 20/а",МЕ 006778,4/19/2013,действующая переоформленная,алк> 15%,"магазин ""Самекс"" г. Холмск ул. Капитанская, 9; магазин ""Новый синий"" г. Холмск ул. Школьная, 34/А"
209,91-12алк/Угл,4/21/2012,"ООО ""ГРАНД ВОСТОК""","Углегорский р-н, г. Углегорск, ул. Победы, 183",МЕ006892,4/20/2013,действующая,алк> 15%,"магазин ""Максимум"" г. Углегорск ул. Победы, 183"
210,49-07алк/Ан,4/24/2007,"ООО ""Дан Тим""","Анивский р-н, п. Мицулёвка, ул.Первомайская,23",МЕ004213,4/24/2013,действующая продленная,алк> 15%,"магазин ""Успех"" п. Мицулёвка ул.Первомайская,23"
211,44-08алк/Хол,4/25/2008,"ООО ""Чипиань""","Холмский р-н, п. Пятиречье, ул.Центральная,82",МЕ004521,4/25/2013,действующая продленная,алк> 15%,"магазин ""Чипиань"" п. Пятиречье ул.Центральная,82"
212,99-12алк/Ан,4/27/2012,"ООО ""Лори""","Анивский р-н, с. Троицкое, ул. Центральная, 56",МЕ006902,4/26/2013,действующая,алк> 15%,"магазин ""Лори"" с. Троицкое ул. Центральная, 56"
213,97-12алк/Ох,4/27/2012,"ООО ""Горизонт""","Охинский р-н, с.Восточное, ул. Береговая, 4/1",МЕ006900,4/26/2013,действующая,алк> 15%,"магазин Горизонт с.Восточное ул. Береговая, 4/1"
214,96-12алк/Тым,4/27/2012,"ООО ""Раздолье""","Тымовский р-н, с. Восход, ул. Зелёная, 3",МЕ006899,4/26/2013,действующая,алк> 15%,"магазин ""Раздолье"" с. Восход ул. Зеленая, 3"
215,50-08алк/Хол,4/14/2011,"ООО ""Общепит""","Холмский р-н, г. Холмск, ул.Портовая,8а/21",МЕ006574,4/30/2013,действующая переоформленная,алк> 15%,"кафе ""Минутка"" г. Холмск ул.Школьная, 60; закусочная ""Ветерок"" г. Холмск ул.Советская, 48; магазин ""Уют"" г. Холмск ул.Морская,8; кафе ""Уют"" г. Холмск ул.Морская,8"
216,49-08алк/Кор,4/30/2008,"ООО ""Друг""","Корсаковский р-н, г. Корсаков, ул.Окружная,148",МЕ004527,4/30/2013,действующая,алк> 15%,"кафе ""555"" г. Корсаков ул.Советская,22/1; магазин ""555"" г. Корсаков ул.Окружная,148; магазин ""Олеся"" г. Корсаков ул.Портовая,11/1"
217,108-12алк/Нев,5/5/2012,"ООО ""Континент""","Невельский р-н, г. Невельск, ул. Победы, 11",МЕ006914,5/4/2013,действующая,алк> 15%,"магазин ""Гроцери"" г. Невельск ул. Победы, 11"
218,109-12алк/См,5/8/2012,"ООО ""Звезда""","Смирныховский р-н, п.г.т. Смирных, ул. Чехова, 11/А",МЕ006915,5/7/2013,действующая,алк> 15%,"магазин ""Коллея+"" п.г.т. Смирных ул. Чехова, 11/А; магазин ""Магнит"" п.г.т. Смирных ул. 8 Марта, 38/В"
219,52-08алк/Кур,5/7/2008,"ООО ""Невада""","Курильский р-н, г. Курильск, ул.60 лет Октября,5/3",МЕ004533,5/7/2013,действующая продленная,алк> 15%,"магазин ""Новинка"" с.Горный       "
220,115-12алк/Нев,5/18/2012,"ОАО ""База технического обслуживания флота""","Невельский р-н, г. Невельск, ул. Рыбацкая, 27",МЕ006923,5/17/2013,действующая,алк> 15%,"кафе ""Виктория"" г. Невельск ул. Рыбацкая, 27"
221,117-12алк/Нев,5/18/2012,"ООО ""Находка 1""","Невельский р-н, г. Невельск, ул. Победы, 13",МЕ006925,5/17/2013,действующая,алк> 15%,"магазин ""Находка"" г. Невельск ул. Победы, 13"
222,118-12алк/Ан,5/18/2012,"ООО ""Калина""","Анивский р-н, г. Анива, ул.Заречная, 12",МЕ006926,5/17/2013,действующая,алк> 15%,"магазин ""Калина"" г. Анива ул. Заречная, 12"
223,49-10алк/ЮС,5/20/2010,"ООО ""Городок""","г. Южно-Сахалинск, пр. Мира, 464/ а",МЕ005365,5/19/2013,действующая,алк> 15%,"кафе ""Городок"" г. Южно-Сахалинск пр. Мира, 464/а"
224,126-12алк/ЮС,5/25/2012,"ООО ""Константа""","г. Южно-Сахалинск, ул. Дальняя, 10 ",МЕ006933,5/24/2013,действующая,алк> 15%,"бар ""Рояль"" г. Южно-Сахалинск ул. Емельянова, 36"
225,125-12алк/ЮС,5/25/2012,"ООО ""Ассорти""","г. Южно-Сахалинск, ул. Дзержинского, 22",МЕ006931,5/24/2013,действующая,алк> 15%,"бар ""Ассорти"" г. Южно-Сахалинск ул. Дзержинского, 22"
226,129-12алк/ЮС,5/25/2012,"ООО ""Вершина""","г. Южно-Сахалинск, ул. Курильская, 38",МЕ006936,5/24/2013,действующая,алк> 15%,"кафе ""Баррель"" г. Южно-Сахалинск ул. Курильская, 38"
227,124-12алк/ЮС,5/25/2012,"ООО ""Меркурий-93""","г. Южно-Сахалинск, ул. Комсомольская, 291",МЕ006932,5/24/2013,действующая,алк> 15%,"магазин ""Милиора"" г. Южно-Сахалинск ул. Комсомольская, 291"
228,122-12алк/Нев,5/25/2012,"ООО ""Берёзка""","Невельский р-н, г. Невельск, ул. Гоголя, 6",МЕ006929,5/24/2013,действующая,алк> 15%,"магазин ""Березка"" г. Невельск ул. Гоголя, 6"
229,127-12алк/Тым,5/25/2012,"ОАО ""Тымовский хлебокомбинат""","Тымовский р-н, п.г.т. Тымовское, ул. Парковая, 27",МЕ006934,5/24/2013,действующая,алк> 15%,"магазин ""Горячий хлеб"" п.г.т. Тымовское ул. Парковая, 27; магазин ""Хлеб"" с. Воскресеновка ул. Советская, 42; магазин ""Хлеб"" с. Адо-Тымово ул. Новая, 6"
230,119-12алк/Кор,5/26/2012,"ООО ""Кристина""","Корсаковский р-н, г. Корсаков, ул. Октябрьская, 13/1",МЕ006927,5/25/2013,действующая,алк> 15%,"магазин ""Новинка"" г. Корсаков ул. Октябрьская, 13/1"
231,130-12алк/ЮС,5/27/2012,"ООО ""Квадро""","г. Южно-Сахалинск, ул. Ленина, 555",МЕ006937,5/26/2013,действующая,алк> 15%,"кафе ""У Федоровки"" г. Южно-Сахалинск ул. Ленина, 555"
232,135-12алк/Хол,5/27/2012,"ООО ""Фортуна""","Холмский р-н, г. Холмск, ул.Советская,112а",МЕ006942,5/26/2013,действующая,алк> 15%,"магазин ""Фортуна"" г. Холмск ул. Советская, 112/А"
233,51-10алк/ЮС,5/28/2010,"ООО ""Квазар""","г. Южно-Сахалинск, ул. Сахалинская, 2",МЕ005372,5/27/2013,действующая продленная,алк> 15%,"ресторан ""Турист"" г. Южно-Сахалинск ул. Сахалинская, 2"
234,137-12алк/Вах,5/29/2012,"ООО ""Яна""","Вахрушевский р-н, пгт.Вахрушев, ул. Центральная, 101, пом. 2",МЕ006944,5/28/2013,действующая,алк> 15%,"магазин ""Яна"" Вахрушев ул. Центральная, 101, пом. 2"
235,140-12алк/Ног,6/1/2012,"ООО ""Шериф""","Ногликский р-н, п.г.т.  Ноглики, ул. Штернберга, 1/А",МЕ006949,5/31/2013,действующая,алк> 15%,"магазин ""Шериф"" п.г.т.  Ноглики ул. Штернберга, 1/А"
236,142-12алк/Тым,6/1/2012,"ООО ""Восход""","Тымовский р-н, с. Восход, ул. Космическая, 1, пом. 4",МЕ006951,5/31/2013,действующая,алк> 15%,"магазин ""Восход"" п.г.т. Тымовское ул. Кировская, 116"
237,48-11алк/ЮС,6/2/2011,"ООО ""Аргус""","г. Южно-Сахалинск, ул. Украинская, 73",МЕ006608,6/1/2013,действующая,алк> 15%,"магазин ""Вина Кубани"" г. Южно-Сахалинск г. Есенина, 5/1"
238,186-06алкЮС,6/22/2012,"ООО ""Удача""","г. Южно-Сахалинск, ул. Горького, 16 ",МЕ007019,6/2/2013,действующая переоформленная,алк> 15%,"магазин ""Удача"" г. Южно-Сахалинск ул. Горького, 16; магазин ""Людмила"" г. Южно-Сахалинск пл. р-он Луговое, ул. Гайдука, 50"
239,138-12алк/См,6/4/2012,"ООО ""ЛЮКС""","Смирныховский р-н, с.Победино, ул.Центральная,63/14",МЕ006947,6/3/2013,действующая,алк> 15%,"магазин ""Экспресс"" с.Победино ул. Центральная, 57, пом. 5"
240,151-12алк/ЮС,6/8/2012,"ООО ""Гринкос Гриль""","г. Южно-Сахалинск, ул. Амурская, 62/А, оф. 205",МЕ006961,6/7/2013,действующая,алк> 15%,"кафе ""Гринкос Гриль"" г. Южно-Сахалинск ул. Пограничная, 28"
241,150-12алк/Хол,6/8/2012,"ООО ""Димира""","Холмский р-н, с. Правда, ул. Речная, 10",МЕ006960,6/7/2013,действующая,алк> 15%,"магазин ""Димира"" с. Правда ул. Речная, 10; магазин ""Дияна"" с. Правда ул. Речная, 27"
242,159-12алк/Нев,6/8/2012,"ООО ""Комаско""","Невельский р-н, г. Невельск, ул. Ленина, 1/А, строение №2",МЕ006969,6/7/2013,действующая,алк> 15%,"магазин """"Комаско"" г. Невельск ул. Ленина, 1/А, стр. 2"
243,166-12алк/Кор,6/8/2012,"ООО ""Дуэт""","Корсаковский р-н, п. 2-я падь,   ",МЕ006978,6/7/2013,действующая,алк> 15%,"магазин ""Дуэт"" п. 2-я падь    ; магазин ""Дуэт-2"" г. Корсаков Приморский бульвар, 7"
244,152-12алк/Кор,6/8/2012,"ООО """"Реал","Корсаковский р-н, г. Корсаков, ул. Окружная, 17",МЕ006962,6/7/2013,действующая,алк> 15%,"магазин ""Кристалл"" г. Корсаков ул. Окружная, 17, пом. 22,23,40"
245,164-12алк/Хол,6/8/2012,"ООО ""Анастасия""","Холмский р-н, г. Холмск, ул. Крузенштерна, 6",МЕ006976,6/7/2013,действующая,алк> 15%,"магазин №3 ""Продукты"" г. Холмск ул. Крузенштерна, 6"
246,154-12алк/,6/8/2012,"ООО ""НАТА""","Холмский р-н, г. Холмск, ул. Матросова, 6",МЕ006964,6/7/2013,действующая,алк> 15%,"магазин ""НАТА"" г. Холмск ул. Матросова, 6"
247,153-12алк/Хол,6/8/2012,"ООО ""Торговый Дом ""САН""","Холмский р-н, г. Холмск, ул. Молодёжная, 6",МЕ006963,6/7/2013,действующая,алк> 15%,"магазин ""Евдокия 2"" г. Холмск ул. Молодежная, 6"
248,73-07алк/ЮС,2/6/2009,"ЗАО ""Пасифик""  ","г. Южно-Сахалинск, пр.Мира,172",МЕ004727,6/9/2013,действующая продленная,алк> 15%,"кафе ""Аромас"" г. Южно-Сахалинск пр.Мира,172; ресторан ""Валентин"" г. Южно-Сахалинск пр.Мира,172; бар на восьмом этаже г. Южно-Сахалинск пр.Мира,172"
249,72-07алк/Пор,5/27/2010,"ПК Рыболовецкий колхоз ""Дружба""","Поронайский р-н, г. Поронайск, ул. Октябрьская, 2",МЕ005366,6/9/2013,действующая продленная,алк> 15%,"магазин ""Золотая рыбка"" г. Поронайск ул.Октябрьская,100"
250,171-12алк/ЮС,6/11/2012,"ООО ""Русский Рецепт""","г. Южно-Сахалинск, пр. Мира, 47/А",МЕ006983,6/10/2013,действующая,алк> 15%,"магазин ""Баловень"" г. Южно-Сахалинск пр. Мира, 47/А"
251,64-08алк/ЮС,3/31/2011,"ООО ""Экспос""","г. Южно-Сахалинск, ул.Невельского, 52",МЕ005560,6/11/2013,действующая переоформленная,алк> 15%,"магазин ""Мельница"" г. Южно-Сахалинск ул.Колодезная,8"
252,49-11алк/ЮС,6/16/2011,"ООО ""Белый Аист""","г. Южно-Сахалинск, ул.Авиационная, 74/в",МЕ006610,6/15/2013,действующая,алк> 15%,"магазин ""Белый Аист"" г. Южно-Сахалинск ул. Авиационная, 74/в"
253,186-12алк/ЮС,6/18/2012,"ООО ""Магнолия""","г. Южно-Сахалинск, пер. Украинский, 13/Б",МЕ007002,6/17/2013,действующая,алк> 15%,"магазин ""Продукты"" г. Южно-Сахалинск пер. Украинский, 13/Б"
254,185-12алк/Ох,6/18/2012,"ООО ""Торговая Компания Тройка""","Охинский р-н, г. Оха, ул. Ленина, 35",МЕ007001,6/17/2013,действующая,алк> 15%,"магазин ""Тройка"" г. Оха ул. Ленина, 35; магазин ""Тройка"" г. Оха ул. Ленина, 35"
255,81-07алк/ЮС,11/6/2007,"ООО ""Росморепродукт""","г. Южно-Сахалинск, ул.Пограничная,47",МЕ004378,6/20/2013,действующая продленная,алк> 15%,"кафе ""Кристалл"" г. Южно-Сахалинск ул.Емельянова, 31/а; бар ""Кристалл-2"" г. Южно-Сахалинск ул. Емельянова, 31/а"
256,162-12алк/Хол,6/21/2012,"ООО ""Холмскагросервис""","Холмский р-н, г. Холмск, ул. Переселенческая, 2",МЕ006974,6/20/2013,действующая,алк> 15%,"магазин ""Продукты"" г. Холмск ул. Переселенческая, 23"
257,195-12алк/ЮС,6/22/2012,"ООО ""Бенифит""","г. Южно-Сахалинск, ул. Дзержинского, 22/78",МЕ007011,6/21/2013,действующая,алк> 15%,"магазин ""Продукты"" г. Южно-Сахалинск ул. Дзержинского, 22"
258,190-12алк/ЮС,6/22/2012,"ООО ""СахЛесТранс""","г. Южно-Сахалинск, пр. Мира, 66",МЕ007006,6/21/2013,действующая,алк> 15%,"бар ""Акабама"" г. Южно-Сахалинск пр. Мира, 66"
259,196-12алк/Ан,6/22/2012,"ООО ""ГРАНД"" ","Анивский р-н, г. Анива, ул. Ленина, 31",МЕ007012,6/21/2013,действующая,алк> 15%,"магазин ""Сантропе"" г. Анива ул. Транспортная, 8"
260,82-07алк/ЮС,6/22/2007,"ООО ""Квартет""","г. Южно-Сахалинск, Коммунистический пр.32",МЕ004274,6/22/2013,действующая продленная,алк> 15%,"бар ""Ультрафиолет"" г. Южно-Сахалинск ул.Хабаровская,47"
261,68-08алк/Ног,6/25/2008,"ООО ""СТАЛКЕР""","Ногликский р-н, с. Вал, ул.Молодёжная,5",МЕ004552,6/25/2013,действующая продленная,алк> 15%,"магазин ""Поляна"" с. Вал ул.Молодёжная,5"
262,203-12алк/См,6/29/2012,"ООО ""Мария""","Смирныховский р-н, с. Первомайск, ул. Шевченко, 42, пом. 1 ",МЕ007023,6/28/2013,действующая,алк> 15%,"магазин ""Мария"" с. Первомайск ул. Шевченко, 42, пом.1"
263,202-12алк/Дол,6/29/2012,"ООО ""Ирина""","Долинский р-н, с. Стародубское, ул. Набережная, 23/А",МЕ007022,6/28/2013,действующая,алк> 15%,"магазин ""Ирина"" с. Стародубское ул. Набережная, 23/А"
264,216-12алк/Нев,7/1/2012,"ООО ""ТриФ""","Невельский р-н, г. Невельск, ул. Победы, 17/А",МЕ007037,6/30/2013,действующая,алк> 15%,"магазин ""Глобус"" г. Невельск ул. Победы, 17/А"
265,215-12алк/Кор,7/1/2012,"ООО ""Век""","Корсаковский р-н, г. Корсаков, ул. Первомайская, 30",МЕ007036,6/30/2013,действующая,алк> 15%,"магазин ""Эдим"" г. Корсаков ул. Первомайская, 30"
266,209-12алк/Кор,7/1/2012,"ООО ""Ника""","Корсаковский р-н, г. Корсаков, ул.Лермонтова, 6/1",МЕ007029,6/30/2013,действующая,алк> 15%,"магазин ""Ника"" г. Корсаков ул. Лермонтова, 6/1"
267,212-12алк/Хол,7/1/2012,"ООО ""Альбатрос"" Люкс","Холмский р-н, г. Холмск, ул. Победы, 22",МЕ007032,6/30/2013,действующая,алк> 15%,"магазин ""Альбатрос"" г. Холмск ул. Победы, 22; магазин ""Продукты"" г. Холмск ул. Первомайская, 11; магазин ""Люкс"" г. Холмск ул. Советская, 95"
268,86-07алк/См,7/3/2007,"ООО ""Мария""","Смирныховский р-н, с. Буюклы, ул.Рабочая,63",МЕ004281,7/3/2013,действующая продленная,алк> 15%,"магазин ""Мария"" с. Буюклы ул.Рабочая,63; магазин ""Теремок"" с. Буюклы ул.Титова"
269,71-08алк/Кор,7/3/2008,"ООО ""Даяна""","Корсаковский р-н, г. Корсаков, ул.Краснофлотская,9",МЕ004555,7/3/2013,действующая,алк> 15%,"магазин ""Бриз"" г. Корсаков ул.Краснофлотская,9; магазин ""Любимый"" г. Корсаков ул.Вокзальная,42"
