РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
22,98-11алк/Дол,11/8/2011,"ООО ""Вера""","Долинский р-н, с. Советское, ул. Центральная, 26",МЕ006694,11/7/2012,действующая,алк> 15%,"магазин ""Дарья"" с. Советское ул. Центральная, 26"
23,97-11алк/Кор,11/8/2011,"ППО ""Озёрский  коопцентр""","Корсаковский р-н, п.  Озерский, ул. Центральная, 59/Б",МЕ006693,11/7/2012,действующая,алк> 15%,"магазин №12 п.  Озерский ул. Центральная, 56/Б; магазин №5 п.  Озерский ул. Центральная, 19 - 3"
24,412-09алк/Угл,11/12/2009,"ООО ""Энергетик-Плюс""","Углегорский р-н, г. Углегорск, ул.Победы,141",МЕ005184,11/12/2012,действующая,алк> 15%,"магазин ""Энергетик"" г. Углегорск ул.Победы,141"
25,411-09алк/Кор,11/12/2009,"ООО ""ВЕРТИКАЛЬ ПЛЮС""","Корсаковский р-н, г. Корсаков, Приморский бульвар, 6",МЕ005186,11/12/2012,действующая,алк> 15%,"магазин ""Мини-стоп"" 7-11"" г. Корсаков Приморский бульвар, 6"
26,413-09алк/Ох,11/12/2009,"ООО ""Хазар""","Охинский р-н, г. Оха, ул.Советская,20б",МЕ005183,11/12/2012,действующая,алк> 15%,"магазин ""Смак"" г. Оха ул.Советская,20/б; кафе ""Астория"" г. Оха ул.Ленина,24/2"
27,101-11алк/ЮС,11/14/2011,"ООО ""Белладжио""","г. Южно-Сахалинск, ул.Дзержинского,21",МЕ006701,11/13/2012,действующая,алк> 15%,"ресторан ""Белладжио"" г. Южно-Сахалинск ул. Дзержинского, 21; бар ""Рыцарь"" г. Южно-Сахалинск ул. Дзержинского, 21; бар ""Холидей"" г. Южно-Сахалинск ул. Дзержинского, 21"
28,100-11алк/ЮС,11/14/2011,"ООО ""Вечер""","г. Южно-Сахалинск, ул.Дзержинского,21",МЕ006700,11/13/2012,действующая,алк> 15%,"ресторан ""Вечер"" г. Южно-Сахалинск ул. Дзержинского, 21; бар ""Эмперо"" г. Южно-Сахалинск ул. Дзержинского, 21"
29,143-07алк/ЮС,11/30/2010,"ООО ""Розничная  компания""","г. Южно-Сахалинск, ул. Ленина, 219, оф. 81",МЕ005458,11/14/2012,действующая переоформленная,алк> 15%,"супермаркет  ""Первый"" г. Южно-Сахалинск ул. Ленина, 219; супермаркет  ""Первый Семейный"" г. Южно-Сахалинск пр. Мира, 192"
30,104-11алк/ЮС,11/17/2011,"ООО ""ЛОТОС""","г. Южно-Сахалинск, ул. Курильская, 41/А",МЕ006702,11/16/2012,действующая,алк> 15%,"кафе ""Лотос"" г. Южно-Сахалинск ул. Курильская, 41/А"
31,103-11алк/Ох,11/17/2011,"ООО ""ТАУЗ""","Охинский р-н, г. Оха, ул. Советская, 19",МЕ006699,11/16/2012,действующая,алк> 15%,"магазин ""Градус"" г. Оха ул. Советская, 19"
32,418-09алк/Дол,7/29/2010,"ООО ""Острова""","Долинский р-н, г. Долинск, ул.Горького, 11",МЕ005408,11/19/2012,действующая переоформленная,алк> 15%,"магазин ""Острова"" г. Долинск  ул. Горького, 11"
33,417-09алк/ЮС,11/19/2009,"ООО ""ШКОЛЬНОЕ ПИТАНИЕ""","г. Южно-Сахалинск, ул.Поповича, 69б",МЕ005191,11/19/2012,действующая,алк> 15%,"магазин ""Дионис"" г. Южно-Сахалинск ул.Поповича, 69б"
34,419-09алк/Вах,11/19/2009,"ООО ""Наташа""","Вахрушевский р-н, Вахрушев, ул.Центральная,105",МЕ005194,11/19/2012,действующая,алк> 15%,"магазин ""Наташа"" Вахрушев ул.Центральная,165"
35,416-09алк/Тым,10/7/2010,"ООО ""Заря""","Тымовский р-н, п.г.т. Тымовское, ул.Кировская, 107",МЕ005192,11/19/2012,действующая переоформленная,алк> 15%,"магазин ""№ 1"" с. Восход ул.Центральная,15; магазин ""№ 2"" с. Молодежное ул.Советская,10; магазин ""№ 3"" п.г.т. Тымовское ул.Кировская,107; магазин ""№ 4"" с. Воскресеновка ул.Советская,42/2; магазин ""№ 5"" п.г.т. Тымовское ул.Новая,8; магазин ""№ 6"" п.г.т. Тымовское ул.Кировская, 82; магазин ""№ 7"" п.г.т. Тымовское ул.Криворучко, 30; магазин ""№ 8"" с. Адо-Тымово ул.Новая,2; магазин ""№ 11"" с. Арги-Паги ул.Школьная,18; магазин ""№ 12"" с. Славы ул.30 лет Победы; магазин ""№ 14"" п.г.т. Тымовское ул.Кировская, 95а; магазин ""№ 15"" с.  Ясное ул.Лесная, 16а"
36,109-11алк/ЮС,11/24/2011,"ООО ""БИТ""    ","г. Южно-Сахалинск, ул. Комсомольская, 243/а.  ",МЕ006707,11/23/2012,действующая,алк> 15%,"магазин ""Анюта"" г. Южно-Сахалинск ул. Комсомольская, 243 / А"
37,106-11алк/ЮС,11/24/2011,"ООО ""Симко Трейд""","г. Южно-Сахалинск, ул. Ленина, 279",МЕ006704,11/23/2012,действующая,алк> 15%,"кафе ""Киото"" г. Южно-Сахалинск ул. Комсомольская, 271, корп. 1"
38,110-11алк/Кор,11/24/2011,"ООО ""Урожай""","Корсаковский р-н, г. Корсаков, ул. Первомайская, 18, пом. 44",МЕ006708,11/23/2012,действующая,алк> 15%,"магазин ""Урожай"" г. Корсаков ул. Первомайская, 18, пом. 44"
