№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"СПК ""Бекрино""",6716002169,1026700857215,"215344, Смоленская область, Темкинский район, дер. Бекрино","215344, Смоленская область, Темкинский район, дер. Бекрино (магазин)",№ 1775                Б 005028,20 декабря 2008,по 20 декабря 2013,,,,,,,,,,,,,,,
2,"ООО ""Мила""",6716002708,1066722007440,"215350, Смоленская область, п. Темкино, ул. Футбольное поле, д. 31","215350, Смоленская область, п. Темкино, ул. Советская, д. 28-а (магазин), без ограничений",№ 1255               Г 254889               (Г 301787),11 августа 2006,до 11 августа 2011,до 11 августа 2012,,,,,,,,,,,,,,
3,"ООО ""Виктория""",6716002715,1066722007802,"215350, Смоленская область, Темкинский район, д. Власово, ул. Центральная, д. 18","215350, Смоленская область, Темкинский район, д. Власово, ул. Центральная, д. 18 (магазин), без ограничений",№ 1294                     Г 254932               (Г 301786),04 сентября 2006,до 04 сентября 2011,до 04 сентября 2016,,,,,,,,,,,,,,
4,Темкинское РАЙПО,6716000179,1026700851583,"215350, Смоленская область, с. Темкино, ул. Советская , 1","                                                                                                                                                                                        1536/1 – 215350, Смоленская область, с. Темкино, ул. Советская, д. 39 (магазин № 63 «Продукты»), без ограничений                                                    ",№ 1536                    Г 679537,04 августа 2007,по 04 августа 2012,,,,,,,,,,,,,,,
,,,,,"
1536/2 – 215350, Смоленская область, с. Темкино, ул. Советская, д. 19 (магазин № 2 «Продукты»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/3 – 215350, Смоленская область, с. Темкино, ул. Советская, д. 1-а (магазин № 3 «Продукты»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/4 – 215350, Смоленская область, с. Темкино, ул. Ефремова, д. 7 (магазин № 1 «Продукты»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/5 – 215350, Смоленская область, с. Темкино, ул. Лесная, д. 1 (магазин ТПС «Лесовичок»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/6 – 215350, Смоленская область, Темкинский район, д. Кикино (магазин ТПС № 11 «Мечта»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/7 – 215350, Смоленская область, Темкинский район, д. Селенки (магазин ТПС № 10), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/8 – 215350, Смоленская область, Темкинский район, д. Нарытка (магазин ТПС № 20 «Дубрава»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/9 – 215350, Смоленская область, Темкинский район, д. Власово (магазин ТПС № 13), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/10 – 215350, Смоленская область, Темкинский район, д. Федотково (магазин ТПС № 15), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/11 – 215350, Смоленская область, Темкинский район, д. Замыцкое (магазин ТПС № 19), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/12 – 215350, Смоленская область, Темкинский район, д. Булгаково (магазин ТПС № 4), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/13 – 215350, Смоленская область, Темкинский район, д. Ильино (магазин ТПС № 9), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/14 – 215350, Смоленская область, Темкинский район, д. Павловское (магазин ТПС № 7), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/15 – 215350, Смоленская область, Темкинский район, д. Бурково (магазин ТПС № 8), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/16 – 215350, Смоленская область, Темкинский район, д. Тёмкино (магазин ТПС № 6), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/17 – 215350, Смоленская область, Темкинский район, д. Васильевское (магазин ТПС № 23 «Селянока»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/18 – 215350, Смоленская область, Темкинский район, д. Бекрино (магазин ТПС № 17), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/19 – 215350, Смоленская область, Темкинский район, д. Чаль (магазин ТПС № 18), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/20 – 215350, Смоленская область, Темкинский район, д. Рязаново (магазин ТПС № 24), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/21 – 215350, Смоленская область, Темкинский район, д. Жилино (магазин ТПС № 22), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/22 – 215350, Смоленская область, с. Темкино, ул. Советская, д. 17 (кафе «Сказка»), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"
1536/23 – 215350, Смоленская область, с. Темкино, автомобиль ГАЗ-5312 № 8352 СМП (автомагазин № 1), до 15 %",,,,,,,,,,,,,,,,,,
,,,,,"
1536/24 – 215350, Смоленская область, с. Темкино, автомобиль ГАЗ-53 № Р 787 АТ 67 (автомагазин № 2), до 15 %",,,,,,,,,,,,,,,,,,
