,,,,,,,,,,,
,"Реестр лицензий, текущий статус которых ""действует"" по состоянию на 08 октября 2012 г.",,,,,,,,,,
,,,,,,,,,,,
,,Параметры отбора:,,,,,,,,,
,,Статус лицензий = Действует,,,,,,,,,
,№,Лицензиант,ИНН,КПП,Данные лицензии,,,,,,Юридический адрес
,,,,,Номер ,Серия,Дата выдачи,Дата начала,Дата окончания,Текущий статус,
,23,Красноармейское районное потребительское общество,2109000210,210901001,"831,555",Г,01.02.2009,01.02.2009,31.01.2014,Действует,"429620,Чувашская Республика,Красноармейский р-н,с. Красноармейское,ул. Ленина,16"
,24,Красночетайское районное потребительское общество,2110000688,211001001,805,ЛГN,29.02.2012,29.02.2012,16.08.2013,Действует,"429040, Чувашская Респ, Красночетайский р-н, , Красные Четаи с, Новая ул, 6, , "
,25,Моргаушскому районному потребительскому обществу,2112000027,211201001,"1,195",ЛГN,31.08.2012,31.08.2012,21.12.2016,Действует,"429530, Чувашская Респ, Моргаушский р-н, , Моргауши с, 50 лет Октября ул, 6, ,"
,26,"Муниципальное предприятие ""Комбинат школьного питания"" муниципального образования ""город Канаш Чувашской Республики"" ",2123012070,212301001,"1,179",ЛГN,29.08.2012,08.09.2012,07.09.2013,Действует,"429335, Чувашская Респ, , Канаш г, , Железнодорожная ул, 65, , "
,27,"Муниципальное унитарное торговое предприятие ""Хевел""",2107000060,210701001,"1,028",ЛГN,05.07.2012,05.07.2012,04.07.2013,Действует,"429430, Чувашская Респ, Козловский р-н, Козловка г, , 30 лет Победы ул, 7, ,"
,28,"Муниципальное учреждение культуры ""Центральный парк культуры и отдыха ""Лакреевский лес""",2128004228,213001001,"831,483",,31.10.2008,31.10.2008,30.10.2013,Действует,"428014, Чувашская Респ, , Чебоксары г, , Лесная ул, 1, , "
,29,"Обшество с ограниченной ответственностью ""Подкова""",2124025570,212401001,465,ЛГ,29.08.2011,29.08.2011,28.08.2014,Действует,"429950, Чувашская Респ, , Новочебоксарск г, , 10 Пятилетки ул, 64Б, , "
,30,"Общество  ограниченной ответственностью ""Евгений""",2116496247,211601001,892,ЛГN,26.04.2012,26.04.2012,25.04.2013,Действует,"428014, Чувашская Респ, Чебоксарский р-н, , Чиршкасы  д, Куйбышева ул, 1 ""Г"", , "
,31,"Общество  ограниченной ответственностью ""НВМ""",2119004172,211901001,276,ЛГ,30.06.2011,30.06.2011,29.06.2016,Действует,"429074, Чувашская Респ, Ядринский р-н, , Никольское с, а/д ""Волга""  Путь придорожная полоса М-7 км 576+650, , ,"
,32,"Общество  с ограниченной ответственностью  ""Компания ""АЛКИС""",2129023921,212901001,"1,155",ЛГN,23.08.2012,28.08.2012,27.08.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , М.Горького пр-кт, 13/22, ,"
,33,"Общество с  ограниченной ответственностью ""Калина""",2129073087,212901001,"1,233",ЛГN,18.09.2012,18.09.2012,17.09.2017,Действует,"428034, Чувашская Респ, , Чебоксары г, , Заовражная ул, 70, ,"
,34,"Общество с  ограниченной ответственностью ""Мечта""",2125000987,212501001,857,ЛГN,10.04.2012,10.04.2012,17.12.2016,Действует,"429122, Чувашская Респ, , Шумерля г, , М.Жукова ул, 18, ,"
,35,"Общество с дополнительной ответственностью ""Роза""",2115000434,211501001,"1,015",ЛГN,29.06.2012,29.06.2012,28.06.2017,Действует,"429914, Чувашская Респ, Цивильский р-н, , Чурачики с, Ленина 1-й пер, 1, , "
,36,"Общество с ограниченной  ответственностью ""Версия""",2130047074,213001001,"1,189",ЛГN,04.09.2012,04.09.2012,03.09.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , Тракторостроителей пр-кт, 60, , "
,37,"Общество с ограниченной  ответственностью ""Триэр""",2122005754,212201001,523,ЛГN,21.10.2011,21.10.2011,20.10.2012,Действует,"429826, Чувашская Респ, , Алатырь г, , Первомайская ул, 88, 22,"
,38,"Общество с ограниченной ответсвенностью ""Сапсан""",2123012190,212301001,833,ЛГN,26.03.2012,26.03.2012,25.03.2013,Действует,"429290, Чувашская Респ, , Канаш г, , Ленина пр-кт, 24, помещение 1, , "
,39,"Общество с ограниченной ответственность ""Браво""",2130002387,213001001,601,ЛГ,23.11.2011,23.11.2011,22.11.2012,Действует,"428000, Чувашская Респ, , Чебоксары г, , Ленинского Комсомола ул, 50, помещение 3, , "
,40,"Общество с ограниченной ответственность ""Заря""",2106006743,210601001,"1,263",ЛГN,26.09.2012,26.09.2012,30.11.2012,Действует,"429332, Чувашская Респ, Канашский р-н, Ямурза д, ПМС-205 тер, дом № 2, ,21"
,41,"Общество с ограниченной ответственность ""Оптовик""",1646014874,164601001,877,ЛГ,17.04.2012,17.04.2012,29.12.2016,Действует,"423600, Татарстан Респ, , Елабуга г., , Окружное ш., 7а, , "
,42,"Общество с ограниченной ответственностью  ""Алтын Ай""",2108006932,210801001,349,ЛГN,13.07.2011,13.07.2011,12.07.2013,Действует,"429153, Чувашская Респ, Комсомольский р-н, , Урмаево д, Ленина ул, 104 А, ,"
,43,"Общество с ограниченной ответственностью  ""Альтернатива""",2119999834,211901001,773,ЛГ,01.02.2012,01.02.2012,31.01.2015,Действует,"429071, Чувашская Респ, Ядринский р-н, , Юваново с, Сюльдикассы ул, 42а, , "
,44,"Общество с ограниченной ответственностью  ""Арлан""",2123008878,212301001,"830,882",Г,26.12.2007,26.12.2007,25.12.2012,Действует,"429330, Чувашская Респ, , Канаш г, , 30 лет Победы ул, 94 А, ,"
,45,"Общество с ограниченной ответственностью  ""Атал-Моторс""",2129048429,213001001,928,ЛГN,17.05.2012,22.06.2012,21.06.2015,Действует,"428018, Чувашская Респ, , Чебоксары г, , Водопроводная ул, 2 а, ,"
,46,"Общество с ограниченной ответственностью  ""Бриз""",2105004454,210501001,521,ЛГ,19.10.2011,19.10.2011,18.10.2012,Действует,"429700, Чувашская Респ, Ибресинский р-н, , Ибреси п, Энгельса ул, 49, ,"
,47,"Общество с ограниченной ответственностью  ""Вива""",2122005835,212201001,826,ЛГN,23.03.2012,23.03.2012,22.03.2015,Действует,"429826, Чувашская Респ, , Алатырь г, , Комсомола ул, 26, ,"
,48,"Общество с ограниченной ответственностью  ""Визит""",2129060602,213001001,466,ЛГ,30.08.2011,30.08.2011,29.08.2016,Действует,"428000, Чувашская Респ, , Чебоксары г, , Р.Зорге ул, 10, , "
,49,"Общество с ограниченной ответственностью  ""Виктория""",2130003895,213001001,"1,145",ЛГN,17.08.2012,22.08.2012,21.08.2013,Действует,"428000, Чувашская Респ, , Чебоксары г, , М.Горького пр-кт, д. 10, корп. 1, кв. (офис) 92"
,50,"Общество с ограниченной ответственностью  ""Виктория""",2127326159,212701001,"1,126",ЛГN,14.08.2012,14.08.2012,13.08.2014,Действует,"428000, Чувашская Респ, , Чебоксары г, , Тракторостроителей пр-кт, 1/34, ,"
,51,"Общество с ограниченной ответственностью  ""Винная карта плюс""",2130086997,213001001,630,ЛГN,08.12.2011,08.12.2011,14.07.2016,Действует,"428000, Чувашская Респ, , Чебоксары г, , ул. Н. Сверчкова, 15, , "
,52,"Общество с ограниченной ответственностью  ""Водолей""",2118002246,211801001,"1,045",ЛГN,11.07.2012,11.07.2012,10.07.2013,Действует,"429125, Чувашская Респ, Шумерлинский р-н, , Шумерля д, Калинина ул, 36, ,"
,53,"Общество с ограниченной ответственностью  ""Волжская мебель""",2130088345,213001001,894,ЛГN,26.04.2012,26.04.2012,25.04.2013,Действует,"428024, Чувашская Респ, , Чебоксары г, , Мира пр-кт, 33, , "
,54,"Общество с ограниченной ответственностью  ""ГАЛЕРЕЯ""",2130024687,213001001,513,ЛГN,10.10.2011,10.10.2011,09.10.2012,Действует,"428000, Чувашская Респ, , Чебоксары г, , Ф.Энгельса ул, 3, 1, "
,55,"Общество с ограниченной ответственностью  ""Домашний очаг""",2130003599,213001001,539,ЛГ N,28.10.2011,30.10.2011,29.10.2014,Действует,"428024, Чувашская Респ, , Чебоксары г, , Мира пр-кт, 72, ,"
,56,"Общество с ограниченной ответственностью  ""Дорисс-Сервис""",2116493687,211601001,"1,258",ЛГN,26.09.2012,07.10.2012,06.10.2014,Действует,"429526, Чувашская Респ, Чебоксарский р-н, , Сюктерка п, Солнечный берег ул, 1, ,"
,57,"Общество с ограниченной ответственностью  ""Елочка""",2108002800,210801001,"1,085",ЛГN,31.07.2012,31.07.2012,30.07.2013,Действует,"429147, Чувашская Респ, Комсомольский р-н, , Шерауты с, Больничная ул, 14 А, , "
,58,"Общество с ограниченной ответственностью  ""Жемчужина""",2116499784,211601001,898,ЛГN,27.04.2012,27.04.2012,26.04.2014,Действует,"429511, Чувашская Респ, Чебоксарский р-н, , Шорчекасы д, 40 лет Победы ул, 10, , "
,59,"Общество с ограниченной ответственностью  ""Заря""",2123001819,212301001,307,ЛГ N,04.07.2011,04.07.2011,03.07.2013,Действует,"429334, Чувашская Респ, , Канаш г, , Ленина пр-кт, 34, ,"
,60,"Общество с ограниченной ответственностью  ""Ибресинский ресторан ""Чекес""",2105005200,210501001,"1,181",ЛГN,31.08.2012,31.08.2012,16.04.2014,Действует,"429700, Чувашская Респ, Ибресинский р-н, Ибреси пгт, Маресьева ул, 45"
,61,"Общество с ограниченной ответственностью  ""Идея-М""",2130002813,213001001,"1,131",ЛГN,16.08.2012,16.08.2012,15.08.2013,Действует,"428017, Чувашская Респ, , Чебоксары г, , М.Павлова ул, 64, ,"
,62,"Общество с ограниченной ответственностью  ""Илем-Г.Б.""",2110052012,211001001,111,ЛГ,04.04.2011,04.04.2011,03.04.2016,Действует,"429040, Чувашская Респ, Красночетайский р-н, , Красные Четаи с, Заводская 1-я ул, 24, ,"
,63,"Общество с ограниченной ответственностью  ""КиноЭксперт""",7714779949,213043001,"831,746",Г,01.04.2010,01.04.2010,31.03.2015,Действует,"125040, Москва г, , , , ул. Верхняя, 34, строение 11, , "
