41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО "" Лада""",7023005047,,г.Кедровый,"2-ой мкр., д.26",г.Кедровый,,ТОМ,005700АЛ00,70МЕ,2332,6/28/2012,6/28/2013,
Общество с ограниченной ответственностью,"ООО ""Ласточка""",7023005086,,г.Кедровый,"2 мкр., , д. 19, магазин ""Ласточка""",г.Кедровый,,ТОМ,005482АЛ00,70МЕ,2068,6/28/2012,6/28/2013,
Общество с ограниченной ответственностью,"ООО ""Визит""",7023005135,,Кедровый,"1 микрорайон, стр 45",г.Кедровый,,ТОМ,005178АЛ00,70МЕ,1349,10/19/2011,10/19/2012,
Общество с ограниченной ответственностью,"ООО ""Копкилец""",7023005128,,г.Кедровый,"с. Пудино, ул. Октябрьская, д. 24магазин ""Спутник""",г.Кедровый,,ТОМ,005188АЛ00,70МЕ,1361,10/19/2011,10/19/2012,
Общество с ограниченной ответственностью,"ООО ""К-плюс4""",7017248370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",г.Кедровый,"п. Останино, пер. Лесной",ТОМ,005255АЛ51,70МЕ,1455,7/20/2012,10/19/2012,
Общество с ограниченной ответственностью,"ООО ""МСК""",7017274940,,г. Томск,"пер. Карский, 70, кв. 74",г.Кедровый,"с. Пудино, ул. Советская, 3",ТОМ,005375АЛ25,70МЕ,1624,2/27/2009,2/27/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс 6""",7017277370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",г.Кедровый,"1 мкр, д. 43",ТОМ,005583АЛ86,70МЕ,2196,2/27/2009,2/27/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс 7""",7017285854,,г. Томск,"ул. Мокрушина, 24-116",г.Кедровый,"2 мкр., 13 пом. 23",ТОМ,005742АЛ103,70МЕ,2384,3/20/2009,3/20/2014,
Общество с ограниченной ответственностью,"ООО ""СеверСнаб""",7017184944,,г. Томск,"у. Говорова, 48, кв. 264",г.Кедровый,мкр. 1 (магазин),ТОМ,005782АЛ01,70МЕ,2428,3/20/2009,3/20/2014,
,,,,,,,,,,,,1/29/2010,12/8/2014,
,,,,,,,,,,,,7/20/2010,12/8/2014,
,,,,,,,,,,,,11/10/2010,12/8/2014,
,,,,,,,,,,,,3/25/2011,12/29/2015,
,,,,,,,,,,,,3/25/2011,12/29/2015,
,,,,,,,,,,,,4/15/2011,12/29/2015,
,,,,,,,,,,,,4/13/2012,3/18/2017,
,,,,,,,,,,,,4/13/2012,3/18/2017,
,,,,,,,,,,,,4/13/2012,3/18/2017,
,,,,,,,,,,,,4/13/2012,3/18/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,7/12/2012,7/12/2017,
,,,,,,,,,,,,8/3/2012,8/3/2013,
,,,,,,,,,,,,8/3/2012,8/3/2013,
