                  Государственный реестр выданных лицензий  за май 2012 г. по  Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы ,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
8,ООО,"""ДЕКО""","г.Хабаровск, ул.Промышленная д.3, тел. 8 (4212) 27-18-11",2721100083/272401001/1032700305087,розничная продажа АП 5 лет,магазин," г.Хабаровск, ул.Ленина д.41",50,50,44.5,09-21,продление,ХБ 001083 № 1294 15.05.2012 - 15.05.2017,
,,,,,,павильон," г.Хабаровск, ул. Ворошилова - ул. Рокоссовского",65,,42,9-21,,,
,,,,,,павильон,"г.Хабаровск, ул.Жуковского д.33",56,56,30,8-21,,,
9,ООО,"""КИЯБ"" ","г.Хабаровск, ул.Станционная д.17, тел. 56-67-73",2724086599/272401001/2052740190986,"розничная продажа АП, розничная продажа АП в розлив 5 лет",кафе,"г.Хабаровск, ул.Станционная д.17",141.4,141.4,56,11-23,продление,ХБ 001086 № 240 15.05.2012 - 15.05.2017,
,,,,,,магазин,"г.Хабаровск, ул.Ленинградская д.56г",74.2,74.2,50.2,9-23,,,
10,ООО,"""Лилас""","г.Хабаровск, б-р.Амурский д.3, тел. 31-25-01",2722054070/272201001/1062722028368,розничная продажа АП в розлив 3 года,кафе,"г.Хабаровск, б-р.Амурский д.3",180,180,50,10-23,продление с 14.06.2012,ХБ 001059 № 352 14.06.2012 - 14.06.2015,
11,ООО,"""Луизитания""","г.Хабаровск, ул.Молодежная д.21, 17, тел. 8-924-302-11-91",2724066730/272401001/1022701291997,розничная продажа АП 3 года,отдел,"г.Хабаровск, ул.Бойко-Павлова д.7",50,50,20,,отложенное с комиссии от 17.04.2012,ХБ 001107 № 84 15.03.2011 - 15.03.2014,
12,ООО,"""Луна""","г.Хабаровск, ш.Матвеевское д.1а, тел. 8 (4212) 566-773",2724094409/272401001/1062724059958,розничная продажа АП в розлив 5 лет,кафе,"г.Хабаровск, ул.Войкова д.20",73.1,73.1,28,11-23,доп. объект,ХБ 000280 № 361 14.01.2011 - 14.01.2016,
13,ООО,"""МБар""","г.Хабаровск, пер.Ясный д.4, тел. 8 (4212) 32-70-79",2725095476/272501001/1102722003603,розничная продажа АП в розлив 1 год,кафе,"г.Хабаровск, ул.Шеронова д.72",263,263,50,10-02,продление,ХБ 001072 № 2350 15.05.2012 - 15.05.2013 ,
14,ООО,"""Надежда""","г.Хабаровск, ул.Краснореченская д.64, тел. 54-52-78",2723906880/272301001/1022701195835,розничная продажа АП в розлив 1 год,кафе,"г.Хабаровск, ул.Краснореченская д.64",202,,24,10-23,продление с 19.06.2012,ХБ 001060 № 1346 19.06.2012 - 19.06.2013,
