Рузаевский район,,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ции,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
,,,,,"магазин ""Дашенька"", г. Рузаевка, б-р Горшкова, 4",,,,,,
,,,,,"магазин ""Продукты"", г. Рузаевка, ул. Энергетическая, 7",,,,,,
1,44,13 МЕ,"ООО ""Чайка"" г. Рузаевка, ул. 40 лет Победы,",1324133250,"м-н п. Левженский, ул. Центральная, 29, Рузаевский",3,28/01/10,2-44-18,,Курланова Валентина Александровна,
,,001152,5 б,,"м-н с. Арх.Голицыно, ул. Советская, 69, Рузаевский",,28/01/13,3-25-36,,,
,,,,,"м-н п. Плодопитомнический, ул. Советская, 25, Рузаев",,,89093264188,,,
1,230,13 МЕ,"ООО ""Продукты"" с. Шишкеево, ул. Базарная,",1324133620,"м-н с. Шишкеево, ул. Базарная, Рузаевский район",2,15/09/09,5-33-09,,Каляпулина Анна Михайловна,
,,000988,Рузаевский р-н ,,"м-н с. Стрелецкая Слобода, Рузаевский район",,15/09/14,,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"м-н ""Продукты"" г. Рузаевка, ул. Петрова, 22",1,29/06/12,,,Родькин И.П.,
,,000098,"г. Саранск, Александровское ш. 7 ",,,,15/03/13,29-36-53,,,
1,263,13 МЕ,"ООО ""Рузбизнесцентр"" г. Рузаевка, ул. Менделе-",1324127859,"кафе г. Рузаевка, ул. Менделеева, 3",1,15/10/09,89061623837,,Пучков Алексей Петрович,
,,001022,"ва, 3 ",,,,15/10/14,4-77-99,,Гаврилов Михаил Николаевич,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475/132831001,"м-н ""Магнит"" г. Рузаевка, ул. Ленина, 32",7,15/05/12,35-85-10,,,
,,000004,"185, филиал г. Пенза, ул. Мусоргского, 26а",,"м-н ""Магнит"" г. Рузаевка, ул. Ленина, 50б",,15/03/16,33-03-01,,,
,,,,,"м-н ""Магнит"" г. Рузаевка, ул. Титова, 3",,,,,,
,,,,,"м-н ""Магнит"" г. Рузаевка, пер. Фабричный, 17",,,,,,
,,,,,"м-н ""Магнит"" г. Рузаевка, у. Пионерская, 119",,,,,,
,,,,,"магазин ""Магнит"", г. Рузаевка, ул. 40 лет Победы",,,,,,
,,,,,"м-н ""Магнит"" г. Рузаевка, ул. Маяковского, 99",,,,,,
1,327,13 МЕ,"ООО ""Родники"" с. Т.Пишля, ул. Садовая, 1а,",1324134133,"м-н с. Тат. Пишля, ул. Садовая, 1а, Рузаевский р-н",2,24/12/09,2-04-70,,Исянов Рашид Асымович,
,,001094,Рузаевский р-н ,,"м-н п. Юрьевка, ул. Энергетическая, 7, Рузаевский",,28/09/12,,,,
,,,,,,,,,,,
1,64,13 МЕ,"ООО ""МиК"" г. Рузаевка, ул. Новобазарная, 14",1324133002,"м-н с. Ключарово, Рузаевский район",12,30/03/12,4-12-64,,Ниденталь Михаил Генрихович,
,,001991,,1061324008074,"м-н с. Сузгарье, Рузаевский район",,15/07/13,,,,
,,,,,"м-н с. Трускляй, Рузаевский район",,,,,,
,,,,,"м-н п. Плодопитомнический, ул. Советская, Рузаевский",,,,,,
,,,,,"м-н с. Пайгарма, ул. Лесная, Рузаевский район",,,,,,
,,,,,"м-н с. Арх.Голицыно, ул. Советская, 40а, Рузаевский",,,,,,
,,,,,"м-н с. Морд.Пишля, ул. Молодежная, 9, Рузаевский",,,,,,
,,,,,"м-н с. Пайгарма, ул. Центральная, Рузаевский",,,,,,
,,,,,"м-н с. Перхляй, ул. Буденного, 1а, Рузаевский район",,,,,,
,,,,,"м-н с. Инсар-Акшино, ул. Московская, Рузаевский р-н",,,,,,
,,,,,"м-н с. Аргамаково, ул. Строительная, 66, Рузаевский",,,,,,
,,,,,"м-н с. Стрелецкая Слобода, Рузаевский район",,,,,,
1,268,13 МЕ,"ООО ""Прайм"" г. Рузаевка, ул. Заводская, 1",1324134704,"м-н г. Рузаевка, ул. Заводская, 1",2,21/07/11,3-24-36,,Гулушов Гутад Рафхан оглы,
,,001732,,1081324000416,"м-н г. Рузаевка, ул. Луначарского, 28",,21/07/12,,,,
1,385,13 МЕ,"ООО ""Гефест"" г. Рузаевка, ул. Маяковского, 173",1324133524,"кафе ""Фортуна"", г. Рузаевка, ул. Терешковой, 72",1,30/11/11,6-42-70,,Белин Александр Генадьевич,
,,001861,,1061324010252,,,15/09/12,,,,
,,,,,,,,,,,
1,193,13 РМ,"ООО ""Виконд"" с. Красное Сельцо, ул. Гагарина,",1324134888,"м-н с. Кр. Сельцо, ул. Гагарина, Рузаевский район",1,29/06/12,89603337711,,Горшков Виктор Иванович,
,,000085,Рузаевский район ,1081324000658,,,29/06/15,89603337766,,Шмельков Андрей Викторович,
1,191,13 РМ,"ООО ""Болдовское"", Рузаевский р-н, с.Болдово",1317104650,"м-н № 1 с.Болдово, ул. Соаетская, 2а, Рузаевский район",8,29/06/12,5-75-24,,Качалова Вера Викторовна,
,,000082,"ул. 1-ая Болдовская, 46 ",1021300927560,"м-н № 2 с. Болдово,ул.1-я Болдовская., 54, Рузаевский",,29/06/13,,,,
,,,,,"м-н ТПС, с. Н. Муравьевка, Рузаевский район",,"""-""-""-""-""",,,,
,,,,,"м-н ТПС, с. Р. Баймаково, Рузаевский район",,"""-""-""-""-""",,,,
,,,,,"м-н ТПС, с. Палаевка, ул. Садовая,15, Рузаевский р-н",,"""-""-""-""-""",,,,
,,,,,"м-н ТПС, с. Хованщина. ул.Рабочая,73, Рузаевский",,"""-""-""-""-""",,,,
,,,,,"м-н ТПС, с. В. Урледим, Рузаевский район",,"""-""-""-""-""",,,,
,,,,,"м-н ТПС с. Н.Усад, Рузаевский район",,"""-""-""-""-""",,,,
1,34,13 МЕ,"ООО ""Мельник"" г. Рузаевка, ул. 2-ая Мельнич-",1324132802,"м-н г. Рузаевка, ул. 2-ая Мельничная, 1",1,27/02/09,3-32-80,,Гулин Александр Анатольевич,
,,000771,"ная, 1 ",,,,27/02/14,,,,
1,26,13 МЕ,"ООО ""Мордовская водка ""Р"" г. Саранск,",1327008031,"м-н №5 ф-л №57г. Рузаевка, ул. Привокзальная, 5",6,20/02/12,,,,
,,001950,"ул. Веселовского, 62а",,"м-н №5 ф-л №6 г. Рузаевка, ул.Титова, 3",,20/02/17,,,,
,,,,,"м-н №5 ф-л №5 г. Рузаевка, пл.Революции 1905г., 20",,,,,,
,,,,,"м-н № 5 ф-л №8 г. Рузаевка, ул.Ухтомского, 18",,,,,,
,,,,,"м-н №5 ф-л №9 г. Рузаевка, б-р Горшкова, 12",,,,,,
,,,,,"м-н №5 ф-л № 10 г. Рузаевка, ул. Заречная, 2",,,,,,
1,226,13 МЕ,"ООО ""Полет"",г.Саранск,ул.Советская,63",1326000375,"м-н ""Продукты"" г. Рузаевка, ул. Беднодемьяновская, 16",3,30/06/11,47-27-40,,,
,,001687,,,"м-н ""Продукты"" г. Рузаевка, ул. Пионерская, 91",,23/06/16,47-27-50,,,
,,,,,"м-н ""Продукты"" г. Рузаевка, ул. Орджоникидзе, 14",,,,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"м-н ""Маячок"", г. Рузаевка, ул. 40 лет Победы, 1",5,29/06/12,29-42-76,,,
,,000096,"ленная, 7",,"м-н ""Ромашка"", г. Рузаевка, ул. 40 лет Победы, 11",,16/04/15,,,,
,,,,,"м-н ""Идеал"", г. Рузаевка, ул. Юрасова (около д. 15)",,,,,,
,,,,,"м-н ""Елена"", г. Рузаевка, ул. Байкузова, 142а",,,,,,
,,,,,"бар ""Башня"", г. Рузаевка, ул. Ленина, 44",,,,,,
