,Реестр действующих лицензий на право розничной продажи алкогольной продукции,,,,,,
,по состоянию на 02.10.2012г.,,,,,,
,,,,,,,
,№ п/п,Наименование организации (предприятия),"Адрес, директор, телефон","Торговые точки, адрес",Номер лицензии,Срок действия лицензии,Вид лицензируемой алкогольной продукции
,,,,"6 965,Магазин, г.Ульяновск, б-р Львовский, 9",,,
,,,,"3 149,Магазин, г.Ульяновск, ул.Герасимова, 10 Н, литера 2 А",,,
,,,,"5 990,Кафе ""Уют"", Цильнинский район, с.Большое Нагаткино, ул.Садовая, 21",,,
,,,,"5 995,Магазин, г.Ульяновск, ул.Минаева, 3",,,
,3,"Общество с ограниченной ответственностью ""СимбирскРозТорг"", ИНН 7326016390, КПП 632401001","Директор Богородецкая Наташа Анатольевна,  Самарская область, г.Тольятти, ул.Карбышева, д.2 комната № 42                                                                                         , Тел. 45-80-62,45-80-43","6 416,Магазин, г.Ульяновск, ул.Корунковой, 23",73 МЕ 001907  №226,с 28.06.2012 по 18.01.2013,Розничная продажа алкогольной продукции в том числе в розлив
,,,,"7 238,Кафе, г.Ульяновск, ул.Октябрьская, д.22, стр.17",,,
,4,"Общество с ограниченной ответственостью ""ЭКОРОСС-Вита"", ИНН 7326013819, КПП 732601001","Директор Кузнецов Дмитрий Геннадьевич,  г.Ульяновск, ул.Профсоюзная, 56 б                                                                                                                     , Тел. 66-20-44","6 413,Магазин, г.Ульяновск, ул.Пушкарева, 54",73 МЕ 001567  №126,с 30.09.2011 по 30.09.2014,Розничная продажа алкогольной продукции в том числе в розлив
,,,,"6 415,Магазин, г.Ульяновск, ул.Поливенская, 19",,,
,,,,"6 412,Магазин, г.Ульяновск, проезд Героя России Аверьянова, 5",,,
,,,,"6 409,Кафе, Кузоватовский район, р.п.Кузоватово, ул.Октябрьская, 8 А",,,
,,,,"6 574,Закусочная, г.Димитровград, ул.Куйбышева, 34",,,
,,,,"6 588,Магазин, г.Ульяновск, ул.Полбина, 50",,,
,,,,"6 589,Кафе, г.Новоульяновск, ул.Волжская, 17",,,
,,,,"6 608,Магазин, Чердаклинский район, станция Бряндино, ул.Привокзальная",,,
,,,,"6 613,Магазин, Старомайнский район,  р.п.Старая Майна, ул.Революционная, 4 а ",,,
,,,,"7 067,Кафе, г.Новоульяновск, с.Криуши, ул.Затон, 55",,,
,,,,"6 887,Магазин, Тереньгульский район, с.Федькино, ул.Центральная, 71",,,
,,,,"6 888,Магазин, Тереньгульский район, с.Тумкино, ул.Центральная, 91",,,
,,,,"6 890,Магазин, Сурский район, р.п.Сурское, ул.Промышленная. 7 А",,,
,,,,"6 891,Магазин, Сурский район, п.Центральная Усадьба, с\з""Сурский"", ул.Зеленая, 10",,,
,,,,"6 892,Магазин, Сенгилеевский район, с.Артюшкино, ул.Советская, 17",,,
,,,,"6 893,Магазин, г.Ульяновск, п.им.Карамзина, ул.Центральная, 9",,,
,,,,"6 894,Кафе, Ульяновский район, р.п.Ишеевка, ул.Гагарина, 12 г",,,
,,,,"6 914,Магазин, Сурский район, р.п.Сурское, ул.Буденного, 70 А",,,
,,,,"6 915,Магазин, Ульяновский район, с.Шумовка, ул.Победы, 1 а",,,
,,,,"6 346,Магазин, Кузоватовский район, с.Еделево, ул.Советская",,,
,,,,"6 347,Магазин, Цильнинский район, р.п.Цильна, ул.Мира, 3а",,,
,,,,"6 372,Магазин, Старомайнский район, с.Кременки, переулок Придорожный, 2",,,
,,,,"6 311,Кафе, Кузоватовский район, р.п.Кузоватово, ул.Ленина, 64",,,
,,,,"6 312,Магазин, Мелекесский район, р.п.Мулловка, ул.Пушкина, 21 А",,,
,,,,"6 323,Магазин, Вешкаймский район, с.Старое Погорелово",,,
,,,,"6 324,Магазин, Ульяновский район, с.Елшанка, ул.Интернациональная, 1",,,
,,,,"6 325,Магазин, Ульяновский район, с.Большие Ключищи, ул.Сергунина, 29 А",,,
,,,,"6 793,Магазин, г.Новоульяновск, с.Криуши, ул.Крупской, 81",,,
,,,,"6 794,Магазин, г.Новоульяновск, с.Криуши, ул.Колхозная, 83",,,
,,,,"6 795,Магазин, г.Новоульяновск, с.Криуши, ул.Затон, 55",,,
,,,,"6 743,Магазин, Радищевский район, р.п.Радищево, ул.Калинина, 38",,,
,,,,"6 744,Магазин, Ульяновский район, п.Новая Бирючевка, ул.Гагарина, 8",,,
,,,,"6 092,Магазин, г.Ульяновск, пр-т Гая, 65",,,
,,,,"7 019,Магазин, Мелекесский район, п.Лесной, ул.Дорожная, 1",,,
,,,,"7 020,Магазин, Мелекесский район, р.п.Мулловка, ул.Клубная, 3",,,
,,,,"6 286,Магазин, Майнский район, с.Копышовка, ул.Дорожная, 24",,,
,,,,"7 018,Магазин, Радищевский район, р.п.Радищево, ул.Кооперативная, 27 Б",,,
,,,,"6 505,Магазин, Радищевский район, с.Калиновка, ул.Школьная, 2",,,
,,,,"6 507,Магазин, Радищевский район, с.Калиновка, ул.Раздольная, 74",,,
,,,,"6 508,Магазин, Цильнинский район, д.Тимофеевка, ул.Тимофеевская, 6 а",,,
,,,,"6 222,Магазин, Барышский район, г.Барыш, ул.Строителей, 2/1",,,
,,,,"6 223,Магазин, Карсунский район, с.Сосновка, ул.Кооперативная, 3 а",,,
,,,,"6 224,Магазин, Карсунский район, с.Русские Горенки",,,
,,,,"6 225,Магазин, Карсунский район, р.п.Карсун, ул.Гусева, 8 а",,,
,,,,"6 227,Магазин, Карсунский район,  р.п.Карсун, ул.Саратовская, 75",,,
,,,,"6 228,Магазин, Карсунский район, р.п.Карсун, ул.Саратовская, 16",,,
,,,,"6 229,Магазин, Новоспасский район, р.п.Новоспасское, ул.Ленина, 19",,,
,,,,"6 230,Магазин, Новоспасский район, р.п.Новоспасское, ул.Мира, 12",,,
,,,,"6 232,Магазин, Новопсасский район, с.Алакаевка",,,
,,,,"6 233,Магазин, Тереньгульский район, с.Ясашная Ташла, ул.Ленина, 143 а",,,
,,,,"6 234,Магазин, Тереньгульский район, с.Ясашная Ташла, ул.Ленина, 87 а",,,
,,,,"6 236,Магазин, Цильнинский район, с.Арбузовка, ул.Свияжская, 50",,,
,,,,"6 248,Магазин, Мелекесский район, с.Тиинск, Площадь Советов, 8",,,
,,,,"6 249,Магазин, Сурский район, р.п.Сурское, ул.Заводская, 10",,,
,,,,"6 250,Магазин, Сурский район, р.п.Сурское, ул.Хазова, 27",,,
,,,,"6 251,Магазин, Сурский район, р.п.Сурское, ул.Хазова, 35",,,
,,,,"6 453,Магазин, Кузоватовский район, с.Лесное Матюнино",,,
,,,,"6 454,Кафе, Кузоватовский район, с.Кузоватово, ул.Ленина, 87",,,
,,,,"7 436,Кафе, г.Ульяновск, пер.Пожарный, 8",,,
,,,,"7 451,Магазин, г.Барыш, ул.Ленина, 133",,,
,,,,"7 452,Кафе, Сурский район, р.п.Сурское, ул.Хазова, 19",,,
,,,,"7 505,Кафе, Ульяновский район, р.п.Ишеевка, ул.Гагарина, 4 А",,,
,,,,"7 506,Магазин, Сурский район, р.п.Сурское, ул.Ленина, 45",,,
,,,,"3 764,Магазин, г.Ульяновск, Западный Бульвар, 16 а",,,
,,,,"3 765,Магазин, г.Ульяновск, ул. Ефремова, 83",,,
,,,,"3 766,Магазин, г.Ульяновск, ул. Российская, 57",,,
,,,,"3 767,Магазин, г.Ульяновск, ул. Старосельдинская, 47",,,
,,,,"3 768,Магазин, г.Ульяновск, ул. Полбина, 51",,,
