41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Потребительское общество,"ПО ""Каргасокское""",7006005167,53093214,Каргасокский район,"с. Каргасок, ул. Гоголя, 4",Каргасокский район,,ТОМ,005478АЛ00,70МЕ,2063,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Экстра-М""",7017058971,58915460,г. Томск,"ул.Герцена, 68, стр.2",Каргасокский район,"с. Каргасок, ул. Учебная, 23",ТОМ,005468АЛ11,70МЕ,2048,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Никадан""",7017118758,,г. Томск,"Рабочая, 66",Каргасокский район,"п.Новый Васюган, ул.М.Горького, д.11 а",ТОМ,003906АЛ06,70МЕ,1816,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Япона Мама""",7006006805,,Каргасокский район,"с Каргасок, ул.Советская, д.56",Каргасокский район,,ТОМ,003895АЛ00,70МЕ,1827,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Шанс""",7006006820,,Каргасокский район,"с. Новый Васюган, ул. Советская, 46",Каргасокский район,,ТОМ,005761АЛ00,70МЕ,2404,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Берег С""",7017148417,,г. Томск,"ул. Дзержинского, 20, корп. 1, кв. 30",Каргасокский район,"п. Средний Васюган, ул. Береговая, 17",ТОМ,005298АЛ01,70МЕ,1514,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Нефтебаза""",7006005350,,Каргасокский район,"с. Каргасок, ул. Центральная, 58",Каргасокский район,,ТОМ,004192АЛ00,70МЕ,1885,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Кристалл""",7006006900,,Каргасокский район,"с. Каргасок, пер. Радужный, 4-1",Каргасокский район,"с.Каргасок, пер.Дальний, 14",ТОМ,005737АЛ01,70МЕ,2379,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Вереск""",7006006918,,Каргасокский район,"с. Каргасок, пер. Западный, 11",Каргасокский район,,ТОМ,005435АЛ00,70МЕ,1995,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Регион""",7006006844,,Каргасокский район,"с. Новый Васюган, ул. М. Горького, 10, кв. 2",Каргасокский район,,ТОМ,004230АЛ00,70МЕ,1865,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Север""",7006007044,,Каргасокский район,"с. Каргасок, ул. Солнечная, 5 А",Каргасокский район,,ТОМ,005313АЛ00,70МЕ,1530,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Сервисный центр ""Восток""",7017134615,,г. Томск,"ул. Кривая, 8/1",Каргасокский район,"база отдыха ""Озеро Ушальное"", стр. 20",ТОМ,004291АЛ02,70МЕ,1941,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО""Престиж""",7006007157,,Каргасокский район,"с. Новый Васюган,ул. Кооперативная,40,кв.1",Каргасокский район,,ТОМ,005536АЛ00,70МЕ,2133,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Елка""",7006007527,,Каргасокский район,"п. Новоюгино, ул. Центральная, 82",Каргасокский район,,ТОМ,004963АЛ00,70МЕ,461,10/11/2011,10/11/2012,
Общество с ограниченной ответственностью,"""Тымская  Закупочная Компания""",7006005801,,Каргасокский район,"п. Тымск, ул. Леткес д.1,кв.1",Каргасокский район,,ТОМ,004982АЛ00,70МЕ,490,11/22/2011,10/11/2012,
Общество с ограниченной ответственностью,"ООО ""Волков и Компания""",7006007647,,Каргасокский район,"с. Усть-Тым, ул. Озерная, 2, кв. 2",Каргасокский район,,ТОМ,004991АЛ00,70МЕ,1018,5/2/2012,9/30/2014,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Каргасокский район,"с. Каргасок, ул. Трактовая, 30а",ТОМ,004996АЛ64,70МЕ,1027,8/31/2012,6/7/2013,
Общество с ограниченной ответственностью,"ООО ""Марина Плюс""",7006007710,,Каргасокский район,"с. Новый Васюган, ул. Комсомольская, 67",Каргасокский район,,ТОМ,005000АЛ00,70МЕ,1031,9/20/2012,6/7/2013,
Общество с ограниченной ответственностью,"ООО ""ВиноГрад""",7006007654,,Каргасокский район,"с. Павлово, ул. Молодежная, 9, кв.2",Каргасокский район,,ТОМ,005003АЛ00,70МЕ,1036,6/5/2011,6/5/2014,
Общество с ограниченной ответственностью,"ООО ""Кристалл""",7006007774,,Каргасокский район,"с. Каргасок, ул. Пушкина, 37",Каргасокский район,,ТОМ,005006АЛ00,70МЕ,1029,6/5/2011,6/5/2014,
Общество с ограниченной ответственностью,"ООО Торговый дом ЗПП ""Томский"" розничная сеть",7006007781,,Каргасокский район,"п. Геолический, ул. Герасимовская, 23""а""",Каргасокский район,,ТОМ,005017АЛ00,70МЕ,1059,6/5/2011,6/5/2014,
Общество с ограниченной ответственностью,"ООО""Исток""",7006007904,,Каргасокский район,"ул. М.Горького,90,кв.4",Каргасокский район,,ТОМ,005026АЛ00,70МЕ,1071,7/24/2012,7/24/2013,
Общество с ограниченной ответственностью,"ООО ""Стимул""",7006007799,,Каргасокский район,"с. Каргасок, ул. Красноармейская, 80, кв.7",Каргасокский район,,ТОМ,005065АЛ00,70МЕ,1129,7/24/2012,7/24/2013,
Общество с ограниченной ответственностью,"ООО ""Орион""",7006008337,,Каргасокский район,"с. Каргасок, ул. Гоголя, 44",Каргасокский район,,ТОМ,005092АЛ00,70МЕ,1190,1/28/2010,1/28/2015,
Общество с ограниченной ответственностью,"ООО ""Газпром торг Томск""",5610057871,,Томский район,"с. Богашево, пер. Школьный, 2а",Каргасокский район,"п. Вертикос, ул. Центральная, 10 (магазин)",ТОМ,005113АЛ07,70МЕ,1227,7/6/2011,7/6/2016,
Общество с ограниченной ответственностью,"ООО ""Дорожник""",7006008048,,Каргасокский район,"с. Каргасок, ул. Строителей, 55, кв. 2",Каргасокский район,,ТОМ,005127АЛ00,70МЕ,1261,7/6/2011,7/6/2016,
Общество с ограниченной ответственностью,"ООО ""Компания Колорит""",7017198136,,г. Томск,"ул. Говорова, 11 каб. 12",Каргасокский район,"с. Каргасок, ул. Лугинецкая, 1а",ТОМ,005139АЛ02,70МЕ,1294,7/12/2012,7/12/2013,
Общество с ограниченной ответственностью,"ООО""Северянка""",7017229088,,г. Томск,"ул. Энергетическая, 2""а""",Каргасокский район,"636700 с. Каргасок, ул. Пушкина, 45",ТОМ,005146АЛ01,70МЕ,2076,7/20/2011,7/20/2014,
Общество с ограниченной ответственностью,"ООО""Сибирский""",7006008344,,Каргасокский район,"с. Средний Васюган, ул. Лапина,9",Каргасокский район,,ТОМ,005144АЛ00,70МЕ,1300,7/20/2011,7/20/2014,
Общество с ограниченной ответственностью,"ООО ""Сервис-групп""",7017236222,,г. Томск,"пер. Сакко, 25",Каргасокский район,,ТОМ,005227АЛ00,70МЕ,1411,7/20/2011,7/20/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс3""",7017242064,,г. Томск,"ул. Мокрушина, 24 кв. 116",Каргасокский район,"с. Каргасок, пер. Беляева, 3",ТОМ,005230АЛ04,70МЕ,1416,7/20/2011,7/20/2014,
Общество с ограниченной ответственностью,"ООО ""К-плюс4""",7017248370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Каргасокский район,"с. Каргасок, ул. Строительная, 1/8",ТОМ,005255АЛ19,70МЕ,1455,7/10/2011,7/10/2016,
Общество с ограниченной ответственностью,"ООО ""К-плюс 5""",7017253676,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Каргасокский район,"п. Новоюгино, ул. Центральная, 44",ТОМ,005286АЛ168,70МЕ,1502,7/10/2011,7/10/2016,
Общество с ограниченной ответственностью,"ООО ""К-плюс 6""",7017277370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Каргасокский район,"с. Каргасок, ул. Садовая, 26 (магазин)",ТОМ,005583АЛ16,70МЕ,2196,1/28/2010,1/28/2015,
