Старошайговский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ции,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
1,361,13 МЕ,"ООО ""ЛЕВиС"" с. Ст. Федоровка, ул. Молодежная, 29,",1318000903,"м-н ""Народный"" с. Ст. Федоровка, ул. Молодежная, 29, Ст. Шайг",5,15/11/11,56-56-25,,Лобачев Евгений Владимирович,
,,001836,Ст. Шайговский район,1081327001425,"м-н ""На Огонек"" с. Шигонь, ул. Московская, 29, Ст. Шайговс.",,15/11/14,89271877541,,,
,,,,,"м-н ""Дорожный"" с. Мельцаны, ул. 2-Ремесленная, 22а, Ст. Ш.",,,,,,
,,,,,"м-н ""Теремок"" с. Мельцаны, ул. 2-Ремесленная, 2а, Ст. Шайг",,,,,,
,,,,,"м-н ""Для Вас"" с. Говорово, 2, Ст. Шайговский район",,,,,,
1,282,13 МЕ,"ООО ""Вымпел"" с. Н.Акшино, ул. Центральная. 6,",1318000942,"м-н ""Универсам-Березка"" с. Н.Акшино, ул. Центр-ная, 6, Ст Ш",4,15/08/11,2-75-25,,Панин Вячеслав Сергеевич,
,,001748,Ст. Шайговский район,,"м-н ""Универсам-Березка"" с. Мельцаны, ул. Крестьянская, 10а, Ст Ш",,28/01/15,89625977897,,,
,,,,,"м-н ""Универсам-Березка"", с. Ст. Шайгово, ул. Центральная, 5а",,,,,,
,,,,,"магазин, с. Кр. Рудня, ул. Заводская",,,,,,
1,47,13 МЕ,"ООО ""Факел"" с. Ст. Шайгово, ул. Центральная, 15",1318000935,"м-н Попутчик"" д. Зарубята, ул. Московская, 16, Тобеевский",,28/01/10,2-13-34,,Кудашкин Евгений Михайлович,
,,001155,,,,,28/01/15,,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"м-н с. Н. Акшино, ул. Школьная, 1, Ст. Шайговский ",4,29/06/12,29-42-76,,,
,,000096,"ленная, 7а",,"м-н ""Соболь"" с. Ст. Шайгово, ул. Колхозная, 17а",,16/04/15,29-41-87,,,
,,,,,"магазин ""Продукты"", с. Шувары, ул. Центральная, 2 а, Ст. Шайговский район",,,,,,
,,,,,"магазин ""Продукты"", с. Шувары, ул. Центральная, 1 б, Ст. Шайговский район",,,,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"" с. Ст. Шайгово, ул. Ленина, 3",1,15/05/12,,,,
,,000004,"185, филиал г. Саранск, б-р Эрзи, 12",,,,15/03/16,,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"м-н с. Ст. Теризморга, ул. Центральная, 75, Ст. Шайговский район",2,29/06/12,29-18-62,,,
