41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Татьяна""",7014046093,,Томский район,"д. Кандинка ул. Советская, 15/1",Томский район,,ТОМ,005821АЛ00,70МЕ,2490,4/19/2008,4/19/2013,
Общество с ограниченной ответственностью,"ООО ""Фортуна""",7014046230,,Томский район,"с. Рыбалово, ул. Интернационалистов, 7- 2",Томский район,,ТОМ,005290АЛ00,70МЕ,1506,6/1/2008,6/1/2013,
Общество с ограниченной ответственностью,"ООО ""Тома""",7014047107,,Томский район,"с. Богашево, ул. Мира, д. 8 а",Томский район,,ТОМ,005544АЛ00,70МЕ,2144,6/1/2008,6/1/2013,
Общество с ограниченной ответственностью,"ООО ""Мечта""",7014047178,,Томский район,"с. Яр, ул. Октябрьская, д.21",Томский район,,ТОМ,005565АЛ00,70МЕ,2170,11/3/2008,11/3/2013,
Общество с ограниченной ответственностью,"ООО ""ПК ""Прогресс""",7014048044,,Томский район,"с. Зоркальцево, ул. Комсомольская, 6, кв.2",Томский район,,ТОМ,004925АЛ00,70МЕ,401,11/3/2008,11/2/2013,
Общество с ограниченной ответственностью,"ООО кафе ""Пилот""",7017149548,,г. Томск,"с. Тимирязевское, ул. Новая, 14, корп. ""а""",Томский район,"городок Аэропорт, д. 1""а""",ТОМ,004932АЛ01,70МЕ,412,11/3/2008,11/3/2013,
Общество с ограниченной ответственностью,"ООО ""ШИНа""",7017146829,,г.Северск,"ул. Солнечная, 23, кв. 137",Томский район,"с. Малиновка, ул. Некрасова, 3, стр. 1 (магазин)",ТОМ,002450АЛ38,70МЕ,2450,11/3/2008,11/3/2013,
Общество с ограниченной ответственностью,"ООО ""Селена""",7014048291,,Томский район,"с. Ново-Михайловка, ул. Лесная, 3",Томский район,,ТОМ,004958АЛ00,70МЕ,455,12/1/2008,11/3/2013,
Общество с ограниченной ответственностью,"ООО""Абсолют-Т""",7017203844,,г. Томск,"ул. Говорова, д.30,кв.51",Томский район,"п. Рассвет, стр. 11",ТОМ,004996АЛ13,70МЕ,1027,12/1/2008,11/3/2013,
Общество с ограниченной ответственностью,"ООО ""Росгоравтотранс""",7014049190,,Томский  р-он,"п. Копылово, ул. Новая, д. 3, кв. 23",Томский район,,ТОМ,004998АЛ00,70МЕ,1029,12/26/2008,12/26/2013,
Общество с ограниченной ответственностью,"ООО ""34-й КМ""",7014049369,,Томский район,"п. Басандайка, ул. Школьная, д.1а",Томский район,,ТОМ,005002АЛ00,70МЕ,1033,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО""Визит""",7014047629,,Томский район,"с. Александровское,ул. Коммунистическая,д.82",Томский район,,ТОМ,005020АЛ00,70МЕ,1062,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО ""Орион""",7014049640,,Томский район,"с. Коларово, ул. Центральная, 2""а""",Томский район,,ТОМ,005036АЛ00,70МЕ,1086,1/27/2010,1/27/2015,
Общество с ограниченной ответственностью,"ООО""Восток""",7014050491,,Томский район,"с.Итатка,ул. Гагарина.д.4",Томский район,,ТОМ,005082АЛ00,70МЕ,1166,10/27/2011,6/7/2013,
Общество с ограниченной ответственностью,"ООО ""Кудрик""",7014050526,,Томский район,"п. Копылово, ул. З. Космодемьянской, 2",Томский район,,ТОМ,005090АЛ00,70МЕ,1182,1/26/2010,10/26/2015,
Общество с ограниченной ответственностью,"ООО ""К-плюс2""",7017225380,,г. Томск,"г. Томск, ул. Мокрушина, д. 24, кв. 116",Томский район,"п. Рассвет, ул. Строителей, д.1",ТОМ,005106АЛ35,70МЕ,1215,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Газпром торг Томск""",5610057871,,Томский район,"с. Богашево, пер. Школьный, 2а",Томский район,"д. Некрасово, ул. Кедровая, 11 (столовая № 1)",ТОМ,005113АЛ03,70МЕ,1227,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""СУХОВ""",7014050036,,Томский район,"с. Малиновка, ул. Чулымская, д.13",Томский район,,ТОМ,005117АЛ00,70МЕ,1243,1/26/2010,1/26/2015,
Общество с ограниченной ответственностью,"ООО ""Мирный""",7014040609,,Томский район,"п. Мирный, ул. Трудовая, 10",Томский район,,ТОМ,005147АЛ00,70МЕ,1306,6/8/2012,6/8/2013,
Открытое акционерное общество,"ОАО ""Железнодорожная торговая компания""",7708639622,,г. Москва,"ул. Новорязанская, 12",Томский район,,ТОМ,005156АЛ00,70МЕ,1319,6/8/2012,6/8/2013,
Общество с ограниченной ответственностью,"ООО ""Прогресс""",7014050967,,Томский район,"с. Поросино, ул. Новая, д.13, кв.2",Томский район,,ТОМ,005160АЛ00,70МЕ,1324,6/8/2012,6/8/2013,
Общество с ограниченной ответственностью,"ООО ""Успех""",7014051093,,Томский район,"с. Корнилово, ул. Гагарина, 21",Томский район,,ТОМ,005164АЛ00,70МЕ,1329,7/10/2012,6/8/2013,
Общество с ограниченной ответственностью,"ООО ""АлЕко""",7017231305,,г. Томск,"Иркутский тракт, д. 17, кв. 256",Томский район,"с. Коларово, ул. Центральная, 22",ТОМ,005169АЛ09,70МЕ,1334,8/28/2012,6/8/2013,
Общество с ограниченной ответственностью,"ООО""ТоргВиТа""",7014051142,,Томский район,"с. Поросино, ул. Школьная,д.5,кв.2",Томский район,,ТОМ,005174АЛ00,70МЕ,1339,8/9/2012,8/9/2013,
Общество с ограниченной ответственностью,"ООО ""Чародей*",7017232531,,г. Томск,"ул. Карла Маркса, д.36, кв.9",Томский район,,ТОМ,005185АЛ00,70МЕ,1358,8/9/2012,8/9/2013,
Общество с ограниченной ответственностью,"ООО ""Звездное""",7017232877,,г. Томск,"ул. 3-я Рабочая, 1, кв. 8",Томский район,"с. Кафтанчиково, ул. Звездная, 1, стр. 1",ТОМ,005189АЛ01,70МЕ,1365,6/8/2012,1/28/2015,
Общество с ограниченной ответственностью,"ООО ""Терем""",7014051576,,Томский район,"с. Межениновка, пер. Центральный, 1""а""",Томский район,,ТОМ,005198АЛ00,70МЕ,1374,1/21/2010,1/21/2015,
Закрытое акционерное общество,"ЗАО ""Газпромнефть-Кузбасс""",4217035133,,г. Кемерово,"ул. Мирная,д.2",Томский район,"с. Тимирязевское, АЗС № 104.",ТОМ,005203АЛ02,70МЕ,1380,1/21/2010,1/21/2015,
Общество с ограниченной ответственностью,"ООО ""УСПЕХ""",7014051978,,Томский район,"с. Малиновка, ул. Элеваторная, 14, кв. 1",Томский район,,ТОМ,005219АЛ00,70МЕ,1400,1/21/2010,1/21/2015,
Общество с ограниченной ответственностью,"ООО ""К-плюс3""",7017242064,,г. Томск,"ул. Мокрушина, 24 кв. 116",Томский район,"д. Подломск, ул. Молодежная, д. 20",ТОМ,005230АЛ08,70МЕ,1416,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""Рамзес""",7014045766,,Томский район,"с. Курлек, ул. Трактовая, 103-1",Томский район,,ТОМ,005229АЛ00,70МЕ,1414,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""Высокий статус""",7014051230,,Томский район,"п. Синий Утес, ул. Набережная, 1",Томский район,,ТОМ,005238АЛ00,70МЕ,1426,1/25/2010,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""АктивЪ+""",7014047442,,Томский район,"с. Богашево, ул. Новостройка, 17, кв.1",Томский район,,ТОМ,005239АЛ00,70МЕ,1428,6/4/2012,1/25/2015,
Общество с ограниченной ответственностью,"ООО ""К-плюс4""",7017248370,,г. Томск,"ул. Мокрушина, д. 24, кв. 116",Томский район,"п. Рассвет, стр. 11",ТОМ,005255АЛ101,70МЕ,1455,7/19/2012,7/19/2013,
Общество с ограниченной ответственностью,"ООО ""Розница-Маркет""",7014052900,,Томский район,"п. Копылово, ул. Ленина, 7",Томский район,,ТОМ,005256АЛ00,70МЕ,1456,7/19/2012,7/19/2013,
