"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, 
лицензий, действие которых приостановлено, и и аннулированнных лицензий 
на территории Петрозаводского городского округа",,,,,,,,,
,Лицензирующий орган:  с 01.05.10 г,,,,,,,,
№,,Дата ,,Реквизиты лицензии,,Срок действия лицензии,,Продление лицензии,Разграничение реализации по % спирта
," ОФПР, название, место нахождения, телефон, 
ФИО руководителя","приема
 док-тов",выдачи лицензии,серия ,"рег.
номер ",начало ,конец,на срок по ,
1,5,22,23,24,25,26,27,28,36
164,"ООО,Хазар плюс,Петрозаводск,Профсоюзов,7,",21/01/08,22/01/08,Б393141,94,22/01/08,22/01/13,,вся АП
165,"ООО,Холс,Петрозаводск,пр.Ленина,26,78-26-66,",12/04/04,27/04/04,Б393037,30,04/05/04,04/05/07,04/05/12,вся АП
166,"ООО,Хлебный дом,Петрозаводск,Зеленая,9,72-41-35,",10/12/07,12/12/07,Б393126,87,12/12/07,12/12/12,,вся АП
167,"ООО,Центральный,Петрозаводск,пр.А.Невского,55",29/12/05,30/12/05,Б393342,129,01/01/06,31/12/08,31/12/13,вся АП
168,"ООО,Центрум,Петрозаводск,Антикайнена,22,",31/10/06,07/11/06,1022,,07/11/06,07/11/11,,вся АП
169,"ООО,ЦУМ,Петрозаводск,пр.Ленина,34,",23/01/08,25/01/08,Б393144,96,25/01/08,25/01/13,,вся АП
170,"ООО,Центр здоровья,Петрозаводск, пр.Первомайский,9",29/12/09,31/12/09,Б393375,194,31/12/09,31/12/14,,вся АП
171,"ООО,Час пик,Петрозаводск,пр.Ленина,10,.76-47-55",15/01/03,16/01/03,Б393358,200,18/01/03,18/01/06,19/01/11,вся АП
172,"ООО,Чистые пруды,Петрозаводск,Чкалова,49а,",01/08/07,08/08/07,Б393242,63,08/08/07,08/08/12,,вся АП
173,"ООО,Чайный дом,Петрозаводск,Балтийская,69,",16/12/06,26/12/06,1068,,12/26/2006,26/12/11,,вся АП
174,"ООО,Шашлычная Кавказ,Петрозаводск,Андропова,13,",23/06/03,25/06/03,952,,01/07/03,01/07/06,30/06/11,вся АП
175,"ООО,Шоко,петрозаводск,пр.Первомайский,15, ",17/07/08,25/07/08,Б393195,119,25/07/08,25/07/13,,вся АП
176,"ООО,Зван,Петрозаводск,М.Горького,11,",05/05/04,18/05/04,Б393042,33,18/05/04,18/05/07,18/05/12,вся АП
177,"ООО,Элис,Прионежский р-н,Ладва-Ветка,Речная,4а,72-49-11,",25/12/03,05/01/04,440,1071,06/01/04,06/01/07,03/01/12,вся АП
178,"ООО,Юваз,Петрозаводск,Малая,4,71-83-81,.",16/03/04,01/04/04,Б393026,24,02/04/04,02/04/07,01/04/12,вся АП
179,"ООО,Юниросс,Петрозаводск,Сегежская,5а,",09/12/03,22/12/03,427,1064,22/12/03,22/12/06,23/12/11,вся АП
180,"ООО,Юран,Петрозаводск,пр.Ленина, 28,",10/10/05,14/10/05,Б393232,133,16/10/05,16/10/08,16/10/13,вся АП
181,"ООО,Юста,Петрозаводск,Гвардейская,27,74-52-29,",10/12/04,21/12/04,Б393129,89,01/01/05,31/12/07,31/12/12,вся АП
182,"ПМУП Петропит,Петрозаводск,М.Горького,21в,",30/04/04,17/05/04,Б393380,34,18/05/04,18/05/07,18/05/12,вся АП
183,"ЗАО,Тандер,Краснодар,Леваневского,185,",28/12/05,30/12/05,Б393381,72,30/12/05,30/12/08,30/12/13,вся АП
184,"ЗАО,ТФК Мегаполис,Петрозаводск,Заводская,5,",09/06/07,26/06/07,Б393163,46,01/07/07,01/07/12,,вся АП
185,"ОАО,Славмо,Петрозаводск,Антонова,1,57-43-21, ",22/06/07,28/06/07,Б393059,48,28/06/07,28/06/12,,вся АП
186,"ООО,АСБ,Петрозаводск,Балтийская,13,",08/06/06,26/06/06,941,,01/07/06,30/06/11,,вся АП
187,"ООО,Герцог,Петрозаводск,пр.Первомайский, 30,",26/06/06,30/06/06,Б393334,183,01/07/06,30/06/11,,"до 15 % - вокз., аэроп.,объекты воен.назн., киоски, ларьки и т.д."
188,"ООО,Баженова и К,Петрозаводск,Горького,20,",14/06/06,22/06/06,939,,23/06/06,23/06/11,,вся АП
189,"ООО,Багира-Трэйд,Петрозаводск,Лососинское ш.31/4",23/06/06,30/06/06,Б393311,175,30/06/06,30/06/11,,вся АП
190,"ООО,Веста,Петрозаводск,Чернышевского,17",14/06/06,26/06/06,Б393252,140,29/06/06,29/06/11,,вся АП
191,"ООО,Ларькина,Петрозаводск,Промышленная,7",24/04/06,04/05/06,917,,04/05/06,04/05/11,,вся АП
192,"ООО,НДХ,Петрозаводск,пр.Первомайский,1,",29/01/07,06/02/07,Б393379,12,06/02/07,06/02/12,,вся АП
193,"ООО,Натэлла,Петрозаводск,Фрунзе,27,",02/04/09,29/04/09,Б393316,177,29/04/09,29/04/14,,"вся АП, более 15 % - с 8 до 23"
194,"ООО,Основа,Пряжинский р-н,п.Мелиоративный,Судостроительная,10а,",25/04/06,26/04/06,Б393345,100,26/04/06,26/04/11,,вся АП
195,"ООО,Парс,Петрозаводск,Ленина,24а,",23/05/06,26/05/06,929,,31/05/06,31/05/11,,вся АП
196,"ООО,Петро-Тэк,Прионежский МР,д.Уя,",28/04/08,28/05/08,Б393224,114,28/05/08,25/05/13,,вся АП
197,"ООО,Северный огонек,Петрозаводск,Мурманская,15а",26/06/06,30/06/06,Б393229,131,30/06/06,30/06/11,,вся АП
198,"ООО,Славянское,Петрозаводск,Мерецкова,6,",23/12/05,28/12/05,Б393289,164,01/01/06,31/12/08,31/12/13,вся АП
199,"ООО,ТД Север,Петрозаводск,Парфенова,6-",20/09/05,30/09/05,Б393220,58,30/09/05,30/09/08,30/09/13,вся АП
200,"ООО,Флориссант,Петрозаводск,Ленинградская,18,",28/06/06,30/06/06,Б393020,18,01/07/06,30/06/11,,вся АП
201,"ООО,Федькин,Петрозаводск,Ригачина,12,",19/06/06,28/06/06,Б393183,113,01/07/06,30/06/11,,вся АП
202,"ООО,фирма Велтрейд,Петрозаводск,Ригачина,47,",31/03/09,01/04/09,Б393310,174,01/04/09,01/04/14,,вся АП
203,"ООО,Калита,Пет розаводск,пр.Лесной,35,",11/09/06,28/09/06,Б393282,68,28/09/06,28/09/11,,вся АП
204,"ООО,Комфорт,Петрозаводск,Древлянка,19/2-7,т.75-66-02,",30/06/06,07/07/06,957,,07/07/06,07/07/11,,"до 15 % - вокз., аэроп.,объекты воен.назн., киоски, ларьки и т.д."
205,"ООО,Континенталь,Петрозаводск,пр.Первомайский,2,",24/07/06,31/07/06,Б393323,170,01/08/06,01/08/11,,вся АП
206,"ООО,Партнер,Петрозаводск,Кемская,3,52-51-50",06/07/06,17/07/06,962,,17/07/06,17/07/11,,вся АП
207,"ООО,Руалко,Петрозаводск,Архипова,30,",19/07/06,21/07/06,Б393362,3,21/07/06,21/07/11,,вся АП
208,"ООО,ТД Анитта,Петрозаводск,Муезерская,120-",24/07/06,31/07/06,985,,01/08/06,01/08/11,,вся АП
209,"ООО,Фрост,Петрозаводск,Балтийская,20,",28/07/06,04/08/06,986,,04/08/06,04/08/11,,вся АП
210,"ООО,Экстрим центр,Петрозаводск,Кирова,3,",02/02/07,02/02/07,Б393012,11,02/02/07,02/02/12,,вся АП
211,"ООО,Экзит,Петрозаводск,Ригачина,27б,",07/02/06,14/02/06,Б393388,15,15/02/06,15/02/11,,вся АП
212,"ООО,Экспоцентр,Петрозаводск,Гоголя,1,",7/23/2009,7/27/2009,Б393338,184,7/27/2009,7/27/2014,,вся АП
213,"ООО,Эйва,Петрозаводск,Ровио,15,",4/20/2010,4/29/2010,Б393394,203,4/29/2010,4/29/2011,,вся АП
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
