"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, 
лицензий, действие которых приостановлено, и и аннулированнных лицензий 
на территории Петрозаводского городского округа",,,,,,,,,
,Лицензирующий орган:  с 01.05.10 г,,,,,,,,
№,,Дата ,,Реквизиты лицензии,,Срок действия лицензии,,Продление лицензии,Разграничение реализации по % спирта
," ОФПР, название, место нахождения, телефон, 
ФИО руководителя","приема
 док-тов",выдачи лицензии,серия ,"рег.
номер ",начало ,конец,на срок по ,
1,5,22,23,24,25,26,27,28,36
39,"ООО,Два Олега,Петрозаводск,Питкярантская,18-",27/11/08,03/12/08,Б393247,137,03/12/08,03/12/13,,вся АП
40,"ООО,Денком,Петрозаводск,Питкярантская,16",14/09/09,23/09/09,Б393351,188,23/09/09,23/09/14,,вся АП
41,"ООО,Евразия,Петрозаводск,Красноармейская,25,",10/12/07,12/12/07,Б393253,86,12/12/07,12/12/12,,вся АП
42,"ООО,Застолье,Петрозаводск,Краснофлотская,34,77-01-09,",24/11/03,28/11/03,404,1039,02/12/03,02/12/06,02/12/11,"вся АП, более 15 % - с 8 до 23"
43,"ООО,Интурист Отель групп,Москва,Большая Садовая,5,",18/06/08,01/07/08,Б393187,116,01/07/08,01/07/13,,вся АП
44,"ООО,Кафе Рандеву,Петрозаводск,Кирова,2,78-28-18",22/10/03,31/10/03,Б393304,88,29/12/05,01/11/06,02/11/11,вся АП
45,"ООО,КМН,Петрозаводск,Кирова,5,",22/12/05,27/12/05,Б393288,163,30/12/05,30/12/08,30/12/13,вся АП
46,"ООО,КМС,Петрозаводск,Березовая аллея,39-а,57-02-22,",19/09/03,22/09/03,Б393099,71,22/09/03,22/09/06,25/09/11,вся АП
47,"ООО,Кондор,Петрозаводск,Сулажгорский кирп.завод,10,71-06-78,",14/06/04,24/06/04,Б393056,47,28/06/04,28/06/07,28/06/12,вся АП
48,"ООО,Конда,Петрозаводск,Владимирская,6,",31/01/07,31/01/07,Б393011,10,31/01/07,31/01/12,,вся АП
49,"ООО,Корпорация Авеста,Петрозаводск,пр.Октябрьский,2,",30/04/04,30/04/04,Б394159,31,02/05/04,02/05/07,02/05/12,вся АП
50,"ООО,Кофейня Оттолина,Петрозаводск,Красноармейская,10-12,",30/11/07,19/12/07,Б393166,90,19/12/07,19/12/12,,вся АП
