№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Диана""",6708005663,1066727015410,"215850, Смоленская область, Кардымовский район, рп. Кардымово, ул. Ленина","215850, Смоленская область, Кардымовский район, п. Кардымово, ул. Ленина (магазин), без ограничений",№ 1085                Б 005878,10 июля 2006,по 10 июля 2011,до 11 июля 2012,,,,,,,,,,,,,,
2,"ООО ""Залужье 365""",6708006018,1106727000027,"215850, Смоленская область, Кардымовский район, д. Залужье","215850, Смоленская область, Кардымовский район, д. Залужье (бар)",№ 1904                Б 005205,01 марта 2010,по 01 марта 2013,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, Кардымовский район, д. Залужье (магазин)",,,,,,,,,,,,,,,,,,
3,"ООО ""Руслан""",6708005945,1086727001569,"215850, Смоленская область, п. Кардымово, ул. Красноармейская, д. 16-а","215850, Смоленская область, п. кардымово, ул. Красноармейская, д. 16-а (кафе), без ограничений",№ 1844                      Б 004963,04 июля 2011,по 19 мая 2014,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, п. Кардымово, ул. Красноармейская, д. 16-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215110, Смоленская область, Вяземский район, Новосельское сельское поселение, 225 км. Автодороги Москва-Минск (кафе), без ограничений",,,,,,,,,,,,,,,,,,
4,"ООО ""ПетроБалт""",6708005600,1066727002286,"215850, Смоленская область, п. Кардымово, ул. Ленина, д. 11","215580, Смоленская область, п. Кардымлвл, ул. Ленина, д. 24-а (магазин), без ограничений",№ 680                Б 005417,29 марта 2011,по 06 апреля 2011,до 08 апреля 2012,,,,,,,,,,,,,,
,,,,,"215580, Смоленская область, п. Кардымово, ул. Ленина, д. 11 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, пос. Кардымово, ул. Ленина, д. 11/12 (закусочная ""Прибой"")",,20 апреля 2006,по 06 апреля 2011,,исключение объекта,,,,,,,,,,,,,
5,"ООО ""Камелот""",6708006089,1106727000445,"215850, Смоленская область, Кардымовский район, д. Смогири","215810, Смоленская область, г. Ярцево, пр-т Металлургов, д. 46 (ресторан), без ограничений",№ 1942                    Б 005291,10 декабря 2010,по 10 декабря 2013,,,,,,,,,,,,,,,
6,"ООО ""Перспектива"" ПО ""Кардымовский пищевик""",6708006000,1096727000655,"215850, Смоленская область, п. Кардымово, ул. Предбазарная, д. 1-в","215850, Смоленская область, п. Кардымово, ул. Ленина, д. 27 (закусочная)",№ 1876                Б 005169,03 ноября 2009,по 03 ноября 2014,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, п. Кардымово, ул. Ленина, д. 27 (ресиоран)",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, п. Кардымово, ул. Ленина, д. 12 (кафе)",,,,,,,,,,,,,,,,,,
,,,,,"215850, Смоленская область, п. Кардымово, ул. Социалистическая, д. 11 (кафетерий)",,,,,,,,,,,,,,,,,,
7,"ООО ""Улыбка""",6708019786,1086727001415,"215850, Смоленская область, п. Кардымово, ул. Красноармейская, д. 18-а","215810, Смоленская область, п. Кардымово, ул. Красноармейская, д. 18-а (павильон)",№ 1758                     Б 005008,26 ноября 2008,по 26 ноября 2013,,,,,,,,,,,,,,,
