"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеилимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,"""ЭТАЛОН""",выдано ФНС России №13 по,с 02.03.2012 г.,"д.3, отдел в магазине ""Водолей"";",,,,,муниципального образования,
,ИНН 3818020475,Ирк. обл. и УО БАО от 29.05.06 г.,по 02.07.2016 г.,"общежитие №1, отдел в магазине ""Водолей"".",,,,,,
62,ООО,Св-во сер 38 №003049474,38 МЕ 006484,"п.Новая Игирма,",,,,,Комитет экономики и труда ,
,"""Крепость""",выдано МИ ФНС России №15 по,с 22.05.2012 г.,"п.Новая Игирма, 3 кв-л, д.19, кв.44, отдел в маг.""Дубок""",,,,,администрации города Братска,
,ИНН 3805712341,Иркутской области от 25.10.2010 г.,по 14.02.2013 г.,,,,,,,
,,,,,,,,,,
63,ООО,Св-во сер.38 №003049496,38 МЕ 006384,г.Железногорск-Илимский,,,,,Комитет экономики и труда ,
,"""Крепость Юг""",выдано МИ ФНС России №15 по,с 15.08.2011 г.,"6 квартал, д.6, отдел в магазине ""Любимый""",,,,,администрации города Братска,
,ИНН 3805712373,Иркутской области от 29.10.2010 г.,по 22.03.2012 г.,,,,,,,
64,ООО,Св-во сер.38 №001724779,38 МЕ 006394,"п.Коршуновский,",,,,,Комитет экономики и труда ,
,"""ВИТА""",выдано МИ ФНС России №15 по,с 01.09.2011 г.,"ул.Ленина, д.6, № 3, отдел в магазине",,,,,администрации города Братска,
,ИНН 3805702590,Ирк. обл. и УО БАО от 15.09.2005 г.,по 05.06.2012 г.,,,,,,,
65,ООО,Св-во сер.38 №002762557,38 МЕ 007884,г.Железногорск-Илимский,,,,,Администрация Усть-Кутского,
,"""Стела""",выдано ФНС России №13 по,с 17.04.2012 г.,"2 квартал, д.53, отдел в магазине ""Дуэт""; п.Хребтовая,",,,,,муниципального образования,
,ИНН 3818026974,Иркутской области от 26.11.2009 г.,по 23.04.2016 г.,"ул.Трактовая, 46, кафе ""Подорожник""",,,,,,
66,ООО,Св-во сер.38 №002399422,А 245082,"п.Соцгородок, ул.50 лет Октября, д.14, отдел",,,,,,
,"""Привоз""",выдано МИ ФНС России №11 по,с 29.12.2006 г.,"в магазине №1; ул.таёжная, д.5, отдел в",,,с 10.01.2012 г.,,,
,ИНН 3834011936,Ирк. обл. и УО БАО от 13.06.06 г.,по 29.12.2011 г.,магазине №2,,,,,,
67,ООО,Св-во сер 38 №003130152,А 245168,"г.Железногорск-Илимский, 1 квартал, д.27""а"", магазин",,,,,,
,"""ВЕСТА""",выдано МИ ФНС России №11 по,с 22.03.2011 г.,"прод. товаров; 1 квартал, д.51, магазин прод. товаров;",,,с 23.03.2012 г.,,,
,ИНН 3834014944,Иркутской области от 20.09.2010 г.,по 22.03.2012 г.,"6 квартал, д.7, кв.111, магазин прод. товаров.",,,,,,
68,ООО,Св-во сер. 38 №002398568,А 245149,г.Железногорск-Илимский,,,,,,
,"""Гостиничный комплекс""",выдано МИ ФНС России №11 по,с 30.03.2011 г.,"2 квартал, д.57, ресторан, кафе-бар, отдел кулинарии",,,с 30.03.2012 г.,,,
,ИНН 3834011132,Ирк. обл. и УО БАО от 19.01.06 г.,по 30.03.2012 г.,"в здании гостиницы ""Магнетит""",,,,,,
69,ООО,Св-во сер. 38 №002399381,А 245089,г.Железногорск-Илимский,,,,,,
,"""ОЛИМП""",выдано МИ ФНС России №11 по,с 30.03.2007 г.,"3 квартал, д.42, отдел в магазине №21 ""Продукты""",,,с 30.03.2012 г.,,,
,ИНН 3834011799,Ирк. обл. и УО БАО от 25.05. 2006 г.,по 30.03.2012 г.,,,,,,,
70,ООО,Св-во сер.38 №002399699,А 245110,"г.Железногорск-Илимский,",,,,,,
,"""Слобода""",выдано МИ ФНС России №11 по,с 31.01.2008 г.,"1 квартал, д.12, отдел в магазине ""Слобода""",,,с 02.04.2012 г.,,,
,ИНН 3834012150,Ирк. обл. и УО БАО от 1.08.06 г.,по 31.01.2013 г.,,,,,,,
71,ООО,Св-во сер.38 №002422855,А 245091,п.Речушка,,,,,,
,"""Пахилов""",выдано МИ ФНС России №11 по,с 28.05.2007 г.,"ул.Пионерская, д.16,",,,с 28.05.2012 г.,,,
,ИНН 3834012739,Ирк. обл. и УО БАО от 7.03.07 г.,по 28.05.2012 г.,"отдел в магазине ""Аракс""",,,,,,
72,ООО,Св-во сер.38 №003069858,А 245203,"г.Железногорск-Илимский,",,,,,,
,"""АльВит""",выдано МИ ФНС России №15 по,с 29.06.2012 г.,"8 квартал, д.19, помещение № 4, бар",,,,,,
,ИНН 3834015761,Иркутской области от 26.03.2012 г.,по 29.06.2013 г.,,,,,,,
73,ООО,Св-во сер. 38 №002399414,А 245205,п.Новая Игирма,,,,,,
,"""ПРЕСТИЖ"" ",выдано МИ ФНС России №11 по,с 17.07.2012 г.,"м/р ""Химки"", д.3, пом.№ 47, отдел в магазине ""Престиж""",,,,,,
,ИНН 3834011862,Ирк. обл. и УО БАО от 07.06.2006 г.,по 17.07.2013 г.,,,,,,,
74,ООО,Св-во сер.38 №003069858,А 245208,"г.Железногорск-Илимский,",,,,,,
,"""Спутник""",выдано МИ ФНС России №15 по,с 20.07.2012 г.,"3 квартал, д.12, магазин прод. товаров ""Ксюша""",,,,,,
,ИНН 3834015779,Иркутской области от 26.03.2012 г.,по 20.07.2013 г.,,,,,,,
75,ООО,Св-во сер.38 №002398810,А 245051,г.Железногорск-Илимский,,,,,,
,"""Владимир""",выдано МИ ФНС России №11 по,с 18.07.2012 г.,"6 ""а"" квартал, д.3, магазин ""Ручеек"";",,,,,,
,ИНН 3834011492,Ирк. обл. и УО БАО от 16.03.2006 г.,по 18.07.2013 г.,"п.Коршуновский, ул.Ленина, д.6, кв.2, магазин.",,,,,,
76,ООО,Св-во сер.38 №002399378,А 245202,"п.Видим, ул.Советская, д.10, магазин ""Эдем"";",,,,,,
,"""Эдем""",выдано МИ ФНС России №11 по,с 19.07.2012 г.,"ул.Советская, д.8, отдел в магазине ""Кристина"".",,,,,,
,ИНН 3834011781,Ирк. обл. и УО БАО от 23.05.2006 г.,по 19.07.2013 г.,,,,,,,
77,ООО,Св-во сер.38 №000195370,А 245209,"г.Железногорск-Илимский, 10 квартал, д.1, мини-маркет",,,,,,
,"""Олимп""",выдано МИ ФНС России №11 по,с 25.07.2012 г,"""Северный""; 6 квартал, д.7, маг.""Визит""; 7 квартал, д.9,",,,,,,
,ИНН 3834010611,Ирк. обл. и УО БАО от 11.10.2005 г.,по 25.07.2015 г.,"отдел в супермаркете ""Подсолнух""; 8 квартал, д.6,",,,,,,
,,,,"пом.78, магазин ""Янта""",,,,,,
78,ООО,Св-во сер.38 №000195513,А 245055,п.Новая Игирма,,,,,,
,"""Сентябрь""",выдано МИ ФНС России №11 по,с 24.07.2012 г.,"м/р ""Химки"", д.23, кв.52, магазин ""Сентябрь""",,,,,,
,ИНН 3834010770,Ирк. обл. и УО БАО от 06.12.05 г.,по 24.07.2013 г.,,,,,,,
79,ООО,Св-во сер.38 №000195369,А 245212,п.Новая Игирма,,,,,,
,"""Заря""",выдано МИ ФНС России №11 по,с 31.07.2012 г.,"ул.Железногорская, 12 ""а"", магазин ""Восточный"";",,,,,,
,ИНН 3834010594,Ирк. обл. и УО БАО от 11.10.05 г.,по 31.07.2014 г.,"ул.Солнечная, д.15""а"", ""Супермаркет""",,,,,,
80,ООО,Св-во сер.38 №002399517,А 245196,г.Железногорск-Илимский,,,,,,
,"""Марина""",выдано МИ ФНС России №11 по,с 27.07.2012 г.,"2 квартал, д.14, магазин ""Баргузин"";  3 квартал, д.29,",,,,,,
,ИНН 3834012009,Ирк. обл. и УО БАО от 23.06.06 г.,по 27.07.2013 г.,"№ 34, отдел в продовольственном магазине ""Кристина""",,,,,,
