"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеилимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,ИНН 3834011774,Ирк. обл. и УО БАО от 17.05.06 г.,по 25.12.2013 г.,"м/р 13, ул.Микрорайонная, д.2, магазин ""Попутный"";",,,,,,
,,,переоф. А 245128,,,,,,,
15,ООО,Св-во сер.38 №002398808,А 245184,г.Железногорск-Илимский,,,,,,
,"""Оникс""",выдано МИ ФНС России №11 по,с 16.11.2011 г.,"1 квартал, д.88, отдел в магазине ""Оникс""; м/р 13,",,,с 08.06.2012 г.,,,
,ИНН 3834011460,Ирк. обл. и УО БАО от 14.03.2006 г.,08.06.2012 г.,"ул.Металлургов, д.4, отдел в магазине ""Хуторок""",,,,,,
16,ООО,Св-во сер. 38 №000194455,А 245095,"г.Железногорск-Илимский,",,,,,,
,"""СИБИРЬ""",выдано МИ ФНС России №11 по,с 18.10.2007 г.,"1 квартал, д.33, отдел в магазине ""Русь""",,,,,,
,ИНН 3834011319,Ирк. обл. и УО БАО от 22.01.06 г.,по 18.10.2012 г.,,,,,,,
17,ООО,Св-во сер.38 №002423612,А 245154,"г.Железногорск-Илимский, 7 квартал. д.20,",,,,,,
,"""Энэй""",выдано МИ ФНС России №11 по,с 22.07.2010 г.,"бар в кафе-баре ""Анастасия""",,,,,,
,ИНН 3834013066,Ирк. обл. и УО БАО от 16.08.07 г.,по 14.12.2012 г.,,,,,,,
18,ООО,Св-во сер.38 №002423498,А 245112,"г.Железногорск-Илимский,",,,,,,
,"""Жемчужина""",выдано МИ ФНС России №11 по,с 1.04.2008 г.,"6 квартал, д.21, буфет ""Жемчужина""",,,,,,
,ИНН 3834013034,Ирк. обл. и УО БАО от 26.07.07 г.,по 1.04.2013 г.,,,,,,,
19,ООО,Св-во сер.38 №002423955,А 245148,"г.Железногорск-Илимский,",,,,,,
,"""КРИСТАЛЛ""",выдано МИ ФНС России №11 по,с 30.01.2010 г.,"8 кв-л, д.28, отдел в маг. ""Берёзка""; ул.Янгеля, д.16,",,,,,,
,ИНН 3834013429,Иркутской области от 30.01.2008 г.,по 7.06.2013 г.,"отдел в ОАО магазин №4 ""Торговый центр""; отдел в",,,,,,
,,,,"ОАО магазин №4 ""Торговый центр""",,,,,,
20,ООО,Св-во сер.38 №000194364,А 245120,"г.Железногорск-Илимский,",,,,,,
,"""УЛОЧКА""",выдано ИМНС России по,с 7.08.2008 г.,"ул.Янгеля, д.20, буфет в столовой №19",,,,,,
,ИНН 3834009239,Нижнеилимскиму р-ну от 19.02.03 г.,по 7.08.2013 г.,,,,,,,
21,ООО,Св-во сер.38 №002398774,А 245121,"г.Жлезногоск-Илимский,",,,,,,
,"""Илимская Удача""",выдано МИ ФНС России №11 по,с 7.08.2008 г.,"1 квартал, д.41""а"", отдел в магазине ""Русский купец"";",,,,,,
,ИНН 3834001864,Ирк. обл. и УО БАО от 15.02.06 г.,по 7.08.2013 г.,"6 квартал, д.18, отдел в магазине ""Снежная королева""",,,,,,
22,ООО,Св-во сер.38 №002422925,А 245185,"г.Железногорск-Илимский,",,,,,,
,"""Ксения""",выдано МИ ФНС России №11 по,с 20.01.2012 г.,"8 кв-л, д.14, отдел в магазине ""Родник"". ",,,,,,
,ИНН 3834012721,Ирк. обл. и УО БАО от 27.02.07 г.,по 06.10.2013 г.,,,,,,,
,,,переоф. А 245126,,,,,,,
23,ООО ,Св-во сер.38 №002763351,А 245136,"г.Железногорск-Илимский,",,,,,,
