тип_реш,опф,наим,место_нах,ОГРН,ИНН,КПП,тип,район/город,нас_пункт,"ул,№дома",рег№Лиц,дата переоф,дата_выдачи,начало,конец,серия_лиц,номер_бл_лиц,серия_перечня,номер_бл_перечня,условие,статус,E-mail,Тел,Руководитель
о продлении,ООО,Сибирь,"Забайкальский край, г. Краснокаменск, мкр. 8, дом 807",,7530011346,753001001,магазин,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"мкр. 8, дом 807",0455,,19-Jul-11,25-Jul-11,25-Jul-12,75МЕ,002400,ВВ,001270,,Прекращена,,,
о продлении,ООО,Стрелец,"Забайкальский край, Читинский район, п. Атамановка, ул. Гагарина, 9-а",,7524013151,752401001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. Гагарина, 9-а",0451,,14-Jul-11,25-Jul-11,25-Jul-12,75МЕ,002392,ВВ,001261,,прекращена,,,
о переоформлении,ООО,Зенит,"Газимуро-Заводский район, с. Ямкун, ул. Дорожная, д. 11",1027500743940,7504001133,750401001,"организация общественного питания, кафе ""У Саргиса""",Газимуро-Заводский район,с. Ямкун,"ул. Дорожная, 10",0247,,27-Apr-11,25-Jul-07,25-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Калинка,"Читинская область, Карымский район, с. Шара-Горохон, ул. Центральная, д. 5",,7508005393,750801001,отдел в магазине,Карымский район,с. Шара-Горохон,"ул. Центральная, д.5",804,,26-Jul-07,26-Jul-07,25-Jul-12,75 МЕ,000913,В,000953,,Прекращена,,,
о продлении,ООО,КиОВ,"Забайкальский край, г. Чита, ул. Токмакова, д. 46, пом. 10",,7536064680,753601001,"павильон ""Для души""",г. Чита,г. Чита,"4 мкр., д.6-б",0452,,14-Jul-11,26-Jul-11,26-Jul-12,75МЕ,002391,ВВ,001260,,Прекращена,,,
о продлении,ООО,Локос,"Забайкальский край, г. Чита, ул. Амурская, д. 84",,7536008773,753601001,"магазин ""Сокол""",г. Чита,г. Чита,"ул. Амурская, д. 84, помещение 47",0421,,08-Jul-11,26-Jul-11,26-Jul-12,75МЕ,002365,ВВ,001234,,Прекращена,,,
о продлении,ООО,Ромашка,"Забайкальский край, г. Чита, ул. Верхоленская, д. 22",,7536066870,753601001,магазин,г. Чита,г. Чита,"ул. Верхоленская, д. 22",0436,,13-Jul-11,26-Jul-11,26-Jul-12,75МЕ,002381,ВВ,001248,,Прекращена,,,
о продлении,ООО,Рассвет,"Забайкальский край, Могочинский район,  г. Могоча, ул. Комсомольская, 6",,7512004378,751201001,павильон,Могочинский район,г. Могоча,"ул. Комсомольская, 6 а",0471,,20-Jul-11,26-Jul-11,26-Jul-12,75МЕ,002417,ВВ,001288,,Прекращена,,,
о выдаче,ООО,Натали,"Забайкальский край, г. Чита, ул. Ракитная, 22А",,7536115648,753601001,магазин,г. Чита,г. Чита,"ул. Назара Широких, д. 9, пом. 81",0472,,21-Jul-11,26-Jul-11,26-Jul-12,75МЕ,002418,ВВ,001289,,Прекращена,,,
о выдаче,ООО,ДОБРОТА,"Читинская область, Читинский район, пгт.Атамановка, ул.Садовая, д.17, кв.2",1077524002016,7524014170,752401001,магазин,г. Чита,г. Чита,"ул. Новобульварная, д.42",810,,27-Jul-07,27-Jul-07,26-Jul-12,75МЕ,000916,В,000963,,прекращена,,,
о продлении,ООО,Валентина,"Забайкальский край, г. Чита, ул. Рахова, д. 86",,7536067803,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Рахова, 86",0431,,12-Jul-11,26-Jul-11,26-Jul-12,75МЕ,002376,ВВ,001244,,Прекращена,,,
