ИНН из файла,Тип найденного клиента из КС,Название из КС,ИНН из КС,КПП из КС,СЦ по продукту Контур-Экстерн,СЦ по РАР,Статус,Регион СЦ,Горе,,,,
5029087910,Есть в КС,ООО Просторы,5029087910,502901001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5029087910502901001,,,
5029093906,Есть в КС,ООО Настёна,5029093906,502901001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5029093906502901001,,,
5029097403,Есть в КС,"Общество с ограниченной ответственностью ""Элит Кроус""",5029097403,502901001,0264 МУП ГИВЦ,нет,нет,50,не обработан,5029097403502901001,,,
5029097428,Есть в КС,"ООО ""Артурс Спа Отель""",5029097428,502901001,0264 МУП ГИВЦ,нет,нет,50,обработан,5029097428502901001,,,
5029106288,Есть в КС,"ООО ""Содействие-7""",5029106288,502901001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5029106288502901001,,,
5029107860,Есть в КС,"ООО МРТК ""Исткор-М""",5029107860,502901001,"0277 ООО ""Белый Бизнес""",нет,нет,77,обработан,5029107860502901001,,,
5029110333,Есть в КС,"ООО ""Дом отдыха ""Березки",5029110333,502901001,0264 МУП ГИВЦ,нет,нет,50,не обработан,5029110333502901001,,,
5029110608,Есть в КС,ООО «БИРОМ»,5029110608,502901001,0733 ООО «Новые Интернет Технологии»,нет,нет,77,обработан,5029110608502901001,,,
5029114715,Есть в КС,ООО «ТД «Реноме»,5029114715,502901001,0915 ООО «Контур ПЛЮС»,нет,нет,50,обработан,5029114715502901001,,,
5029116078,Есть в КС,"ООО ""Декар""",5029116078,502901001,0264 МУП ГИВЦ,0264 МУП ГИВЦ,оплачен,50,обработан,5029116078502901001,,,
5029118100,Есть в КС,ООО «ЛЕККО»,5029118100,502901001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,обработан,5029118100502901001,,,
5029120596,Есть в КС,"ООО ""Шоколадница-Московская область""",5029120596,502901001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5029120596502901001,,,
5029131005,Есть в КС,"ООО ""ВКО""",5029131005,502901001,0264 МУП ГИВЦ,нет,нет,50,не обработан,5029131005502901001,,,
5029135730,Есть в КС,"ООО ""Дионис""",5029135730,502901001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5029135730502901001,,,
5029137991,Есть в КС,"ООО ""Клуб Косенковых""",5029137991,502901001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,не обработан,5029137991502901001,,,
5029143970,Есть в КС,"ООО ""Милена""",5029143970,502901001,0264 МУП ГИВЦ,0264 МУП ГИВЦ,оплачен,50,не обработан,5029143970502901001,,,
5029144950,Есть в КС,"ООО ""Ваш Надежный Партнер""",5029144950,502901001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5029144950502901001,,,
5029145760,Есть в КС,"ООО ""Маркет""",5029145760,502901001,0107 ООО Метод,нет,нет,,не обработан,5029145760502901001,,,
5029148312,Есть в КС,"ООО ""Вкусный Остров""",5029148312,502901001,0264 МУП ГИВЦ,нет,нет,50,обработан,5029148312502901001,,,
5029149080,Есть в КС,"ООО ""Пульс""",5029149080,502901001,0211 ООО Внедренческая фирма БЛИК,нет,нет,50,обработан,5029149080502901001,,,
5030006658,Есть в КС,"ОАО ""Маяк""",5030006658,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5030006658503001001,,,
5030009218,Есть в КС,ПО «Дубрава»,5030009218,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5030009218503001001,,,
5030013302,Есть в КС,"ООО ""Научно-производственное предприятие ""РИУЗ",5030013302,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5030013302503001001,,,
5030018371,Есть в КС,"Общество с ограниченной ответственностью ""Свет Плюс""",5030018371,503001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5030018371503001001,,,
5030019801,Есть в КС,ОАО «ДРУЖБА»,5030019801,503001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5030019801503001001,,,
5030020483,Есть в КС,ЗАО «Колорит»,5030020483,503001001,"0944 ООО ""Архив неактивных абонентов""",нет,нет,77,обработан,5030020483503001001,,,
5030032802,Есть в КС,"ООО ""Парг""",5030032802,503001001,0382 ООО «Компьютерное Агентство «ЦИТ»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,50,не обработан,5030032802503001001,,,
5030046298,Есть в КС,ООО « ОПТИМА Трейдинг»,5030046298,503001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5030046298503001001,,,
5030051555,Есть в КС,"ООО ""Торговый Дом КОЛБИ""",5030051555,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5030051555503001001,,,
5030051932,Есть в КС,Общество с ограниченной ответственностью «Русский Винный Дом»,5030051932,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5030051932503001001,,,
5030051989,Есть в КС,"Общество с ограниченной ответсвенностью""Эксперт Плюс""",5030051989,503001001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5030051989503001001,,,
5030052502,Есть в КС,"ООО ""Ромашка""",5030052502,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5030052502503001001,,,
5030052510,Есть в КС,"ООО ""Маркет Подмосковье""",5030052510,503001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5030052510503001001,,,
5030052862,Есть в КС,ООО «Галс»,5030052862,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5030052862503001001,,,
5030052862,Есть в КС,ООО Галс,5030052862,775101001,"0906 ООО ""БК ОМП""","0906 ООО ""БК ОМП""",оплачен,77,обработан,5030052862775101001,,,
5030052936,Есть в КС,"ООО ""ТД Теремок""",5030052936,775101001,"0811 ООО ""Контур-Эксперт""","0811 ООО ""Контур-Эксперт""",оплачен,77,не обработан,5030052936775101001,,,
5030052982,Есть в КС,"ООО ""Ариадна""",5030052982,503001001,"0944 ООО ""Архив неактивных абонентов""",нет,нет,77,обработан,5030052982503001001,,,
5030053143,Есть в КС,"Общество с ограниченной ответственностью ""Авента-РН""",5030053143,503001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5030053143503001001,,,
5030053249,Есть в КС,"Общество с ограниченной ответственностью ""Аленка""",5030053249,503001001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5030053249503001001,,,
5030053489,Есть в КС,Общество с ограниченной ответственностью «Вишенки»,5030053489,775101001,"0135 ООО ""Правовой Налоговый Консультант""",0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,50,обработан,5030053489775101001,,,
5030053545,Есть в КС,"ООО ""Маячок""",5030053545,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5030053545503001001,,,
5030053658,Есть в КС,"ООО ""ЕС""",5030053658,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5030053658503001001,,,
5030053672,Есть в КС,"ООО ""Дубль-В""",5030053672,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5030053672503001001,,,
5030053746,Есть в КС,"ООО ""СВЕАЛ""",5030053746,503001001,"0135 ООО ""Правовой Налоговый Консультант""","0135 ООО ""Правовой Налоговый Консультант""",оплачен,50,не обработан,5030053746503001001,,,
5030053866,Есть в КС,"ООО ""Алегон""",5030053866,503001001,"0135 ООО ""Правовой Налоговый Консультант""","0135 ООО ""Правовой Налоговый Консультант""",оплачен,50,не обработан,5030053866503001001,,,
5030053947,Есть в КС,"ООО ""Росинка""",5030053947,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5030053947503001001,,,
5030054323,Есть в КС,"Общество с ограниченной ответственностью ""Компания Вольный Ветер""",5030054323,503001001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,не обработан,5030054323503001001,,,
5030054588,Есть в КС,"Общество с ограниченной ответственностью ""Импульс""",5030054588,503001001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5030054588503001001,,,
5030055461,Есть в КС,"Общество с ограниченной ответственностью ""ЮЛА""",5030055461,503001001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5030055461503001001,,,
5030057437,Есть в КС,"ООО ""7-Я""",5030057437,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5030057437503001001,,,
5030064931,Есть в КС,"ООО ""Воленте""",5030064931,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5030064931503001001,,,
5030065332,Есть в КС,"ООО ""Ирис""",5030065332,503001001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5030065332503001001,,,
5030066262,Есть в КС,"Общество с ограниченной ответственностью ""Росмаркет""",5030066262,503001001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5030066262503001001,,,
5031002575,Есть в КС,"ООО фирма ""ПСАРЬКИ""",5031002575,772201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5031002575772201001,,,
5031009115,Есть в КС,"Открытое акционерное общество ""Лечебно-оздоровительный комплекс ""Дом отдыха Колонтаево",5031009115,503101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5031009115503101001,,,
5031013231,Есть в КС,"ООО ""Автокепминг Светлана""",5031013231,503101001,0159 ООО «Рилл-Софт»,0159 ООО «Рилл-Софт»,выставлен,77,не обработан,5031013231503101001,,,
5031020729,Есть в КС,"Открытое акционерное общество ""Дружба""",5031020729,503101001,"0135 ООО ""Правовой Налоговый Консультант""","0135 ООО ""Правовой Налоговый Консультант""",оплачен,50,обработан,5031020729503101001,,,
5031033157,Есть в КС,ООО Эксклюзив,5031033157,503101001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5031033157503101001,,,
5031036609,Есть в КС,"МУП ""Богородские бани"" МО ""Городское поселение Ногинск Московской области""",5031036609,503101001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5031036609503101001,,,
5031036616,Есть в КС,ООО Арис-Н,5031036616,773401001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5031036616773401001,,,
5031040725,Есть в КС,"Общество с ограниченной ответственностью ""Велизар""",5031040725,503101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5031040725503101001,,,
5031050748,Есть в КС,ООО Компания Росби +,5031050748,503101001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5031050748503101001,,,
5031052470,Есть в КС,Торговый Дом Агропоставка,5031052470,720301001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,выставлен,77,не обработан,5031052470720301001,,,
5031056323,Есть в КС,"ОАО ""Ногинский Хладокомбинат""",5031056323,503101001,"0944 ООО ""Архив неактивных абонентов""",нет,нет,77,не обработан,5031056323503101001,,,
5031058049,Есть в КС,ООО Прогресс-ТМ,5031058049,503101001,"0227 ООО фирма ""НЭРТИС""",нет,нет,50,обработан,5031058049503101001,,,
5031061468,Есть в КС,ООО Торговый Дом Бисерово,5031061468,503101001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5031061468503101001,,,
5031062398,Есть в КС,Общество с ограниченной ответственностью «12 месяцев»,5031062398,503101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5031062398503101001,,,
5031064476,Есть в КС,"ООО ""У Петровича""",5031064476,503101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5031064476503101001,,,
5031071716,Есть в КС,ООО ВИВАСВАТ,5031071716,503101001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,выставлен,77,не обработан,5031071716503101001,,,
5031072332,Есть в КС,"ООО ""Природный курорт ""ЯХОНТЫ",5031072332,503101001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5031072332503101001,,,
5031076898,Есть в КС,"Общество с ограниченной ответственностью ""Кристалл""",5031076898,503101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5031076898503101001,,,
5031078694,Есть в КС,"ООО ""Агроимпорт""",5031078694,503101001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,выставлен,77,не обработан,5031078694503101001,,,
5031089329,Есть в КС,"ООО ""Торговый Дом ""Каравай",5031089329,503101001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,не обработан,5031089329503101001,,,
5031097288,Есть в КС,"ОАО ""Ногинский гостиничный комплекс""",5031097288,503101001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5031097288503101001,,,
5032000563,Есть в КС,Кубинское потребительское общество,5032000563,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032000563503201001,,,
5032001630,Есть в КС,Федеральное бюджетное учреждение Реабилитационный и учебный Центр Фонда социального страхования Российской Федерации,5032001630,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5032001630503201001,,,
5032022630,Есть в КС,"ОАО ""ПАНСИОНАТ С ЛЕЧЕНИЕМ СОЛНЕЧНАЯ ПОЛЯНА""",5032022630,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5032022630503201001,,,
5032023793,Есть в КС,"Общество с ограниченной ответственностью ""ОДА-2""",5032023793,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5032023793503201001,,,
5032028128,Есть в КС,ООО Одинцовское подворье,5032028128,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5032028128503201001,,,
5032028375,Есть в КС,"ООО ""Кобяковская фабрика по лозоплетению""",5032028375,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032028375503201001,,,
5032040252,Есть в КС,Потребительское общество Мамоновское,5032040252,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032040252503201001,,,
5032042789,Есть в КС,"Общество с ограниченной ответственностью ""ДК-Система""",5032042789,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032042789503201001,,,
5032043310,Есть в КС,ООО Герда,5032043310,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5032043310503201001,,,
5032046350,Есть в КС,"ООО ""Эльдорадо""",5032046350,503201001,"0135 ООО ""Правовой Налоговый Консультант""",нет,нет,50,обработан,5032046350503201001,,,
5032046624,Есть в КС,"ООО ""Сервик""",5032046624,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032046624503201001,,,
5032047385,Есть в КС,ООО Фирма Юнона,5032047385,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5032047385503201001,,,
5032050853,Есть в КС,"ООО ""РОС и Ко""",5032050853,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032050853503201001,,,
5032051840,Есть в КС,"ЗАО ""Химтех-МО""",5032051840,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5032051840503201001,,,
5032053477,Есть в КС,"Потребительское общество ""Коопторг""",5032053477,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032053477503201001,,,
5032053477,Есть в КС,"ПОКТ ""Коопторг"" МСПК",5032053477,508901001,0165 ЗАО «Расчетный Центр «Практик»,нет,нет,77,обработан,5032053477508901001,,,
5032053886,Есть в КС,"ЗАО ""ДО ""Ершово",5032053886,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,0448 ООО АЛЬФА-СЕРВИС,выставлен,50,не обработан,5032053886503201001,,,
5032054463,Есть в КС,"Общество с ограниченной ответственностью ""Спортивно-Развлекательный Клуб ""О`Шалей",5032054463,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032054463503201001,,,
5032065948,Есть в КС,"МУП ""Центр информационно-художественного оформления""",5032065948,503201001,"0277 ООО ""Белый Бизнес""",нет,нет,77,не обработан,5032065948503201001,,,
5032066860,Есть в КС,"ФГБУ ""Рублево-Звенигородский лечебно-оздоровительный комплекс"" Управления делами президента Российской Федерации",5032066860,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5032066860503201001,,,
5032067945,Есть в КС,"ООО ""РАДЧЕНКО""",5032067945,503201001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,выставлен,77,не обработан,5032067945503201001,,,
5032070835,Есть в КС,ООО МАШТОЦ,5032070835,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032070835503201001,,,
5032073650,Есть в КС,"ООО ""ЛИНТАЛЬ""",5032073650,501501001,0382 ООО «Компьютерное Агентство «ЦИТ»,0382 ООО «Компьютерное Агентство «ЦИТ»,выставлен,50,не обработан,5032073650501501001,,,
5032086024,Есть в КС,"ООО ""Алматин""",5032086024,503201001,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",нет,нет,77,не обработан,5032086024503201001,,,
5032100511,Есть в КС,"Общество с ограниченной ответственностью ""ДИЛАР плюс""",5032100511,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5032100511503201001,,,
5032113800,Есть в КС,"Общество с ограниченной ответственностью ""Причал""",5032113800,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5032113800503201001,,,
5032114578,Есть в КС,ООО «Машук 21»,5032114578,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032114578503201001,,,
5032129310,Есть в КС,"Потребительское общество ""Успенское "" (Успенское ПО)",5032129310,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032129310503201001,,,
5032136317,Есть в КС,ООО Фланч,5032136317,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032136317503201001,,,
5032138152,Есть в КС,"ООО ""С+В""",5032138152,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032138152503201001,,,
5032142374,Есть в КС,"ООО ""Подмосковная трапеза""",5032142374,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5032142374503201001,,,
5032142840,Есть в КС,"ООО ""19а""",5032142840,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032142840503201001,,,
5032143321,Есть в КС,"ООО ""МАРИЯ И К""",5032143321,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032143321503201001,,,
5032143515,Есть в КС,"ЗАО ""Милтон Грин""",5032143515,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032143515503201001,,,
5032147260,Есть в КС,"ООО ""Лилит""",5032147260,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032147260503201001,,,
5032148520,Есть в КС,ООО «Успенское»    ,5032148520,503201001,0165 ЗАО «Расчетный Центр «Практик»,0165 ЗАО «Расчетный Центр «Практик»,оплачен,77,обработан,5032148520503201001,,,
5032149524,Есть в КС,"ООО ""Сервис А""",5032149524,503201001,0733 ООО «Новые Интернет Технологии»,0733 ООО «Новые Интернет Технологии»,оплачен,77,не обработан,5032149524503201001,,,
5032149860,Есть в КС,"ООО ""Меридиан""",5032149860,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,обработан,5032149860503201001,,,
5032159434,Есть в КС,"ООО ""СИАР""",5032159434,503201001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,оплачен,77,не обработан,5032159434503201001,,,
5032166174,Есть в КС,ООО «Горка-2»,5032166174,503201001,0599 ООО “Бизнес ТелеСистемы”,нет,нет,77,не обработан,5032166174503201001,,,
5032169418,Есть в КС,ООО «Урюк»,5032169418,503201001,"0210 ООО ""ОрионМегаПлюс""","0906 ООО ""БК ОМП""",выставлен,77,не обработан,5032169418503201001,,,
5032171270,Есть в КС,"ООО ""Тимола""",5032171270,503201001,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",нет,нет,77,не обработан,5032171270503201001,,,
5032178010,Есть в КС,"ЗАО ""Премиум Отель Менеджмент""",5032178010,503201001,0165 ЗАО «Расчетный Центр «Практик»,нет,нет,77,обработан,5032178010503201001,,,
5032178356,Есть в КС,"ООО ""СКОЛКОВО Менеджмент""",5032178356,503201001,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",нет,нет,77,не обработан,5032178356503201001,,,
5032184511,Есть в КС,"ЗАО ""Смарт Велью Ритейл""",5032184511,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032184511503201001,,,
5032193322,Есть в КС,"ООО ""Империал""",5032193322,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5032193322503201001,,,
5032194742,Есть в КС,"ООО ""Аурум Торговый Дом""",5032194742,770201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",оплачен,77,обработан,5032194742770201001,,,
5032194750,Есть в КС,"ООО ""А - СПИРИТС""",5032194750,772201001,0165 ЗАО «Расчетный Центр «Практик»,нет,нет,77,обработан,5032194750772201001,,,
5032197408,Есть в КС,"Общество с ограниченной ответственностью ""Свами""",5032197408,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032197408503201001,,,
5032199331,Есть в КС,"ООО ""КУБ""",5032199331,503201001,0448 ООО АЛЬФА-СЕРВИС,нет,нет,77,не обработан,5032199331503201001,,,
5032203718,Есть в КС,"Общество с ограниченной ответственностью ""Кампанелла""",5032203718,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,обработан,5032203718503201001,,,
5032203884,Есть в КС,"ООО ""Волшебный вкус""",5032203884,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032203884503201001,,,
5032204126,Есть в КС,"ООО ""Подмосковные Липки""",5032204126,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,нет,нет,50,не обработан,5032204126503201001,,,
5032205024,Есть в КС,Общество с ограниченной ответственностью рыболовно-спортивный комплекс «Ромашково»,5032205024,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032205024503201001,,,
5032208917,Есть в КС,"ООО ""Паташон Вайн Холл""",5032208917,503201001,0448 ООО АЛЬФА-СЕРВИС,0448 ООО АЛЬФА-СЕРВИС,выставлен,77,не обработан,5032208917503201001,,,
5032213219,Есть в КС,"Общество с ограниченной ответственностью ""Ресторация""",5032213219,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,выставлен,77,не обработан,5032213219503201001,,,
5032220262,Есть в КС,"ООО ""МСК-О""",5032220262,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032220262503201001,,,
5032221763,Есть в КС,"ООО ""Добрые соседи""",5032221763,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032221763503201001,,,
5032226137,Есть в КС,"Общество с ограниченной ответственностью ""Одекс""",5032226137,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5032226137503201001,,,
5032226970,Есть в КС,"ООО ""Оптима""",5032226970,503201001,0382 ООО «Компьютерное Агентство «ЦИТ»,0382 ООО «Компьютерное Агентство «ЦИТ»,оплачен,50,не обработан,5032226970503201001,,,
5032229265,Есть в КС,ООО АМ Регион,5032229265,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032229265503201001,,,
5032230895,Есть в КС,ООО «Подкова»,5032230895,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032230895503201001,,,
5032231810,Есть в КС,"ООО ""Компания Пять единиц""",5032231810,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032231810503201001,,,
5032233261,Есть в КС,"ООО ""Фортуна""",5032233261,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,не обработан,5032233261503201001,,,
5032238615,Есть в КС,"Общество с ограниченной ответственностью ""Панорама""",5032238615,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,оплачен,77,не обработан,5032238615503201001,,,
5032240011,Есть в КС,"ООО ""Невские мелодии""",5032240011,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,не обработан,5032240011503201001,,,
5032244312,Есть в КС,"ООО ""Дали""",5032244312,503201001,"0822 ЗАО ""Группа Компаний ""Новые Бизнес Системы",нет,нет,77,обработан,5032244312503201001,,,
5032249021,Есть в КС,"ООО ""Дилижанс""",5032249021,503201001,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,нет,нет,77,обработан,5032249021503201001,,,
