№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
,,,,,"216296, Смоленская область, Велижский район, дер. Узвоз (магазин ТПС), без ограничений",№ 1432/15        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216294, Смоленская область, Велижский район, дер. Будница (магазин ТПС), без ограничений",№ 1432/16        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216294, Смоленская область, Велижский район, дер. Шумилово (магазин ТПС), без ограничений",№ 1432/17        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216294, Смоленская область, Велижский район, дер.Ольгово (магазин ТПС), без ограничений",№ 1432/18        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216299, Смоленская область, Велижский район, дер.Беляево (магазин ТПС), без ограничений",№ 1432/19        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216287, Смоленская область, Велижский район, дер.Крутое (магазин ТПС), без ограничений",№ 1432/20        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216287, Смоленская область, Велижский район, дер.Осиновица (магазин ТПС), без ограничений",№ 1432/21        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216288, Смоленская область, Велижский район, дер.Печёнки (магазин ТПС), без ограничений",№ 1432/22        Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216288, Смоленская область, Велижский район, дер. Ст. Селои (магазин ТПС), без ограничений",№ 1432/23              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216286, Смоленская область, Велижский район, дер. Патики (магазин ТПС), без ограничений",№ 1432/24              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216284, Смоленская область, Велижский район, дер. Чепли (магазин ТПС), без ограничений",№ 1432/25              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216286, Смоленская область, Велижский район, дер. Погорелье (магазин ТПС), без ограничений",№ 1432/26              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область, Велижский район, дер. Ляхово (магазин ТПС), без ограничений",№ 1432/27              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216280, Смоленская область, Велижский район, пос. Селезни (магазин Продмаг), без ограничений",№ 1432/28              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216280, Смоленская область, Велижский район, пос. Селезни (магазин Берёзка), без ограничений",№ 1432/29              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216280, Смоленская область, Велижский район, пос. Селезни (магазин Совхоз ТПС), без ограничений",№ 1432/30              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216282, Смоленская область, Велижский район, дер. Рудня (магазин ТПС), без ограничений",№ 1432/31              Г 679416,,,,20 января 2012     исключение объекта,,,,,,,,,,,,,
,,,,,"216282, Смоленская область, Велижский район, дер.Заозерье (магазин ТПС), без ограничений",№ 1432/34              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216282, Смоленская область, Велижский район, дер.Городище (магазин ТПС), без ограничений",№ 1432/35              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область,г. Велиж, ул. Володарского (кафе ""Белоснежка""), без ограничений",№ 1432/36              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область,г. Велиж, ул. Советская (кафе ""Велижанка""), без ограничений",№ 1432/37              Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область,г. Велиж, ул. Советская (ресторан ""Двина""), без ограничений",№ 1432/38             Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область,г. Велиж, ул. Советская, д. 8 (закусочная), без ограничений",№ 1432/39             Г 679416,,,,,,,,,,,,,,,,,
,,,,,"216290, Смоленская область,г. Велиж, ул. Советская, д. 8(кафе ""Визит""), без ограничений",№ 1432/40             Г 679416,,,,,,,,,,,,,,,,,
