"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Киренский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,,"ул.Терешковой, 6",,,,,,,,
,ИНН 3831004391,,,,,,,,,
9.,Общество с,"666701,",Г 117126,"маг. ""Гороскоп"",",,,13.10.2011г.,,,
,ограниченной,"Иркутская область,",№47,"г.Киренск, ул.Лесная, 13;",,,,,,
,ответственностью,"г.Киренск,",от 28.12.2009г.,"маг. ""Азарт"",",,,,,,
,"""Сфера""","ул.Королева, 14",до 13.10.2011г.,"Киренский район, пос.Гарь,",,,,,,
,,,взамен,"ул.Школьная, 17а;",,,,,,
,ИНН 3831004377,,Г 117075,"павильон ""Дюна"", ",,,,,,
,,,№11,"г.Киренск, ул.Советская;",,,,,,
,,,от 13.10.06г.,"павильон ""Тайга"",",,,,,,
,,,,"г.Киренск, ул.Озерная;",,,,,,
,,,,"маг. ""Тайга"",",,,,,,
,,,,"г.Киренск, ул.Озерная, 2а.",,,,,,
10.,Общество с,"666701,",Г 117143,"маг. ""Гороскоп"",",,,,,,
,ограниченной,"Иркутская область,",№63,"г.Киренск, ул.Лесная, 13;",,,,,,
,ответственностью,"г.Киренск,",от 03.11.2011г.,"маг. ""Азарт"",",,,,,,
,"""Сфера""","ул.Королева, 14",до 03.11.2016г.,"Киренский район, пос.Гарь,",,,,,,
,,,,"ул.Школьная, 17а;",,,,,,
,ИНН 3831004377,,,"маг. ""Тайга"",",,,,,,
,,,,"г.Киренск, ул.Озерная, 2а.",,,,,,
11.,Общество с,"666703,",Г 117127,"маг. ""Радуга-3"", ",,,11.10.2011г.,,,
,ограниченной,"Иркутская область,",№48,"г.Киренск, ул.Колхозная, 11;",,,,,,
,ответственностью,"г.Киренск,",от 01.02.2010г.,"маг. ""Козерог"", г.Киренск,",,,,,,
,"""Радуга""","пер.Клубный, 2",до 11.10.2011г.,"ул.Партизанская, 26а;",,,,,,
,,,взамен,"маг. ""Радуга-2"", ",,,,,,
,ИНН 3831004384,,Г 117124,"Киренский район,",,,,,,
,,,№45,"пос.Алексеевск, ул.Седова, 9;",,,,,,
,,,от 28.10.2009г.,"маг. ""Алена"", ",,,,,,
,,,взамен,"г.Киренск, ул.Чкалова, 2;",,,,,,
,,,Г 117103,"маг. ""Марс"", г.Киренск,",,,,,,
,,,№31,"ул.Б.Хмельницкого, 10;",,,,,,
,,,от 11.04.2008г.,"маг. ""Витим"", г.Киренск,",,,,,,
,,,взамен,"ул.Коммунистическая, 16;",,,,,,
,,,Г 117099,"маг. ""Радуга-1"",",,,,,,
,,,№30,"г.Киренск, ул.Алексеева, 2;",,,,,,
,,,от 03.03.2008г.,"маг. ""Киренчанка"",",,,,,,
,,,взамен,"г.Киренск, ул.Комарова, 1;",,,,,,
,,,Г 117076,"маг. ""Лолита"", ",,,,,,
,,,№12,"г.Киренск, ул.Воронинская, 18;",,,,,,
,,,от 27.10.2006г.,"маг. ""Радуга-4"", ",,,,,,
,,,взамен,"г.Киренск, ул.Озерная, 7;",,,,,,
,,,Г 117072,"маг. ""Надежда"",",,,,,,
,,,№8,"Киренский район,",,,,,,
,,,от 11.10.2006г.,"с.Макарово, ул.Набережная, 1;",,,,,,
,,,,"маг. ""24 часа"", Киренский ",,,,,,
,,,,"район, пос.Юбилейный,",,,,,,
