"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Ангарскому МО",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
60,ООО «Петр I»          ИНН 3801007941," 665813, г. Ангарск, улица К. Маркса, 44",16.05.2011 продлен срок действия лицензии на 2 года с 16.05.2011 до 16.05.2013 А 176596 № 66 от 16.05.2011 взамен: А 232786 № 12 от 16.05.2006 г. 5 лет с 16.05.2006 г.,"г. Ангарск, улица К. Маркса, 44, Магазин «Петр I» ",,,,,
61,ООО «Орбита» ИНН 3801081215," 665824, г. Ангарск, улица Фестивальная, 31",01.06.2011 продлен срок действия лицензии на 1 год с 01.06.2011 до 01.06.2012 А 176601 № 73 от 01.06.2011 (взамен: А 232796 № 20 от 01.06.2006 г. 5 лет с 01.06.2006 г.),"г. Ангарск, улица Бульварная, 2 «б», кафе «Орбита",,,6/1/2012,,
62,ООО «Витязь» ИНН 3801081705," 665812, г. Ангарск, микрорайон 6 «А», дом 42, магазин «Витязь»",А 176774 № 50 от 06.06.2012  3 года с 06.06.2012 до 06.06.2015 ,"г. Ангарск, микрорайон 6 «а», дом 42, магазин «Витязь»",,,,,
63,ООО «Лона»                 ИНН 3801006602," 665832, г. Ангарск, микрорайон 7, дом «Б», помещение 79",А 176603 № 77 от 06.06.2011 продлен срок действия лицензии с 06.06.2011 до 06.06.2012 (взамен: А 167357 № 15 от 27.02.2010 г. 5 лет с 06.06.2006 г.),"г. Ангарск, микрорайон 7, дом «Б», помещение 79, магазин «Лона» ",,,6/6/2012,,
64,ООО «ГрандБир+»       ИНН 3801082480," 665816, г. Ангарск, квартал А, дом 8",09.06.2011 продлен срок действия лицензи на 2 года до 09.06.2013 А 176597 № 67 от 20.05.2011 (взамен: А 232801 № 28 от 09.06.2006 5 лет с 09.06.2006) ,"1) г. Ангарск, квартал А, дом 8, магазин «Бакалея» 2) г. Ангарск, квартал А, дом 8, закусочная в магазине «Бакалея»",,,,,
65,ООО «Закусочная «Емеля»           ИНН 3801080042,"665838, г. Ангарск, микрорайон 17, а/к«Сигнал»",продлен срок действия лицензии на 3 года А 176605 № 80 от 09.06.2011 с 09.06.2011 до 09.06.2013 (взамен: А 232807 № 29 от 09.06.2006 г. 5 лет с 09.06.2006 г.),"г. Ангарск, микрорайон 17, автокооператив «Сигнал», закусочная «Емеля»",,,,,
66,ООО «Сильверадо» ИНН 3801081279," 665826, г. Ангарск, микрорайон 12 «А», дом 7",продлен срок действия лицензии на 1 год с 09.06.2011 до 09.06.2012 А 176606 № 81 от 09.06.2011 (взамен: А 167451№ 117 от 10.12.2010 с 09.06.2006 до 09.06.2011),"1) г. Ангарск, микрорайон 12 «а», дом 7, кафе «Сильверадо» 2) г. Ангарск, микрорайон 13, дом 33, Торговый центр «Мега», бар 3) г. Ангарск, микрорайон 13, дом 33, Торговый центр «Мега», ресторан",,,6/9/2012,,
67,ООО «Магазин «Смешанные товары»            ИНН 3801082360," 665815, Ангарский р-н, с. Одинск, улица Ленина, 1",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012 А 176617 № 86 от 20.06.2011 (взамен: А 232824 № 44 от 20.06.2006 5 лет с 20.06.2006),"Ангарский район, с.Одинск, улица Ленина, 1, магазин «Смешанные товары»",,,6/20/2012,,
68,ООО «Торговая фирма «Забота» ИНН 3801064770," 665813, г. Ангарск, улица Мира, 36",А 176614 № 89 от 16.06.2011 (взамен: 17.05.2011 продлен срок действия лицензии  А 176574 № 38 от 01.04.2011 на 2 года с 16.05.2011 до 16.05.2013),"1) г. Ангарск, квартал 78, дом 9, магазин «Краковский» 2) г. Ангарск, улица Мира, 36, магазин «Фирменный» 3) г. Ангарск, квартал 207/210, дом 5, помещение 117, магазин «Мрия» 4) г. Ангарск, микрорайон 33, дом 1, помещение 160, магазин «Цветной бульвар» 5) г. Ангарск, квартал 92/93, дом 9, помещение 99, магазин ""Смачный"" 6) г. Ангарск, микрорайон 9, дом 22, помещение 79 7) г. Ангарск, микрорайон 9, помещение 79, магазин ""Мясной дворик"" 8) г. Ангарск, микрорайон 7, дом А, помещение 79, магазин ""Баттерфляй"" 9) г. Ангарск, микрорайон 15, дом 40, помещение 70, магазин ""Венский""  (запрет более 15 % п. 7)",,,,,
69,ООО «ДиАл-Сиб» ИНН 3801081656," 665827, г. Ангарск, микрорайон 12 «а», дом 4, кв. 116",продлен срок действия лицензии на 3 года с 16.06.2011 до 16.06.2014       А 167348 № 5 от 27.01.2010 г. 5 лет с 16.06.2006 г.,"1) микрорайон 12 «а», дом 2 «а», ТД «Гефест», отдел «Вино-водка» № 16 2) микрорайон 12 «а», дом 2 «а», ТД «Гефест», отдел «Вино-водка» № 31 3) микрорайон 29, дом 19, ТД «Каскад», отдел «Вино-водка» № 22  ",,,,,
70,ООО «Альянс+» ИНН 3801082730," 665819, г. Ангарск, улица Чайковского, 48б, дом 60",А 176619 № 92 от 16.06.2011 3 года с 16.06.2011 до 16.06.2014,"1) г. Ангарск, квартал 85, улица Чайковского, между магазинами ""Весна"" и ""Олимпиада"", магазин «Альянс» 2) г. Ангарск, квартал 95, вдоль ул. Горького, напротив дома № 10, ТД ""Альянс"", отдел ""Вино-водка""",,,,,
71,"ООО ""Дебют""   ИНН 3801081230"," 665834, г. Ангарск, улица Декабристов, 15 микрорайон, рядом с дом 27/27а",Продлен срок действия лицензии на 1 год с 16.06.2011 до 16.06.2012 А 176618 № 93 от 16.06.2011 (взамен: А 232975 № 27 от 14.05.2007 5 лет с 16.06.2006),"г. Ангарск, микрорайон 15, у  дом 27/27а, магазин «Дебют»",,,6/16/2012,,
72,ООО  «Чебуречная» ИНН 3801063456," 665830, г. Ангарск, квартал 82, дом 4",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012 (взамен: А 232819 № 46 от 20.06.2006 5 лет с 20.06.2006),"г. Ангарск, квартал 82, дом 4, бутербродная при столовой «Чебуречная»",,,6/20/2012,,
73,ООО «Таи-С» ИНН 3801082811," 665855, Ангарский район, с. Одинск, улица Ленина, 25",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012    А 176616 № 96 от 20.06.2011 (взамен: А 232825 № 45 от 20.06.2006 5 лет с 20.06.2006),"Ангарский район, с.Одинск, улица Ленина, 1,  магазин «Авоська»",,,6/20/2012,,
74,ООО «Гран-При» ИНН 3801080370," 665830, г. Ангарск, улица Глинки, 1",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012 А 176620 № 97 от 20.06.2011 (взамен: А 232822 № 40 от 20.06.2006 5 лет с 20.06.2006),"г. Ангарск, улица Глинки, 1, магазин «Праздничный» ",,,6/20/2012,,
75,ООО «Рома»      ИНН 3808135484,"664009, г. Иркутск, улица Култукская,11, 82",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012       А 176621 № 98 от 20.06.2011 (взамен: А 232817 № 43 от 20.06.2006 5 лет с 20.06.2006),"Ангарский район, Московский тракт, п. Шароны, кафе «Рома»",,,6/20/2012,,
76,ООО «Вольт»       ИНН 3801014681," г. Ангарск, микрорайон 19, дом 10, помещение 269",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012       А 176593 № 61 от 11.05.2011 (взамен: А 232820 № 41 от 20.06.2006 5 лет с 20.06.2006),"г. Ангарск, квартал 60, дом 40, магазин «Лукошко»",,,6/20/2012,,
77,ООО «Закусочная «Каламбур»     ИНН 3801082191," 665824, г. Ангарск, улица Саянская, 5а, 9",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012 (взамен: А 232818 № 48 от 20.06.2006 5 лет с 20.06.2006),"г. Ангарск, район станции Суховская, Московский тракт, 1845+800 км, закусочная «Каламбур»",,,6/20/2012,,
78,ООО «Бизнес КВИН» ИНН 3801081014," 665821, г. Ангарск, улица 40 лет Октября, 119, 48",продлен срок действия лицензии на 3 года с 20.06.2011 до 20.06.2014       А 176623 № 100 от 20.06.2011  (взамен: А 167216 № 19 от 14.05.2008 5 лет с 20.06.2006),"1) г. Ангарск, квартал 215, строение 30, закусочная «Гермес» 2) г. Ангарск, квартал 258, строение 300, бар «Canto»",,,,,
79,ООО «Чайка» ИНН 3801081649," 665813, г. Ангарск, квартал 82, дом 3",продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012       А 176625 № 102 от 20.06.2011 (взамен: А 232821 № 42 от 20.06.2006 5 лет с 20.06.2006),"г. Ангарск, квартал 82, дом 3, магазин «Чайка»",,,6/20/2012,,
80,ООО  «Татьяна» ИНН 3801082593," 665831, г. Ангарск, п. Байкальск, улица Весенняя, 35",продлен срок действия лицензии на 5 лет с 23.06.2011 до 23.06.2016    А 176630 № 104 от 23.06.2011 (взамен:  А 232827 № 56 от 23.06.2006 5 лет с 23.06.2006),"г. Ангарск, улица Весенняя, 35, магазин «Мальва»",,,,,
81,ООО «Торговая сеть «Успех»           ИНН 3801081984," 665836, г. Ангарск, микрорайон 15, дом 26",продлен срок действия лицензии на 5 лет с 23.06.2011 до 23.06.2016        А 167334 № 75 от 30.11.2009 г. 5 лет с 23.06.2006 г.,"1) г. ангарск, микрорайон 15, дом 26, магазин «Продукты» 2) г. ангарск, квартал 188, дом 3, ТД «Юность», отдел  № 3 3) г. Ангарск, квартал 188, дом 3,  ТД «Юность»,  отдел № 4 4) г. Ангарск, квартал 177, ТЦ «Баргузин», отдел № 26 5) г. Ангарск, улица Ленина, ТЦ «ОАО «АУС», отдел  № 1  6) г. Ангарск, улица Ленина, ТЦ «ОАО «АУС», отдел  № 6  7) г. Ангарск, улица Ленина, ТЦ «ОАО «АУС», отдел  № 57 8) г. Ангарск, улица Ленина, ТЦ «ОАО «АУС», отдел  № 74 9) г. Ангарск, улица К. Маркса, 23, магазин «Золотой улей» 10) г. Ангарск, микрорайон 17, дом 12 «б», ТЦ «Трапеза», отдел № 3 «Вино-водка» 11) г. Ангарск, микрорайон 12 «а», строение 34, универсам «Успех» ",,,,,
82,ООО «КСИ-Сервис»               ИНН 3810034081," 665806, г. Ангарск, улица Степана Разина, 3",продлен срок действия лицензии на 1 год с 23.06.2011 до 23.06.2012   А 176627 № 105 от 23.06.2011 (взамен:  А 232829 № 52 от 23.06.2006 5 лет с 23.06.2006),"г. Ангарск, микрорайон 11, дом ?, кафе «Мастер Гриль» ",,,6/23/2012,,
83,ООО «РЛЮ»       ИНН 3801081180," 665829, г. Ангарск, микрорайон 10, дом 45/45а",продлен срок действия лицензии на 1 год с 23.06.2011 до 23.06.2012   А 176629 № 106 от 23.06.2011 (взамен: А 232834 № 53 от 23.06.20065 лет с 23.06.2006),"1) г. Ангарск, микрорайон 10, дом 45/45а, Магазин «Диско» (до 15 %) 2) г. Ангарск, микрорайон 15, дом 26, Магазин «Людмила» 3) г. Ангарск, микрорайон 13, дом 4, магазин «Эллада» 4) г. Ангарск, микрорайон 10, дом 31, магазин «Кузьмич»  ",,,6/23/2012,,
84,ООО «Форвард» ИНН 3801081840," 665835, г. Ангарск, микрорайон 29, 7",продлен срок действия лицензии на 1 год с 22.06.2011 до 22.06.2012   А 176628 № 107 от 22.06.2011 (взамен: А 232951 № 176 от 26.12.2006 5 лет с 22.06.06),"1) квартал 84, дом 14, Магазин «Сибирский» 2) микрорайон 29, дом7, магазин «Продукты» 3) микрорайон 33 между домами № 5 и № 6, павильон «Форвард» 4) 1км. автодороги Байкал на участке «Подъезд к Ангарску», строение, 1 магазин «Дачный» 5) микрорайон 30, дом 1, строение 2, магазин «Сибмаркет»  ",,,6/22/2012,,
85,ООО «АРЕНА» ИНН 3801081511," 665816, г. Ангарск, квартал 182, дом 14",продлен срок действия лицензии на 1 год с 30.06.2011 до 30.06.2012    А 176631 № 109 от 30.06.2011 (переоформлена лицензия:    А 167453 № 119 от 10.12.2010 г. с 30.06.2006 г. до 30.06.2011 г.) ,"г. Ангарск, квартал 182, дом 14, помещение 50, магазин «Продтовары» ",,,6/30/2012,,
86,ООО «Мир продуктов»                    ИНН 3801102793," 665816, г. Ангарск, микрорайон 33, дом 14",А 176633 № 110 от 28.06.2011 (взамен: А 167416 № 74 от 24.08.2010 г. с 10.06.2009 г. до 10.06.2014 г.),"1) г. Анграрск, квартал 94, дом 1, универсам ""Миниэконом-2"" 2) г. Ангарск, улица Ленина, 10, универсам «Миниэконом-1» 3) г. Ангарск, квартал 219, дом 13, универсам «Суперэконом» 4) г. Ангарск, микрорайон 11, дом 4, супермаркет «Юбилейный» 5) г. Ангарск, микрорайон 33, дом 14, универсам «Континент-9», отдел «Вино-водка» ",,,,,
87,ООО  «БлиКо» ИНН 3801082650," 665806, г. Ангарск, улица Октябрьская, 17",продлен срок действия лицензии на 1 год с 28.06.2011 до 28.06.2012 А 176634 № 111 от 28.06.2011 (взамен: А 232839 № 62 от 28.06.2006 г. 5 лет с 28.06.2006 г.),"г. Ангарск, улица Октябрьская, 17, магазин «Золотой колос» ",,,6/28/2012,,
88,ООО  «Трейд-Мастер» ИНН 3801082473," 665806, г. Ангарск, микрорайон Северный, улица Трудовых резервов, 26",продлен срок действия лицензии на 1 год с 28.06.2011 до 28.06.2012 А 176635 № 112 от 28.06.2011 (взамен: А 232841 № 64 от 28.06.2006 г. 5 лет с 28.06.2006 г.),"г. Ангарск, микрорайон Северный, улица Трудовых резервов, 26, магазин «Новый»",,,6/28/2012,,
89,ООО «Бренн» ИНН 3801081310," 665819, г. Ангарск, квартал 84, дом 4",продлен срок действия лицензии на 1 год с 27.06.2011 до 27.06.2012        А 176586 № 53 от 26.04.2011 с 27.06.2006 до 27.06.2011,"1) г. Ангарск, квартал 84, дом 4, Магазин «Продукты» 2) г. Ангарск, микрорайон 6 «а», дом 28, помещение 113, магазин «Маяк»",,,6/27/2012,,
90,ООО «ВВ»            ИНН 3801082924," 665831, г. Ангарск, микрорайон 6 «а», дом 8, квартаира 30",продлен срок действия лицензии на 1 год с 30.06.2011 до 30.06.2012 (взамен: А 176611 № 88 от 20.06.2011; А 232863 № 85 от 30.06.2006),"г. Ангарск, микрорайон 9, дом 85, магазин «Хлебный» ",,,6/30/2012,,
91,ООО «АССОЛЬ» ИНН 3801082917," 665825, г. Ангарск, квартал 94, дом 12, магазин «Ассоль»",продлен срок действия лицензии на 1 год с 29.06.2011 до 29.06.2012 А 176636 № 113 от 29.06.2011 (взамен: А 167220 № 24 от 21.05.2008 г. 5 лет с 29.06.2006 г.),"г. Ангарск, квартал 94, дом 12, магазин «Ассоль» ",,,6/29/2012,,
92,ООО  «Содружество» ИНН 3801082152," 665831, г. Ангарск, улица Ворошилова, 10",продлен срок действия лицензии на 1 год с 28.06.2011 до 28.06.2012       А 176589 № 57 от 04.05.2011 с 28.06.2006 до 28.06.2011 (взамен: А 167215 № 18 от 08.05.2008 г. 5 лет с 28.06.2006 г.),"1) г. Ангарск, микрорайон 6 ""а"", дом 6, магазин «Чиполлино», отдел ""Вино-водка"" 2) г. Ангарск, Цемпоселок, улица Лесная, 10, Магазин «Дружба»",,,6/28/2012,,
93,ООО «Пирамида» ИНН 3801082378,"665825, г. Ангарск, квартал 92, дом 10, магазин «Осень»",продлен срок действия лицензии на 1 год с 29.06.2011 до 29.06.2012       А 176637 № 114 от 29.06.2011 (взамен: А 232838 № 66 от 29.06.2006 г. 5 лет с 29.06.2006 г.),"г. Ангарск, квартал 92, дом 10, магазин «Осень»",,,6/29/2012,,
94,ООО «Магнолия ИНК» ИНН 3801083237," 665841, г. Ангарск, микрорайон 18, дом 7",продлен срок действия лицензии на 1 год с 30.06.2011 до 30.06.2012       А 176639 № 115 от 30.06.2011 (взамен: А 167375 № 38 от 29.06.2010 г. 5 лет с 30.06.2006 г.),"1) г. Ангарск, квартал 84, дом 13, магазин «Водолей», отдел «Вино-водка» 2) г. Ангарск, квартал 53, дом 1, магазин «Продукты», отдел «Вино-водка""",,,6/30/2012,,
95,ООО «Мандарин» ИНН 3801083438," 665830, г. Ангарск, квартал 74, дом 16",продлен срок действия лицензии на 1 год с 30.06.2011 до 30.06.2012       А 176638 № 116 от 30.06.2011 (взамен: А 232858 № 83 от 30.06.2006 г. 5 лет с 30.06.2006 г.),"г. Ангарск, квартал 74, дом 16, магазин «Мандарин»",,,6/30/2012,,
96,ООО «Гейзер» ИНН 3801082970," 665854, Ангарский район, р.п. Мегет, улица Садовая, 33",продлен срок действия лицензии на 1 год с 30.06.2011 до 30.06.2012       А 176576 № 40 от 12.04.2011 с 30.06.2006 до 30.06.2011,"Ангарский район, р.п. Мегет, улица Садовая, 33, помещение 41, магазин «Коммерсант» ",,,6/30/2012,,
97,ООО «Ангарск-Азия» ИНН 3801082280," 665806, г. Ангарск, улица Сибирская, 24",продлен срок действия лицензии на 1 год с 30.06.2011 до 30.06.2012   А 176640 № 118 от 30.06.2011 (взамен: А 232855 № 77 от 30.06.2006 г. 5 лет с 30.06.2006 г.),"г. Ангарск, квартал 24, дом 1, магазин  № 47 ",,,6/30/2012,,
98,ООО «Мегетская Торговая Компания»                    ИНН 3801081208," 665854, Ангарский район, р.п. Мегет, улица Нагорная, 43/2",продлен срок действия лицензии на 3 года с 30.06.2011 до 30.06.2014        А 176560  № 22 от 25.02.2011 г. с 30.06.2006 г. до 30.06.2011 г.,"1) Ангарский район, р.п. Мегет, улица Нагорная, 43/2, Магазин «Продукты»  2) Ангарский район, р.п. Мегет, улица Садовая, 10 «А», магазин «Угол»",,,,,
99,ООО «Флагман»        ИНН 3801083318,"  665830, г. Ангарск, квартал 51, дом 22, помещение 19",продлен срок действия лицензии на 1 год с 07.07.2011 до 07.07.2012       А 176643 № 120 от 07.07.2011 (взамен: А 232877 № 98 от 07.07.2006 г. 5 лет с 07.07.2006 г.),"г. Ангарск, квартал 51, дом 22, помещение 19, магазин «Флагман» ",,,,,
100,ООО «Сиб Регион» ИНН 3801082498," 665824, г. Ангарск, квартал 92 дом 9",А 176644 № 121 от 07.07.2011 (взамен: А 176615 № 90 от 16.06.2011 с 16.06.2011 г. до 16.06.2013),"1) Квартал 92, дом 9, магазин «Продукты» 2) микрорайон 9, дом 25, магазин «Кристина» 3) микрорайон 32, дом 4, помещение 277, магазин ""Продукты ""Янта"" ",,,,,
101,ООО «СИБИРЯК» ИНН 3801082755," 665832, г. Ангарск, микрорайон 7, дом 5/5а",продлен срок действия лицензии на 1 год с 11.07.2011 до 11.07.2012       А 176645 № 123 от 11.07.2011 (взамен: А 232875 № 99 от 10.07.2006 г. 5 лет с 10.07.2006 г.),"г. Ангарск, микрорайон 7, дом 5/5а магазин «Валентина» ",,,,,
102,ООО «Даник» ИНН 3801082314," 665854, Ангарский район, пгт Мегет, улица Некрасова, 83",продлен срок действия лицензии на 1 год с 12.07.2011 до 11.07.2012       А 176647 № 124 от 12.07.2011 (взамен: А 232880 № 101 от 12.07.2006 г. 5 лет с 12.07.2006 г.),"1) Ангарский  р-н, пгт Мегет,  улица Некрасова, 83, Магазин  «Даник»          2) Ангарский  р-н, пгт Мегет,  улица Трактовая, (между улица Пушкина и улица Песчаная) ВТС «Зенит»",,,7/11/2012,,
103,"ООО ""ИНТЕГРАЦИЯ""                  ИНН 3801011680 "," 665806, г. Ангарск, микрорайон 17, дом 24",Продлен срок действия лицензии на 1 год с 12.07.2011 до 12.07.2012         А 167419 № 77 от 08.09.2010  ,"г. Ангарск, микрорайон 17, дом 24, магазин «Лагуна»",,,7/12/2012,,
104,ООО «МК»                    ИНН 3801016897," 665824, г. Ангарск, квартал 225, дом 1",Продлен срок действия лицензии на 1 год с 13.07.2011 до 13.07.2012       А 176642 № 119 от 01.07.2011 (взамен: А 232884 № 105 от 13.07.2006 с 13.07.2006 до 13.07.2011) ,"1) г. Ангарск, микрорайон 11, возле дома № 7, ВТС павильон «Одиннадцатый» 2) г. Ангарск, микрорайон 15, дом 36а, магазин ""Марина"" ",,,7/13/2012,,
105,ООО «РОДНИК» ИНН 3801105875," 665854, Ангарский район, р.п. Мегет, улица Песчаная, 39",продлен срок действия лицензии на 1 год с 14.07.2011 до 14.07.2012       А 167379 № 43 от 14.07.2010 ,"Ангарский район, р.п. Мегет, квартал 1, дом 23, магазин «Родник» ",,,7/14/2012,,
106,ООО «Еловская избушка»                  ИНН 3808211150,"г. Иркутск, улица 5-й Армии, 31-5",Зарегистрирована в Реестре на территории АМО № 126 от 14.07.2011 АН 00742 от 09.07.2010 38МЕ003727 продлен срок действия лицензии по 11.07.2012,"Ангарский район, 1855 км. трассы Новосибирск-Иркутск, закусочная",,,,,Администрацией г. Иркутска 
107,ООО «24 часа» ИНН 3801082032," 665832, г. Ангарск, микрорайон 6 «а», дом 29",А 176648 № 128 от 15.07.2011 1 год с 15.07.2011 до 15.07.2012,"г. Ангарск, микрорайон 6 «а», дом 29, Магазин «Продукты 24 часа» ",,,7/15/2012,,
108,ООО «ОНГ»          ИНН 3801016424," 665835, г. Ангарск, микрорайон 29, дом 3",А 176650 № 129 от 15.07.2011 с 15.07.2011 до 15.07.2012,"1) г. Ангарск, квартал 74, дом 5, помещение 53, закусочная  «Сударушка» 2) г. Анагрск, микрорайон 29, дом 3, магазин «Медео»,  кафе ""Бистро"" 3) г. Анагарск, квартал 74, дом 5, помещение 54,  магазин «Сударушка», отдел ""Вино-водка""",,,7/15/2012,,
109,ООО «Лера»       ИНН 3801083195," 665831, г. Ангарск, микрорайон 8, дом 11",Продлен срок действия лицензии на 1 год с 18.07.2011 до 18.07.2012       А 176655 № 132 от 18.07.2011 (взамен: А 232886 № 108 от 17.07.2006),"г. Ангарск, микрорайон 8, дом 11, магазин «Продукты» ",,,7/18/2012,,
110,"ООО ""АНГАРСКОЕ ОПТОВО-КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ"" ИНН 3801042953","665821, г. Ангарск, квартал 100, дом 9",А 176659 № 134 от 26.07.2011 4 года с 26.07.2011 до 29.07.2015,"1) г. Ангарск, микрорайон Старо-Байкальск, улица 2-я Московская, 13, магазин «Московский» 2) г. Ангарск, квартал 100, дом 9, магазин ""Пекарня"" 3) г. Ангарск, пр. Ленинградский, микрорайон 29 у домов № 9 и 19, магазин «Феникс» 4) г. Ангарск, квартал 100, дом 9, кафе «Мельбург»",,,,,
111,ООО «Левонен» ИНН 3801083607," 665822, г. Ангарск, микрорайон Китой, улица Советская, 1",Продлен срок действия лицензии на 1 год с 21.07.2011 до 21.07.2012    А 167234 № 34 от 21.08.2008 г. 5 лет с 21.07.2006 г.,"1) г. Ангарск, микрорайон Китой, улица Советская, 1, магазин «Народный» 2) г. Ангарск, микрорайон Китой, улица Советская, 1, магазин «Родник» ",,,7/21/2012,,
112,ООО «Триумф» ИНН 3801081712," 665830, г. Ангарск, улица К.Маркса, 63","А 176662 № 137 от 26.07.2011, 1год с 26.07.2011 до 26.07.2012","г. Ангарск, улица К.Маркса, 63, кафе-клуб «Триумф»",,,7/26/2012,,
113,ООО «КРЕДО» ИНН 3801082723," 665830, г. Ангарск, улица Ленина, 46","А 176657 № 138 от 26.07.2011, 1год с 26.07.2011 до 26.07.2012","1) г. Ангарск, улица Ленина, 46, магазин «Ангарские ворота» 2) г. Ангарск, квартал 91, дом 16, магазин «Светлана» ",,,7/26/2012,,
114,ООО «Ладога» ИНН 3801070492," 665824, г. Ангарск, квартал 206, дом 3","А 176660 № 139 от 26.07.2011, 1 год с 26.07.2011 до 26.07.2012","г. Ангарск, квартал 206, дом 3, кафе «4х4»",,,7/26/2012,,
115,ООО «ТЕКО»         ИНН 3801083117," 665824, г. Ангарск, улица Фестивальная, 11",Продлен срок действия лицензии на 1 год с 24.07.2011 до 24.07.2012    А 176665 № 140 от 24.07.2011(взамен А 232895 № 116 от 24.07.2006) ,"г. Ангарск, улица Фестивальная, 11, магазин «Продукты «Для Вас»",,,7/24/2012,,
116,ООО «СТАН» ИНН 3801075941," 665830, г. Ангарск, квартал 75, дом 21",А 176778 № 53 от 07.06.2012 с 27.07.2011 до 27.07.2013   (взамен А 176658 № 141 от 27.07.2011) ,"1) г. Ангарск, квартал 75, дом 21, кафе «Киото» 2) г. Ангарск, квартал 75, дом 21, кафе «Бирхаус»",,,,,
117,ООО «ФИРМА «АНОЛЕС»                       ИНН 3801080564," 665832 г. Ангарск, улица Крупской, 24",Продлен срок действия лицензии на 2 года с 24.07.2011 до 24.07.2013 А 167392 № 521 от 11.08.2010 ,"1) г. Ангарск, улица Крупская, 24, магазин «На Крупской» 2) г. Ангарск, микрорайон 12 «а», дом 6, магазин «Колос» 3) г. Ангарск, улица Московская, 54,  магазин «Синенький» 4) г. Ангарск, квартал 87, дом 1, кафе « Щелкунчик» 5) г. Ангарск, квартал 87, дом ?, ТЦ «Щелкунчик», магазин «Принц» 6) г. Ангарскулица О.Кошевого, 32, магазин «Бычий рог» ",,,,,
118,ООО «МариС» ИНН 3801082184,"665825, г. Ангарск, квартал 92/93, дом 1, помещение 119",А 176678 № 146 от 28.07.2011 (продлен срок действия лицензии на 1 год с 20.06.2011 до 20.06.2012       А 176624 № 101 от 20.06.2011 (взамен: А 232823 № 39 от 20.06.2006 5 лет с 20.06.2006)," г. Ангарск, квартал 92/93, дом 1, помещение 119, магазин ""Ассорти""",,,6/20/2012,,
119,ЗАО «Мясопродукты» ИНН 3801094461," 665813, г. Ангарск, квартал 108, строение 1",А 176675 № 149 от 27.07.2011 (взамен: А 167441 № 104 от 18.11.2010) до 16.05.2013,"г. Ангарск, квартал 37, дом 1, помещение 13, магазин «Иркутский» ",,,,,
120,ООО «Эко-маркет»                           ИНН 3801107978," 665806, г. Ангарск, квартал 19, дом 7, помещение 21",№ 152 А 176683 13.08.2011 продлен срок лицензии на 1 год с 13.08.2011 до 13.08.2012 (взамен: А 167401 № 61 от 13.08.2010 г. с 13.08.2010 г. до 13.08.2011 г.),"г. Ангарск, Микрорайон 6 «а», дом 25, универсам «Эконом-5» ",,,,,
121,ООО «Зернышко» ИНН 3801107738," 665832, г. Ангарск, микрорайон 7, дом 36",13.08.2011 продлен срок действия лицензии на 1 год с 13.08.2011 до 13.08.2012 А 176608 № 82 от 10.06.2011 (взамен: А 167408 № 68 от 13.08.2010) с 13.08.2010 до 13.08.2011,"г. Ангарск, квартал 278, дом 3, универсам «Эконом-15» ",,,,,
122,ООО «Рябинушка» ИНН 3801107713," 665832, г. Ангарск, микрорайон 7 «а», дом 8, помещение 79",13.08.2011 продлен срок действия лицензии на 1 год с 13.08.2011 до 13.08.2012 А 176598 № 69 от 23.05.2011 (взамен: А 167400 № 60 от 13.08.2010) с 13.08.2010 до 13.08.2011,"г. Ангарск, микрорайон 7 «а», дом 8, помещение 79, универсам «Эконом-14» ",,,,,
123,ООО «Колосок – М» ИНН 3801108026," 665825, г. Ангарск, квартал 93, дом 100",13.08.2011 продлен срок действия лицензии на 1 год с 13.08.2011 до 13.08.2012 А 176607 № 83 от 10.06.2011 (взамен: А 167407 № 67 от 13.08.2010) с 13.08.2010 г. до 13.08.2011 ,"г. Ангарск, микрорайон 29, дом 2, универсам «Континент-5» ",,,,,
