"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Ангарскому МО",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
18,ООО «Фирма «Круг»               ИНН 380105830," 665816, г. Ангарск, улица Саянская, 3а-22",28.05.2009 г. продлен срок действия лицензии на 5 лет до 28.05.2014    А 232527 № 41 от 28.05.2004 г. 5 лет,"1) г. Ангарск, улица Энгельса, бар «Театральный» в ДК «Современник» 2) г. Ангарск, улица Энгельса, бар «Солнышко» в ДК «Современник» 3) г. Ангарск, улица Энгельса, бар «КТЗ» в ДК «Современник»",,,,,
19,ООО «Апельсин» ИНН 3801102874," 665831, г. Ангарск, квартал 123, строение 10",А 167296 № 31 от 28.05.2009 г. 5 лет с 28.05.2009 г. до 28.05.2014,"г. Ангарск, квартал 123, строение 10, гипермаркет «Апельсин»",,,,,
20,ООО «Маяк» ,"664081, г. Иркутск, улица Лыткина, 66, офис 6",зарегистрирована в Реестре на территории АМО № 68 от 21.06.2012 АН00545Пр18 от 04.05.2012 38 МЕ 003983 с 28.11.2008 г. по 27.11.2013 ,"1) г. Ангарск, микрорайон 8, дом 10, помещение 124, супермаркет «Слата» 2) г. Ангарск, микрорайон 33, дом 15, магазин ",,,,,Администрацией г. Иркутска
21,ООО «НЕДР» ИНН 3801101180," 665813, г. Ангарск, улица Файзулина, 5 «а» - 5",А 167302 № 39 от 23.06.2009 г. 5 лет с 23.06.2009 г. до 23.06.2014,"г. Ангарск, улица Иркутская, 20, магазин «Недр», отдел «Вино-водка»",,,,,
22,ООО «ПродЭконом» ИНН 3801102828," 665834, г. Ангарск, микрорайон 15-21, пом. 49",А 167305 № 42 от 29.06.2009 г. 5 лет с 29.06.2009 г. до 29.06.2014,"г. Ангарск, микрорайон 15, дом 21, универсам «Эконом-7» ",,,,,
23,ООО «Торговый дом «СибРосс» ИНН 3801058872," 665816, г. Ангарск, квартал 177-16 ",Продлен срок действия лицензии 16.07.2009 г. на 5 лет  до 16.07.2014  А 232554 № 67 от 16.07.2004 г. 5 лет,"1) г. Ангарск, квартал 177-16, отдел «Продукты» в магазине «Силуэт» 2) г. Ангарск, квартал 212/219, магазин «Любимый»  ",,,,,
24,ООО «Орфей» ИНН 3801100517," 665813, г. Ангарск, квартал 106, дом 1, кв. 20",А 176782 № 60 от 20.06.2012 5 лет с 31.07.2009  до 31.07.2014 (взамен: А 167313 № 52 от 31.07.2009)  ,"1) г. Ангарск, квартал 95, улица Горького, кафе «Звезда Востока» 2) г. Ангарск, улица Восточная, 14, магазин «Русь» 3) г. Ангарск, микрорайон 7, строение 8А, закусочная ""Шалаш""",,,,,
25,ООО «Сиб-Ойл-Сервис»             ИНН 3801047824," 665830, г. Ангарск, квартал 78, д. 3",10.08.2009 г. продлен срок действия лицензии на 5 лет до 10.08.2014 г. А 232557 № 70 от 10.08.2004 г.,"Ангарский район, 1860 км. автодороги Новосибирск-Иркутск, строение 3, закусочная «Сибирский трактир» (запрет более 15 %)",,,,,
26,ООО «Сибирская торговая компания»           ИНН 3801101831," 665813, г. Ангарск, квартал 84, дом 14, офис 1",А 167319 № 59 от 26.08.2009 г. 5 лет с 26.08.2009 г. до 26.08.2014,"г. Ангарск, квартал 86, дом 14,  магазин «У парка» ",,,,,
27,ООО «Гранд» ИНН 3801058664," 665813, г. Ангарск, улица К. Маркса, 46 ",07.09.2009 г. продлен срок действия лицензии на 5 лет до 07.09.2014 г.  А 232564 № 77 от 07.09.2004 г. 5 лет,"г. Ангарск, улица К. Маркса, 46, магазин «Карлен» ",,,,,
28,ООО «Вечерний экспресс»                  ИНН 3801102842," 665830, г. Ангарск, квартал 51, дом 23, помещение 9",А 167326 № 61 от 15.09.2009 г. 5 лет с 15.09.2009 г. до 15.09.2014,"г. Ангарск, квартал 51, дом 23, помещение 9 кафе «Вечерний экспресс» ",,,,,
29,ООО «Рада»                   ИНН 3801101091," 665803, г. Ангарск, микрорайон Майск, улица Тельмана, 3",А 167323 № 63 от 17.09.2009 г. 5 лет с 17.09.2009 г. до 17.09.2014,"Заларинский район, с. Бабагай, улица Вятская, 4 «а», магазин «Жасмин»",,,,,
30,ООО «Айдан» ИНН 3801104039," 665829, г. Ангарск, микрорайон 10, дом 41, кв. 1",А 167329 № 68 от 12.10.2009 г. 5 лет с 12.10.2009 г. до 12.10.2014,"г. Ангарск, квартал 215, строение 215, строение 1, продсклад 19, отдел «Вино-водка»",,,,,
31,ООО «Регион» ИНН 3801066224," 665806, г. Ангарск, квартал 28-29, дом 2",А 167336 № 78 от 02.12.2009 г. 5 лет с 02.12.2009 г. до 02.12.2014,"1) г. Ангарск, квартал 28-29, дом 2, культурно-развлекательный центр «Победа», бар (диско-зал)                                                                                            2) г. Ангарск, квартал 28-29, дом 2, культурно-развлекательный центр «Победа», бар (диско-зал)                                                                                                      3) г. Ангарск, квартал 28-29, дом 2, культурно-развлекательный центр «Победа», бар (диско-зал)",,,,,
32,ООО «Гранд Плюс»                      ИНН 3801102786," 665808, г. Ангарск, микрорайон 29, дом 19, помещение 31",А 167337 № 79 от 07.12.2009 г. 5 лет с 07.12.2009 г. до 07.12.2014,"г. Ангарск, микрорайон 29, дом 19, помещение 31, кафе «Абсент»",,,,,
33,ООО «Метелица-Сиб»                  ИНН 3801061836," 665813, г. Ангарск, улица К. Маркса, 49",А 167342 № 86 от 25.12.2009 г. 5 лет с 25.12.2009 г. до 25.12.2014,"г. Ангарск, улица Карла Маркса, 49, бар в кинотеатре «Мир@макс»",,,,,
34,ООО «Дионис» ИНН 3801105829," 665841, г. Ангарск, микрорайон 17,  дом 20 «а»",А 167346 № 2 от 26.01.2010 г. 5 лет с 26.01.2010 г. до 26.01.2015,"г. Ангарск, микрорайон 17, дом 20 «а», кафе «Крит»",,,,,
35,ООО «СибПродукт» ИНН 3801103204," 665813, г. Ангарск, квартал 86, дом 2",А 167352 № 9 от 08.02.2010 г. 5 лет с 03.07.2009 г. до 03.07.2014,"г. Ангарск, квартал 86, дом 2, универсам «Эконом-10»",,,,,
36,ООО «Мария» ИНН 3801101937,"665831, г. Ангарск, квартал 271, дом 5, строение 50",А 167359 № 16 от 03.03.2010 г. 5 лет с 07.05.2009 г. до 07.05.2014,"1) г. Ангарск, квартал 271, дом 5, строение 50, магазин «Зернышко» 2) г. Ангарск, микрорайон 15, дом 54, помещение 116, магазин «Экономный» ",,,,,
37,ООО «Квант» ИНН 3801092859," 665806, г. Ангарск, улица Олега Кошевого, 19",А 167361 № 19 от 05.03.2010 г. 5 лет с 29.12.2007 г. до 29.12.2012,"1) г. Ангарск, улица Олега Кошевого, 19, «Центральный рынок» кафе «Лола»  (запрет более 15 %) 2) г. Ангарск, улица Карла Маркса, 49, кафе «Синемаплейс»",,,,,
38,ООО «Альфа-Вино Байкал»                     ИНН 3801101060," 665821, г. Ангарск, микрорайон Старо-Байкальск, улица 2-я Московская, лит. А.8, стр. 33 ж/4, помещение № 1",А 167370 № 32 от 18.05.2010 г. 17.04.2009 г. по 16.04.2014 ,"1) г. Ангарск, квартал 107, дом 9, помещение 62, магазин «Радужный», отдел «Вино-водка» 2) г. Ангарск, квартал 108, дом 28, магазин «Белоречье-5», отдел «Вино-водка» 3) г. Ангарск, микрорайон 13, дом 33, ТЦ «Мега», отдел «Вино-водка» 4) г. Ангарск, улица О.Кошевого, 19, Центральный рынок, отдел «Вино-водка» 5) г. Ангарск, микрорайон 22, дом 13, помещение 104, магазин «Вино-водка» 6) г. Ангарск, квартал 219, дом 13, помещение 319, магазин 7) г. Иркутск, улица Богдана Хмельницкого, 1, магазин 8) г. Ангарск, квартал 81, дом 3, помещение 1, отдел «Вино-водка» в торговом зале торгового комплекса «Центр»  ",,,,,
39,ООО «ЯНТАРЬ» ИНН 3812079345,"664043, г. Иркутск, улица Доржи Банзарова, 6",А 167373 № 35 от 08.06.2010 г. с 25.10.2009 г. по 24.10.2014 г.                                                     23.10.2009 г. продлен срок действия лицензии до 25.10.2014 г.,"1) г. Ангарск, квартал 179, дом 15, магазин «Янтарь»                                                                    2) г. Ангарск, микрорайон 19, дом 3, магазин «Янтарь»  3) г. Ангарск, улица К. Маркса,1, магазин № 25 «Янтарь» 4) г. Ангарск, микрорайон 6 «а», дом 27, магазин «Янтарь»  ",,,,,
40,ООО «АССОРТИ» ИНН 3801046796," 665831, г. Ангарск, микрорайон 8, дом 8, помещение 11",09.12.2009 г. продлен срок действия лицензии по 08.12.2014 г. А 167374 № 36 от 08.06.2010 г. с 09.12.2009 г.  по 08.12.2014  ,"г. Ангарск, микрорайон 8, дом 8, помещение 11, магазин «Туя»",,,,,
41,ООО «Олекса» ИНН 3801090900," 665832, г. Ангарск, микрорайон 7, дом 8 «а»",А 167375 № 37 от 15.06.2010 г. 5 лет с 28.09.2009 г. по 27.09.2014 г. ,"1) г. Ангарск, квартал 206, дом 5, бар 2) г. Ангарск, микрорайон 22, у дома № 12, закусочная «Остров свободы» ",,,,,
42,ООО «СИБУНИВЕРСАЛ»                               ИНН 3801059347 ," 665841, г. Ангарск, микрорайон 18, дом 4, магазин «Универсам», офис",А 167411 № 59 от 18.08.2010 г. с 17.06.2009 г. до 17.06.2014 г. 17.06.2009 г. продлен срок действия лицензии до 17.06.2014 г.,"1) г. Ангарск, микрорайон 18, дом 4, закусочная в магазине «Универсам» 2) г. Ангарск, микрорайон 18, дом 4, магазин «Универсам», отдел «Вино-водка» 3) г. Ангарск, микрорайон 22, дом 13, в магазине ""Империал», отдел «Вино-водка» 4) г. Ангарск, микрорайон 13, Ангарский проспект, у дом 10, ТД «Город А», отдел «Вино-водка» 5) г. Ангарск, квартал 85, дом 24, магазин «Олимпиада», отдел «Вино-водка» 6) г. Ангарск, микрорайон 19, у дома 9, отдел «Вино-водка» в магазине «Новый» 7) г. Ангарск, микрорайон 8, дом 2, магазин «Центральный», отдел «Вино-водка»",,,,,
43,ООО «АлкоСтиль» ИНН 3801104078," 665813, г. Ангарск, квартал 125, строение 1/13, офис 3",А 167420 № 78 от 08.09.2010 г. с 02.10.2009 г. до 02.10.2014 г.,"1) г. Саянск, микрорайон «Центральный», 14/1, Торговый комплекс «Центральный», отдел «Вино-водка», 2) г. Иркутск, улица Украинская, 10, магазин «Продукты» 3) г. Иркутск, улица Трактовая, 35 «Б», отдел в магазине  ", ,,,,
44,ООО «ИНГУЗ» ИНН 3801104141," 665809, г. Ангарск, Цемпоселок, улица Лесная, 2, общежитие",А 167448 № 112 от 01.12.2010  с 30.11.2009 г. до 30.11.2014 г.,"1) г. Ангарск, микрорайон 17, улица Рыночная, магазин «Сибирский», отдел «Вино-водка» 2) г. Ангарск, квартал 254, строение 1, ТЦ «Восток», отдел «Вино-водка»",,,,,
45,ООО «Водолей» ИНН 3801092640," 665831, г. Ангарск, микрорайон 8, дом 91, квартира 97",А 167450 № 115 от 09.12.2010 г. с 31.01.2008 г. до 31.01.2013 г.,"г. Ангарск, микрорайон 6 «а», дом 25, магазин «Ангарский», отдел «Вино-водка» ",,,,,
46,ООО «Абсолют+» ИНН 3801100683," 665816, г. Ангарск, микрорайон 33, дом 9, офис 1",А 167456 № 120 от 10.12.2010  с 17.06.2009 до 17.06.2014 ,"1)г. Анагрск,  квартал 188, дом 20, магазин «Горизонт-3» 2) г. Ангарск, микрорайон 29, дом 22, универсам «Горизонт-1» 3) г. Ангарск, микрорайон 6, дом 11, магазин «Абсолют» 4) г. Ангарск, микрорайон 33,  дом 9 «Е», магазин «Любимые продукты» 5) г. Ангарск, квартал 189, дом 15, помещение 37, универсам «Горизонт» (запрет более 15 % п. 3)",,,,,
47,ООО «ДиМ» ИНН 3801098459," 665824, г. Ангарск, квартал А, дом 15, квартира 10",А 167459 № 125 от 12.2010 г. с 27.10.2008 г. до 27.10.2013 ,"г. Ангарск, микрорайон 13, павильон «Продукты» ",,,,,
48,ООО «ПРОИЗВОДСТВЕННО-ТОРГОВАЯ ФИРМА «АНГАРСКИНВЕСТСТРОЙ» ИНН 3801006747," 665813, г. Ангарск, квартал 125, строение 1, 1",А 167462 № 128 от 31.12.2010 г.  до 01.09.2013 г. 25.08.2008 г. срок действия лицензии продлен до 01.09.2013 г.,"г. Ангарск, квартал 205, дом 8, кафе ""Зебра""",,,,,
49,ООО «Продуктовая корзина»                     ИНН 3801103099," 665830, г Ангарск, квартал 108, строение 5/6",А 167465 № 5 от 21.01.2011 г.  с 30.06.2009 до 30.06.2014 ,"г. Ангарск, квартал 108, строение 5/6, универсам  «Эконом»",,,,,
