"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Эхирит-Булагатский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
13,"Общество с ограниченной ответственностью ""Стандарт-Алко"",  8506010865",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,38 МЕ 000795 от 07.03.2007г. до 07.03.12г. ,"магазин ""Городок"" - Эхирит-Булагатский район, п. Усть-Ордынский, пер. Гаражный, № 2",,,06.03.12г.,,,
14,"Общество с ограниченной ответственностью ""Рябинка"",  8506011330",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176294 от 12.03.2012г. До 19.12.2012г. Вместо А 244943 ,"магазин ""Орион"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, № 73",,,,,,
15,"Областное государственное унитарное предприятие ""Бизнес-Центр Байкал"", ИНН 8506007510",Межрайоннная ИФНС № 7 по Иркутской области,А 176253 от 16.03.2011г. До 15.03.2012г.,"ресторан ""Байкал""- Иркутская область,Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, № 24",,,16.03.12г.,,,
16,"Усть-Ордынское поселковое потребительское общество,   8506004861       ",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176295 от 23.03.2012г до 22.03.2013г.,"магазин № 2-669001,Иркутская область, Эхирит-Булагатский район, п. Усть-Ордынский, ул. Быкова, 2; магазин № 3- п. Усть-Ордынский, ул. Ленина, № 13; магазин № 5- п. Усть-Ордынский, ул. Балтахинова, № 20 ""В""",,,,,,
17,"Общество с ограниченной ответственностью ""Гушиты"",  8506010512",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,38 МЕ 000804 от 28.03.2007г. до 28.03.12г. ,"магазин ""Гушиты"" - Эхирит-Булагатский район, с. Гушиты",,,29.03.12г.,,,
18,"Потребительское общество ""Уряал"", 8506004244",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176254 от 31.03.2011г. До 30.03.2012г.,"столовая ""Уряал""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, № 17; столовая ""Анна""- Эхирит-Булагатский район, п.Усть-Ордынский, ул.Каландарашвили, № 14 ""а""",,,30.03.12г.,,,
19,"Потребительское общество ""Уряал"", 8506004244",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176296 от 03.04.2012г. до 02.04.2013г.,"столовая ""Уряал""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, 17; столовая ""Анна""- Эхирит-Булагатский район, п.Усть-Ордынский, ул.Каландарашвили, № 14 ""а""",,,,,,
20,"Общество с ограниченной ответственностью ""Парус"",  8506010907",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,38 МЕ 000808 от 04.04.2007г. до 04.04.12г. ,"магазин ""Парус"" - Эхирит-Булагатский район, с. Зады",,,04.04.2012 г.,,,
21,"Областное государственное унитарное предприятие ""Бизнес-Центр Байкал"", ИНН 8506007510",Межрайоннная ИФНС № 7 по Иркутской области,А 176297 от 04.04.2012г. До 03.04.2013г.,"ресторан ""Байкал""- Иркутская область,Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, 24",,,,,,
22,"Общество с ограниченной ответственностью ""Ирина"", ИНН 8506009485",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176261 от 06.06.2011г. До 10.04.2012г. Вместо лицензии  А 176256,"Иркутская область, Эхирит-Булагатский район, с. Корсук- магазин ""Ирина"";  Эхирит-Булагатский район, п. Усть-Ордынский, ул. 50 лет Октября, № 50-1 - магазин ""Рубин. ",,,11.04.2012 г.,,,
23,"Общество с ограниченной ответственностью ""Заря"", ИНН 8506010946",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176264 от 23.06.2011г. до 18.04.2012г. вместо лицензии А 244954,"павильон ""Вояж""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Каланждарашвили, № 42; торговый павильон ""Микор""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Мичурина, № 1 ""в"".",,,19.04.2012 г.,,,
24,"Общество с ограниченной ответственностью ""Фаина"",  8506010872",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,38 МЕ 000825 от 19.04.2007г. до 19.04.12г. ,"магазин ""Фаина"" - Эхирит-Булагатский район, с.Капсал, ул. Ербанова, № 11""а""",,,19.04.2012 г.,,,
25,"Общество с ограниченной ответственностью ""Виктория"",  8506010720",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176298 от 17.05.12 г.до 19.06.12г. Продлена до 19.06.2013 г.,"магазин ""Нива"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул.Ленина, № 6; магазин ""Янта""- п. Усть-Ордынский, ул. Каландаришвили, № 13; магазин ""Мини-Маркет""- п. Усть-Ордынский, ул. Ленина, 53 А",,,,,,
26,"Общество с ограниченной ответственностью ""Стандарт-Алко"",  3808154328",ИФНС по Правобережному округу г. Иркутска,38 МЕ 004015 от 05.06.2012 г. до 09.12.2013 г. вместо 38 МЕ 003973,"магазин- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Буденного, № 8; магазин- п. Усть-Ордынский, ул. Ленина, № 23-6; магазин-п. Усть-Ордынский, ул. Калинина, 35; магазин- п. Усть-Ордынский, ул. Советская, 13 А;  магазин- п. Усть-Ордынский, ул. Каландарашвили, 91; отдел магазина- п. Усть-Ордынский, ул. 50 лет Октября, 66; отдел магазина- п. Усть-Ордынский, ул. Октябрьская, 67; отдел магазина- п. Усть-Ордынский, пер. Звездный, 5 ""а""; отдел магазина- п. Усть-Ордынский, ул. Дорожная, 7; отдел магазина- с. Тугутуй, ул. Советская,82.",", ",,,,Администрация г. Иркутска,
27,"Общество с ограниченной ответственностью ""Лига"", ИНН 8506009965",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176252 от 04.03.2011г. продлена до 23.05.2012г.,"магазин ""Лига""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Каландаришвили, № 39; кафе ""Лига""- п. Усть-Ордынский, ул. Каландаришвили, № 39 ""а"".",,,24.05.2012 г.,,,
28,"Общество с ограниченной ответственностью ""Чайка"", ИНН 8506010061",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176005 от 04.02.2010г. Продлена до 25.05.2012г.,"магазин ""Чайка""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Мира, № 9 ""а""",,,28.05.2012 г.,,,
29,"Общество с ограниченной ответственностью ""Восторг"",  8505006545",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,38 МЕ 000878 от 25.05.2007г. до 25.05.12г. ,"магазин ""Зеленый"" - Эхирит-Булагатский район, п. Усть-Ордынский, пер. Первый Октябрьский, № 11",,,28.05.2012 г. ,,Лицензионная палата УОБАО (с.Оса),
30,"Общество с ограниченной ответственностью ""Чайка"", ИНН 8506010061",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176299 от 30.05.2012 г.  до 29.05.2014г.,"магазин ""Чайка""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Мира, № 9 ""а""",,,,,,
31,"Общество с ограниченной ответственностью ""Соверен"", ИНН 3811105521",ИФНС по Октябрьскому округу города Иркутска,А 176257 от 27.04.2011г. До 30.05.2012г. вместо А 244962,"магазин ""Наран""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, № 17 ""а""",,,30.05.2012 г.,,,
32,"Общество с ограниченной ответственностью ""Русиновское"", ИНН 8506010008",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 244953 от 19.02.2009г. продлена до 01.06.2012г.,"магазин ""Продукты""- Эхирит-Булагатский район, с. Тугутуй, ул. Советская, № 94; магазин ""Ветеран""- с. Тугутуй, ул. Степная, № 27.",,,01.06.2012 г.,,,
33,"Общество с ограниченной ответственностью ""Жемчуг"", ИНН 8506010128",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176262 от 15.06.2011г. До 14.06.2012г.,"магазин ""Жемчуг""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Буденного, № 3",,,15.06.2012 г.,,,
34,"Общество с ограниченной ответственностью ""Радуга"", ИНН 8506010189",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176263 от 16.06.2011г. До 15.06.2012г.,"отдел магазина - Эхирит-Булагатский район, с. Гаханы",,,15.06.2012 г.,,,
35,"Общество с ограниченной ответственностью ""У Саши"",  8506011026",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,38 МЕ 000895 от 18.06.2007г. до 18.06.12г. ,"магазин ""У Саши"" - Эхирит-Булагатский район, с. Кукунуты",,,19.06.2012 г.,,,
36,"Общество с ограниченной ответственностью ""Фортуна"", ИНН 8506010135",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176010 от 07.06.2010г. Продлена до 22.06.2012г.,"магазин ""Фортуна""- Эхирит-Булагатский район, п. Усть-Ордынский, ул. Октябрьская, № 82 ""а""",,,22.06.2012 г.,,,
37,"Общество с ограниченной ответственностью ""Василиса"",  8506010110",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176265 от 29.06.2011г. До 28.06.2012г.,"магазин ""Василиса"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, № 50 ""в""",,,28.06.2012 г.,,,
38,"Общество с ограниченной ответственностью ""Идыгинская долина"", ИНН 3849006015",Межрайоннная ИФНС № 17 по Иркутской области ,А 176268 от 30.06.2011г. До 29.06.2012 г.,"магазин - Иркутская область, Эхирит-Булагатский район, д. Нижняя Идыга, ул. Шабагановская, 4",,,29.06.2012 г.,,,
39,"Общество с ограниченной ответственностью ""Престиж"", ИНН 8506010350",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176269 от 04.07.2011г.до 03.07.2012 г.,"отдел магазина - Эхирит-Булагатский район,с. Харат, ул. Школьная, № 8; отдел магазина - Эхирит-Булагатский район, с. Верхний Кукут, ул. Российская, № 82",,,7/3/2012,,,
