"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Эхирит-Булагатский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
70,"Общество с ограниченной ответственностью ""Эдельвейс"",  8506011266",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176021 от 03.11.2010г.до 03.07.14г. вместо лицен. А 176009 ,"магазин ""Светлана"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Первомайская, № 8 ""г""; магазин ""Эдельвейс""- п. Усть-Ордынский, ул. Каландарашвили, № 82 ""а""",,,,,,
71,"Общество с ограниченной ответственностью ""Восточный прогресс"",  8502003850",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 167591 от 27.12.2010г.до 21.05.14г. зарегистрирована от 17.01.2011г. Регистрационный № 2 ,"магазин ""Солнышко"" - Эхирит-Булагатский район, с. Тугутуй, ул.Советская, № 78; магазин ""Солнышко"" - д. Камой",,,,,"Администрацией Мо ""Баяндаевский район""",
72,"Федеральное государственное унитарное предприятие ""Элита""академии сельскохозяйственных наук  8506002889 ",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176012 от 29.06.2010г.до 11.08.14г. вместо лицен. А 176001 ,"магазин ""Лаванда"" - Эхирит-Булагатский район, с.Захал, ул. Свердлова, № 43; магазин- п. Свердлово, ул. Советская, № 48; магазин- д. Еловка, ул. Юбилейная, № 15; магазин ""Березка""- д. Куяда, ул. Мира, № 12 ""а""",,,,,,
73,"Общество с ограниченной ответственностью ""Эрика+"",  3811098465",ИФНС по Октябрьскому округу г. Иркутска,А 176008 от 04.05.2010г.до 10.11.14г. вместо лицен. А 176003 ,"кафе ""Далар"" - Эхирит-Булагатский район, 66 км автодороги Иркутск-Качуг; ;магазин ""Бахай""- п. Усть-Ордынский, ул.50 лет Октября, № 17 ; магазин - п. Усть-Ордынский, ул.50 лет Октября, № 47; магазин - п. Усть-Ордынский, ул. Доржи Банзарова, № 76",,,,,,
74,"Общество с ограниченной ответственностью ""РоманТик"",  3812123717",Межрайоннная ИФНС № 17 по Иркутской области,38 МЕ 003759 от 01.08.2011г.до 26.01.15г. вместо лицен. 38 МЕ 003537,"Эхирит-Булагатский район: магазин- п. Усть-Ордынский, ул.Ербанова, № 13 ""в""; отдел магазина- п. Усть-Ордынский, ул. Балдынова, № 1; отдел магазина- п. Усть-Ордынский, ул. 8 Марта, № 56",,,,,Администрация г. Иркутска,
75,"Общество с ограниченной ответственностью ""Русиновское"", ИНН 8506010008",Межрайоннная ИФНС № 7 по Иркутской области и УОБАО,А 176300 от 06.06.2012 г. до 05.06.2014г.,"магазин - Эхирит-Булагатский район, с. Тугутуй, ул. Советская, 94;",,,,,,
76,"Общество с ограниченной ответственностью ""Рябинка"",  3849011375",Межрайоннная ИФНС № 17 по Иркутской области,А 176301 от 08.06.2012 г.до 07.06.2015 г. ,"магазин  - Эхирит-Булагатский район, п. Бозой, ул.Ленина, № 30 ""А""",,,,,,
77,"Общество с ограниченной ответственностью ""Фортуна"", ИНН 8506010135",Межрайоннная ИФНС № 16 по Иркутской области,А 176305 от 02.07.2012  до 01.07.2013,"магазин - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Октябрьская, 82 А.",,,,,,
78,"Общество с ограниченной ответственностью ""Багульник"", ИНН 8506010311",Межрайоннная ИФНС № 16 по Иркутской области ,А 176307 от 09.07.2012 г. до 08.07.2014г.,"магазин - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Бардаханова, 26.",,,,,,
79,"Общество с ограниченной ответственностью ""Восток"",   ИНН 8506006587",Межрайоннная ИФНС № 16 по Иркутской области ,А 176309 от 24.07.2012 г. до 23.07.2013г.,"магазин ""Восток"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Ленина, 50 ""Б"".",,,7/24/2012,,,
80,"Общество с ограниченной ответственностью ""Солнышко"",   ИНН 8506009764",Межрайоннная ИФНС № 16 по Иркутской области ,А 176306 от 09.07.212 г. до 08.07.2017г.,"магазин ""Солнышко"" - Эхирит-Булагатский район, п. Усть-Ордынский, ул. Балтахинова, 27.",,,,,,
81,"Общество с ограниченной ответственностью ""Кедр"", ИНН 8506010294",Межрайоннная ИФНС № 17 по Иркутской области,А 176310 от 24.07.2012 г.до 23.07.2013 г. ,"магазин ""Кедр-3""  - Эхирит-Булагатский район, п. Усть-Ордынский, ул.Хангалова № 22;                            магазин ""Марс-2""  - Эхирит-Булагатский район, п. Усть-Ордынский, ул.Кирова, 56;                       магазин ""Марс-4""  - Эхирит-Булагатский район, п. Усть-Ордынский, микрорайон, № 4 ""а"".",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
