№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Юником""",6722013673,1026700854180,"215116, Смоленская область, г. Вязьма, ул. Пушкина, д. 25, строение 1","215100, Смоленская область, г. Вязьма, микрорайон Березы, д. 2 (магазин), без ограничений",№ 728                В 317881                (Б 004917),17 июня 2011,до 05 мая 2016,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. Строителей, д. 6(магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215500, Смоленская область, г. Сафоново, ул. Советская, д. 47, строение №5 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. Пушкина, д. 25, строение 1 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. Мира, д. 69 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, Дворцовый переулок, д. 1 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. Ленина, д. 56 (склад), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. П. Осипенко, д. 3-6 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215100, Смоленская область, г. Вязьма, ул. П. Осипенко, д. 31 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
2,"ООО ""Новый общепит ""КОЛОБОК""",6722016699,1046706006236,"215111, Смоленская область, г. Вязьма, площадь Советская, д. 2","215111, Смоленская область, г. Вязьма, ул. Максима Горького, д. 22-а (магазин ""Продуеты"")",№ 707                    Г 245996,20 апреля 2006,по 20 апреля 2011,,,,,,,,,,,,,,,
,,,,,"215111, Смоленская область, г. Вязьма, микрорайон Березы, д. 14 (магазин ""Продукты"")",,,,,,,,,,,,,,,,,,
3,"ООО ""Покров""",6722019210,1066722007175,"215107, Смоленская область, Вяземский район, п. Вязьма-Брянская, ул. Авияционная, 1","215107, Смоленская область, Вяземский район, п. Вязьма-Брянская, ул. Авиационная, д. 1 (магазин), без ограничений",№ 1078                 Б 005852,10 июля 2006,по 10 июля 2011,до 11 июля 2012,,,,,,,,,,,,,,
4,"ООО ""АМФОРА""",6722011757,1026700853937,"215110, Смоленская область, г. Вязьма, ул. Комсомольская, строение №5","215110, Смоленская область, г. Вязьма, ул. Комсомольская, складская зона стр. №5 (магазин), без ограничений",№ 801                 Б 005338,27 января 2011,по 09 июня 2011,,,,,,,,,,,,,,,
,,,,,"215110, Смоленская область, г. Вязьма, ул. Юбилейная, д. 19 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215110, Смоленская область, г. Вязьма, ул. Юбилейная, д. 7 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215110, Смоленская область, г. Вязьма, ул. Ленина, д. 61 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"215110, Смоленская область, г. Вязьма, ул. Космонавтов, д. 10 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
