41180,28-Sep-12,,,,,,,,,,,,,
Орг_Прав_Форма,Краткое Наименование,ИНН,Код_ОКПО,Город,Улица,ГородФ,УлицаФ,Поле86,Номер лиценз,Серия бланка,Бланк,Начало действ лицензии,Конец действия лицензии,Конец Срока Продления
Общество с ограниченной ответственностью,"ООО ""Никадан""",7017118758,,г. Томск,"Рабочая, 66",Верхнекетский район,"п. Степановка, ул. Вахрушева, 1, пом.2",ТОМ,003906АЛ08,70МЕ,1816,12/28/2011,6/7/2013,
Общество с ограниченной ответственностью,"ООО ""Удача""",7004005281,,Верхнекетский район,"п. Белый Яр, ул. Гагарина, д. 41",Верхнекетский район,,ТОМ,005677АЛ00,70МЕ,2305,6/21/2012,6/21/2013,
Общество с ограниченной ответственностью,"ООО ""Промысел""",7017103261,,г. Томск,"пр. Ленина, д.212а",Верхнекетский район,"р.п. Белый Яр, ул. Гагарина, 73",ТОМ,005682АЛ05,70МЕ,2311,5/15/2012,6/15/2015,
Общество с ограниченной ответственностью,"ООО ""Парус""",7004005203,,Верхнекетский район,"р.п. Белый Яр, ул. Таёжная, д. 4 а",Верхнекетский район,,ТОМ,005651АЛ00,70МЕ,2276,6/15/2012,6/15/2013,
Общество с ограниченной ответственностью,"ООО ""МЕГА""",7004005362,,Верхнекетский район,"п. Белый Яр, ул. Гагарина, 62",Верхнекетский район,,ТОМ,005693АЛ00,70МЕ,2323,6/27/2012,6/27/2013,
Общество с ограниченной ответственностью,"ООО ""Стандарт""",7004005370,,Верхнекетский район,"п. Белый Яр, ул. Зеленая , 10",Верхнекетский район,,ТОМ,005699АЛ00,70МЕ,2330,6/28/2012,6/28/2013,
Общество с ограниченной ответственностью,"ООО ""ЛУЧ""",7004005436,,Верхнекетский район,"п. Белый Яр,ул. Ленина,7/А",Верхнекетский район,,ТОМ,005717АЛ00,70МЕ,2356,7/6/2012,7/6/2013,
Общество с ограниченной ответственностью,"ООО ""Елена""",7004005549,,Верхнекетский район,"п. Катайга, ул. Кирова, 43-1",Верхнекетский район,,ТОМ,005748АЛ00,70МЕ,2390,7/18/2012,7/18/2013,
Общество с ограниченной ответственностью,"ООО ""Березка""",7004005404,,Верхнекетский район,"п. Клюквинка, ул. Восточная. д.6, кв.2",Верхнекетский район,"п. Клюквинка, ул. Лесная, д.2д (магазин).",ТОМ,005667АЛ02,70МЕ,2292,7/13/2012,7/13/2013,
Общество с ограниченной ответственностью,"ООО ""Бахус""",7004005394,,Верхнекетский район,"п. Макзыр, пер. Восточный, 4",Верхнекетский район,"636510 пос. Макзыр, пер. Восточный, 2а",ТОМ,005763АЛ01,70МЕ,2409,7/31/2012,7/31/2013,
Общество с ограниченной ответственностью,"ООО ""Лига""",7004005588,,Верхнекетский район,"п. Катайга, ул. Кирова, 24",Верхнекетский район,,ТОМ,004460АЛ00,70МЕ,1981,8/14/2011,8/14/2013,14-Aug-13
