№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
,"(ООО ""Вереск"")",,,,магазин,,"24.06.2011 г., ",,,,,
136,"Общество с ограниченной ответственностью ""Веретея""",1.06761E+12,7620005107,"Россия, Ярославская область, Некоузский район, с. Веретея, ул. Центральная, д.1","1. Ярославская область, Некоузский район, с. Веретея, ул. Центральная, д.1",с 24.10.2011 г. по 24.10.2012 г.,"76202711/Л0632,",,,,,
,"(ООО ""Веретея"")",,,,бар,,"24.10.2011 г., ",,,,,
137,"Общество с ограниченной ответственностью ""Версаче""",1.07761E+12,7606062745,"Россия, г. Ярославль, ул.Чехова,15/95,14","1. г.Ярославль, ул.Свободы,д.62",с 12.12.2007 г. по 12.12.2012 г.,"76202707/Л0156,",,Предыдущее переоформление 03.02.2012 г.,,,
,"(ООО ""Версаче"")",,,,кафе,,"12.12.2007 г., ",,(5) - код 2,,,
138,"Общество с ограниченной ответственностью ""Вершина""",1.0776E+12,7604115416,"Россия, г.Ярославль, Волжская набережная, д.2","1. г.Ярославль, Волжская набережная, д.2, бар №1,2,4",с 27.12.2007 г. по 27.12.2012 г.,"76202707/Л0197,",,Предыдущее переоформление 25.10.2010 г.,,,
,"(ООО ""Вершина"")",,,,бар,,"27.12.2007 г., ",,(4) - код 3,,,
,,,,,"2. г.Ярославль, Волжская набережная, д.2, бар №3",,,,,,,
,,,,,бар,,,,,,,
,,,,,"3. г.Ярославль, Волжская набережная, д.2, бар №5",,,,,,,
,,,,,бар,,,,,,,
139,"Общество с ограниченной ответственностью ""ВЕСКО""",1.0476E+12,7606048885,"г.Ярославль, ул.С.Щедрина, дом 92/11, кв.61.","1. г.Ярославль, Московский проспект, д.97",с 04.07.2011 г. по 04.07.2014 г.,"76202711/0334,",,,,,
,"(ООО ""ВЕСКО"")",,,,закусочная,,"04.07.2011 г., ",,,,,
140,"Общество с ограниченной ответственностью ""Весна плюс""",1.1076E+12,7604193527,"Россия, г.Ярославль, ул. Гоголя, д.19.","1. г.Ярославль, ул. Гоголя, д.19",с 15.06.2011 г. по 15.06.2016 г.,"76202711/Л0255,",,Предыдущее переоформление 09.04.2012 г.,,,
,"(ООО ""Весна плюс"")",,,,магазин,,"15.06.2011 г., ",,"(4) код 4,5",,,
,,,,,"2. г.Ярославль, проспект Ленина, д.13/67",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г.Ярославль, пр-т Фрунзе, д.3",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Ярославский район, д.Ватолино, д.23а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Ярославский район, пос.Ярославка, д.3в",,,,,,,
,,,,,магазин,,,,,,,
141,"Общество с ограниченной ответственностью ""Весна""",1.0576E+12,7603031474,"г.Ярославль, ул.Колышкина, д.8","1. г.Ярославль, ул.Колышкина, д.8",с 06.02.2011 г. по 06.02.2014 г.,"76202711/Л0022,",,Предыдущее переоформление 06.07.2012 г.,,,
,"(ООО ""Весна"")",,,,магазин,,"04.02.2011 г., ",,(4) - код 5,,,
,,,,,"2. г.Ярославль, ул.Клубная, д.42",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г.Ярославль, ул.Спартаковская, д.23",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. г.Ярославль, Индустриальный переулок, д.15",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. г.Ярославль, ул. Громова, д. 2",,,,,,,
,,,,,магазин (отдел),,,,,,,
142,"Общество с ограниченной ответственностью ""Весна""",1.06763E+12,7627029724,"Россия, Ярославская область, Ярославский район, п. Новоселки, ул.Заречная, д.1","1. г.Ярославль, ул. Калинина, д. 36",с 13.07.2011 г. по 13.07.2016 г.,"76202711/Л0395,",,,,,
,"(ООО ""Весна"")",,,,магазин,,"13.07.2011 г., ",,,,,
143,"Общество с ограниченной ответственностью ""Весна""",1.06761E+12,7616007609,"Ярославская область, Гаврилов-Ямский район, 235 км. старой дороги Москва-Холмогоры","1. Ярославская область, Гаврилов-Ямский район, 235 км. автодороги Москва-Холмогоры",с 02.08.2011 г. по 02.08.2014 г.,"76202711/Л0470,",,,,,
,"(ООО ""Весна"")",,,,магазин,,"21.07.2011 г., ",,,,,
,,,,,"2. Ярославская область, Гаврилов-Ямский район, 235 км. автодороги Москва-Холмогоры",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"3. Ярославская область, Гаврилов-Ямский район, с. Шопша, ул. Строителей, д.7а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Гаврилов-Ямский район, с.Осенево, ул. Центральная, д.17",,,,,,,
,,,,,павильон,,,,,,,
144,"Общество с ограниченной ответственностью ""ВЕСНА""",1.06761E+12,7612036944,"Российская Федерация, Ярославская область, г.Углич, Ярославское шоссе, д.1.","1. Ярославская область, г.Углич, Ярославское шоссе, д.1",с 22.12.2011 г. по 22.12.2016 г.,"76202711/Л0755,",,,,,
,"(ООО ""ВЕСНА"")",,,,магазин,,"22.12.2011 г., ",,,,,
145,"Общество с ограниченной ответственностью ""ВЕСТЕР ""Ярославль""",1.0576E+12,7604083235,"Российская Федерация, г.Калининград, ул. Судостроительная, д.75","1. г.Ярославль, просп. Авиаторов, д.149",с 18.08.2011 г. по 18.08.2016 г.,"76202711/Л0532,",,Предыдущее переоформление 27.12.2011 г.,,,
,"(ООО ""ВЕСТЕР ""Ярославль"")",,,,гипермаркет,,"18.08.2011 г., ",,(4) - код 3,,,
,,,,,"2. г.Ярославль, Ленинградский просп. д. 49а",,,,,,,
,,,,,супермаркет,,,,,,,
146,"Общество с ограниченной ответственностью ""Виват""",1.0376E+12,7623000499,"Ярославская область, Первомайский район, с. Кукобой, ул. Советская, д.43","1. Ярославская область, Первомайский район, с. Кукобой, ул. Советская, д.43",с 19.06.2012 г. по 19.06.2013 г.,"76202712/Л0273,",,,,,
,"(ООО ""Виват"")",,,,магазин (отдел),,"19.06.2012 г., ",,,,,
,,,,,"2. Ярославская область, Первомайский район, д. Вараково, д. 12",,,,,,,
,,,,,магазин (отдел),,,,,,,
147,"Общество с ограниченной ответственностью ""ВИД""",1.06761E+12,7608012193,"Ярославская область, город Переславль-Залесский, улица Ямская, д.1","1. Ярославская область г.Переславль-Залесский, ул. 50 лет Комсомола, д.16",с 29.06.2012 г. по 29.06.2013 г.,"76202712/Л0298,",,,,,
,"(ООО ""ВИД"")",,,,магазин,,"29.06.2012 г., ",,,,,
,,,,,"2. Ярославская область, г.Переславль-Залесский, ул. Ямская, д.1",,,,,,,
,,,,,магазин,,,,,,,
148,"Общество с ограниченной ответственностью ""ВИЗИТ""",1.0676E+12,7602053429,"г.Ярославль, ул.Строителей,д.19, кв.76","1. г.Ярославль, ул.Судостроителей,д.1",с 20.06.2011 г. по 20.06.2013 г.,"76202711/Л0265,",,,,,
,"(ООО ""ВИЗИТ"")",,,,столовая с буфетом,,"20.06.2011 г., ",,,,,
149,"Общество с ограниченной ответственностью ""ВикТор""",1.0576E+12,7608011545,"Ярославская область, г. Переславль - Залесский, ул. Пушкина, д. 11, кв. 14","1. Ярославская область, г. Переславль-Залесский, ул. Плещеевская, д. 70",с 01.07.2011 г. по 01.07.2016 г.,"76202711/Л0322,",,,,,
,"(ООО ""ВикТор"")",,,,магазин,,"01.07.2011 г., ",,,,,
,,,,,"2. Ярославская область, г. Переславль-Залесский, ул. Пушкина, д. 1а",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, г. Переславль-Залесский, ул. Свободы, д.64а",,,,,,,
,,,,,магазин,,,,,,,
150,"Общество с ограниченной ответственностью ""Виктория""",1.06761E+12,7612036246,"Российская Федерация, Ярославская область, город Углич, улица Нариманова, дом 85А","1. Ярославская область, г.Углич, ул.Нариманова, д.85а",с 30.06.2011 г. по 30.06.2013 г.,"76202711/Л0301,",,,,,
,"(ООО ""Виктория"")",,,,магазин,,"30.06.2011 г., ",,,,,
151,"Общество с ограниченной ответственностью ""Виктория""",1.06761E+12,7622013255,"Российская Федерация, Ярославская область, Переславский район, с. Купанское, ул. Депутатская, д. 1.","1. Ярославская область, Переславский район, с. Купанское, ул. Депутатская, д.1",с 24.07.2011 г. по 24.07.2016 г.,"76202711/Л0453,",,,,,
,"(ООО ""Виктория"")",,,,магазин (отдел),,"21.07.2011 г., ",,,,,
,,,,,"2. Ярославская область, Переславский район, с. Купанское, ул. Нагорная , д.1а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. Ярославская область, Переславский район, с. Купанское, ул. Советская, д.10",,,,,,,
,,,,,магазин (отдел),,,,,,,
152,"Общество с ограниченной ответственностью ""Виктория""",1.06761E+12,7617007337,"Россия, Ярославская область, г.Данилов, ул. Набережная, д.91, кв.13","1. Ярославская область, г.Данилов, ул. Менделеева, д. 1б",с 16.12.2011 г. по 16.12.2016 г.,"76202711/Л0732,",,Предыдущее переоформление 24.02.2012 г.,,,
,"(ООО ""Виктория"")",,,,магазин,,"16.12.2011 г., ",,(4) - код,,,
,,,,,"2. Ярославская область, г.Данилов, ул. Вологодская, д. 41",,,,,,,
,,,,,магазин,,,,,,,
153,"Общество с ограниченной ответственностью ""Виктория""",1.06761E+12,7609019579,"Ярославская область, Ростовский район, р.п. Семибратово, ул. Ломоносова, д.21.","1. Ярославская область, Ростовский район, Рп Семибратово, ул. Ломоносова, д. 21",с 19.12.2011 г. по 19.12.2016 г.,"76202711/Л0739,",,,,,
,"(ООО ""Виктория"")",,,,магазин,,"19.12.2011 г., ",,,,,
154,"Общество с ограниченной ответственностью ""ВИКТОРИЯ""",1.0876E+12,7604127683,"г.Ярославль, ул. Закгейма, д.7.","1. г.Ярославль, ул. Закгейма, д.7",с 03.08.2012 г. по 03.08.2017 г.,"76202712/Л0379,",,,,,
,"(ООО ""Виктория"")",,,,магазин,,"03.08.2012 г., ",,,,,
155,"Общество с ограниченной ответственностью ""Виктория-6""",1.0276E+12,7606009212,"Россия, 150047, г.Ярославль, Угличская ул., д.54","1. г.Ярославль, ул. Угличская, д.54",с 30.09.2008 г. по 30.09.2013 г.,"76202708/Л0264,",,,,,
,"(ООО ""Виктория-6"")",,,,магазин,,"30.09.2008 г., ",,,,,
,,,,,"2. г.Ярославль, ул. Угличская,д.54",,,,,,,
,,,,,закусочная,,,,,,,
,,,,,"3. г.Ярославль, ул.Чехова, д.25",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. г.Ярославль, ул.Труфанова,д.5",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. г.Ярославль, ул.Труфанова,д.5",,,,,,,
,,,,,закусочная,,,,,,,
156,"Открытое акционерное общество ""Виктория-9""",1.0376E+12,7606048290,"Российская Федерация, г.Ярославль, ул.Чкалова, дом 37","1. г. Ярославль, ул.Чкалова, д.37",с 15.02.2011 г. по 15.02.2016 г.,"76202711/Л0034,",,,,,
,"(ОАО ""Виктория-9"")",,,,магазин,,"15.02.2011 г., ",,,,,
,,,,,"2. г.Ярославль, ул.Чкалова, д.72",,,,,,,
,,,,,магазин,,,,,,,
157,"Общество с ограниченной ответственностью ""ВИКТОРИЯ-ПЛЮС""",1.0576E+12,7610066502,"152900, Россия, Ярославская область, г.Рыбинск, ул.Куйбышева, д.38","1. Ярославская область, г. Рыбинск, ул. Куйбышева, д. 38",с 29.12.2008 г. по 29.12.2013 г.,"76202708/Л0432,",,,,,
,"(ООО ""Виктория-плюс"")",,,,бар,,"26.12.2008 г., ",,,,,
158,"Общество с ограниченной ответственностью ""Вилена""",1.0676E+12,7602054158,"г.Ярославль, ул.Бабича, д.11, корп.5, кв.130","1. г. Ярославль, ул.Балашова, д.8а",с 06.07.2012 г. по 06.07.2013 г.,"76202712/Л0322,",,,,,
,"(ООО ""Вилена"")",,,,магазин,,"06.07.2012 г., ",,,,,
159,"Общество с ограниченной ответственностью ""ВИЛЕНА""",1.0576E+12,7602050178,"г.Ярославль, ул. Елены Колесовой. д. 62, кв. 69","1. г.Ярославль, пересечение ул.Урицкого и Тутаевского шоссе",с 21.12.2008 г. по 21.12.2013 г.,"76202708/Л0418,",,Предыдущее переоформление 19.07.2011 г.,,,
,"(ООО ""ВИЛЕНА"")",,,,мини-магазин,,"19.12.2008 г., ",,"(5)- коды 3,5",,,
,,,,,"2. г.Ярославль, ул.Бабича, остановка трамвая ""Ул.Бабича"" в центр",,,,,,,
,,,,,киоск в остановочном комплексе,,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
160,"Общество с ограниченной ответственностью ""Винком""",1.0376E+12,7602040356,"г.Ярославль, Ленинградский проспект, д.38.","1. г.Ярославль, Московский проспект, д.153",с 18.08.2011 г. по 18.08.2016 г.,"76202711/Л0533,",,,,,
,"(ООО ""Винком"")",,,,магазин,,"18.08.2011 г., ",,,,,
,,,,,"2. г.Ярославль, Ленинградский проспект, д.38",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. г.Ярославль, ул. Свердлова, д.26",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. г.Ярославль, проспект Ленина, д.50",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. г.Ярославль, проспект Ленина, д.31",,,,,,,
,,,,,магазин,,,,,,,
161,"Общество с ограниченой ответственностью ""Винница""",1.11761E+12,7612043772,"Ярославская область, город Углич, Ярославское шоссе, д.7, кв.44","1. Ярославская область, г.Углич, ул. Ольги Берггольц, д.13а",с 28.12.2011 г. по 28.12.2016 г.,"76202711/Л0787,",,,,,
,"(ООО ""Винница"")",,,,магазин,,"28.12.2011 г., ",,,,,
162,"Общество с ограниченной ответственностью ""Винный мир ЯНА""",1.0676E+12,7602052947,"г.Ярославль, пр.Дзержинского, д.33","1. г. Ярославль, пр.Дзержинского, д.33",с 17.05.2011 г. по 17.05.2016 г.,"76202711/Л0192,",,,,,
,"(ООО ""Винный мир ЯНА"")",,,,магазин,,"17.05.2011 г., ",,,,,
163,"Общество с ограниченной ответственностью ""Винторг""",1.0876E+12,7604131471,"Российская Федерация, Ярославская область, г.Ярославль, 2-й Промышленный пр-д, д.11","1. г.Ярославль, 2-й Промышленный пр-д, д.11.",с 06.06.2008 г. по 06.06.2013 г.,"76202708/Л0151,",,Предыдущее переоформление 27.09.2012 г.,,,
,"(ООО ""Винторг"")",,,,магазин,,"06.06.2008 г., ",,"(4) код 80,81,82,83,84,85",,,
,,,,,"2. Ярославская область, Некрасовский район, Рп Красный Профинтерн, ул. Набережная, д.8а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. Ярославская область, Брейтовский район, д. Холопово, д. 17",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"4. Ярославская область, Брейтовский район, д. Косково, ул. Парковая, д. 10",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"5. Ярославская область, Брейтовский район, д. Суминское, д. 13",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"6. Ярославская область, Брейтовский район, д. Лискино, д. 22",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"7. Ярославская область, Брейтовский район, д. Остряковка, д. 6",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"8. Ярославская область, Брейтовский район, с. Сутка, ул. Церковная, д. 14",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"9. Ярославская область, Брейтовский район, с. Брейтово, ул. Школьная, д. 27а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"10. Ярославская область, Брейтовский район, с. Черкасово, ул. Центральная, д. 26",,,,,,,
,,,,,бар,,,,,,,
,,,,,"11. Ярославская область, Брейтовский район, д. Логинцево, ул. Заречная, д. 38",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"12. Ярославская область, Брейтовский район, с. Брейтово, ул. Республиканская, д. 19",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"13. Ярославская область, Брейтовский район, с. Брейтово, ул. Республиканская, д. 19",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"14. г.Ярославль, Московский проспект, д. 92",,,,,,,
,,,,,бар,,,,,,,
,,,,,"15. Ярославская область, г.Рыбинск, ул. Радищева/ул. Кирова",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"(Продажа а/п до 16,5%)",,,,,,,
,,,,,"16. Ярославская область, Некрасовский район, с. Вятское, ул. ПМК, д. 2",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"17. Ярославская область, г.Ростов, ул. Октябрьская, д. 66",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"18. Ярославская область, Пошехонский район, пос. Зубарево, д. 17",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"19. г.Ярославль, ул. 4-я Портовая, д. 13",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"20. Ярославская область, Ярославский район, п. Красные Ткачи, ул. Б. Октябрьская, д. 13б",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"21. Ярославская область, Ярославский район, п. Дубки, ул. Школьная, д. 7",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"22. Ярославская область, г.Данилов, ул. Земляной вал, д. 14/68а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"23. г.Ярославль, ул. Советская, д. 21",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"24. г.Ярославль, ул.Свободы, д.2",,,,,,,
,,,,,столовая,,,,,,,
,,,,,"25. Ярославская область, г.Ростов, Борисоглебское шоссе, д.3",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"26. Ярославская область, г.Ростов, ул.Ленинская, д.46",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"27. Ярославская область, Тутаевский район, пос.Константиновский, ул.Депутатская, д.4а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"28. Ярославская область, Тутаевский район, с.Никольское",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"29. Ярославская область, Угличский район, пос.Алтыново",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"30. Ярославская область, г.Мышкин, ул.Штабская, д.4",,,,,,,
,,,,,бар,,,,,,,
,,,,,"31. Ярославская область, г.Мышкин, ул.Угличская, д.16/2",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"32. Ярославская область, г.Мышкин, ул.Карла Либкнехта, д.102 а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"33. г.Ярославль, ул.Кудрявцева, д.21/32",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"34. г.Ярославль, 11-я линия пос.Творогово, д.6",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"35. Ярославская область, Рыбинский район, д.Хвощевка",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"36. Ярославская область, г.Переславль-Залесский, ул.Пушкина, д.1б",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"37. Ярославская область, Рыбинский район, пос.Искра Октября, ул.Молодежная",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"38. Ярославская область, г.Переславль-Залесский, ул.Дорожная, д.6",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"39. Ярославская область, г.Переславль-Залесский, ул.Кузнецова, д.16",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"40. Ярославская область, г.Переславль-Залесский. ул.Кардовского, д.108а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"41. Ярославская область, г.Переславль-Залесский, мкрн.Чкаловский, д.56",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"42. Ярославская область, г.Тутаев, ул.Ушакова, д.72",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"43. Ярославская область, г.Данилов, ул.Ленина, д.18",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"44. Ярославская область, Рыбинский район, пос. Искра Октября, ул. Молодежная",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"45. Ярославская область, г.Тутаев, ул. Дементьева, д. 7",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"46. Ярославская область, Угличский район, д. Вякирево",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"47. Ярославская область, Борисоглебский район, пос. Борисоглебский, ул. Лагерная, д. 58",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"48. Ярославская область, г.Переславль-Залесский, ул. Ростовская, д. 5",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"49. Ярославская область, г.Углич, Камышевское шоссе, д. 14",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"50. Ярославская область, Переславский район, 18-ый км объездной дороги вокруг г.Переславля",,,,,,,
,,,,,бар,,,,,,,
,,,,,"51. Ярославская область, г.Рыбинск, Крестовая ул., д.66",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"52. Ярославская область, г.Гаврилов-Ям, ул.Чапаева, д.31",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"53. г.Ярославль, ул.Клубная, д.27",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"54. Ярославская область, г.Ростов, 1 МКР, д.9",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"55. г.Ярославль, пр.Моторостроителей, д.4",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"56. Ярославская область, Угличский район, с. Заозерье",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"57. Ярославская область, г.Рыбинск, ул.Славского, д.14",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"58. Ярославская область, Рыбинский район, д.Андреевское",,,,,,,
,,,,,кафе,,,,,,,
,,,,,"59. Ярославская область, Некрасовский район, с.Левашово, ул.Молодежная, д.21а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"60. Ярославская область, г.Тутаев, ул.Комсомольская, д.95б",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"61. Ярославская область, г.Тутаев, пл.Ленина, д.8",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"62. Ярославская область, Угличский район, д.Нефтино",,,,,,,
,,,,,магазин (отдел),,,,,,,
164,"Общество с ограниченной ответственностью Торговый Дом ""Винторг""",1.1176E+12,7602085406,"Российская Федерация, Ярославская область, г.Ярославль, 2-й Промышленный пр-д, д. 11","1. г.Ярославль, 1-й Промышленный пр., д. 14",с 18.11.2011 г. по 18.11.2012 г.,"76202711/Л0688,",,,,,
,"(ООО ТД ""Винторг"")",,,,магазин (отдел),,"18.11.2011 г., ",,,,,
165,"Общество с ограниченной ответственностью ""ВИС""",1.0276E+12,7610041988,"Россия , Ярославская область, г.Рыбинск, ул. Рапова, д. 6а.","1. Ярославская область, г.Рыбинск, ул.Рапова,д.11а",с 22.08.2008 г. по 22.08.2013 г.,"76202708/Л0225,",,,,,
,"(ООО ""ВИС"")",,,,магазин,,"22.08.2008 г., ",,,,,
166,"Общество с ограниченной ответственностью ""ВИТА""",1.0576E+12,7603031844,"Ярославская область, г.Ярославль, ул. Ранняя, д.15, кор.3, кв.21","1. г.Ярославль, ул. Рыкачева, д.7",с 20.07.2012 г. по 20.07.2014 г.,"76202712/Л0355,",,,,,
,"(ООО ""ВИТА"")",,,,магазин,,"20.07.2012 г., ",,,,,
167,"Общество с ограниченной ответственностью ""Вишняки""",1.0676E+12,7604091677,"Ярославская область, г.Ярославль, ул.Вишняки, д.34","1. г. Ярославль, ул.Вишняки, д.34",с 18.07.2011 г. по 18.07.2016 г.,"76202711/Л0421,",,,,,
,"(ООО ""Вишняки"")",,,,магазин,,"18.07.2011 г., ",,,,,
168,Владыченское сельское потребительское общество Пошехонского района Ярославской области,1.0276E+12,7624000124,"Ярославская область, Пошехонский район, с.Владычное, ул. Пошехонская, д.27","1. Ярославская область, Пошехонский район, д.Селиверстово, ул.Центральная, д.23",с 03.02.2010 г. по 03.02.2015 г.,"76202710/Л0034,",,,,,
,(Владыченское сельпо),,,,магазин,,"03.02.2010 г., ",,,,,
,,,,,"2. Ярославская область, Пошехонский район, с.Владычное, ул.Пошехонская, д.34",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Пошехонский район, с.Владычное, ул.Пошехонская, д.34",,,,,,,
,,,,,бар,,,,,,,
,,,,,"4. Ярославская обалсть, Пошехонский район, с.Владычное, ул.Пошехонская, д.37",,,,,,,
,,,,,магазин,,,,,,,
169,"Общество с ограниченной ответственностью ""Водолей""",1.11761E+12,7606084805,"г.Ярославль, пр-т Октября, дом 57А , кв. 32","1. г.Ярославль, ул. Городской вал, д. 14",с 21.11.2011 г. по 21.11.2013 г.,"76202711/Л0693,",,,,,
,"(ООО ""Водолей"")",,,,магазин (отдел),,"21.11.2011 г., ",,,,,
,,,,,"2. г.Ярославль, ул. Городской вал, д, 14",,,,,,,
,,,,,закусочная,,,,,,,
170,"Общество с ограниченной ответственностью Гостиница ""Вознесенская""",1.08761E+12,7612039575,"Ярославская область, город Углич, улица Ольги Берггольц, дом 5, помещение IV","1. Ярославская область, г.Углич, ул. Ольги Берггольц, д.5, пом.IV- кафе,",с 01.09.2011 г. по 01.09.2016 г.,"76202711/Л0542,",,,,,
,"(ООО Гостиница ""Вознесенская"")",,,,ресторан,,"01.09.2011 г., ",,,,,
171,"Общество с ограниченной ответственностью ""ВОК-КАФЕ""",1.1276E+12,7604222584,"г.Ярославль, ул. Свободы, д. 27","1. г.Ярославль, ул. Свободы, д. 27",с 06.09.2012 г. по 06.09.2013 г.,"76202712/Л0419,",,,,,
,"(ООО ""ВОК-КАФЕ"")",,,,кафе,,"06.09.2012 г., ",,,,,
172,"Общество с ограниченной ответственностью ""ВОЛЖАНКА""",1.06763E+12,7627030021,"Российская Федерация, Ярославская область, Ярославский район, пос. Заволжье, д. 6, кв. 11","1. Ярославская область, Ярославский район, д. Пестрецово",с 17.12.2008 г. по 17.12.2013 г.,"76202708/Л0412,",,Предыдущее переоформление 12.10.2010 г.,,,
,"(ООО ""Волжанка"")",,,,магазин (отдел),,"17.12.2008 г., ",,(4) - код 3,,,
,,,,,"2. Ярославская область, Ярославский район, пос. Заволжье",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,"3. г. Ярославль, ул. Угличская, д.4а",,,,,,,
,,,,,магазин (отдел),,,,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
173,"Общество с ограниченной ответственностью ""Волжская башня""",1.06761E+12,7606059446,"Россия, г.Ярославль, Волжская набережная, д.2а","1. г. Ярославль, Волжская набережная, д.2а",с 25.05.2012 г. по 25.05.2017 г.,"76202712/Л0231,",,,,,
,"(ООО ""Волжская башня"")",,,,кафе,,"25.05.2012 г., ",,,,,
174,"Общество с ограниченной ответственностью Торговый центр ""Волжское-19""",1.0276E+12,7606005137,"Россия, г.Ярославль, ул.Чехова, д.19","1. г.Ярославль, ул.Чехова, д.19/14",с 31.03.2012 г. по 31.03.2013 г.,"76202712/Л0135,",,,,,
,"(ООО ТЦ ""Волжское-19"")",,,,магазин,,"30.03.2012 г., ",,,,,
175,"Общество с ограниченной ответственностью ""Волкова""",1.0576E+12,7606055917,"г.Ярославль, пр.Октября, д.55а, кв.27","1. г.Ярославль, ул. Залесская, д.6,корпус 2",с 21.02.2011 г. по 21.02.2014 г.,"76202711/Л0049,",,,,,
,"(ООО ""Волкова"")",,,,магазин,,"21.02.2011 г., ",,,,,
