Торбеевский район,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя)
низа,цион-,,,ИНН,,объектов,лицензииё,факс,новки и,
ции,ный,,,ОГРН,,,,,возобнов-,
,№,,,,,,,,ления,
,лицен-,,,,,,,,лицензии,
,зии,,,,,,,,,
1,97,13 МЕ,"ООО ""Наташа"" п. Торбеево, ул. Ленина, 2",1321117041,"м-н п. Торбеево, ул. Ленина, 2",3,28/04/11,2-27-49,,Грачева Зинаида Степановна
,,001544,,1071308000312,"м-н п. Торбеево, ул. Девятаева, 7а ",,15/11/12,89271987183,,
,,,,,"магазин, п. Торбеево, ул. Интернациональная, 15б",,,,,
1,344,13 МЕ,"ООО ""Феста"" п. Торбеево, ул. Лермонтова, 51в",1321117115,"м-н ""Феста"" п. Торбеево, ул. Лермонтова, 51в",1,17/10/11,89271739677,,Родин Александр Иванович
,,001818,,1081308000102,,,17/10/14,,,Никушев Александр Федорович
1,50,13 МЕ,"ООО ""Елена и Т"" с. Токмово, Ковылкинский район",1323123820,"м-н п. Торбеево, ул. Ленина, 12а",3,30/03/12,2-37-58,,
,,001976,,,"магазин, с. Салазгарь, ул. Кооперативная, 8, Торбеевский район",,23/06/16,,,
,,,,,"магазин, п. Торбеево, ул. Больничная, 55б",,,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"магазин, п. Торбеево, ул. Интернацтональная, 16 б",3,29/06/12,29-42-76,,
,,000096,"ленная, 7",,"м-н ""Продукты"", п. Красноармеец, ул. Центральная, 16, Торбеевский",,16/04/15,29-41-87,,
,,,,,"м-н п. Торбеево, ул. Лермонтова, 2а",,,,,
1,206,13 МЕ,"ООО ""ТПО Союз"" п. Торбеево, ул",1321117411,"м-н ""Вино-Водка"" п. Торбеево, ул. Интернациональная, 16б",2,30/06/11,89272753215,,Кустов Сергей Николаевич
,,001666,"Интернациональная, 13 ",1091308000376,"магазин ""Малинка"", п. Торбеево, ул. Интернациональная, 13/2",,28/01/13,2-04-07,,
1,82,13 МЕ,"ООО ""Пятачок"" п. Торбеево, ул. Интернациональная, ",1321117468,"м-н п. Торбеево, ул. Интернациональная, 14а",1,30/03/10,89271940892,,Балашкина Тамара Александровна
,,001195,14а,,,,30/03/13,,,
1,347,13 МЕ,"ООО ""Багира"" п. Торбеево, ул. Спортивная, 7а",1321117482,"м-н ""Фортуна"" п. Торбеево, ул. Спортивная, 7а",2,31/10/11,2-29-12,,Минаева Людмила Сергеевна
,,001829,,1101308000090,"магазин, с. Жуково, ул. Гагарина, 12, Торбеевский район",,30/10/12,89631490647,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"м-нс. Жуково, ул. Почтовая, 6а, Торбеевский район",2,29/06/12,29-18-62,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"м-н п. Красноармейский, ул. Центральная, 15, Торбеевский район",,15/07/14,,,
1,47,13 МЕ,"ООО ""Факел"" с. Ст. Шайгово, ул. Центральная, 15",1318000935,"м-н Попутчик"" д. Зарубята, ул. Московская, 16, Торбеевский",1,28/01/10,2-13-34,,Кудашкин Евгений Михайлович
,,001155,,,,,28/01/15,,,
