Темниковский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
орга,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,руководителя (учредителя),
низа,цион-,,,,,объектов,лицензииё,факс,новки и,,
ций,ный,,,ИНН,,,,,возобнов-,,
,№,,,ОГРН,,,,,ления,,
,лицен-,,,,,,,,лицензии,,
,зии,,,,,,,,,,
,,001663,,1061314007810,"м-н ""Продукты"", г. Темников, ул. Коммунистическая, 3;",,30/06/14,2-16-74,,,
,,,,,"м-н ""Татьяна"", г. Темников, ул. Белинского, 14;",,,,,,
,,,,,"(до 15%) м-н ""Татьяна"", г. Темников, ул. Гагарина, 25 а;",,,,,,
,,,,,"м-н ""Для Вас"", г. Темников, ул. Р. Люксембург, 25.",,,,,,
1,112,13 МЕ,"ООО ТПП ""Аксельское"", Темниковский район, с. Аксел",1319110761,"магазин ""Продукты"", с. Аксел, ул. Центральная,13а, Темниковский",4,15/05/12,2-71-37,,Бибаев Сергей Николаевич,
,,002040,"ул. Ленинская, 54",1021300834202,"бар с. Аксел, ул. Центральная,11а, Темниковский район",,15/05/17,,,,
,,,,,"м-н с. Бабеево, ул. Луговая, 31а, Темниковский район",,,,,,
,,,,,"м-н с. Ст.Ковыляй, ул. Центральная, 24, Темниковский",,,,,,
1,231,13 МЕ,"ООО ""Меридиан"" г. Темников, ул. Коммунисти-",1319000198,"м-н ""Светлана"" г. Темников, ул. Бараева, 9в",15,30/06/11,2-47-35,,Радаев Федор Иванович,
,,001693,"ческая, 5 ",1061314008953,"м-н ""Продукты"" г. Темников, ул. Коммунистическая, 5",,30/06/16,2-48-05,,,
,,,,,"м-н ""Пятачок"" г. Темников, ул. Ленина, 41",,,,,,
,,,,,"кафе ""Флагман"" г. Темников, ул. Коммунистическая, 5",,,,,,
,,,,,"магазин ""Маячок"",  г. Темников, ул. Демократическая, 11а",,,,,,
,,,,,"магазин ""У дороги"",  г. Темников, ул. Гагарина, 78д",,,,,,
,,,,,"м-н с. Чумартово, ул. Школьная, б/н, Темниковский район",,,,,,
,,,,,"м-н г. Темников, ул. Интернациональная, 59а",,,,,,
,,,,,"м-н с. Митрялы, ул. Агафонова, 3, Темниковский район",,,,,,
,,,,,"магазин, с. Аксел, ул. Конная, 1, Темниковский район",,,,,,
,,,,,"м-н с. Ново-Авкиманово, ул. Чугуновская, 91, Темниковс",,,,,,
,,,,,"м-н с. Жегалово, ул. Кооперативная, Темниковский",,,,,,
,,,,,"магазин, с. Урей-3, ул. Советская, 4, Темниковский район",,,,,,
,,,,,"магазин, с. Тарханы, ул. Центральная, Темниковский район",,,,,,
,,,,,"м-н с. Тарханы, ул. Центральная, 33, Темниковский",,,,,,
1,243,13 МЕ,"ООО ""Конак"" с. Подгорное Конаково, Темниковс-",1319000342,"м-н Темниковский район, с. Пурдошки, ул. Ленина, 18;",6,13/11/10,2-63-22,,Макаев Юрий Алексеевич,
,,001379,кий р-н,1061314009525,"м-н Темниковский район, с. Пурдошки, ул. Зарека;",,30/06/14,89271712265,,Макаева тамара Васильевна,
,,,,,"м-н Темниковский район, с. Урей, ул. Центральная, 7;",,,,,,
,,,,,"м-н Темниковский район, с. Подгорное Конаково;",,,,,,
,,,,,"м-н Темниковский район, с. Кондровка, ул. Центральная;",,,,,,
,,,,,"м-н Темни-ий р-н, д. Нижние Борки, ул. Центральная, 4.",,,,,,
1,200,13 МЕ,"ООО ""ТПП ""Кристалл"" г. Темников, ул. Гагарина,",1319000222,"м-н г. Темников, ул. Гагарина, 27а",1,14/08/09,2-11-79,,Кондрашкин Юрий Петрович,
,,000955,27а,,,,14/08/12,,,,
1,328,13 МЕ,"ООО ""Мечта"" г. Темников, ул. Р. Люксембург, 83 а",1319000215,"м-н ""Ассорти"", Темниковский район, с. Бабеево, ул. Луговая, 29",7,14/10/11,2-47-85,п.29.01.08,Кичемасова Галия Арифуревна,
,,001798,,1061314009020,"м-н ""Мечта"" г. Темников, ул. Р. Люксембург, 83 а",,14/10/16,89276429190,в.14.02.08,,
,,,,,"м-н ""Ассорти"", Темниковский район, д. Т. Караево, ул. Интернациональная, 10а",,,,,,
,,,,,"м-н ""Ассорти"", Темниковский район, с. Р. Караево, ул. Центральная, 52",,,,,,
,,,,,"м-н ""Ассорти"", Темниковский район, с. Р. Тювеево, ул. Центральная, 22а",,,,,,
,,,,,"магазин ""Ассорти"", с. Андреевка, ул. Молодежная, 11 б, Темниковский район",,,,,,
,,,,,"магазин ""Ассорти"", с. Урей, ул. Советская, 3, Темниковский район",,,,,,
1,38,13 МЕ,"ООО ""ТРИО"" г. Темников, ул. Дорофеева, 22",1319000286,"м-н г. Темников, ул. Интернациональная, 27",15,15/03/12,2-34-79,,Коровин Владимир Иванович,
,,001963,,1061314009360,"м-н г. Темников, ул. Восточная, 2а",,16/11/12,89272745119,,,
,,,,,"м-н (до 15%) г. Темников, ул. Бареева, 2",,,,,,
,,,,,"м-н с. Бабеево, ул. Верхняя, 24а, Темниковский район",,,,,,
,,,,,"м-н д. Андреевка, ул. Молодежная, 11, Темниковский р-н",,,,,,
,,,,,"м-н с. Жегалово, ул. Интернациональная, 1а, Темниковский",,,,,,
,,,,,"м-н с. Тарханы, ул. Центральная, 24, Темниковский",,,,,,
,,,,,"м-н с. Пурдошки, ул. Ленина, 14, Темниковский район;",,,,,,
,,,,,"м-н с. Ушаковка, ул. Заводская, Темниковский район",,,,,,
,,,,,"м-н ""Продукты"" г. Темников, ул. Дорофеева, 22",,,,,,
,,,,,"м-н ""Фортуна"" г. Темников, ул. Бараева, 1в",,,,,,
,,,,,"м-н ""Продукты"" г. Темников, ул. Демократическая, 7а",,,,,,
,,,,,"магазин ""Продукты"", г. Темников, Садовый пер, 2а",,,,,,
,,,,,"магазин ""Продукты"", с. Кондровка, ул. Центральная, 26а, Темниковский район",,,,,,
,,,,,"магазин ""Продукты"", д. Андреевка, ул. Молодежная, 7, Темниковский район",,,,,,
1,143,13 МЕ,"ООО ""Орбита"" г. Темников, ул. Демократическая,",1319000695,"м-н ""Лидер"" г. Темников, ул. Коммунистическая, 6",2,30/08/07,2-24-23,,,
,,000308,7а ,,"м-н ""Максим и Никита"" г. Темников, ул. Демократическая, 7а",,30/08/12,,,,
1,203,13 МЕ,"ООО ""Чарочка"" с. Аксел, ул. Центральная, 2а",1319000857,"м-н с. Аксел, ул. Центральная, 2а, Темниковский район",1,30/10/08,89271846661,,Глазунова Зинаида Аркадьевна,
,,000658,,,,,30/10/13,,,,
1,423,13 МЕ,"ООО ""Канна"" с. Аксел, ул. Центральная, 24а, Темник",1319000889,"м-н с. Аксел, ул. Центральная, 24а, Темниковский район",1,23/12/11,2-33-38,пр.30.10.09,Дулатов Рифат Ряхимович,
,,001901,,1081314000360,,,23/12/12,89876985595,в.18.11.09,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"магазина, Темниковский район, с. Кушки, ул. Садовая, д. 14;",2,29/06/12,,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"кафе-бар ""Юлия"", г. Темников, ул. К.Маркса, 12а",,15/07/14,,,,
1,305,13 МЕ,"ООО ""Лабаз"", с. Кушки, ул. Школьная, 11,",1319001466,"магазин, с. Кушки, ул. Школьная, 11, Темниковский район",1,15/09/11,89876940308,,Логунова Анастасия Олеговна,
,,001772,Темниковский район,1111314000390,,,15/09/14,2-44-75,,Четырева Альбина Александровна,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"магазин ""Магнит"", г. Темников, ул. К.Маркса, 12",1,15/05/12,,,,
,,000004,"185, филиал г. Саранск, ул. Невского, 101б",1022301598549,,,15/03/16,,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"магазин ""Вкуснотеево"", г. Темников, ул. Ленина, 60",3,29/06/12,29-42-76,,,
,,000096,"ленная, 7а ",1091327000280,"магазин ""Продукты"", с. Лаврентьево, ул. Верхняя, 14 а, Темниковский район",,16/04/15,29-41-87,,,
