"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Заларинский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности",,"Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
32,"ООО""Успех""            ИНН 3814011751",МИ ФНС РФ №14    по Ирк. Обл. и УОБАО от 01.02.2007г.,38 МЕ 000047  рег. № 00014                     от  06.03.2007г до 05.03.2012г.,"1. с.Хор-Тагна,Заларинского   района, ул Леспромхозовская,7               ","1.магазин ""Сибирь""",,,5.03.2012г.,,
33,"ООО "" Татьяна""  ИНН 3814012000",МИ ФНС №14     по Ирк.обл. и УОБАО от 26.04.2007г.,А 214984 рег.№ 00061                             от 30.12.2010г. До 03.07.2012г.        Взамен: А 214973 рег.№ 00051                 от 28.05.09г по 03.07.2012г.,"1. д. Большая Заимка,                                                                 ул. Первомайская, 20.","1.отдел в магазине ""Для Вас""",,,14.03.2012г.,,
34,"ООО ""РОСПАК-БАЙКАЛ""                ИНН 8506005248",ИМНС России №7 по Ирк.обл. и УОБАО от 05.05.1999г.,рег. № 22 38 МЕ 003059 от 15.02.2012г. до 04.04.2012г. Взамен: рег. № 20 38 МЕ 003057 от 26.12.2011г. до 04.04.2012г.         ,"1. Ирк.обл., Заларинский р-он, п. Залари, ул. Мызгина, 21                                                 2. Ирк.обл., Заларинский р-он, п. Залари, ул. Красина, 33","1.отдел ООО ""РОСПАК-БАЙКАЛ"" в магазине ""Надежда""                                            2.отдел ООО ""РОСПАК-БАЙКАЛ""    ", ,,4.04.2012г.,,"администрация МО ""Нукутский район"""
35,"ООО ""Виктория"" ИНН 3814011906",МИ ФНС №14  по Ирк.обл. и УОБАО от  02.04.2007г.,рег.№ 00030   сер.38 МЕ 000010                от  29.12.2007г. По  29.12.2012г.,"1. Ирк. обл.,Заларинский р-он,             п.Тыреть,ул.Трактовая,15","1. магазин  "" Шанс""",,,5.05.12г.,,
36,"ООО ""Абсолют"" ИНН  3814013854",МИ ФНС №14 по Ирк.обл. и УОБАО от 27.11.2008г. ,    А 244925 рег. № 9                                       от 25.04.2012г. до 25.12.2013г.   взамен:   А 244916 рег. № 96                    от 14.11.2011г. до 25.12.2013г.       ,"1. Ирк. обл., Заларинский р-он д. Тагна,  ул. Дорожная, 22-А","1.отдел ООО ""Абсолют"" в кафе ""Алтын""",,,25.04.12г. (исключен объект),,лицензия выдана администрацией МО Куйтунский район
37,"ООО ""Вектор Север"" ИНН 3805710496",МИ ФНС № 15 по Ирк.обл.                           св-во 38 № 002649541,рег. № 806 38 МЕ 006379 от 08.08.2011г. по 27.05.2012г. взамен: рег. № 709 38 МЕ 006276 от 21.03.2011г. по 27.05.2012г. ,"1. Заларинский район, п. Залари, ул. 4-ая Советская, 14","1. отдел "" Вектор Север""                                                            в магазине ""Татьяна""",,,28.05.12г.,,лицензия выдана   Администрацией    г. Братска
38,"ООО""Весна""                        ИНН 3814010772 ","Иркутская область, Заларинский район, п. Залари, ул. Мызгина, 24 Б",А 242651 рег. № 00076                                 от 26.06.2012г.  по 25.06.2014г.                             ,"1. п.Залари, ул. Мызгина,24б                                  2. п.Залари, ул. Ленина,50                                      3. п.Залари, ул. Лазо, 4-27                                                    4. п.Тыреть, м-он Солерудник, 12","1. отдел ООО ""Весна"" в помещении магазина ""Петрович""                                               2. отдел ООО ""Весна"" в помещении магазина ""Петрович""                                    3. отдел ООО ""Весна"" в помещении магазина ""Петрович""                                               4. отдел ООО ""Весна"" в помещении магазина ""Петрович""                        ",,,,,
39,"ООО""Жасмин"" ИНН 3814010807 ","Иркутская область, Заларинский район, р.п. Тыреть 1-я, мкр. Солерудник, 2-9 ",А 242653 рег.№ 00080                                   от 26.07.2012г. до 25.07.2013г.                          ,"1. Иркутская область, Заларинский район, п. Тыреть, ул. Октябрьская, 25, отдел ООО «Жасмин» в магазине «Элен»;
2. Иркутская область, Заларинский район, р.п. Тыреть 1-я, мкр. Солерудник, 9 А, отдел ООО «Жасмин» в магазине «Кристина»;
3. Иркутская область, Заларинский район, р.п. Тыреть 1-я, мкр. Солерудник, 9 А, отдел ООО «Жасмин» в кафе «Саша».
",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
