                  Государственный реестр выданных лицензий  за март 2012 г. по  Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
9,ООО,"""Клеопатра""","г.Хабаровск, ул.Черняховского д.9, тел. 8-917-406-14-48",2723122580/272301001/1092723013987,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Черняховского д.9",92.4,92.4,54.2,9-23,продление,ХБ 000951 № 2340 13.03.2012 - 13.03.2013,,,
10,ООО,"""Кэпитал Кафе""","г.Хабаровск, ул.Калинина д.76, пом.0, тел. 94-44-89",2721187380/272101001/1112721010104,розничная продажа АП в розлив  1 год,кафе,"г.Хабаровск, ул.Калинина д.76, пом. 0",109.3,109.3,40,11-23,впервые,ХБ 000956 № 2543 13.03.2012 - 13.03.2013,,,
11,ООО,"""Лукрум""","г.Хабаровск, ул.Королева д.9, тел. 8-914-182-11-00",2723126009/272301001/1102723001150,розничная продажа АП 1 год,магазин," г.Хабаровск, проезд Иртышский д.11",73.1,73.1,43.7,8-23,продление,ХБ 000929 № 2333 13.03.2012 - 13.03.2013,,,
12,ООО,"""М.Л.""","г.Хабаровск, б-р.Уссурийский д.9, тел. 79-37-61",2721046693/272101001/1022700926566,розничная продажа АП в розлив 1 год,ресторан ,"г.Хабаровск, б-р.Уссурийский д.9",497.7,497.7,120,12-01,продление,ХБ 000962 № 1217 13.03.2012 - 13.03.2013,,,
13,ООО,"""Новый Мир""","г.Хабаровск, ул.Рабочий городок д.14в, тел. 46-20-63",2721179870/272101001/1102721007146,розничная продажа АП 2 года,магазин,"г.Хабаровск, ул.Рабочий городок д.14в",138.2,138.2,80,9-22,продление,ХБ 000939 № 2381 13.03.2012 - 13.03.2013,,,
14,ООО,"""Норт-стройсервис""","г.Хабаровск, ул.Федеративная д.1, тел. ",2725034297/272501001/1042700280193,розничная продажа АП 5 лет,павильон,"г.Хабаровск, ул.Федеративная д.1",69.6,69.6,41.8,8-24,продление,ХБ 000941 № 1262 13.03.2012 - 13.03.2017,,,
15,ООО,"""Памир""","г.Хабаровск, ул.Клубная д.30, тел. 75-46-11",2720033451/272401001/1062720022420,розничная продажа АП 3 года,магазин,"г.Хабаровск, ул.Клубная д.30",119,119,30,9-22,продление,ХБ 000947 № 1264 13.03.2012 - 13.03.2015,,,
16,ООО,"""Парус""","г.Хабаровск, ул.Краснореченская д.23, тел. 8-914-429-31-21",2723078997/272301001/1062723027916,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Краснореченская д.23",73,73,43.2,8-23,впервые,ХБ 000918 № 2536 13.03.2012 - 13.03.2013,,,
17,ООО,"""Прокор""","г.Хабаровск, ул.Панькова д.24, тел. 22-70-55",2721076377/272101001/1022700923211,розничная продажа АП 1 год,магазин,"г.Хабаровск, ул.Панькова д.24",153.6,,46.6,9-23,продление,ХБ 000937 № 1219 13.03.2012 - 13.03.2013,,,
18,ООО,"""Савиных""","г.Хабаровск, ул.Синельникова д.3, тел. 73-57-49",2721130313/272101001/1052701295184,розничная продажа АП 2 года,магазин,"г.Хабаровск, ул.Синельникова д.3",80,80,50,9-23,продление,ХБ 000966 № 145 13.03.2012 - 13.03.2014,,,
