"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по РМО ""Усть-Удинский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
12,"Общество с ограниченной ответственностью ""Колос""   3806004694",МИ ФНС России № 2 по Иркутской области,А 179496 № 85от 26.07.2007 с 27.07.2007г.            до 28.07.2012г.,"п. Усть-Уда ул.Мира, 21,2 магазин ""Солнышко""",,,28.07.2012г.,,,
13,"Общество с ограниченной ответственностью ""Айсберг""   38270335654",МИ ФНС России № 17 по Иркутской области,38 МЕ 004016       № АН00784Пр8 от 05 июня 2012г.                    с 10.12.2010г.     по 09.12.2015г. взамен 38 МЕ 003955     № АН00784Пр7      от 02.04.2012г.  с 10.12.2010г.     по 09.12.2015                  ,"с. Юголок ул.Мира, 6  отдел в магазине          ",,,,,Администрация  г. Иркутска,
,,,,"с. Новая Уда            ул.Ленина, 15а      отдел в магазине",,,,,,
,,,,"с. Новая Уда ул.Ленина 26, отдел в магазине",,,,,,
,,,,"п. Усть-Уда, ул.50-лет Октября, 2а, отдел в магазине",,,,,,
,,,,"д.Чичково, ул.Молодежная,1 отдел в магазине",,,,,,
,,,,"п. Усть-Уда,                        ул.Кирова, 8а, отдел            в магазине",,,,,,
,,,,"п. Молька,                        ул.Мира, 2, отдел            в магазине",,,,,,
,,,,"п. Игжей,                        ул.Мира, 23, отдел            в магазине",,,,,,
,,,,"п. Усть-Уда,                        ул.Калинина, 25а, отдел в магазине",,,,,,
,,,,"с. Аносово, ул. Набережная, 10-1.",,,,,,
14,"Общество с ограниченной ответственностью ""Алмаз""   3810319778",МИ ФНС России № 17 по Иркутской области,38 МЕ 004077 № АН00857Пр12 от 19 июля 2012г. с 13.08.2011 по 12.08.2012г. взамен 38 МЕ 004060     № АН00857Пр11      от 13.07.2012г.  с 13.08.2011г.     по 12.08.2012                  ,"с. Новая-Уда ул. Ленина 28, пом 1 магазин «Диамант»",,,,,Администрация  г. Иркутска,
,,,,"с. Новая-Уда ул. Юбилейная,  2, магазин",,,,,,
,,,,"с. Игжей,                        ул. Мира, д. 13           отдел в магазине",,,,,,
,,,,"с. Молька, ул.Амурская, д.1 отдел в магазине",,,,,,
