,Выписка из реестра лицензий ,,,,,,,
," на осуществление деятельности по розничной продаже алкогольной продукции на территории Республики Коми,",,,,,,,
, действующих по состоянию на 01.08.2012г. ,,,,,,,
,,,,,,,,
,Регистрационный номер лицензии,Дата принятия решения о выдаче / переофор-млении лицензии,Срок действия с,Срок действия по,"Серия, номер лицензии",Сведения о лицензиате,"Сведения об адресах территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности",Состояние лицензии
Воркута,,,,,,,,
,11743,22/12/11,08/12/06,19/01/13,11МЕ003977коп,"ООО ""Норд"", по адресу:  г. Воркута,ул. Привокзальная, д. 16а, кв.66. ОГРН 1051100690695,в лице Мешкова Лариса Васильевна. Тел.2-20-40. ИНН : 1103033218/110301001","магазин ""Визит"" г. Воркута,пер. Привокзальный, район жилого дома №2",  
,11743,22/12/11,20/01/06,19/01/13,11МЕ003977коп,"ООО ""Норд"", по адресу:  г. Воркута,ул. Привокзальная, д. 16а, кв.66. ОГРН 1051100690695,в лице Мешкова Лариса Васильевна. Тел.2-20-40. ИНН : 1103033218/110301001","закусочная «Визит» г. Воркута,ул. Привокзальная, д. 23В",  
,11743,22/12/11,20/01/06,19/01/13,11МЕ003977осн,"ООО ""Норд"", по адресу:  г. Воркута,ул. Привокзальная, д. 16а, кв.66. ОГРН 1051100690695,в лице Мешкова Лариса Васильевна. Тел.2-20-40. ИНН : 1103033218/110301001", ,  
,11743,22/12/11,20/01/06,19/01/13,11МЕ003977коп,"ООО ""Норд"", по адресу:  г. Воркута,ул. Привокзальная, д. 16а, кв.66. ОГРН 1051100690695,в лице Мешкова Лариса Васильевна. Тел.2-20-40. ИНН : 1103033218/110301001","магазин «Визит» г. Воркута,ул. Привокзальная, д. 23В",  
,11754,30/01/12,06/02/06,05/02/13,11МЕ003948осн,"ООО «Корунд», по адресу:  г. Воркута,ул. Гагарина, д.12 ""а"". ОГРН 1021100807441,в лице Копшунова Марина Евгеньевнга. Тел.6-24-20. ИНН : 1103015113/110301001", ,  
,11754,30/01/12,06/02/06,05/02/13,11МЕ003948коп,"ООО «Корунд», по адресу:  г. Воркута,ул. Гагарина, д.12 ""а"". ОГРН 1021100807441,в лице Копшунова Марина Евгеньевнга. Тел.6-24-20. ИНН : 1103015113/110301001","магазин «Карнавал» г. Воркута,ул. Московская, д.16",  
,11754,30/01/12,06/02/06,05/02/13,11МЕ003948коп,"ООО «Корунд», по адресу:  г. Воркута,ул. Гагарина, д.12 ""а"". ОГРН 1021100807441,в лице Копшунова Марина Евгеньевнга. Тел.6-24-20. ИНН : 1103015113/110301001","магазин «Карнавал» г. Воркута,ул. Гагарина, д.12а",  
,11762,08/02/11,20/02/06,19/02/14,11МЕ003264осн,"ООО ""Вист"", по адресу:  г. Воркута,ул. Ленина, д.39. ОГРН 1021100810169,в лице Стесев Олег Антонович. Тел.6-58-27. ИНН : 1103018690/110301001", ,  
,11762,08/02/11,20/02/06,19/02/14,11МЕ003264коп,"ООО ""Вист"", по адресу:  г. Воркута,ул. Ленина, д.39. ОГРН 1021100810169,в лице Стесев Олег Антонович. Тел.6-58-27. ИНН : 1103018690/110301001","магазин «Горизонт» г. Воркута,ул. Ленина, д.39",  
,11775,25/01/12,26/02/06,25/02/13,11МЕ003935,"ООО ""Дайм"", по адресу:  г. Воркута,ул. Яновского, д.7. ОГРН 1021100813800,в лице Сикалюк Сергей Иванович. Тел.3-41-67. ИНН : 1103027408/110301001","магазин №5 «Гастрономъ» г. Воркута,ул. Ленина, д. 29",  
,11777,26/04/12,26/04/12,21/02/14,11МЕ004176коп,"ООО ""Колобок"", по адресу:  г. Воркута,ул. Пионерская, д. 18, кв. 1. ОГРН 1051100694644,в лице Соколова Светлана Викторовна. Тел.325-93. ИНН : 1103034966/110301001","магазин «Вилена» г. Воркута,ул. Ленина, д. 58",  
,11777,26/04/12,22/02/06,21/02/14,11МЕ004176осн,"ООО ""Колобок"", по адресу:  г. Воркута,ул. Пионерская, д. 18, кв. 1. ОГРН 1051100694644,в лице Соколова Светлана Викторовна. Тел.325-93. ИНН : 1103034966/110301001", ,  
,11777,26/04/12,22/02/06,21/02/14,11МЕ004176коп,"ООО ""Колобок"", по адресу:  г. Воркута,ул. Пионерская, д. 18, кв. 1. ОГРН 1051100694644,в лице Соколова Светлана Викторовна. Тел.325-93. ИНН : 1103034966/110301001","магазин «Колобок» г. Воркута,ул. бульвар Пищевиков, д. 3",  
,11780,26/04/11,05/09/07,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,ул. Гагарина, д.12",  
,11780,26/04/11,25/07/07,21/02/16,11МЕ003335коп,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001","магазин «Дионис» г. Воркута,п.Воргашор, ул.Энтузиастов, д.11/3",  
,11780,26/04/11,22/02/06,21/02/16,11МЕ003335осн,"ООО   ""Дионис"", по адресу:  г. Воркута,пер. Деповской, д.8. ОГРН 1021100814107,в лице Охрименко Вячеслав Владимирович. Тел.7-27-84. ИНН : 1103024809/110301001", ,  
