"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Качугский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
12,Качугское районное потребительское общество 3830000041  Переоформлено,Межрайонная инспекция МНС России № 1 по Иркутской области,             38 МЕ № 002193 12.01.2010 08.02.2011гпродлена  по 08.02.2012г,"Анга, Школьная, 2а, маг.№1         Анга, Трактовая, 12, маг.№ 6   Рыково,  Рыкова, 41а, маг.№ 7 Щапова, Ключевая, 21, маг.№ 10 Бутаково, Совхозная, 45, маг. № 10 Шеино, Школьная, 23, маг. № 12  Мыс, Мысовская, 3, маг. № 14 Ацикяк, Трактовая, 24 , маг. № 16         В-Тутуры, Лесная, 6, маг. № 18          Б-Улун, Степная, 11, маг. № 19 Чинонга, Лесная, 5, маг. № 23 Бирюлька, Каландарашв., 1, маг. №1 Подкамень, Подкаменная, 6, маг. №3 Чемякино, Чемякинская, 1, маг. № 4 Бирюлька, Ленина, 58а, маг. № 5 Кукуй, Трактовая, 25, маг. № 6  Залог, Центральная, 34, маг. № 7 Болото, Центральная, 36, маг. № 8      М-Тарель, Петровская, 28а, маг. № 9 Б-Тарель, п. Школьный, 9, маг. № 10 Косогол, Косогольская, 43, маг. № 21 Верхоленск, Федосеева, 103, маг. №2 Верхоленск, Федосеева, 31, маг. № 4 Верхоленск, Победы, 23, маг. № 8 Ремизова, Трактовая, 2, маг. № 9 Толмачево, Киселева, 47, маг. № 12 Алексеевка, Космульск., 19, м. №13  У-Тальма, Школьная, 16, маг. № 14 Белоусово, Победы, 7, маг. № 15 Шеметово, Трактовая, 23, маг. № 16 Житово, Береговая, 3, маг. № 18 ",,,2/8/2012,,,
,,,,"Магдан, Хоторгойская, 25, маг. № 19 Качуг, Победы, 14, маг. № 1      Качуг, Ленина, 1 маг. № 2          Качуг, Каландарашвили, 54, маг. № 3 Качуг, Красноармейская, 19, маг. №4 Качуг, Лесная, 62, маг. № 6        Качуг, Каландарашв. 158, маг. № 7 Качуг, Калаедарашв. 165, маг. № 8 Тимирязева, Совхозная, 33, маг. №12 Качуг, Юбилейная, 5, маг. № 15 Чептыхой, Полевая, 7, маг. № 16            Б-Голы, Береговая, 35, маг. № 17 Краснояр, Трактовая, 30 маг. № 18        М-Голы, Трактовая, 2, маг. № 19 Исеть, Береговая, 28, маг. № 21 Наран, Мархеева, 2, маг. № 23   Качуг, Фрунзе, 18, маг. № 24     Качуг, Северная, 16, маг. № 25 Манзурка, Трактовая, 39, маг. № 1 Манзурка, Трактовая, 67, маг. № 3 Полосково, Трактовая 46, маг. № 5 Кукуй, Набережная, 64, маг. № 7 Карлук, Школьная, 21, маг. № 8 Аргун, Центральная, 23а, маг. № 9 Заречное, Центральная, 41, маг. № 10 Капцигай, Трактовая, 11, маг. № 11 Копылово, Лесная, 34, маг. № 12 Харбатово, Трактовая, 27, маг. № 1 Никилей, Зеленая, 7а, маг. № 2 Корсуково, Школьная, 6а, маг. № 3     Н-Харбатово, Новая, 24,  маг. № 4 ",,,,,,
,,,,"Хальск, Кольцевая, 12, маг. № 6 Харбатово, Совхозная, 7, маг. № 8 Литвиново, Харагун, 30а, маг. № 10 Анга, Школьная, 1, БАР          Бирюлька, Каландарашвили, 4, БАР Верхоленск, Федосеева, 105, БАР Залог, Центральная, 32,           БАР Манзурка, Трактовая, 54,        БАР         Н-Харбатово, Новая, 24,          БАР Бутаково, Школьная, 6,            БАР Качуг,ул.Седова 8,магазин № 9 Жигаловский р-н,  д.Петрово, Ленская, 36, маг. Жигаловский р-н",,,,,,
13,Общество с ограниченной ответственность «КРИСТАЛЛ» ИНН 3830905940 ,Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому автономному Округу.,38 МЕ    002203    02.06.2011г по 20.11.2012 вместо         38 МЕ 002197 12.08.2010г 20.11.2012г взамен 38    МЕ 002184 24.12.2009г 20.11.2012г,"1.Иркутская обл.П.Качуг, ул Каландарашвили 48, отдел в магазине «КристАлл»  ИП Тюрюмина А.С.                              2.Иркутская обл.  п.Качуг,                ул. Пуляевского № 88,  отдел в магазине ""ВДВ"" ИП Тюрюмина А.С.                           ",,,,,,
14.,Общество с ограниченной ответственностью «ПОЛИНА» ИНН 3830906622 ,Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу,38 МЕ № 002165 10.12.2007г 10.12.2012.,"1.С.Верхоленск,ул.Федосеева 28 магазин «Полина»       2.С.Верхоленск,ул Федосеева 141 Магазин № 2",,,,,,
15,Потребительское общество «ОБЩЕПИТ» ИНН 3830002673 ,Межрайонной инспекцией МНС России № 1 по Иркутской области,38 МЕ № 002188 12.01.2010 07.03.2013,"  П.Качуг,ул.Победы 9  Магазин «Кулинария» П.Качуг,ул.Каландарашвили  № 113,  магазин «КЕДР»",,,,,,
16,Общество с ограниченной ответственностью «Усольские мясопродукты» ИНН 3830906485 ,Межрайонной инспекцией Федеральной налоговой службы № 12 по Иркутской обл и Усть-Ордынскому округу,38 МЕ № 002168 12.03.2008г 12.03.2013г,Д.Краснояр ул.Полевая 1а-2 Отдел в магазине,,,,,,
17,Общество с ограниченной ответственностью «Фирма Литвинова» ИНН 3830905925 ,Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области и Усть-Ордынскому Бурятскому автономному округу. ,38 МЕ № 002174 26.08.2008  30.06.2013г,"Качугский район, д.Литвинова Ул.Гаражная 21, отдел в магазине «Елена».                           С.Харбатово, ул.Совхозная 5-1.отдел в магазине «Светлана»",,,31.05.2012г,,,
18,Общество с ограниченной ответственностью «Крестьянский торговый дом» 3830000732 ,Межрайонная инспекция МНС России №  1 по Иркутской области ,38  МЕ № 002191 12.01.2010 17.07.2013 г,"1.п.Качуг, ул. Мелиоративная, 4, магазин № 2   2. с.Верхоленск,  ул. Федосеева 62 магазин № 5                      3. с.Бутаково, ул. Солнечная, 1, магазин 6                                    4..с.Манзурка, ул. Трактовая, 43, магазин № 7                                     5.п.Качуг, ул. Красноармейская, 19, магазин № 8                                            6.п.Качуг, ул. Каландарашвили, 32, магазин № 10                                   7.п.Качуг, ул. Сибирская, 3, магазин № 11                                                      8.с.Белоусово, ул.Победы 10, магазин № 12                                                 9.с.Бирюлька, Ленина, 29, магазин № 15                                                         10.с.Харбатово, Зеленая, 4-2, магазин № 16                                                      11.с.Анга, Советская, 1а, магазин № 17 12.д.Краснояр, Трактовая, 1г, магазин № 18                                                        13.п.Качуг, Восточная, 10а, магазин № 19 с.Бирюлька, ул. Каландарашвили., 11, магазин № 20 14.п.Качуг,ул. Юбилейная  65 КАФЭ- трактир «У трёх сосен»",,,,,,
19,Общество с ограниченной ответственностью «БЕРЁЗКА» ИНН 3830906904  ,  ,38 МЕ      002210   27.01.2012 г  по 12.11.2013      вместо            38  МЕ      002205      от 14.10.2011г 12.11.2013г взамен           38 МЕ  002175 14.11.2008 12.11.2013," 1. Иркутская область, п.Качуг, ул.Каландарашвили 156 «Б».
 отдел  в магазине № 2 «Зелёненький»,
2. Иркутская область, Качугский район, с.Анга, ул.Школьная 2 «В», 
отдел  в магазине № 2 «Зелёненький»,
3. Иркутская область, Качугский район, с.Бутаково, ул.Совхозная 46,
 отдел  в магазине № 2 «Зелёненький»,
4. Иркутская область, Качугский район, с.Анга, ул.Школьная №  1,
 отдел  в магазине ИП Амосовой И.Г. 5.Иркутская область, Качугский район, с.Бутаково, ул.Школьная 6 бар",,,,,,
20,Общество с ограниченной ответственностью «ИВУШКА» ИНН 3830907707 ,Межрайонной инспекцией Федеральной Налоговой Службы № 12 по Иркутской области, 38  МЕ 002196 19.05.2010г     09.12.2013 Взамен: 38  МЕ  002176 09.12.2008г 09.12.2013г,"Пос.Качуг, ул.Юбилейная № 50 Отдел в магазине «Мечта» ИП  Блохиной Е.А.",,,,,,
21,Общество с ограниченной ответственностью «КОЛОС» 3830003684 ,Межрайонной инспекцией Федеральной Налоговой Службы № 12 по Иркутской области ,  38  МЕ 002177 30.01.2009 30.01.2014,"1.Качугский район с.Анга,ул.Береговая № 1 «Б» Отдел в магазине «Татьяна»                                   2. П.Качуг, ул.Красноармейская № 44, отдел в магазине «Татьяна»",,,,,,
22,Общество с ограниченной ответственностью «Гранит» 3830907778 ,Межрайонной инспекцией Федеральной Налоговой Службы № 12 по Иркутской области,   38  МЕ 002178 17.04.2009 17.04.2014,"1.Качугский район, село Верхоленск, ул. Федосеева № 95 Отдел в магазине  «НАТАЛИ»",,,,,,
23,Общество с ограниченной ответственностью «Перекрёсток» 3830907739 1,Межрайонной инспекцией Федеральной Налоговой Службы № 12 по Иркутской области,38  МЕ          002201          29.12.2010    29.04.2014   взамен  38 МЕ   002179 29.04.2009 29.04.2014," Качугский район Д.Никилей, ул. Трактовая № 28 отдел ООО ""Перекрёсток"" в магазине «Перекрёсток»  ИП Лапушанской А.А. .Кач угский район, с.Харбатово, ул.Совхозная № 14, отдел  ООО ""Перекрёсток"" в магазине ИП Лапушанской А.А.                        Качугский район,  д.Литвинова, ул.Харагун № 2 отдел ООО ""Перекрёсток"" в магазине ИП Лапушанского П.Б.                        ",,,,,,
24,Общество с ограниченной ответственностью «Мария» 3830090775 9,Межрайонная инспекция Федеральной налоговой службы № 12 по Иркутской области.,38 МЕ       002204        08.07.2011г30.10.2014г        вместо       38 МЕ 002181 30.10.2009 30.10.2014,"1.Иркутская область,Качугский район, Д.Корсукова Ул.Школьная № 9 специализированный отдел в магазине «Мария»                                             2.Иркутская область, Качугский район, с.Манзурка, ул.40 лет Победы, специализированный отдел в магазине.",27.01.2011г,27.02.2011г,,,,
