№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,,,,,,,
1,"ООО ""Доверие""",6724007202,1056700020079,"215800, Смоленская область, г. Десногорск, 8-й микрорайон, д. 105","216400, Смоленская область, г. Десногорск, 1-й микрорайон центральная часть города (магазин), без ограничений",№ 1962                Б 005397,18 марта 2011,по 16 февраля 2013,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 8-й микрорайон (павильон № 255), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, СТ ""Строителей"" (павильон № 177), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, СТ №Десна"", Кукуевка, 1-е поле (киоск № 178), до 15%",,,,,,,,,,,,,,,,,,
2,"ООО ""СОГДИАНА""",6724007347,1066725004840,"216400, Смоленская область, г. Десногорск, 4 микрорайон, д. 15, кв. 9","216400, Смоленская область, г. Десногорск, 3 микрорайон, общежитие № 10 (кафе), без ограничений",№ 687                 Г 679296,07 апреля 2006,по 047 апреля 2011,,,,,,,,,,,,,,,
3,"ООО ""ЮТА""",6724007386,1066725011506,"216400, Смоленская область, г. Десногорск, 1-ый микрорайон, магазин № 168 ""Юта""","216400, Смоленская область, г. Десногорск, 2-ой микрорайон (павильон № 118), без ограничений",№ 737                     В 317894,16 мая 2006,до 17 мая 2016,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 1-ый микрорайон (магазин ""Юта""), без ограничений",,,,,,,,,,,,,,,,,,
4,"ООО ""Боцман""",6724007227,1056700022477,"216400, Смоленская область, г. Десногорск, 1-й микрорайон, д. 4, кв. 224","216400, Смоленская область, г. Десногорск, 4-й мкр. Около ж\д № 15 (магазин ""Лина""), без ограничений",№ 656                 Г 679259,17 марта 2006, по 17 марта 2011,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 4 микрорайон, около ж/д № 15 (кафе), без ограничений",,,,,,,,,,,,,,,,,,
5,"ООО ""Каспий""",6724007530,1066725012078,"216400, Смоленская область, г. Десногорск, 3 микрорайон, д. 1-б, кв. 47","216400, Смоленская область, г. Десногорск, 3 мкр., д. 5 (магазин № 135 ""Светлана""), без ограничений",№ 965                        Б 005709,29 июня 2006,по 29 июня 2011,до 30 июня 2016,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 2 мкр. Около д, 22 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
6,"ООО ""Меркурий""",6724007450,1066725011880,"216400, Смоленская область, г. Десногорск, 1 микрорайон, торговый центр ""Феникс"", магазин ""Любава""","216400, Смоленская область, г. Десногорск, 4 микрорайон (магазин), без ограничений",№ 890                  Г 679800,12 ноября 2008,по 23 июня 2011,до 24 июня 2016,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 1 микрорайон, ТЦ ""Феникс"" (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 4 микрорайон (магазин ""Корзинка""), до 15 %",,,,,,,,,,,,,,,,,,
7,"МУП БПК ""Латона""                 МО ""г. Десногорск""",6724001144,1026700924150,"216400, Смоленская область, г. Десногорск, 3-й микрорайон, здание БПК ""Латона""","216400, Смоленская область, г. Десногорск, 3-й микрорайон, здание БПК ""Латона"" (закусочная), без ограничений",№ 2040                 Б 004779,21 июля 2011 ,до 21 июля 2012,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, 3 микрорайон, здание БПК (магазин), без ограничений",№ 1015                       Б 005814,30 июня 2006,по 30 июня 2011,,исключение объекта,,,,,,,,,,,,,
8,"ООО ""Визит""",6724008654,1096725000426,"216400, Смоленская область, г. Десногорск, 1-й микрорайон, кафе ""Экспресс"", без ограничений","216400, Смоленская область, г. Десногорск, 1-й микрорайон (кафе), без ограничений",№ 1877                 Б 004761,21 июля 2011 ,по 13 ноября 2014,,,,,,,,,,,,,,,
,,,,,"216400, Смоленская область, г. Десногорск, коммунально-складская зона (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
