№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продление   лицензии ,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
,,,,,"214510, Смоленская область, г. Смоленск, Смоленский район, п. Пригорское (павильон), без ограничений.",,,,,,,,,,,
13,"ООО ""ГОЛЬФСТРИМ""",6714010982,1026700673009,"214533, РФ, Смоленская область, Смоленский район, с. Ольша, ул. Садовый переулок-1, д. 7","214533, РФ, Смоленская область, Смоленский район, с. Ольша (закусочная)",№ 714                 Б 005075,24 декабря 2008,по 25 апреля 2011,,,,,,,,
,,,,,"214012, РФ, Смоленская область, г. Смоленск, ул. Кашена, д. 13 (закусочная)",,,,,,,,,,,
,,,,,"214012, РФ, Смоленская область, г. Смоленск, ул. Кашена, д. 13 (закусочная)",,,,,,,,,,,
,,,,,"214012, РФ, Смоленская область, г. Смоленск, ул. Кашена, д. 13 (магазин)",,,,,,,,,,,
,,,,,"214013, РФ, Смоленская область, г. Смоленск, пер. Юннатов, д.12 ( магазин с закусочной)",,,,,,,,,,,
14,"ООО ""Визит""",6714028820,1086714000416,"214528, РФ, Смоленская область, Смоленский район, д. Высокий Холм, д. 16","216117, Смоленская область, Краснинский район, д. Гусино, ул. Пролетарская, д. 7-а (магазин), без ограничений.",№ 1686               Б 004807,10 июня 2011,по 24 июня 2013,,,,,,,,
,,,,,"214528, Смоленская область, Смоленский район, д. Высокий Холм, д. 16 (магазин), Без ограничений.",,,,,,,,,,,
15,"ООО ""Саванна""",6714026904,1066714005753,"214522, РФ, Смоленская область, Смоленский район, п. Авторемзавод, д. 4, кв. 44","214522, Смоленская область, Смоленский район, п. Авторемзавод, д. 4 (магазин), без ограничений.",№ 1023               Б 005787,30 июня 2006,по 30 июня 2011,до 01 июля 2014,,,,,,,
,,,,,"214522, Смоленская область, Смоленский район, д.Борок, (магазин), без ограничений.",,,,,,,,,,,
,,,,,"214522, Смоленская область, Смоленский район, д. Сметанино,ул. Ветеранов, д.10 (магазин), без ограничений. ",,,,,,,,,,,
16,"ООО ""Дружба""",6714026397,1056735033530,"214530, РФ, Смоленская область, Смоленский район, п. Печерск, ул.Полевая, д 1-а","214020, Смоленская область, г. Смоленск, ул. Шевченко, д. 61 (ресторан), без ограничений",№ 1020               Б 004908,15 июня 2011,по 30 июня 2011,до 01 июля 2016,,,,,,,
,,,,,"214000,Смоленская область, г. Смоленск, ул. Барклая-де-Толли, д. 5 (кафе), без ограничений,",,,,,,,,,,,
17,"ООО ""БАРЛАДЯН""",6714027143,1066714006380,"214518, РФ, Смоленская область, Смоленский район, пос. Пригорское, ул. Мира, 4, 32","214009, Смоленская область, г. Смоленск, микрорайон Южный, д. 35 (магазин), без ограничений.",№ 1223               Г 254856,31 июля 2006,по 31 июля 2011,до 01 августа 2012,,,,,,,
18,"ООО ""Семь 40""",6714026460,1066714000869,"214530, РФ, Смоленская область, Смоленский район, п. Печерск, ул.Полевая, д 1","214030, Смоленская область, г. Смоленск, Краснинское шоссе, д.35 (ресторан), без ограничений",№ 761                 Б 005461,05 мая 2011,по 31 мая 2011,01 июня 2016,,,,,,,
,,,,,"214030, Смоленская область, г. Смоленск, Краснинское шоссе, д. 35 (остановочный модуль) до 15%",,,,,,,,,,,
19,"ООО ""Пригородный""",6714026647,1066714004906,"214505, РФ, Смоленская область,Смоленский район, д. Лубня, ул. Центральная, д. 3","214505, РФ, Смоленская область, Смоленский район, д. Лубня, ул. Центральная, д. 3 (магазин)",№ 1858               Б 005142,12 августа 2009,по 12 августа 2014,,,,,,,,
20,"ООО ""Горизонт""",6714010968,1026700674516,"216025, РФ, Смоленская область, смоленский район, дер. Новые Батеки, ул. Школьная, д.17 ","216025, Смоленская область, г. Смоленск, пос. Пронино, д. 1 (магазин), без ограничений.",№ 753                 Б 005514,26 мая 2006,по 26 мая 2011,до 27 мая 2013,,,,,,,
