№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продление   лицензии ,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
62,"ООО ""Оксана""",6714028563,1086714000086,"214010, Смоленская область, Смоленский район, д. Магалинщина, ул. Садовая, д. 15","214014, Смоленская область, г. Смоленск, ул. Кашена, 11-а, ""Городнянский рынок"" (павильон № 56) до 15%",№ 1641               Г 679662,22 февраля 2008,по 22 февраля 2013,,,,,,,,
63,"ООО ""ВАЛЕРИЯ""",6714028362,1076714002507,"214532, Смоленская область, Смоленский район, 386 км. А/д Москва-Минск","214532, Смоленская область, Смоленский район, 386 км. а/д Москва-Минск (кафе ""24 часа"")",№ 1619               Г 679640,01 января 2008,по 01 января 2013,,,,,,,,
64,"ООО ""ЛЕГИОН-XXI""",6730040840,1026701443780,"214510, Смоленская область, Смоленский район, д. Высокое, западнее на расстоянии 50 м","214510, Смоленская область, Смоленский район, д. Высокое, западнее на расстоянии 50 м (кафе)",№ 1601                Г 679617,10 декабря 2007,по 10 декабря 2012,,,,,,,,
65,"ООО ""Кафе 24 часа""",6714026848,1066714005170,"216032, Смоленская область, Смоленский район, 386 км автодороги Москва-Минск","216032, Смоленская область, Смоленский район, 386 км автодороги Москва-Минск (кафе)",№ 920                  Б 005652,26 июня 2006,по 26 июня 2011,,,,,,,,
66,"ООО "" Компания ММВ""",6714030594,1096714001295,"214530, Смоленская область, Смоленский район, д. Рясино, ул. Молодежная, д. 7","214009, Смоленская  область, г. Смоленск, мкр. Южный, д. 4-а (закусочная), без ограничений",1917                    Б 005224                (Г 301777),14 октября 2011,до 12 августа 2012,,,,,,,,
67,Катынское СЕЛЬПО,6714003294,1026700665683,"214522, Смоленская область, Смоленский район, с. Катынь, Витебское шоссе, д. 1","1.214522, Смоленская область, Смоленский район, п. Катынь, ул. Витебское шоссе, д. д. 2-б (магазин № 11), без ограничений",№ 1786              Г 301898,17декабря 2008,до 17 декабря 2013,,внесение объекта 28 декабря 2011,,,,,,
,,,,,"2. 214522, Смоленская область, Смоленский район, д. Рожаново, д. 17-а (магазин № 17), без ограничений",,,,,,,,,,,
,,,,,"3. 214522, Смоленская область, Смоленский район, д. Высокий холм, д. 36-а (магазин № 36), без ограничений",,,,,,,,,,,
,,,,,"4. 214522, Смоленская область, Смоленский район, д. Вонлярово, д. 16-а (магазин№ 16), без ограничений",,,,,,,,,,,
,,,,,"5. 214522, Смоленская область, Смоленский район, д. Архиповка, ул. Центральная, д. 2 (магазин № 15), без ограничений",,,,,,,,,,,
,,,,,"6. 214522, Смоленская область, смоленский район, д. Архиповка, ул. Центральная, д. 2 (магазин № 8), без ограничений",,,,,,,,,,,
,,,,,"7. 214522, Смоленская область, смоленский район, д. Куприно, ул. Парковая, д. 3 (магазин №13), без ограничений",,,,,,,,,,,
,,,,,"8. 214522, Смоленская область, Смоленский район, д. Чекулино, ул. Цветочная, д. 4 (магазин № 23), без ограничений",,,,,,,,,,,
,,,,,"9. 214503, Смоленская область, Смоленский район, д. Хохлово, ул. Мира, д. 33 (магазин№ 26), без ограничений",,,,,,,,,,,
,,,,,"10. 214503, Смоленская область, Смоленский район, д. Корытня, д. 19 (магазин №29), без ограничений",,,,,,,,,,,
,,,,,"11. 214501, смоленская область, смоленский район, д. Шапаки, ул. Солнечная, д. 2 (магазин № 27), без ограничений",,,,,,,,,,,
,,,,,"12. 214525, Смоленская область, Смоленский район, д. Новые бтеки, ул. Витебская, д. 29 (магазин №33), без ограничений",,,,,,,,,,,
,,,,,"13. 214522, Смоленская область, Смоленский район, п. Катынь, ул. Витебское шоссе, д. 4-б (столовая № 1), без ограничений",,,,,,,,,,,
,,,,,"14. 214522, Смоленская область, Смоленский район, п. Катынь, ул. Витебское шосее, д. 4-б (закусочная ""Березка""), без ограничений",,,,,,,,,,,
,,,,,"15. 214522, Смоленская область, Смоленский район, п. Сметанино, ул. Ветеранов, д. 10 (магазин №22), без ограничений",,,,,,,,,,,
,,,,,"16. 214522, Смоленская область, Смоленский район, д. Санаторий Борок, (магазин № 20 ""Боровичек""), без ограничений",,,,,,,,,,,
,,,,,"214525, Смоленская область, Смоленский район, д. Гнездово (магазин № 18 ""Белая станция""), без ограничений",,,,,,,,,,,
68,"ООО ""ОСТ""",6714031781,1116714000336,"214550, Смолен6ская область, Смоленский район, д. Жуково, ул. Мира, д.20","214550, Смоленский район, д. Жуково, ул. Мира, д. 20 (магазин), без ограничений",№ 2084                Г 301873,21 декабря 2011,до 21 декабря 2014,,,,,,,,
69,"ООО ""Смоленскинжсельстрой""",6714003664,1026700674329,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Автодорожная, 9","214530, Смоленская область, Смоленский район, п. Печерск, ул. Автодорожная, 9                        ( закусочная), без ограничений",№ 1789                   Б 0050552,17 декабря 2088,по 17 декабря 2013,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Автодорожная, 9                        ( магазин), без ограничений",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Минская, д. 23 (закусочная), без ограничений",,,,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Минская, д. 23  (магазин), без ограничений",,,,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Минская, д. 20 (магазин), без ограничений",,,,,,,,,,,
70,Смоленское РАЙПО,6714000790,1026700664990,"214010, Смоленская область, Смоленский район, д. Магалинщина, ул. Заречная,            д. 3-а","214512, Смоленская область, Смоленский район, с. Талашкино (магазин №1), без ограничений",№ 1956                     Г 301929,04  февраля 2011,по 04 февраля 2016,,,,,,,,
,,,,,"214512, Смоленская область, Смоленский район, д. Бобыри                              (магазин №7), без ограничений",,,,,,,,,,,
,,,,,"214512, Смоленская область, Смоленский район, с. Талашкино (магазин №9), без ограничений",,,,,,,,,,,
,,,,,"214513, Смоленская область, Смоленский район, д. Кощино, ул. Мира, д. 19 (магазин № 10), без ограничений",,,,,,,,,,,
,,,,,"214510, Смоленская область, Смоленский район, д. Дрюцк,                                          ул. Черемушки, д. 11(магазин № 12), без ограничений",,,,,,,,,,,
,,,,,"214515, Смоленская область, Смоленский район, д. Семенково                       (магазин №13), без ограничений",,,,,,,,,,,
,,,,,"214517, Смоленская область, Смоленский район, д. Санники (магазин № 15), без ограничений",,,,,,,,,,,
,,,,,"214518, Смоленская область, Смоленский район, д. Бубново (магазин № 19), без ограничений",,,,,,,,,,,
,,,,,"214517, Смоленская область, Смоленский район, д. Русилово (магазин № 30), без ограничений",,,,,,,,,,,
,,,,,"214510, Смоленская область, Смоленский район, д. Богородицкое (магазин № 34), без ограничений",,,,,,,,,,,
,,,,,"214518, Смоленская область, Смоленский район, с.п. Пригорское, с. Пригорское, ул. Мира, д. 3-а (магазин №4), без ограничений",,,,,,,,,,,
,,,,,"214510, Смоленская область, Смоленский район, д. Рогачево (магазин №1), без ограничений",,,,,,,,,,,
,,,,,"214580, Смоленская область, Смоленский район, д. Митино(магазин №2), без ограничений",,,,,,,,,,,
,,,,,"214033, Смоленская область, г. Смоленск, пос. Колодня, ул. Декабристов, д. 3 (магазин №3), без ограничений ",,,,,,,,,,,
,,,,,"214510, Смоленская область, Смоленский район, пос. Верхняя Гедеоновка,(магазин №5), без ограничений",,,,,,,,,,,
,,,,,"214536, Смоленская область, Смоленский район, д. Синьково (магазин №11), без ограничений",,,,,,,,,,,
,,,,,"214010, Смоленская область, г. Смоленск, ул. Седова, д. 3 (магазин №8), без ограничений",,,,,,,,,,,
,,,,,"214580, Смоленская область, Смоленский район, д. Ясная Поляна (магазин №19), без ограничений",,,,,,,,,,,
,,,,,"214033, Смоленская область, г. Смоленск, ул. Декабристов, д. 3 (магазин № 22), без ограничений",,,,,,,,,,,
,,,,,"214010, Смоленская область, Смоленский район, д. Магалинщина (продмаг), без ограничений",,,,,,,,,,,
,,,,,"214010, Смоленская область, Смоленский район, д. Магалинщина (магазин № 23)), без ограничений",,,,,,,,,,,
,,,,,"214550, Смоленская область, Смоленский район,д. Стабна (магазин), без ограничений",,,,,,,,,,,
,,,,,"214532, Смоленская область, Смоленский район, д. Дивасы (магазин №3), без ограничений",,,,,,,,,,,
,,,,,"214551, Смоленская область, Смоленский район, д. Мазальцево (магазин), без ограничений",,,,,,,,,,,
,,,,,"214533, Смоленский район, д. Нижняя Дубровка (магазин №14), без ограничений",,,,,,,,,,,
,,,,,"214558, Смоленская область, Смоленский район, д. Мощинки (магазин №16), без ограничений",,,,,,,,,,,
,,,,,"214552,Смоленская область, Смоленский район, д. Сыр-Липки (магазин), без ограничений",,,,,,,,,,,
,,,,,"214540, Смоленская область, Смоленский район, д. Верховье (магазин №9), без ограничений",,,,,,,,,,,
,,,,,"214010, Смоленская область, Смоленский район, д. Замощье (магазин №10), без ограничений",,,,,,,,,,,
,,,,,"214546, Смоленская область, Смоленсий район, д. Лоино (магазин №27), без ограничений",,,,,,,,,,,
,,,,,"214541, Смоленская область, Смоленский район, п. Новосельский (магазин №3), без ограничений",,,,,,,,,,,
,,,,,"214550, Смоленская область, Смоленский район, д. Жуково, ул. Мира, 29 (магазин №10),без ограничений",,,,,,,,,,,
,,,,,"214552,Смоленская область, Смоленский район, д. Аполье (магазин №20), без ограничений",,,,,,,,,,,
,,,,,"214552,Смоленская область, Смоленский район, д. Самолюбово (магазин №29), без ограничений",,,,,,,,,,,
,,,,,"214550, Смоленская область, Смоленский район, с. Каспля (магазин №1), без ограничений",,,,,,,,,,,
,,,,,"214550, Смоленская область, Смоленский район, с. Каспля (магазин №2), без ограничений",,,,,,,,,,,
,,,,,"214039, Смоленская область, г. Смоленск, ул. В. Гризодубовой, д. 5-в (магазин), без ограничений",,,,04 февраля 2011       включение объекта,,,,,,,
71,"ООО ""Смоленскинжсельстрой""",6714003664,1026700674329,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Автодорожная, 9","214530, Смоленская область, Смоленский район, п. Печерск, ул. Автодорожная, 9 (закусочная), без ограничений",№ 1789                 Б 005052,17 декабря 2008,по 17 декабря 2013,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Автодорожная, 9 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Минская, д. 23 (закусочная), без ограничений",,,,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Минская, д. 23 (магазин), без ограничений",,,,,,,,,,,
,,,,,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Минская, д. 20 (магазин), без ограничений",,,,,,,,,,,
