"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Куйтунский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
14.,Барлукское ПО           ИНН 3832000858,"Иркутская обл., Куйтунский р-он, с.Барлук, улЛенина, 20 МИФНС №14",А 244863 №5 от 31.03.2008 г. до 31.03.2013 г.,"с. Барлук, ул.Ленина, 20а – магазин",7/31/2012,,,,,
,,,,"с. Барлук,  ул.Кирова, 67а – магазин",,,,,,
,,,,"с. Барлук, ул.Ленина, 92а – магазин",,,,,,
,,,,"п. Окинский, ул.Центральная – магазин",,,,,,
,,,,"п.Березовский, ул.Приозерная, 1 а – магазин",,,,,,
,,,,"с.Броды, ул.Центральная, 1- магазин",,,,,,
,,,,"с.Уян, ул.Бурлова, 48 – магазин",,,,,,
,,,,"с.Уян, ул.Бурлова, 1- магазин",,,,,,
,,,,"с. Уян, ул. Зеленая, 6 – магазин",,,,,,
,,,,"с.Усть-Када, ул.Школьная, 2 – магазин",,,,,,
,,,,"с.Мингатуй, ул. Центральная, 1 – магазин",,,,,,
,,,,"д .Н-Када, ул.Центральная, 40 – магазин",,,,,,
,,,,"п.Новая Тельба, ул.Школьная, 1 – магазин",,,,,,
,,,,"с. Барлук,  ул.Ленина, 20 – магазин",,,,,,
,,,,"д Красный Яр, ул.Зеленая, 11 – магазин",,,,,,
,,,,"с. Бурук, ул.Ленина, 21 в – магазин",,,,,,
15.,Куйтунское РПО ИНН 3832000375 переоформление,"Иркутская обл.,      Куйтунский р-он,  р.п.Куйтун, ул.Советская, 8            М ИФНС №14   ",А 244879 №11 от 06.10.2009г. до 14.05.2013г.,"п.Лермонтовский, ул.Лермонтова, 1 – магазин",,,7/4/2012,,,
,,,,"п.Еланский, ул.Заречная, 2 – магазин",,,,,,
,,,,"с.Малая Кочерма, ул.Молодёжная, 16 – магазин",,,,,,
,,,,"с.Алкин, ул.Советская, 39б – магазин",,,,,,
,,,,"с.Сулкет, ул.Трактовая, 32а – магазин",,,,,,
,,,,"с.Кундуй, ул.Ленина, 97 – магазин",,,,,,
,,,,"с.Каранцай, ул.Российская, 39 – магазин",,,,,,
,,,,"с.Чеботариха. ул.Мира, 51 – магазин",,,,,,
,,,,"с.Амур, ул.Центральная, 37 – магазин",,,,,,
,,,,"д.Тобино, ул.Степная, 15 – магазин",,,,,,
,,,,"п.Майский, ул.Полевая, 7в – магазин",,,,,,
,,,,"с. Каразей, ул.Мира, 52 – магазин",,,,,,
,,,,"р.п.Куйтун, ул.Советская, 8а – магазин",,,,,,
,,,,"д.3-ая Станица, ул.Центральная, 51 – магазин",,,,,,
,,,,"с.Ключи, ул.Центральная, 40 – магазин",,,,,,
,,,,"с.Александро-Невский Завод,  ул.1-я Заречная, 17 – магазин",,,,,,
,,,,"п.Лермонтовский, ул.Лермонтова, 1 – кафе-бар",,,,,,
,,,,"р.п.Куйтун, ул.Карла Маркса, 2 – кафе",,,,,,
16.,ООО «Кузьменко» ИНН  3814009720  переоформление,"Иркутская обл.,      Куйтунский р-он, с.Кундуй, ул.Мира, 4-2                 МИФНС №14",А 244866 №7 от 03.07.2008г. до 05.06.2012г.  Взамен                    А 244910 № 76 от 03.06.2011 до 05.06.2012,"с.Кундуй ул.Победы, 1а – отдел",,,6/5/2012,,,
,,,,"с.Чеботариха ул.Мира, 69 – отдел",,,,,,
,,,,"д.Александро-Невская Станица, ул.Центральная, 37а  - отдел",,,,,,
,,,,"с.Амур, ул.Центральная, 36а – отдел",,,,,,
,,,,"с. Каразей, ул.Мира, 96 – отдел",,,,,,
,,,,"п. Еланский,ул.Заречная,  3-2",,,,,,
,,,,"с. Каразей, ул.Мира, 60",,,,,,
,,,,"с. Чеботариха, ул.Мира, 89",,,,,,
