№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продленна лицензия,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание,,,,,,,
12,"ООО ""Авто-777-Транс""",6713006711,1066713004346,"216790, Смоленская область, г. Рудня, ул. Киреева, 193","216790, Смоленская область, г. Рудня, ул. Киреева, д. 197 (кафе), без ограничений",№ 1153                  Б 005919,17 июля 2006,по 17 июля 2011,до 18 июля 2012,,,,,,,,,,,,,,
13,"ООО ""Негоциант""",6713009494,1106713000481,"216770, Смоленская область, Руднянский район, д. Березино, ул. Новая, д. 1","216770, Смоленская область, Руднянская область, п. Голынки, ул. Мира, д. 3 (магазин), без ограничений",№ 1947                Б 005305                           (Г 301895),28 декабря 2010,по 28 декабря 2011,до 29 декабря 2012,,,,,,,,,,,,,,
,,,,,"216770, Смоленская область, Руднянская область, д. Березино, ул. Новая, д.1 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
14,"ООО ""Торговый дом ""Славяночка""",6713008733,1096713000120,"216740, Смоленская область, Руднянский район, п. Голынки ул. Мира д. 1","216740, Смоленская область, Руднянский район, п. Голынки, ул. Мира, д. 1 (магазин)",№ 1856                      Б 005140,24 июля 2009,по 24 июля 2014,,,,,,,,,,,,,,,
15,"ООО ""Магна""",6713008229,1086713000351,"216790, Смоленская область, г. Рудня, ул. Киреева, д. 79","216790, Смоленская область, г. Рудня, ул. Киреева, д. 79 (магазин "" Сам Самыч"")",№ 1674                  Г 679698,28 мая 2008,по 28 мая 2013,,,,,,,,,,,,,,,
16,"ООО ""Селяночка""",6707003166,1066725014113,"216580, Смоленская область, с. Ершичи, ул. Гагарина, 1,1","216580, Смоленская область, с. Ершичи, ул. Гагарина, д. 23 (магазин ""25 часов"")",№ 1451                 Г 679438,05 марта 2007,по 05 марта 2012,,,,,,,,,,,,,,,
,,,,,"216581, Смоленская область, Ершичский район, с. Ворга, ул. Октябрьская, д. 43 (магазин)",,,,,,,,,,,,,,,,,,
17,"ООО ""Визит""",6713006863,1066713009769,"216790, Смоленская область, г. Рудня, ул. Киреева, 56","216790, Смоленская область, г. Рудня, ул. Киреева, д. 56 (магазин), без ограничений",№ 1189               Б 005973,24 июля 2006,по 24 июля 2011,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, пос. Молклмбината (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
18,"ООО ""Аякс""",6713006870,1066713009813,"216790, Смоленская область, г. Рудня, ул. Станционная","216790, Смоленская область, г. Рудня, ул. Станционная (закусочная)",№ 1188                 Б 005966,24 июля 2006,по 24 июля 2011,,,,,,,,,,,,,,,
19,"ООО ""Смол-Термо""",6730034010,1026701453448,"216740, Смоленская область, Руднянский район, пгт.  Голынки, ул. Мира, д. 4Б","216740, Смоленская область, Руднянский район, пгт. Голынки, ул. Мира, д. 3 (магазин), без ограничений",№ 1974                 Б 005393,15 марта 2011,по 15 марта 2013,,,,,,,,,,,,,,,
,,,,,"216740, Смоленская область, Руднянский район, д. Смолиголовка, ул. Калинина, д. 3 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
20,Руднянское РАЙПО,6713000614,1026700644794,"216790, Смоленская область, г. Рудня, ул. Киреева, д. 105","216790, Смоленская область, г. Рудня, ул. Киреева, д. 72 (магазин №1), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. Киреева, д. 62 (магазин №2), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. Мелиораторов, д.5 (магазин №6), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. Киреева, д. 45 (магазин №7), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. Западная д. 28 (магазин №11), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216740, Смоленская область, Руднянский район, п. Голынки, ул. Мира, д. 4-а (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216764, Смоленская область, Руднянский район, п. Чистик,  (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Руднянский район, п. Шеровичи,  (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216765, Смоленская область, Руднянский район, д. Лешно (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216775, Смоленская область, Руднянский район, д. Кругловка (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216775, Смоленская область, Руднянский район, д. Молильно (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216775, Смоленская область, Руднянский район, д. Одрино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216775, Смоленская область, Руднянский район, д. Тур (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216762, Смоленская область, Руднянский район, д. Стаи (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216762, Смоленская область, Руднянский район, д. Заборье (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Руднянский район, д. Красный двор (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216763, Смоленская область, Руднянский район, д. Переволочье (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216763, Смоленская область, Руднянский район, д.Самсонцы (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216780, Смоленская область, Руднянский район, д. Карташевичи (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216782, Смоленская область, Руднянский район, д. Кляриново (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216781, Смоленская область, Руднянский район, д. Братышки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216768, Смоленская область, Руднянский район, д. Шмыри (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216783, Смоленская область, Руднянский район, д. Боярщина (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216783, Смоленская область, Руднянский район, д.Нивки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216783, Смоленская область, Руднянский район, д.Понизовье (магазин ""Продукты""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216783, Смоленская область, Руднянский район, д. Понизовье (магазин ""Совхозный""), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216784, Смоленская область, Руднянский район, д.Узгорки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216785, Смоленская область, Руднянский район, д.Кошевичи(магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216786, Смоленская область, Руднянский район, д.Борки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216788, Смоленская область, Руднянский район, д. Никонцы (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216788, Смоленская область, Руднянский район, д. Осово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216783, Смоленская область, Руднянский район, д. Лужки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216783, Смоленская область, Руднянский район, д. Трубилово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216770, Смоленская область, Руднянский район, д. Березино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216770, Смоленская область, Руднянский район, д. Шубки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216772, Смоленская область, Руднянский район, д. Казимирово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216774, Смоленская область, Руднянский район, д. Любавичи (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216773, Смоленская область, Руднянский район, д. Волково (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216774, Смоленская область, Руднянский район, д.Шилово (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216775, Смоленская область, Руднянский район, д.Надва (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216740, Смоленская область, Руднянский район, д.Рыжиково (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216750, Смоленская область, Руднянский район, д. Плоское (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216750, Смоленская область, Руднянский район, д.Сташки (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216751, Смоленская область, Руднянский район, д.Приволье (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216750, Смоленская область, Руднянский район, д.Суфляново (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Им. М.А. Егорова, д. 3 (ресторан), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Им. М.А. Егорова, д. 3 (пиццерия), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Им. М.А. Егорова, д. 3 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Киреева, д.191 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Киреева, д.41 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Киреева, д.2-ж (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Киреева, д.52 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, Рудня, ул. Колхозная, д. 11 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216740, Смоленская область, Руднянский район, п. Голынки, ул. Мира, д. 4-а (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216783, Смоленская область, Руднянский район, п. Понизовье (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216764, Смоленская область, Руднянский район, д. Чистик (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216764, Смоленская область, г. Рудня, ул. Колхозная, д. 51 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. Киреева, д.97 (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216763, Смоленская область, г. Руднянский район,д. Микулино (магазин), без ограничений",,,,,,,,,,,,,,,,,,
,,,,,"216790, Смоленская область, г. Рудня, ул. Киреева, д.97 (закусочная), без ограничений",,,,,,,,,,,,,,,,,,
